0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32562 23334	5	 * 	278.80	DCR|3VULN|3DMG|2DUR|1AART	1aDUR|2DUST|38aVULN|49aDMG|5BELT|6RCR|7AART|aBPWR
55	62131 52612	7	   	258.54	DCR|4VULN|2DUR|2CDMG	1DLOT|269aVULN|3aDUR|4ZMB|56LWND|6aBPWR|7aCDMG|8RCR
56	32163 42116	1	   	258.38	DCR|2VULN|3DMG|2DUR|1TLV	1aDUR|2TLV|3ZMB|47VULN|568DMG|9RCR
57	61323 14215	7	   	258.34	DCR|4VULN|2DUR|1DMG	1DLOT|2DMSP|356aVULN|47DUR|8DMG|9RCR
58	62123 13342	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9RCR|aRCVC
59	62123 13345	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9RCR|aCGEN
60	62123 13346	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9RCR|aZMB
61	62123 13352	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9ZMB|aRCR
62	62333 13342	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9RCR|aRCVC
63	62333 13345	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9RCR|aCGEN
64	62333 13346	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9RCR|aZMB
65	62333 13352	4	   	258.34	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9ZMB|aRCR
66	63323 14215	7	   	258.34	DCR|4VULN|2DUR|1DMG	1DLOT|2RCVC|356aVULN|47DUR|8DMG|9RCR
67	62423 11211	7	   	258.34	DCR|4VULN|2DUR|1DMG	1DLOT|2356VULN|3BPWR|4aDUR|7RCVC|8DMG|9RCR
68	62423 14212	7	   	258.34	DCR|4VULN|2DUR|1DMG	1DLOT|2356VULN|3BPWR|47DUR|8DMG|9RCR|aCGEN
69	62423 14213	7	   	258.34	DCR|4VULN|2DUR|1DMG	1DLOT|2356VULN|3BPWR|47DUR|8DMG|9RCR|aDMSP
70	62423 15211	6	   	258.34	DCR|4VULN|2DUR|1DMG	1DLOT|2356VULN|3BPWR|4aDUR|7DMSP|8DMG|9RCR
71	62123 13341	4	   	258.24	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9RCR|aDUST
72	62123 13343	4	   	258.24	DCR|4VULN|2DUR|2CDMG|1NUKE	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9RCR|aNUKE
73	62333 13341	4	   	258.24	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9RCR|aDUST
74	62333 13343	4	   	258.24	DCR|4VULN|2DUR|2CDMG|1NUKE	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9RCR|aNUKE
75	62423 12315	8	   	257.81	DCR|5VULN|2DUR	1DLOT|2356aVULN|3BPWR|48DUR|7ZMB|9RCR
76	34353 13213	8	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	18DUR|28ASPD|3CGEN|4AART|59VULN|68DMG|7RPLT|8BPWR|aRCR
77	34453 13213	8	   	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	18DUR|28ASPD|3ERES|4AART|59VULN|68DMG|7RPLT|8BPWR|aRCR
78	32163 42113	1	   	257.44	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1DUR|2TLV|3ZMB|47VULN|568DMG|9RCR|aCDMG
79	62423 11216	7	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DLOT|2356VULN|3BPWR|4DUR|7RCVC|8DMG|9RCR|aCDMG
80	31526 52333	3	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	17DUR|2FEWX|37aVULN|4RMIN|57ASPD|6BBNT|7BPWR|8RCR|9DMG
81	34262 32613	9	 * 	257.08	DCR|2VULN|3DUR|2ASPD|2TLV|1CDMG	157DUR|29ASPD|3LWND|49TLV|69VULN|8RCR|9BPWR|aCDMG
82	34332 21241	10	   	257.01	DCR|3VULN|2DUR|2ASPD|1DMG	15DUR|28ASPD|3CGEN|46aVULN|7RCR|9DMG
83	62111 62612	7	 * 	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1DLOT|29aVULN|3aDUR|46ASPD|5LWND|7aCDMG|8RCR|aBPWR
84	62111 63612	6	   	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1DLOT|29aVULN|3aDUR|46ASPD|5LWND|7aCDMG|8RCR|aBPWR
85	62115 33612	4	   	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1DLOT|29aVULN|3aDUR|45ASPD|6LHND|7aCDMG|8RCR|aBPWR
86	62311 41612	7	   	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1DLOT|29aVULN|3aCDMG|4LWND|56ASPD|7aDUR|8RCR|aBPWR
87	62321 31612	7	   	256.91	DCR|3VULN|2DUR|2ASPD|2CDMG	1DLOT|29aVULN|36CDMG|4LEGI|5aASPD|7aDUR|8RCR|aBPWR
88	34432 31241	10	   	256.91	DCR|3VULN|2DUR|2ASPD|1DMG	15DUR|28ASPD|3ERES|46aVULN|7RCR|9DMG
89	35532 12612	7	   	256.56	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1aDUR|2aBEXP|349VULN|5AART|6ASPD|7aCDMG|8RCR|aBPWR
90	35532 13612	6	   	256.56	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1aDUR|2aBEXP|349VULN|5AART|6ASPD|7aCDMG|8RCR|aBPWR
91	34352 23253	9	   	256.21	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1AART	18DUR|28ASPD|3CGEN|4AART|5DMG|68VULN|7RPLT|8BPWR|9TLV|aRCR
92	61322 32612	7	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2DMSP|39aVULN|4aDUR|5DMG|6LWND|7aCDMG|8RCR|aBPWR
93	61322 33612	5	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2DMSP|39aVULN|4aDUR|5DMG|6LHND|7aCDMG|8RCR|aBPWR
94	61322 33612	6	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2DMSP|39aVULN|4aDUR|5DMG|6LWND|7aCDMG|8RCR|aBPWR
95	61326 12612	7	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2DMSP|39aVULN|4aDUR|5LHND|6DMG|7aCDMG|8RCR|aBPWR
96	61326 13612	6	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2DMSP|39aVULN|4aDUR|5LHND|6DMG|7aCDMG|8RCR|aBPWR
97	63322 32612	7	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2RCVC|39aVULN|4aDUR|5DMG|6LWND|7aCDMG|8RCR|aBPWR
98	63322 33612	5	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2RCVC|39aVULN|4aDUR|5DMG|6LHND|7aCDMG|8RCR|aBPWR
99	63322 33612	6	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2RCVC|39aVULN|4aDUR|5DMG|6LWND|7aCDMG|8RCR|aBPWR
100	63326 12612	7	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2RCVC|39aVULN|4aDUR|5LHND|6DMG|7aCDMG|8RCR|aBPWR
101	63326 13612	6	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1DLOT|2RCVC|39aVULN|4aDUR|5LHND|6DMG|7aCDMG|8RCR|aBPWR
102	32562 33215	10	 * 	255.35	DCR|2VULN|3DMG|3DUR	178DUR|2DUST|37VULN|479DMG|5BELT|6DLOT|7BPWR|aRCR
103	31521 36241	10	   	255.07	DCR|3VULN|3DUR|1TLV|1AART	167DUR|257FEWX|379VULN|4AART|7BPWR|8TLV|aRCR
104	31521 36421	10	   	255.07	DCR|3VULN|3DUR|1TLV|1AART	167DUR|257FEWX|378VULN|4AART|7BPWR|9TLV|aRCR
105	62333 32612	4	   	254.86	DCR|4VULN|2CDMG|1DUR|1ASPD	1DLOT|259aVULN|3aCDMG|4DUR|6ASPD|7aLHND|8RCR|aBPWR
106	32523 36241	10	   	254.77	DCR|3VULN|3DUR|1TLV|1AART	167DUR|257DUST|379VULN|4AART|7BPWR|8TLV|aRCR
107	32523 36421	10	   	254.77	DCR|3VULN|3DUR|1TLV|1AART	167DUR|257DUST|378VULN|4AART|7BPWR|9TLV|aRCR
108	62423 12343	10	   	254.52	DCR|4VULN|2DUR|1TLV	1DLOT|2356VULN|3BPWR|48DUR|7ZMB|9TLV|aRCR
109	62423 11315	7	   	254.23	DCR|5VULN|1DUR|1ASPD	1DLOT|2356aVULN|3BPWR|4DUR|7RCVC|8ASPD|9RCR
110	62115 13253	9	   	253.83	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1DLOT|28VULN|38DUR|4ASPD|5CGEN|68DMG|7RPLT|8BPWR|9TLV|aRCR
111	31363 53214	4	   	253.73	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	17DUR|2FEWX|3ASPD|4TLV|58DMG|6RCR|9aVULN
112	62123 56132	4	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG	1DLOT|2567VULN|3DUR|4CDMG|8BEXP|9TLV|aRCR
113	62123 56232	4	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DLOT|2567VULN|3DUR|4CDMG|8LHND|9TLV|aRCR
114	62333 56132	4	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG	1DLOT|2567VULN|3CDMG|4DUR|8BEXP|9TLV|aRCR
115	62333 56232	4	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DLOT|2567VULN|3CDMG|4DUR|8LHND|9TLV|aRCR
116	62423 11132	6	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DLOT|2356VULN|3BPWR|4DUR|7CDMG|8BEXP|9TLV|aRCR
117	62423 11232	6	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DLOT|2356VULN|3BPWR|4DUR|7CDMG|8LHND|9TLV|aRCR
118	62423 14232	6	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DLOT|2356VULN|3BPWR|4DUR|7BEXP|8CDMG|9TLV|aRCR
119	62423 16232	7	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DLOT|2356VULN|3BPWR|4DUR|7LHND|8CDMG|9TLV|aRCR
120	62433 14232	7	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DLOT|2356VULN|3BPWR|4LHND|7DUR|8CDMG|9TLV|aRCR
121	31533 32244	4	   	253.58	DCR|3VULN|2DMG|2DUR	1aDUR|26FEWX|37aVULN|4RCVC|5aDMG|8RMIN|9RCR|aBPWR
122	62134 63213	8	   	253.48	DCR|3VULN|2DMG|2DUR	1DLOT|289VULN|38DUR|4ZMB|5RPLT|6CGEN|78DMG|8BPWR|aRCR
123	62135 13213	8	   	253.48	DCR|3VULN|2DMG|2DUR	1DLOT|289VULN|38DUR|4ZMB|5CGEN|68DMG|7RPLT|8BPWR|aRCR
124	62136 13213	8	   	253.48	DCR|3VULN|2DMG|2DUR	1DLOT|289VULN|38DUR|4ZMB|5MLV|68DMG|7RPLT|8BPWR|aRCR
125	31633 42243	4	   	253.38	DCR|3VULN|2DMG|2DUR	13DUR|2FEWX|47aVULN|56DMG|8RMIN|9RCR
126	62231 31512	2	 * 	253.38	DCR|3VULN|2DMG|3ASPD	1DLOT|29aVULN|3aDMG|4RPLT|56aASPD|7RMIN|8RCR|aBPWR
127	62132 13213	8	   	253.38	DCR|3VULN|2DMG|2DUR	1DLOT|289VULN|38DUR|4ZMB|5ERES|68DMG|7RPLT|8BPWR|aRCR
128	62335 53313	7	   	253.35	DCR|2VULN|3DUR|2DMG|1CDMG	1DLOT|2aVULN|3CDMG|48aDUR|5DMSP|6RCR|7aDMG|9BBNT|aBPWR
129	62335 62313	7	   	253.35	DCR|2VULN|3DUR|2DMG|1CDMG	1DLOT|2aVULN|3CDMG|48aDUR|5DMSP|6aDMG|7RCR|9BBNT|aBPWR
130	31113 23233	4	   	253.33	DCR|4VULN|2DUR|2LIT	17DUR|2FEWX|37LIT|478aVULN|5RPLT|6BBNT|7BPWR|9RCR
131	32633 42243	4	   	253.28	DCR|3VULN|2DMG|2DUR	13DUR|2DUST|47aVULN|56DMG|8RMIN|9RCR
132	31326 32153	3	   	253.19	DCR|3VULN|2DUR|2ASPD|1TLV	14DUR|2FEWX|39ASPD|5TLV|68aVULN|7RCR
133	34262 32153	5	   	253.19	DCR|3VULN|2DUR|2ASPD|1TLV	15DUR|29ASPD|3LWND|4TLV|68aVULN|7RCR
134	34262 32153	6	   	253.19	DCR|3VULN|2DUR|2ASPD|1TLV	15DUR|29ASPD|3LWND|4TLV|68aVULN|7RCR
135	32326 32153	3	   	253.09	DCR|3VULN|2DUR|2ASPD|1TLV	14DUR|2DUST|39ASPD|5TLV|68aVULN|7RCR
136	33226 32153	1	   	253.09	DCR|3VULN|2DUR|2ASPD|1TLV	14DUR|29ASPD|3DUST|5TLV|68aVULN|7RCR
137	34226 32153	2	   	253.09	DCR|3VULN|2DUR|2ASPD|1TLV	14DUR|29ASPD|3DUST|5TLV|68aVULN|7RCR
138	62421 33252	9	   	253.04	DCR|3VULN|2DMG|2DUR|1SELL	1DLOT|23aVULN|3aBPWR|46DUR|5aDUST|7RCR|8aDMG|9SELL
139	61221 63512	2	 * 	252.94	DCR|5VULN|3CDMG|1SELL	1DLOT|2DMSP|356CDMG|4569aVULN|56aBPWR|7SELL|8RCR
140	61221 63512	1	 * 	252.94	DCR|5VULN|3CDMG|1SELL	1DLOT|2DMSP|356CDMG|4569aVULN|56aBPWR|7SELL|8RCR
141	62331 63512	3	 * 	252.94	DCR|5VULN|3CDMG|1SELL	1DLOT|2569aVULN|356CDMG|4DMSP|56aBPWR|7SELL|8RCR
142	63221 63512	2	 * 	252.94	DCR|5VULN|3CDMG|1SELL	1DLOT|2RCVC|356CDMG|4569aVULN|56aBPWR|7SELL|8RCR
143	62311 31612	7	 * 	252.84	DCR|3VULN|2DUR|3CDMG|1ASPD	1DLOT|29aVULN|36aCDMG|4LWND|5ASPD|7aDUR|8RCR|aBPWR
144	62361 31612	7	   	252.84	DCR|3VULN|2DUR|3CDMG|1ASPD	1DLOT|29aVULN|36aCDMG|4LHND|5ASPD|7aDUR|8RCR|aBPWR
145	62242 52312	7	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1DLOT|269VULN|3FEWX|4LWND|56DMG|6BPWR|7CDMG|8DUR|aRCR
146	62242 53312	6	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1DLOT|269VULN|3FEWX|4LWND|56DMG|6BPWR|7CDMG|8DUR|aRCR
147	62123 43363	4	   	252.16	DCR|4VULN|2CDMG|1DUR	1DLOT|2578VULN|3DUR|47CDMG|67LWND|7BPWR|9LIT|aRCR
148	62123 41612	4	   	252.12	DCR|4VULN|2DUR|1CDMG	1DLOT|259aVULN|3aDUR|4CDMG|6LWND|7aZMB|8RCR|aBPWR
149	62333 43342	4	   	252.12	DCR|4VULN|2DUR|1CDMG	1DLOT|2578VULN|3CDMG|47DUR|67LWND|7BPWR|9RCR|aRCVC
150	62333 43352	4	   	252.12	DCR|4VULN|2DUR|1CDMG	1DLOT|2578VULN|3CDMG|47DUR|67LWND|7BPWR|9ZMB|aRCR
151	32163 42115	1	   	252.10	DCR|2VULN|3DMG|1TLV|1DUR	1DUR|2TLV|3ZMB|47VULN|568DMG|9RCR|aLIT
152	31112 42254	7	   	252.06	DCR|4VULN|1DMG|1DUR	1DUR|2FEWX|3LIT|4679VULN|5DUST|8RCR|aDMG
153	62145 22232	7	   	252.06	DCR|4VULN|1DMG|1DUR	1DLOT|278aVULN|3DUR|4LWND|5LIT|6DMG|9RCR
154	62422 23632	7	   	252.06	DCR|4VULN|1DMG|1DUR	1DLOT|236aVULN|3BPWR|4DUR|5DMG|7LWND|8LIT|9RCR
155	62422 23632	6	   	252.06	DCR|4VULN|1DMG|1DUR	1DLOT|236aVULN|3BPWR|4DUR|5DMG|7LWND|8LIT|9RCR
156	62441 23312	3	   	252.06	DCR|4VULN|2CDMG|1TLV	1DLOT|2359VULN|35BPWR|45CDMG|6ZMB|7LIT|8RCR|aTLV
157	62462 12232	6	   	252.06	DCR|4VULN|1DMG|1DUR	1DLOT|238aVULN|3BPWR|4LWND|5DMG|6LIT|7DUR|9RCR
158	62123 43532	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|257VULN|38DUR|47CDMG|67LWND|7BPWR|9TLV|aRCR
159	62336 13332	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|278VULN|36CDMG|47DUR|57LWND|7BPWR|9TLV|aRCR
160	64123 23332	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|27BEXP|36DUR|47CDMG|578VULN|7BPWR|9TLV|aRCR
161	64333 13332	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|27BEXP|36CDMG|47DUR|578VULN|7BPWR|9TLV|aRCR
162	66333 13332	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|27LHND|36CDMG|47DUR|578VULN|7BPWR|9TLV|aRCR
163	62125 53332	6	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|278VULN|37DUR|47CDMG|5DMSP|6RCR|7BPWR|9TLV|aRMIN
164	62125 53333	6	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|278VULN|37DUR|47CDMG|5DMSP|6RCR|7BPWR|9TLV|aRCVC
165	62314 13332	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|278VULN|36CDMG|47LWND|57DUR|7BPWR|9TLV|aRCR
166	62335 53332	6	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1DLOT|278VULN|37CDMG|47DUR|5DMSP|6RCR|7BPWR|9TLV|aRMIN
