0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41162 23621	3	 * 	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	19BEXP|2DUST|3589VULN|4DUR|6CDMG|79DMG|9BPWR|aRCR
60	31133 62312	8	 * 	250.92	DCR|3VULN|2DMG|2CDMG	15ZMB|2LIT|38CDMG|45DMG|5BPWR|679VULN|aRCR
61	26125 26121	3	   	250.79	DCR|3VULN|2DUR|2ASPD|1CDMG	19LHND|2LWND|349VULN|57DUR|6CDMG|89ASPD|9BPWR|aRCR
62	41145 21121	4	   	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	19BEXP|2DUST|349VULN|57DUR|6CDMG|89ASPD|9BPWR|aRCR
63	41162 21121	3	   	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	19BEXP|2DUST|359VULN|47DUR|6CDMG|89ASPD|9BPWR|aRCR
64	56316 33322	10	   	250.55	DCR|3VULN|2DUR|1DMG|2LIT	14LIT|29DUR|38aVULN|5MBVNT|6RCR|7DMG
65	56316 33432	10	   	250.55	DCR|3VULN|2DUR|1DMG|2LIT	14LIT|28DUR|39aVULN|5MBVNT|6RCR|7DMG
66	25361 21262	6	   	250.00	DCR|3VULN|2DMG|1DUR|1ASPD	18aLHND|268VULN|3BELT|4DUR|5ASPD|78DMG|8BPWR|9RCR
67	25361 21263	6	   	250.00	DCR|3VULN|2DMG|1DUR|1ASPD	18LHND|268VULN|3BELT|4DUR|5ASPD|78DMG|8BPWR|9RCR|aCGEN
68	25124 21335	3	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1LHND|2568VULN|3TLV|4DUR|7RMIN|9RCR|aAART
69	25161 21335	3	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1LHND|2468VULN|3TLV|5DUR|7RMIN|9RCR|aAART
70	31131 52452	10	   	249.68	DCR|3VULN|1DMG|2CDMG|1DUR	17ZMB|2LIT|37CDMG|4DMG|5DUR|67aVULN|7BPWR|8RCR|9FEWX
71	31131 52462	10	   	249.68	DCR|3VULN|2CDMG|1DMG|1DUR	17ZMB|2LIT|37CDMG|4DMG|5DUR|67aVULN|7BPWR|8RCR|9BEXP
72	56316 33331	10	   	249.62	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	14LIT|2DUR|389VULN|5MBVNT|6RCR|7DMG|aCDMG
73	31131 52412	10	   	249.58	DCR|3VULN|2CDMG|1DMG|1DUR	17ZMB|2LIT|37CDMG|4DMG|5DUR|67aVULN|7BPWR|8RCR|9DUST
74	24133 56212	7	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1LHND|2RPLT|3DMG|4CDMG|59DUR|6RCR|78aVULN
75	24133 56212	9	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1LHND|2RPLT|3DMG|4CDMG|59DUR|6RCR|78aVULN
76	24133 56212	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1LHND|2RPLT|3DMG|4CDMG|59DUR|6RCR|78aVULN
77	25631 16113	3	   	249.31	DCR|3VULN|3DMG|1ASPD	17LHND|257VULN|367DMG|4TBNT|7BPWR|8RCR|9CGEN|aASPD
78	25631 16123	3	   	249.31	DCR|3VULN|3DMG|1ASPD	17LHND|257VULN|367DMG|4TBNT|7BPWR|8RCR|9RMIN|aASPD
79	25312 36411	5	   	248.56	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	14LHND|246VULN|3BELT|4BPWR|5DMG|7TLV|8RCR|9DUR|aASPD
80	23216 22232	2	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2CGEN|3DUR|4DMG|5ASPD|69aVULN|7RCR|8TLV
81	26616 22332	1	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2DUR|3MLV|4DMG|5ASPD|69aVULN|7RCR|8TLV
82	43216 22232	2	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1BEXP|2CGEN|3DUR|4DMG|5ASPD|69aVULN|7RCR|8TLV
83	55331 22431	10	   	248.33	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2DUST|34DMG|56DUR|79VULN|8RCR|aCDMG
84	32561 53333	1	 * 	248.01	DCR|2VULN|3DUR|2DMG	1ZMB|24DMG|349DUR|4BPWR|5LIT|6aVULN|7RCR|8TBNT
85	35161 53333	2	   	248.01	DCR|2VULN|3DUR|2DMG	1ZMB|249DUR|34DMG|4BPWR|5LIT|6aVULN|7RCR|8TBNT
86	55331 22612	8	   	247.91	DCR|2VULN|3DUR|2DMG	1LIT|2DUST|34DMG|569DUR|78VULN|aRCR
87	25361 31261	6	 * 	247.89	DCR|2VULN|2DMG|2DUR|2ASPD	18LHND|28VULN|3BELT|46DUR|5aASPD|78DMG|8BPWR|9RCR
88	12442 41133	1	   	247.76	DCR|3VULN|3DMG|1AART	1ERES|236DMG|4AART|569VULN|6BPWR|7RCR|8DUST|aCGEN
89	12442 41311	1	   	247.76	DCR|3VULN|3DMG|1AART	1ERES|236DMG|4AART|56aVULN|6BPWR|7RCR|8BBNT|9LHND
90	12442 41132	1	   	247.66	DCR|3VULN|3DMG|1AART	1ERES|236DMG|4AART|569VULN|6BPWR|7RCR|8DUST|aBBNT
91	12442 41323	1	   	247.66	DCR|3VULN|3DMG|1AART	19ERES|236DMG|4AART|56aVULN|6BPWR|7RCR|8BBNT
92	52523 26321	2	 * 	247.57	DCR|4VULN|3LIT|1DMG	125LIT|3567VULN|4RPLT|5BPWR|8DMG|9RCR|aLWND
93	52523 26323	2	   	247.57	DCR|4VULN|3LIT|1DMG	125LIT|3567VULN|4RPLT|5BPWR|8DMG|9RCR|aRCVC
94	52523 26322	2	   	247.47	DCR|4VULN|3LIT|1DMG	125LIT|3567VULN|4RPLT|5BPWR|8DMG|9RCR|aMBVNT
95	22131 46621	3	   	247.40	DCR|3VULN|2DMG|1CDMG|1ASPD	19LHND|2BEXP|389VULN|4ASPD|5CDMG|6RMIN|79DMG|9BPWR|aRCR
96	25145 33233	7	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1LHND|289VULN|3TLV|4BEXP|5DUR|6DMG|7RCR|aAART
97	31431 36332	6	   	247.11	DCR|3VULN|2DMG|1DUR	17ZMB|2LIT|37aVULN|47DMG|5LEGI|6RCR|7BPWR|8TBNT|9DUR
98	31431 36613	6	   	247.11	DCR|3VULN|2DMG|1TLV	17ZMB|2LIT|378VULN|47DMG|5LEGI|6RCR|7BPWR|9TBNT|aTLV
99	31435 35112	10	   	247.11	DCR|3VULN|2DMG|1DUR	1ZMB|2LIT|36aVULN|49DMG|5RPLT|7RCR|8DUR
100	31435 35122	8	   	247.11	DCR|3VULN|2DMG|1DUR	1ZMB|2LIT|369VULN|4aDMG|5RPLT|7RCR|8DUR
101	25312 51262	5	   	247.10	DCR|3VULN|2DUR|1DMG|1ASPD	148aLHND|248VULN|3BELT|48BPWR|5DMG|6ASPD|78DUR|9RCR
102	25312 51263	5	   	247.10	DCR|3VULN|2DUR|1DMG|1ASPD	148LHND|248VULN|3BELT|48BPWR|5DMG|6ASPD|78DUR|9RCR|aCGEN
103	25112 33612	3	   	247.01	DCR|3VULN|2DMG|1TLV	1LHND|258VULN|3TLV|4aDMG|6LIT|7RCR|9TBNT
104	35412 33612	3	   	247.01	DCR|3VULN|2DMG|1DUR	1ZMB|2DUR|358VULN|4aDMG|6LIT|7RCR|9TBNT
105	45112 33612	3	   	247.01	DCR|3VULN|2DMG|1TLV	1BEXP|258VULN|3TLV|4aDMG|6LIT|7RCR|9TBNT
106	56316 33333	9	   	246.97	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	14LIT|2DUR|389VULN|5MBVNT|6RCR|7DMG|aASPD
107	55323 13214	9	   	246.82	DCR|3VULN|2DMG|2LIT|1AART|1SELL	18LIT|27DUST|38DMG|4SELL|5AART|68aVULN|8BPWR|9RCR
108	25631 16112	3	   	246.61	DCR|3VULN|3DMG	17LHND|257VULN|367DMG|4TBNT|7BPWR|8RCR|9CGEN|aLIT
109	25631 16122	3	   	246.61	DCR|3VULN|3DMG	17LHND|257VULN|367DMG|4TBNT|7BPWR|8RCR|9RMIN|aLIT
110	31416 32363	3	   	246.54	DCR|4VULN|2DUR|1AART|1SELL	19ZMB|2LIT|3459VULN|6RCR|7AART|89DUR|9BPWR|aSELL
111	31431 36612	6	   	246.51	DCR|3VULN|3DMG	17ZMB|2LIT|378VULN|47aDMG|5LEGI|6RCR|7BPWR|9TBNT
112	32332 55151	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1ZMB|2BELT|3CDMG|4ASPD|57aVULN|6RCR|8DMG|9TLV
113	35155 33322	8	   	245.77	DCR|3VULN|1DMG|1DUR|1TLV	1ZMB|2DUR|3LIT|48aVULN|5TLV|6RCR|7DMG|9BEXP
114	35155 33322	10	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1ZMB|2DUR|3LIT|48aVULN|5TLV|6RCR|7DMG|9RCVC
115	22122 36541	3	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1LHND|2BEXP|345VULN|6LIT|7TLV|8DUR|9DMG|aRCR
116	31435 35123	8	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1ZMB|2LIT|369VULN|4DMG|5RPLT|7RCR|8DUR|aTLV
117	15131 31152	6	   	245.73	DCR|3VULN|1DMG|1DUR|2LIT|1AART	1aERES|2DUR|3aLIT|4DMG|5LHND|6RCR|79aVULN|8AART|aBPWR
118	15131 32152	7	   	245.73	DCR|3VULN|1DMG|1DUR|2LIT|1AART	1aERES|2DUR|3aLIT|4DMG|5LHND|6RCR|79aVULN|8AART|aBPWR
119	55331 22433	9	   	245.68	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|2DUST|34DMG|56DUR|79VULN|8RCR|aASPD
120	15131 32323	10	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|3LIT|4DMG|5LHND|6RCR|78aVULN|9TLV
121	15132 34322	8	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|3LIT|4DMG|5BEXP|6RCR|7TLV|89aVULN
122	15132 34522	7	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|3LIT|4DMG|5BEXP|6RCR|7TLV|89aVULN
123	15133 32322	9	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|3LIT|4DMG|5LWND|6RCR|78aVULN|9TLV
124	15133 32323	10	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|3LIT|4DMG|5LWND|6RCR|78aVULN|9TLV
125	15133 34322	8	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|3LIT|4DMG|5LWND|6RCR|7TLV|89aVULN
126	15133 34522	7	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|3LIT|4DMG|5LWND|6RCR|7TLV|89aVULN
127	15412 33612	3	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|358VULN|4DMG|6LIT|7RCR|9TLV|aLHND
128	15412 33613	3	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ERES|2DUR|358VULN|4DMG|6LIT|7RCR|9TLV|aBELT
129	31431 34312	8	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ZMB|2LIT|38aVULN|4DMG|5LEGI|6RCR|7TLV|9DUR
130	31431 34512	7	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ZMB|2LIT|38aVULN|4DMG|5LEGI|6RCR|7TLV|9DUR
131	53355 33312	8	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1LIT|2LEGI|38aVULN|4ZMB|5TLV|6RCR|7DMG|9DUR
132	35412 33613	3	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1ZMB|2DUR|358VULN|4DMG|6LIT|7RCR|9TBNT|aTLV
133	52511 33254	2	   	245.63	DCR|3VULN|1DMG|1DUR|2LIT|1AART	12LIT|349VULN|5DUR|6AART|7MBVNT|8DMG|aRCR
134	25124 21135	3	 * 	245.56	DCR|3VULN|2DUR|2TLV|1AART	18LHND|256VULN|38TLV|48DUR|7RMIN|8BPWR|9RCR|aAART
135	25161 21135	3	   	245.56	DCR|3VULN|2DUR|2TLV|1AART	18LHND|246VULN|38TLV|58DUR|7RMIN|8BPWR|9RCR|aAART
136	23412 13335	3	   	245.39	DCR|4VULN|2DMG	19aLHND|2CGEN|358aVULN|4aDMG|6RCVC|7RCR|aBPWR
137	23412 13355	3	   	245.39	DCR|4VULN|2DMG	1aLHND|29CGEN|358aVULN|4aDMG|6RCVC|7RCR|aBPWR
138	31423 11536	8	   	245.33	DCR|4VULN|1DMG|1AART|1SELL	1ZMB|2LIT|3689VULN|4SELL|5AART|7DMG|aRCR
139	23412 13142	3	   	245.29	DCR|4VULN|2DMG	18LHND|2CGEN|358aVULN|48DMG|6RCVC|7RCR|8BPWR|9ERES
