0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33235 44131	2	 * 	290.45	DCR|3VULN|3DMG|2DUR|2ASPD	17aDMG|2BELT|36DUR|45aVULN|8RCR|9aASPD|aBPWR
36	32245 21241	6	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD|1AART	179DMG|2LHND|3AART|47VULN|57DUR|6RCR|7BPWR|8LIT|aASPD
37	32345 21512	6	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	17DMG|2LHND|3DLOT|47aVULN|57DUR|6RCR|7BPWR|8TLV|9LWND
38	34111 64231	1	   	269.37	DCR|3VULN|3DMG|2TLV|1ASPD	157DMG|27TLV|34RPLT|67aVULN|7BPWR|8RCR|9ASPD
39	22245 21532	6	 * 	269.35	DCR|4VULN|2DUR|2ASPD|1AART	17ASPD|2LHND|3AART|479aVULN|57DUR|6RCR|7BPWR|8ERES
40	26245 21213	6	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	17ASPD|2FEWX|3AART|479aVULN|57DUR|6RCR|7BPWR|8TBNT
41	26245 21313	6	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	17ASPD|2FEWX|3AART|479aVULN|57DUR|6RCR|7BPWR|8BBNT
42	32345 32422	8	   	269.14	DCR|3VULN|3DMG|2DUR	168DMG|2LHND|3DLOT|489VULN|58DUR|7BELT|8BPWR|aRCR
43	32345 21253	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|2LHND|3DLOT|47aVULN|57DUR|6RCR|7BPWR|89LIT
44	31232 36434	4	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	18aDMG|2ERES|3AART|45aVULN|6aCDMG|7RPLT|9RCR|aBPWR
45	32243 44331	7	 * 	267.81	DCR|5VULN|1DMG|1ASPD|1AART	1DMG|2LHND|3AART|45678VULN|9ASPD|aRCR
46	24322 41423	1	 * 	267.75	DCR|2VULN|2DMG|2DUR|2ASPD|2TLV	19ASPD|23TLV|49DUR|5aVULN|6RCR|7DUST|89DMG|9BPWR
47	34322 41123	1	   	267.75	DCR|2VULN|2DMG|2DUR|2ASPD|2TLV	19DMG|23TLV|49DUR|5aVULN|6RCR|7DUST|89ASPD|9BPWR
48	34324 43123	1	   	267.75	DCR|2VULN|2DMG|2DUR|2ASPD|2TLV	19DMG|23TLV|49DUR|5DUST|6RCR|7aVULN|89ASPD|9BPWR
49	15512 14211	2	   	267.75	DCR|4VULN|3DUR|1TLV	147DUST|2LEGI|346DUR|467BPWR|567aVULN|8RCR|9TLV
50	61626 41311	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24DUR|34DMG|4BPWR|5MBVNT|68aVULN|7RCR|9LWND
51	61626 41321	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24DUR|34DMG|4BPWR|5MBVNT|689VULN|7RCR|aRPLT
52	61626 41323	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24DUR|34DMG|4BPWR|5MBVNT|689VULN|7RCR|aMLV
53	61626 41331	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24DUR|34DMG|4BPWR|5MBVNT|68aVULN|7RCR|9BEXP
54	61626 41324	5	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24DUR|34DMG|4BPWR|5MBVNT|689VULN|7RCR|aDUST
55	61626 41341	5	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24DUR|34DMG|4BPWR|5MBVNT|68aVULN|7RCR|9DUST
56	61626 41322	5	   	266.79	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1CDMG|24DUR|34DMG|4BPWR|5MBVNT|689VULN|7RCR|aSELL
57	61621 13124	6	   	266.14	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1CDMG|24DUR|34DMG|4BPWR|5AART|6MLV|7RCR|8TLV|9aVULN
58	24533 23152	1	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1ASPD|2TLV|38DMG|46aVULN|5DUR|7RCVC|9RCR
59	61621 33124	5	   	266.04	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1CDMG|24DUR|34DMG|4BPWR|5AART|6ERES|7RCR|8TLV|9aVULN
60	11315 22461	3	   	265.83	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1ASPD	1DUST|26TLV|3CDMG|4DUR|56aVULN|6BPWR|7ASPD|8RCR|9DMG
61	32513 42413	6	 * 	264.73	DCR|5VULN|2DMG	13DMG|2LHND|45689VULN|7ZMB|aRCR
62	32513 52413	5	   	264.73	DCR|5VULN|2DMG	13DMG|2LHND|45689VULN|7ZMB|aRCR
63	31136 33883	10	   	264.73	DCR|5VULN|2DMG	17DMG|2ERES|3579aVULN|47CGEN|6MBVNT|7BPWR|8RCR
64	33125 26151	6	   	264.61	DCR|3VULN|3DMG|3CDMG	189DMG|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aFEWX
65	33125 26151	5	   	264.61	DCR|3VULN|3DMG|3CDMG	189DMG|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aFEWX
66	33125 26152	6	   	264.61	DCR|3VULN|3DMG|3CDMG	189DMG|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aLWND
67	33125 26152	5	   	264.61	DCR|3VULN|3DMG|3CDMG	189DMG|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aLWND
68	36345 21132	6	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|28FEWX|3DLOT|47aVULN|57DUR|6RCR|7BPWR|9ASPD
69	36345 21231	6	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2FEWX|3DLOT|47aVULN|57DUR|6RCR|7BPWR|8TBNT|9ASPD
70	36345 21331	6	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2FEWX|3DLOT|47aVULN|57DUR|6RCR|7BPWR|8BBNT|9ASPD
71	66222 16322	2	   	264.31	DCR|3VULN|3DMG|3CDMG	126CDMG|289BPWR|389DMG|489VULN|589ERES|7RCR|aCGEN
72	66222 16323	2	   	264.31	DCR|3VULN|3DMG|3CDMG	126CDMG|289BPWR|389DMG|489VULN|589ERES|7RCR|aDMSP
73	23224 43423	1	   	263.94	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	19ASPD|24DUST|39DUR|5TLV|6RCR|7aVULN|89DMG|9BPWR
74	33224 43123	1	   	263.94	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	19DMG|24DUST|39DUR|5TLV|6RCR|7aVULN|89ASPD|9BPWR
75	36245 21133	6	   	263.59	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	17DMG|28FEWX|3AART|47VULN|57DUR|6RCR|7BPWR|9ASPD|aTLV
76	33222 34131	2	   	263.54	DCR|2VULN|3DMG|2DUR|2ASPD	17aDMG|26BELT|34DUR|5aVULN|8RCR|9aASPD|aBPWR
77	33242 44131	2	   	263.54	DCR|2VULN|3DMG|2DUR|2ASPD	17aDMG|2BELT|36DUR|4RCVC|5aVULN|8RCR|9aASPD|aBPWR
78	33332 44131	2	   	263.54	DCR|2VULN|3DMG|2DUR|2ASPD	17aDMG|2BELT|3DMSP|46DUR|5aVULN|8RCR|9aASPD|aBPWR
79	22242 21134	6	 * 	263.34	DCR|3VULN|2DMG|3ASPD|1AART	17aASPD|2LHND|3AART|47aVULN|578FEWX|6RCR|7aBPWR|9aDMG
80	31233 45613	6	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	1aDMG|2ERES|3AART|46aVULN|5ASPD|7RCR|8ZMB|9aTLV|aBPWR
81	32245 21162	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2LHND|3AART|479VULN|57DUR|6RCR|7BPWR|8FEWX|aMLV
82	32245 21312	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2LHND|3AART|47aVULN|57DUR|6RCR|7BPWR|8ZMB|9LWND
83	32245 21361	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2LHND|3AART|47aVULN|57DUR|6RCR|7BPWR|8ZMB|9BBNT
84	32245 21512	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2LHND|3AART|47aVULN|57DUR|6RCR|7BPWR|8ERES|9LWND
85	32245 21531	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2LHND|3AART|479VULN|57DUR|6RCR|7BPWR|8ERES|aLWND
86	36245 21212	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2aFEWX|3AART|479VULN|57DUR|6RCR|7BPWR|8TBNT
87	36245 21312	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2aFEWX|3AART|479VULN|57DUR|6RCR|7BPWR|8BBNT
88	22245 21161	6	   	263.06	DCR|3VULN|2DUR|2ASPD|1TLV|1AART	17ASPD|2LHND|3AART|479VULN|57DUR|6RCR|7BPWR|8FEWX|aTLV
89	36245 21211	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2FEWX|3AART|479VULN|57DUR|6RCR|7BPWR|8TBNT|aBBNT
90	36245 21311	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2FEWX|3AART|479VULN|57DUR|6RCR|7BPWR|8BBNT|aTBNT
91	22245 21533	6	   	262.96	DCR|3VULN|2DUR|2ASPD|1TLV|1AART	17ASPD|2LHND|3AART|479VULN|57DUR|6RCR|7BPWR|8ERES|aTLV
92	22245 21263	6	   	262.88	DCR|3VULN|2DUR|2ASPD|2AART	17ASPD|2LHND|39AART|47aVULN|57DUR|6RCR|7BPWR|8LIT
93	24531 13332	1	   	262.60	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	17ASPD|2TLV|37DMG|4VULN|5LIT|67DUR|7BPWR|8AART|9CDMG|aRCR
94	32621 21225	9	 * 	262.25	DCR|2VULN|3DMG|2DUR|3TLV|1SELL	147DMG|24aLHND|3SELL|47aBPWR|57DUR|67aTLV|8aVULN|9RCR
95	32643 21225	9	 * 	262.15	DCR|2VULN|3DMG|2DUR|3TLV|1SELL	157DMG|2aLHND|3SELL|47DUR|67aTLV|7aBPWR|8aVULN|9RCR
96	32651 21225	9	 * 	262.15	DCR|2VULN|3DMG|2DUR|3TLV|1SELL	147DMG|2aLHND|3SELL|57DUR|67aTLV|7aBPWR|8aVULN|9RCR
97	23125 26153	6	 * 	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aDMG
98	23125 26153	5	   	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aDMG
99	11315 32461	3	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|2TLV|3CDMG|4DUR|56aVULN|7ASPD|8RCR|9DMG
100	61311 22142	9	 * 	262.00	DCR|3VULN|2DUR|3CDMG|1DMG	137CDMG|27DUR|4DMSP|578VULN|6BELT|7BPWR|9RCR|aDMG
101	32343 22516	5	   	261.92	DCR|3VULN|2DMG|2CDMG|1ASPD	19DMG|2LHND|3DLOT|459VULN|6ASPD|7LIT|89CDMG|9BPWR|aRCR
102	32345 21233	6	   	261.79	DCR|3VULN|2DMG|2DUR	17DMG|2LHND|3DLOT|47aVULN|57DUR|6RCR|7BPWR|8LIT|9RCVC
103	32513 42252	6	   	261.44	DCR|4VULN|2DMG|1TLV	13DMG|2LHND|456aVULN|7ZMB|8TLV|9RCR
104	32513 42432	6	   	261.44	DCR|4VULN|2DMG|1TLV	13DMG|2LHND|4568VULN|7ZMB|9RCR|aTLV
105	32513 43432	6	   	261.44	DCR|4VULN|2DMG|1TLV	13DMG|2LHND|4568VULN|7CGEN|9RCR|aTLV
106	32513 46132	8	   	261.44	DCR|4VULN|2DMG|1TLV	13DMG|2LHND|4568VULN|7CGEN|9RCR|aTLV
107	32513 52252	5	   	261.44	DCR|4VULN|2DMG|1TLV	13DMG|2LHND|456aVULN|7ZMB|8TLV|9RCR
108	32513 52432	5	   	261.44	DCR|4VULN|2DMG|1TLV	13DMG|2LHND|4568VULN|7ZMB|9RCR|aTLV
109	32513 53432	5	   	261.44	DCR|4VULN|2DMG|1TLV	13DMG|2LHND|4568VULN|7CGEN|9RCR|aTLV
110	31123 45332	4	   	261.34	DCR|4VULN|2DMG|1TLV	18DMG|2ERES|359aVULN|4FEWX|6RCR|7TLV
111	31123 45332	5	   	261.34	DCR|4VULN|2DMG|1TLV	18DMG|2ERES|359aVULN|4FEWX|6RCR|7TLV
112	31163 45332	3	   	261.34	DCR|4VULN|2DMG|1TLV	18DMG|2ERES|359aVULN|4FEWX|6RCR|7TLV
113	31316 42152	7	   	261.24	DCR|4VULN|2DMG|1DUR|1NUKE	18DMG|2ERES|3NUKE|456aVULN|7DUR|9RCR
114	31316 42352	8	   	261.24	DCR|4VULN|2DMG|1DUR|1NUKE	18DMG|2ERES|3NUKE|456aVULN|7DUR|9RCR
115	31316 42362	9	   	261.24	DCR|4VULN|2DMG|1DUR|1NUKE	18DMG|2ERES|3NUKE|456aVULN|7DUR|9RCR
116	22533 21126	8	 * 	261.11	DCR|2VULN|3DUR|2DMG|2ASPD	19ASPD|2LHND|39DMG|4CGEN|5aVULN|679DUR|8RCR|9BPWR
117	41316 37444	10	   	261.04	DCR|4VULN|3DMG	17aZMB|2ERES|37aDMG|457aVULN|6MBVNT|7aBPWR|8RCR|9RMIN
118	31124 65123	8	   	261.01	DCR|2VULN|3DUR|2DMG|2ASPD	19DMG|2ERES|39VULN|4FEWX|57aDUR|69ASPD|8RCR|9BPWR
119	32513 42433	6	   	260.84	DCR|4VULN|3DMG	13aDMG|2LHND|4568VULN|7ZMB|9RCR
120	32513 43433	6	   	260.84	DCR|4VULN|3DMG	13aDMG|2LHND|4568VULN|7CGEN|9RCR
121	32513 46133	8	   	260.84	DCR|4VULN|3DMG	13aDMG|2LHND|4568VULN|7CGEN|9RCR
122	32513 52433	5	   	260.84	DCR|4VULN|3DMG	13aDMG|2LHND|4568VULN|7ZMB|9RCR
123	32513 53433	5	   	260.84	DCR|4VULN|3DMG	13aDMG|2LHND|4568VULN|7CGEN|9RCR
124	32245 21222	6	   	260.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2LHND|3AART|47VULN|57DUR|6RCR|7BPWR|8LIT|9TBNT|aTLV
125	61231 61613	1	 * 	260.79	DCR|3VULN|3CDMG|3LIT|1DMG|1AART	169CDMG|2BEXP|379LIT|469VULN|5AART|69BPWR|8RCR|aDMG
126	63231 61613	2	   	260.79	DCR|3VULN|3CDMG|3LIT|1DMG|1AART	169CDMG|2BEXP|379LIT|469VULN|5AART|69BPWR|8RCR|aDMG
127	31316 37444	10	   	260.74	DCR|4VULN|3DMG|1NUKE	17aDMG|27aERES|3NUKE|457aVULN|6MBVNT|7aBPWR|8RCR|9RMIN
