0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21353 13636	1	 * 	293.93	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	18aDMG|2TLV|3aCDMG|4ASPD|5LIT|6RCR|79aVULN|aBPWR
14	13563 23423	10	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1359VULN|2ERES|4RPLT|69DMG|79CDMG|8RCR|9BPWR|aDUR
15	12863 27332	7	   	281.40	DCR|4VULN|2DMG|2CDMG|1DUR	157aVULN|2MBVNT|3ERES|47CDMG|67DMG|7BPWR|8DUR|9RCR
16	12863 27332	8	   	281.40	DCR|4VULN|2DMG|2CDMG|1DUR	157aVULN|2MBVNT|3ERES|47CDMG|67DMG|7BPWR|8DUR|9RCR
17	12462 22522	10	   	281.26	DCR|4VULN|2DMG|2CDMG|1TLV|1SELL	179aVULN|2MBVNT|3TLV|49CDMG|5SELL|69DMG|8RCR|9BPWR
18	12231 36126	9	 * 	280.15	DCR|4VULN|2DMG|2ASPD|1CDMG	189aVULN|2MBVNT|3aASPD|4CGEN|5CDMG|6aDMG|7RCR|aBPWR
19	26632 51111	7	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	15aDMG|2DUR|3LIT|458VULN|5BPWR|6MLV|7RCR|9TLV
20	26632 33151	5	   	279.07	DCR|3VULN|3DMG|1DUR|2LIT|1AART	157DMG|2DUR|3aLIT|458VULN|5BPWR|6AART|9RCR
21	12464 27332	7	 * 	278.83	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	17aVULN|2MBVNT|35TLV|47CDMG|67DMG|7BPWR|8DUR|9RCR
22	12464 27332	8	   	278.83	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	17aVULN|2MBVNT|35TLV|47CDMG|67DMG|7BPWR|8DUR|9RCR
23	12154 56344	7	 * 	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	156aVULN|2MBVNT|3RPLT|4DMG|7RCR|8aDUR|9aCDMG|aBPWR
24	12154 58344	6	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	156aVULN|2MBVNT|3RPLT|4DMG|7RCR|8aDUR|9aCDMG|aBPWR
25	21353 13136	1	   	278.27	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1aDMG|2TLV|3aCDMG|4ASPD|5LIT|6RCR|79aVULN|8DMSP|aBPWR
26	65242 23222	5	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DUR|2RPLT|3689aVULN|4DMG|5CDMG|7RCR
27	12244 35255	8	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	19aVULN|2MBVNT|3aASPD|4DUR|5TLV|6aDMG|7RPLT|8RCR|aBPWR
28	12244 35275	9	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	19aVULN|2MBVNT|3aASPD|4DUR|5TLV|6aDMG|7RPLT|8RCR|aBPWR
29	15212 23421	9	   	276.36	DCR|4VULN|2DMG|2CDMG|1ASPD	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aASPD
30	12233 77363	7	 * 	276.32	DCR|4VULN|2DMG|3ASPD	179aVULN|2MBVNT|357ASPD|4579CGEN|579BPWR|6RCR|89DMG
31	13563 23421	9	   	276.26	DCR|4VULN|2DMG|2CDMG|1ASPD	1359VULN|2ERES|4RPLT|69DMG|79CDMG|8RCR|9BPWR|aASPD
32	12123 58214	2	   	276.12	DCR|4VULN|2DMG|2DUR	148aVULN|2MBVNT|3LHND|5aDMG|6RMIN|7RCR|9aDUR|aBPWR
33	12523 58214	3	   	276.12	DCR|4VULN|2DMG|2DUR	148aVULN|2MBVNT|3LHND|5aDMG|6RMIN|7RCR|9aDUR|aBPWR
34	12325 84361	2	   	276.02	DCR|4VULN|2DMG|2DUR	146aVULN|2MBVNT|3aDUR|5TBNT|7RCR|8aDMG|9RMIN|aBPWR
35	12273 22516	9	 * 	275.82	DCR|3VULN|3ASPD|2TLV|1DMG|2CDMG	17aVULN|2MBVNT|35aASPD|45TLV|5aBPWR|6DMG|8RCR|9aCDMG
36	26553 13222	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	15DMG|2DUR|389aVULN|4CDMG|6RPLT|7RCR
37	12462 22523	10	   	274.87	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR|1SELL	179VULN|2MBVNT|3TLV|49CDMG|5SELL|69DMG|8RCR|9BPWR|aDUR
38	12264 87332	8	 * 	274.82	DCR|4VULN|2TLV|2CDMG|1DUR|1ASPD	167aVULN|2MBVNT|3ASPD|47CDMG|57TLV|7BPWR|8DUR|9RCR
39	12271 87332	8	   	274.82	DCR|4VULN|2TLV|2CDMG|1DUR|1ASPD	167aVULN|2MBVNT|3ASPD|47TLV|57CDMG|7BPWR|8DUR|9RCR
40	12126 36144	3	 * 	274.62	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3RPLT|478DMG|5BELT|678LIT|78BPWR|9RCR|aDUR
41	12156 36144	4	   	274.62	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3RPLT|478DMG|5BELT|678LIT|78BPWR|9RCR|aDUR
42	12157 36144	5	   	274.62	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3RPLT|478DMG|5BELT|678LIT|78BPWR|9RCR|aDUR
43	15321 86144	6	   	274.62	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2RPLT|3BELT|4MBVNT|578LIT|678DMG|78BPWR|9RCR|aDUR
44	15326 36144	5	   	274.62	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2RPLT|3BELT|4MBVNT|578DMG|678LIT|78BPWR|9RCR|aDUR
45	23322 16345	1	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	18aDMG|24aVULN|3DUR|5CGEN|6RMIN|7aCDMG|9RCR|aBPWR
46	21364 13336	1	   	273.82	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT	1aDMG|2TLV|3aCDMG|48LIT|5ZMB|6RCR|79aVULN|aBPWR
47	23313 13336	2	   	273.82	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT	1aDMG|2ZMB|3aCDMG|4TLV|58LIT|6RCR|79aVULN|aBPWR
48	12271 31326	2	   	273.72	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT	14aVULN|2MBVNT|3aCDMG|58LIT|6RCR|7TLV|9aDMG|aBPWR
49	15211 31125	4	   	273.66	DCR|4VULN|2DMG|2TLV	134aVULN|2RPLT|4aBPWR|5LIT|6RCR|7aTLV|8DMSP|9aDMG
50	15211 31225	4	   	273.66	DCR|4VULN|2DMG|2TLV	134aVULN|28RPLT|4aBPWR|5LIT|6RCR|7aTLV|9aDMG
51	15251 31325	3	   	273.66	DCR|4VULN|2DMG|2TLV	138aVULN|2RPLT|4RCVC|5LIT|6RCR|7aTLV|9aDMG|aBPWR
52	15261 31125	3	   	273.66	DCR|4VULN|2DMG|2TLV	134aVULN|2RPLT|5LIT|6RCR|7aTLV|8DMSP|9aDMG|aBPWR
53	15261 31225	3	   	273.66	DCR|4VULN|2DMG|2TLV	134aVULN|28RPLT|5LIT|6RCR|7aTLV|9aDMG|aBPWR
54	12321 77332	2	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	146aVULN|2MBVNT|3DUR|5TLV|7CDMG|8DMG|9RCR
55	12322 77332	2	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	145aVULN|2MBVNT|3DUR|6TLV|7CDMG|8DMG|9RCR
56	21353 13326	1	   	273.57	DCR|2VULN|3DMG|2CDMG|1TLV|2LIT|1ASPD	19aDMG|2TLV|3aCDMG|4ASPD|58LIT|6RCR|7aVULN|aBPWR
57	15211 31615	4	 * 	273.56	DCR|4VULN|2DMG|3TLV	134aVULN|2RPLT|4aBPWR|5LIT|6RCR|79aTLV|8aDMG
58	12271 33226	2	   	273.46	DCR|4VULN|2DMG|2CDMG	147aVULN|2MBVNT|3aCDMG|5LIT|6RCR|8ERES|9aDMG|aBPWR
59	12133 31744	5	 * 	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17aVULN|2MBVNT|3RPLT|45DUR|6aDMG|8RCR|9aCDMG|aBPWR
60	12133 81744	6	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17aVULN|2MBVNT|3RPLT|45DUR|6aDMG|8RCR|9aCDMG|aBPWR
61	12135 32744	3	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	15aVULN|2MBVNT|3RPLT|47DUR|6aDMG|8RCR|9aCDMG|aBPWR
62	12135 32744	4	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	15aVULN|2MBVNT|3RPLT|47DUR|6aDMG|8RCR|9aCDMG|aBPWR
63	12315 32744	2	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	15aVULN|2MBVNT|37DUR|4RPLT|6aDMG|8RCR|9aCDMG|aBPWR
64	12326 32744	2	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	14aVULN|2MBVNT|37DUR|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
65	12376 31744	2	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17aVULN|2MBVNT|34DUR|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
66	11253 15216	4	   	273.31	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD|1AART	179VULN|27BEXP|3ASPD|4CDMG|57DMG|6AART|7BPWR|8TLV|aRCR
67	26632 51113	7	   	273.12	DCR|3VULN|2DMG|1TLV|1DUR|1AART	15DMG|2DUR|3LIT|458VULN|5BPWR|6MLV|7RCR|9TLV|aAART
68	15211 33225	4	   	273.04	DCR|5VULN|2DMG	1347aVULN|2RPLT|4aBPWR|5LIT|6RCR|8aERES|9aDMG
69	15213 34134	3	   	273.04	DCR|5VULN|2DMG	13689VULN|2RPLT|4BBNT|56DMG|6BPWR|7LIT|aRCR
70	15233 34134	3	   	273.04	DCR|5VULN|2DMG	13689VULN|2RPLT|4TBNT|56DMG|6BPWR|7LIT|aRCR
71	15261 33225	3	   	273.04	DCR|5VULN|2DMG	1347aVULN|2RPLT|5LIT|6RCR|8aERES|9aDMG|aBPWR
72	25221 52611	2	 * 	272.91	ACR|4VULN|3DMG|3DUR	18aDMG|2RCR|3LWND|478aVULN|58aDUR|6BELT|8aBPWR|9BBNT
73	62222 77242	7	 * 	272.81	DCR|4VULN|3DUR|2ASPD	147DUR|2MBVNT|34ASPD|47BPWR|5789VULN|67ERES|aRCR
74	62822 37242	7	   	272.81	DCR|4VULN|3DUR|2ASPD	147DUR|2MBVNT|34ERES|47BPWR|5789VULN|67ASPD|aRCR
75	26632 16142	5	   	272.69	DCR|3VULN|2DMG|2DUR|1ASPD	15DMG|29DUR|3LIT|458VULN|5BPWR|6MBVNT|7ASPD|aRCR
76	26632 33152	5	   	272.52	DCR|3VULN|3DMG|1DUR|1AART	157DMG|2DUR|3LIT|458VULN|5BPWR|6AART|9RCR|aFEWX
77	26632 33153	5	   	272.52	DCR|3VULN|3DMG|1DUR|1AART	157DMG|2DUR|3LIT|458VULN|5BPWR|6AART|9RCR|aBELT
78	26632 33143	5	   	272.52	DCR|3VULN|3DMG|1DUR|1AART	157DMG|2DUR|3LIT|458VULN|5BPWR|6AART|9RMIN|aRCR
79	32264 13336	4	   	272.51	DCR|3VULN|2DMG|3LIT|1TLV|1CDMG	18aLIT|2CDMG|3aDMG|4TLV|5ZMB|6RCR|79aVULN|aBPWR
80	26632 33113	5	   	272.42	DCR|3VULN|3DMG|1DUR|1AART	157DMG|2DUR|3LIT|458VULN|5BPWR|6AART|9ERES|aRCR
81	12464 27415	8	   	272.24	DCR|3VULN|2DMG|2TLV|2CDMG|1AART	179VULN|2MBVNT|35TLV|47CDMG|67DMG|7BPWR|8AART|aRCR
82	65242 23212	5	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	19DUR|2RPLT|368aVULN|4DMG|5CDMG|7RCR
83	65242 23222	6	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	16DUR|2RPLT|389aVULN|4DMG|5CDMG|7RCR
84	12126 36141	3	   	272.02	DCR|3VULN|3DMG|3LIT|1CDMG	178VULN|2MBVNT|3RPLT|478DMG|5BELT|678LIT|78BPWR|9RCR|aCDMG
85	12156 36141	4	   	272.02	DCR|3VULN|3DMG|3LIT|1CDMG	178VULN|2MBVNT|3RPLT|478DMG|5BELT|678LIT|78BPWR|9RCR|aCDMG
86	12157 36141	5	   	272.02	DCR|3VULN|3DMG|3LIT|1CDMG	178VULN|2MBVNT|3RPLT|478DMG|5BELT|678LIT|78BPWR|9RCR|aCDMG
87	15321 86141	6	   	272.02	DCR|3VULN|3DMG|3LIT|1CDMG	178VULN|2RPLT|3BELT|4MBVNT|578LIT|678DMG|78BPWR|9RCR|aCDMG
88	15326 36141	5	   	272.02	DCR|3VULN|3DMG|3LIT|1CDMG	178VULN|2RPLT|3BELT|4MBVNT|578DMG|678LIT|78BPWR|9RCR|aCDMG
89	15212 52533	7	 * 	271.76	DCR|4VULN|3DUR|2TLV	134aVULN|2RPLT|4aBPWR|5MLV|6aTLV|78aDUR|9RCR
90	15211 31321	4	   	271.70	DCR|5VULN|1DMG|1TLV	1348aVULN|2RPLT|4BPWR|5LIT|6RCR|7TLV|9DMG
91	15261 31321	3	   	271.70	DCR|5VULN|1DMG|1TLV	1348aVULN|2RPLT|5LIT|6RCR|7TLV|9DMG
92	15661 31321	2	   	271.70	DCR|5VULN|1DMG|1TLV	1348aVULN|2RPLT|5LIT|6RCR|7TLV|9DMG
93	12844 46112	8	 * 	271.66	DCR|4VULN|3DUR|3LIT	189aVULN|2MBVNT|3ERES|4RCVC|589LIT|6RCR|789DUR|89BPWR
94	12883 46112	8	   	271.66	DCR|4VULN|3DUR|3LIT	189aVULN|2MBVNT|3ERES|489LIT|5RCVC|6RCR|789DUR|89BPWR
95	12271 31716	2	   	270.88	DCR|3VULN|2DMG|2TLV|2CDMG	14aVULN|2MBVNT|3aCDMG|5LIT|6RCR|79TLV|8aDMG|aBPWR
96	12244 46222	6	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1789aVULN|2MBVNT|3ASPD|4DUR|5TLV|6RCR
97	12244 47222	7	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1789aVULN|2MBVNT|3ASPD|4DUR|5TLV|6RCR
98	62274 46222	6	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1DUR|2MBVNT|3ASPD|4789aVULN|5TLV|6RCR
99	62274 47222	7	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1DUR|2MBVNT|3ASPD|4789aVULN|5TLV|6RCR
100	22433 44123	9	   	270.42	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	19DMG|2LIT|349VULN|5CDMG|6TLV|7AART|89DUST|9BPWR|aRCR
101	36433 22223	9	   	270.22	DCR|2VULN|2DMG|2TLV|1DUR|2LIT|1CDMG|1AART	19LIT|24VULN|39TLV|5CDMG|6AART|7DUR|89DMG|9BPWR|aRCR
102	36652 32122	10	 * 	270.02	DCR|3VULN|3DUR|3CDMG|2LIT	19LIT|25aVULN|389CDMG|479DUR|6RCR|9BPWR
103	36652 32122	9	   	270.02	DCR|3VULN|3DUR|3CDMG|2LIT	19LIT|25aVULN|389CDMG|479DUR|6RCR|9BPWR
104	12233 77361	7	   	269.93	DCR|3VULN|2DMG|3ASPD|1DUR	179VULN|2MBVNT|357ASPD|4579CGEN|579BPWR|6RCR|89DMG|aDUR
105	26632 51121	7	   	269.85	DCR|4VULN|2DMG|1DUR	15DMG|2DUR|3LIT|458aVULN|5BPWR|6MLV|7RCR|9LHND
106	26632 51131	7	   	269.85	DCR|4VULN|2DMG|1DUR	15DMG|2DUR|3LIT|458aVULN|5BPWR|6MLV|7RCR|9LWND
107	12154 31325	6	   	269.81	DCR|4VULN|2DMG|2LIT|1AART	158aVULN|2MBVNT|3RPLT|48DMG|6AART|78LIT|8BPWR|9RCR
108	12154 33325	7	   	269.81	DCR|4VULN|2DMG|2LIT|1AART	158aVULN|2MBVNT|3RPLT|48DMG|6AART|78LIT|8BPWR|9RCR
109	12863 27333	8	   	269.77	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	157VULN|2MBVNT|3ERES|47CDMG|67DMG|7BPWR|8DUR|9RCR|aASPD
110	12863 27333	7	   	269.77	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	157VULN|2MBVNT|3ERES|47CDMG|67DMG|7BPWR|8DUR|9RCR|aASPD
111	26632 51341	7	   	269.75	DCR|4VULN|2DMG|1DUR	15DMG|2DUR|3LIT|459aVULN|5BPWR|6MLV|7RCR|8MBVNT
112	15211 35322	4	   	269.75	DCR|4VULN|2DMG|1TLV	1348VULN|2RPLT|4BPWR|5LIT|6RCR|79DMG|aTLV
113	15211 35632	4	   	269.75	DCR|4VULN|2DMG|1TLV	1349VULN|2RPLT|4BPWR|5LIT|6RCR|78DMG|aTLV
114	15261 35322	3	   	269.75	DCR|4VULN|2DMG|1TLV	1348VULN|2RPLT|5LIT|6RCR|79DMG|aTLV
115	11263 36631	10	   	269.64	DCR|4VULN|2DUR|2TLV|1ASPD	1578VULN|27BEXP|3ASPD|45TLV|57BPWR|67DUR|9FEWX|aRCR
116	12321 46746	2	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|2MBVNT|39DUR|5TLV|6TBNT|7FEWX|89DMG|9BPWR|aRCR
117	12462 22521	9	   	269.62	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD|1SELL	179VULN|2MBVNT|3TLV|49CDMG|5SELL|69DMG|8RCR|9BPWR|aASPD
118	23321 53222	1	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|249aVULN|36DUR|5ASPD|7RCR|8FEWX
119	23321 53322	1	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|249aVULN|36DUR|5ASPD|7RCR|8BEXP
120	26521 53222	3	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|26DUR|349aVULN|5ASPD|7RCR|8FEWX
121	26521 53322	3	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|26DUR|349aVULN|5ASPD|7RCR|8BEXP
122	12224 88344	3	   	269.44	DCR|4VULN|2DUR|2CDMG|1ASPD	145aVULN|2MBVNT|3ASPD|6RPLT|7RCR|8aDUR|9aCDMG|aBPWR
123	12248 22511	8	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	1579VULN|2MBVNT|3ASPD|46DUR|8RCR|aDMG
124	15211 35622	4	   	269.15	DCR|4VULN|3DMG	134aVULN|2RPLT|4BPWR|5LIT|6RCR|789DMG
125	12154 81173	10	   	269.14	DCR|3VULN|3DMG|2DUR	15aVULN|2MBVNT|36RPLT|47aDMG|8RCR|9aDUR|aBPWR
126	34223 42213	10	 * 	269.09	DCR|3VULN|3DUR|3LIT|2TLV	146LIT|2BELT|34aVULN|4aBPWR|5aTLV|78aDUR|9RCR
127	62154 11744	6	 * 	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	16aDUR|2MBVNT|3RPLT|4DMG|57aVULN|8RCR|9aCDMG|aBPWR
128	36652 32222	9	 * 	268.99	DCR|3VULN|3DUR|3LIT|2CDMG	189LIT|25aVULN|39CDMG|479DUR|6RCR|9BPWR
129	13316 12256	5	   	268.94	DCR|3VULN|3DMG|2DUR	179VULN|235ERES|49DUR|6RCR|89aDMG|9BPWR
130	13325 12256	5	   	268.94	DCR|3VULN|3DMG|2DUR	179VULN|234ERES|59DUR|6RCR|89aDMG|9BPWR
131	11263 22324	10	 * 	268.88	DCR|4VULN|2ASPD|2TLV|1DMG	1579VULN|2BEXP|38ASPD|45TLV|5BPWR|6DMG|aRCR
132	12248 22725	10	 * 	268.82	DCR|5VULN|2DUR|1ASPD	15789VULN|2MBVNT|3ASPD|46DUR|aRCR
133	12273 22724	10	   	268.78	DCR|4VULN|2ASPD|2TLV|1DMG	1789VULN|2MBVNT|35ASPD|45TLV|5BPWR|6DMG|aRCR
134	65242 23223	5	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUR|2RPLT|3689VULN|4DMG|5CDMG|7RCR|aASPD
135	22141 61116	7	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2LIT|3MLV|458aVULN|6DUR|7RCR|9TLV
136	22431 51116	7	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2LIT|348aVULN|5DUR|6MLV|7RCR|9TLV
137	22441 61121	7	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1DMG|2LIT|358aVULN|4TLV|6DUR|7RCR|9LHND
138	22441 61131	7	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2LIT|358aVULN|4TLV|6DUR|7RCR|9LWND
139	36511 61111	7	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1LIT|2358VULN|4BEXP|6DUR|7RCR|9TLV|aDMG
140	63533 34211	3	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	19DUR|2ERES|379VULN|4ZMB|5aDMG|6RCR|89LIT|9BPWR
141	22441 11161	7	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2LIT|358aVULN|4TLV|6DUST|7RCR|9DUR
142	22441 61341	7	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2LIT|359aVULN|4TLV|6DUR|7RCR|8MBVNT
143	12282 53311	8	   	268.24	DCR|3VULN|2DMG|3ASPD|2LIT	19aVULN|2MBVNT|359ASPD|45LIT|59BPWR|6RCR|7ERES|89DMG
144	12126 36147	3	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	178VULN|2MBVNT|3RPLT|478DMG|5BELT|678LIT|78BPWR|9RCR|aAART
145	24332 14523	1	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	189DMG|2BBNT|3RPLT|4AART|5LHND|689LIT|789VULN|89BPWR|aRCR
146	24333 14523	1	   	267.93	DCR|3VULN|3DMG|3LIT|1AART	189DMG|2BBNT|3RPLT|4AART|5DUST|689LIT|789VULN|89BPWR|aRCR
147	12288 53311	8	 * 	267.72	DCR|3VULN|3DMG|2ASPD	159VULN|2MBVNT|39ASPD|4LIT|6RCR|7ERES|89aDMG|9BPWR
148	32264 13136	4	   	267.51	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1aLIT|2CDMG|3aDMG|4TLV|5ZMB|6RCR|79aVULN|8DMSP|aBPWR
149	21364 13136	1	   	267.27	DCR|3VULN|2DMG|2CDMG|1TLV	1aDMG|2TLV|3aCDMG|4LIT|5ZMB|6RCR|79aVULN|8DMSP|aBPWR
150	23313 13136	2	   	267.27	DCR|3VULN|2DMG|2CDMG|1TLV	1aDMG|2ZMB|3aCDMG|4TLV|5LIT|6RCR|79aVULN|8DMSP|aBPWR
151	12271 31126	2	   	267.17	DCR|3VULN|2DMG|2CDMG|1TLV	14aVULN|2MBVNT|3aCDMG|5LIT|6RCR|7TLV|8DMSP|9aDMG|aBPWR
152	22433 15253	10	   	267.11	DCR|4VULN|1DMG|2LIT|1CDMG|1ASPD	1DMG|28LIT|3469VULN|5CDMG|7ASPD|aRCR
153	26553 13212	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DMG|29DUR|38aVULN|4CDMG|6RPLT|7RCR
154	12231 36726	9	   	267.03	DCR|3VULN|2DMG|3ASPD|1CDMG	19aVULN|2MBVNT|38aASPD|4CGEN|5CDMG|6aDMG|7RCR|aBPWR
155	21353 13126	1	   	267.02	DCR|2VULN|3DMG|2CDMG|1TLV|1ASPD	19aDMG|2TLV|3aCDMG|4ASPD|5LIT|6RCR|7aVULN|8DMSP|aBPWR
156	11263 22156	9	   	266.98	DCR|4VULN|2TLV|1DMG|1ASPD	157aVULN|2BEXP|3ASPD|45TLV|5BPWR|6DMG|8LIT|9RCR
157	13316 12255	5	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	179VULN|235ERES|49DUR|6RCR|89DMG|9BPWR|aCDMG
158	13325 12255	5	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	179VULN|234ERES|59DUR|6RCR|89DMG|9BPWR|aCDMG
159	32224 13636	3	   	266.91	DCR|3VULN|3DMG|2LIT|1CDMG	1aLIT|2CDMG|38aDMG|4CGEN|5ZMB|6RCR|79aVULN|aBPWR
160	32214 13636	4	   	266.81	DCR|3VULN|3DMG|2LIT|1CDMG	1aLIT|2CDMG|38aDMG|4ERES|5ZMB|6RCR|79aVULN|aBPWR
161	32234 13636	3	   	266.81	DCR|3VULN|3DMG|2LIT|1CDMG	1aLIT|2CDMG|38aDMG|4ERES|5ZMB|6RCR|79aVULN|aBPWR
162	12244 42246	6	 * 	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	189VULN|2MBVNT|3ASPD|49DUR|59TLV|6RCR|7TBNT|9BPWR|aDMG
163	12244 44246	6	   	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	189VULN|2MBVNT|3ASPD|49DUR|59TLV|6RCR|7BBNT|9BPWR|aDMG
164	12244 46446	6	   	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	179VULN|2MBVNT|3ASPD|49DUR|59TLV|6RCR|8BBNT|9BPWR|aDMG
