0	Index      	 *	Score 	Summary	Detail	
1	31522 36162	 * 	290.37	DCR|3LIT|1FLTARM|1MLV|1VULN|1DMG	1LEGI|2DMG|379LIT|4MLV|5VULN|6FEWX|8RCR|aFLTARM
24	31522 33152	 * 	268.77	DCR|2LIT|3DMG|1VULN|1MLV	1LEGI|27aDMG|3aLIT|4MLV|5VULN|6aFEWX|8RCR|9RPLT|aBPWR
25	31522 53152	   	268.77	DCR|2LIT|3DMG|1VULN|1MLV	1LEGI|27aDMG|3aLIT|4MLV|5VULN|6aLWND|8RCR|9RPLT|aBPWR
26	31522 63152	   	268.77	DCR|2LIT|3DMG|1VULN|1MLV	1LEGI|27aDMG|3aLIT|4MLV|5VULN|6aLHND|8RCR|9RPLT|aBPWR
27	31522 36134	 * 	268.66	DCR|2LIT|2MLV|2DMG|1VULN	1LEGI|2aDMG|37LIT|4aMLV|5VULN|6FEWX|8RCR|9aLHND|aBPWR
28	31523 41152	   	268.36	DCR|2LIT|2MLV|2DMG|1VULN	1LEGI|2aDMG|3aLIT|45MLV|6VULN|7aDUST|8RCR|9RPLT|aBPWR
29	31543 51113	 * 	268.11	DCR|2MLV|1LIT|2VULN|2DMG	1LEGI|29DMG|3LIT|4MBVNT|59MLV|6BELT|79VULN|8RPLT|9BPWR|aRCR
30	43414 22132	 * 	265.31	DCR|2LIT|3VULN|1AART|1ASPD	19LWND|2RPLT|389VULN|4ASPD|5LHND|6RCR|79LIT|9BPWR|aAART
31	33414 22624	 * 	264.88	DCR|2LIT|2VULN|1MLV|2CDMG|1SELL	1LEGI|2DMSP|3aVULN|4MBVNT|5SELL|6RCR|7MLV|8aLIT|9aCDMG|aBPWR
32	31522 56112	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LEGI|2DMG|37LIT|4MLV|5aVULN|6LWND|8RCR|9FRZICY
33	31543 32714	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1LEGI|2DMG|3aLIT|4MBVNT|5MLV|6FEWX|79VULN|8RCR
