0	Index      	 *	Score 	Summary	Detail	
1	53226 62331	 * 	300.16	DCR|3LIT|4VULN|1MLV	1FEWX|257aVULN|3MLV|469LIT|8RCR
27	23146 53321	 * 	280.79	DCR|2LIT|4VULN|3DUR|1DMG|1CDMG	189DUR|2458VULN|3DMG|6CDMG|78LIT|8BPWR|aRCR
28	23225 34151	 * 	280.62	DCR|3LIT|2VULN|1MLV|1DMG	1DUR|28VULN|3MLV|46aLIT|5RMIN|7RCR|9DMG
29	23144 62322	 * 	280.18	DCR|3VULN|1LIT|2DMG|1MLV	1DUR|249VULN|36DMG|5MLV|7RCR|8LIT|aBEXP
30	23144 62323	   	280.18	DCR|3VULN|1LIT|2DMG|1MLV	1DUR|249VULN|36DMG|5MLV|7RCR|8LIT|aLWND
31	23144 62321	   	280.08	DCR|3VULN|1LIT|2DMG|1MLV	1DUR|249VULN|36DMG|5MLV|7RCR|8LIT|aDUST
32	53226 22352	 * 	280.06	DCR|4VULN|1LIT|1MLV|1DMG	1FEWX|2567VULN|3MLV|4LIT|8RCR|9DMG|aBEXP
33	53226 22353	   	280.06	DCR|4VULN|1LIT|1MLV|1DMG	1FEWX|2567VULN|3MLV|4LIT|8RCR|9DMG|aLWND
34	53126 25122	   	280.06	DCR|4VULN|1LIT|1MLV|1DMG	1FEWX|2569VULN|3DMG|4LIT|7MLV|8RCR|aBEXP
35	53126 25123	   	280.06	DCR|4VULN|1LIT|1MLV|1DMG	1FEWX|2569VULN|3DMG|4LIT|7MLV|8RCR|aLWND
36	53226 22351	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1FEWX|2567VULN|3MLV|4LIT|8RCR|9DMG|aDUST
37	53126 25121	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1FEWX|2569VULN|3DMG|4LIT|7MLV|8RCR|aDUST
38	53226 22325	   	278.83	DCR|4VULN|2MLV|1LIT	1FEWX|2567VULN|3aMLV|4LIT|8RCR|9DUR
39	31255 63332	 * 	278.68	DCR|2LIT|2VULN|1MLV|3DUR|3ZMB|1ASPD	159ZMB|2MLV|39LIT|457DUR|59BPWR|6RCR|89VULN|aASPD
40	33246 33331	   	278.61	DCR|3LIT|4VULN	1ZMB|2BEXP|345aVULN|6RCR|789LIT
41	53331 55231	   	277.01	DCR|3LIT|3VULN|1AART|1CDMG	1FEWX|268VULN|3CDMG|4DUST|567LIT|6BPWR|9RCR|aAART
42	53331 52114	   	276.28	DCR|2LIT|4VULN|1ASPD|1CDMG	1FEWX|267aVULN|3CDMG|4DUST|56LIT|6BPWR|8ASPD|9RCR
43	53226 22324	   	276.15	DCR|4VULN|1LIT|1MLV|1AART	1FEWX|2567VULN|3MLV|4LIT|8RCR|9DUR|aAART
44	53226 23316	   	275.55	DCR|2LIT|3VULN|1MLV|1CDMG	1FEWX|256VULN|3MLV|4aLIT|7BEXP|8CDMG|9RCR
45	23226 23316	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1DUR|256VULN|3MLV|4aLIT|7BEXP|8CDMG|9RCR
46	23226 24316	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1DUR|256VULN|3MLV|4aLIT|7FEWX|8CDMG|9RCR
47	23226 26316	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1DUR|256VULN|3MLV|4aLIT|7LWND|8CDMG|9RCR
48	23226 63314	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1DUR|25aVULN|3MLV|46LIT|7BEXP|8CDMG|9RCR
49	53221 63314	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1FEWX|27aVULN|3MLV|46LIT|5DUST|8CDMG|9RCR
50	23226 33316	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1DUR|257VULN|3MLV|4aLIT|6FEWX|8CDMG|9RCR
51	23221 23313	   	275.35	DCR|2LIT|3VULN|1MLV|1CDMG	1DUR|267VULN|3MLV|4aLIT|5DUST|8CDMG|9RCR
52	31223 65135	 * 	275.20	DCR|2LIT|2MLV|2VULN|1ASPD	1ZMB|24MLV|39LIT|5ERES|67VULN|8RCR|aASPD
53	53331 52113	   	274.41	DCR|3LIT|3VULN|1ASPD|1CDMG	1FEWX|267VULN|3CDMG|4DUST|56aLIT|6BPWR|8ASPD|9RCR
54	53621 52113	   	274.41	DCR|3LIT|3VULN|1ASPD|1CDMG	1FEWX|267VULN|3DUST|4CDMG|56aLIT|6BPWR|8ASPD|9RCR
55	33246 33241	   	274.24	DCR|2LIT|3VULN|1MLV	1ZMB|2BEXP|345VULN|6RCR|7aLIT|8MLV|9RMIN
56	33246 33231	   	274.14	DCR|2LIT|3VULN|1MLV	1ZMB|2BEXP|345VULN|6RCR|7aLIT|8MLV|9ERES
57	14134 12353	 * 	273.08	DCR|2LIT|3ASPD|1VULN|1MLV|2CDMG	1AART|239ASPD|39BPWR|4VULN|59LIT|6DMSP|79CDMG|8RCR|aMLV
58	14134 22353	   	273.08	DCR|2LIT|3ASPD|1VULN|1MLV|2CDMG	1AART|239ASPD|39BPWR|4VULN|59LIT|6RCVC|79CDMG|8RCR|aMLV
59	53226 23314	   	271.85	DCR|4VULN|1LIT|1MLV|1CDMG	1FEWX|256aVULN|3MLV|4LIT|7BEXP|8CDMG|9RCR
60	23226 23314	   	271.75	DCR|4VULN|1LIT|1MLV|1CDMG	1DUR|256aVULN|3MLV|4LIT|7BEXP|8CDMG|9RCR
61	23226 24314	   	271.75	DCR|4VULN|1LIT|1MLV|1CDMG	1DUR|256aVULN|3MLV|4LIT|7FEWX|8CDMG|9RCR
62	23226 26314	   	271.75	DCR|4VULN|1LIT|1MLV|1CDMG	1DUR|256aVULN|3MLV|4LIT|7LWND|8CDMG|9RCR
63	23226 33314	   	271.75	DCR|4VULN|1LIT|1MLV|1CDMG	1DUR|257aVULN|3MLV|4LIT|6FEWX|8CDMG|9RCR
64	23221 23314	   	271.65	DCR|4VULN|1LIT|1MLV|1CDMG	1DUR|267aVULN|3MLV|4LIT|5DUST|8CDMG|9RCR
65	53126 22133	   	270.84	DCR|2LIT|4VULN|1DMG	1FEWX|2567VULN|3DMG|49LIT|8RCR|aBEXP
66	53126 22136	   	270.84	DCR|2LIT|4VULN|1DMG	1FEWX|2567VULN|3DMG|49LIT|8RCR|aDMSP
67	53126 62113	   	270.84	DCR|2LIT|4VULN|1DMG	1aFEWX|257aVULN|3DMG|46LIT|8RCR|9aCANARM|aBPWR
68	23126 22131	   	270.74	DCR|2LIT|4VULN|1DMG	1DUR|2567VULN|3DMG|4aLIT|8RCR|9FEWX
69	23126 22146	   	270.74	DCR|2LIT|4VULN|1DMG	1DUR|2567VULN|3DMG|4aLIT|8RCR|9RPLT
70	23126 62136	   	270.74	DCR|2LIT|4VULN|1DMG	1DUR|257aVULN|3DMG|46LIT|8RCR|9FEWX
71	53126 22121	   	270.74	DCR|2LIT|4VULN|1DMG	1FEWX|2567VULN|3DMG|4aLIT|8RCR|9DUR
72	53126 22132	   	270.74	DCR|2LIT|4VULN|1DMG	1FEWX|2567VULN|3DMG|49LIT|8RCR|aERES
73	53126 22134	   	270.74	DCR|2LIT|4VULN|1DMG	1FEWX|2567VULN|3DMG|49LIT|8RCR|aLEGI
74	33226 25141	   	270.64	DCR|2LIT|3VULN|1MLV	1ZMB|2BEXP|356VULN|4aLIT|7MLV|8RCR|9RMIN
75	53226 21141	   	270.64	DCR|2LIT|3VULN|1MLV	1FEWX|256VULN|3MLV|4aLIT|7ZMB|8RCR|9RMIN
76	33226 65122	   	270.64	DCR|2LIT|3VULN|1MLV	1ZMB|2aBEXP|359VULN|46LIT|7MLV|8RCR
77	53226 61122	   	270.64	DCR|2LIT|3VULN|1MLV	1FEWX|259VULN|3MLV|46LIT|7ZMB|8RCR|aBEXP
78	53226 61123	   	270.64	DCR|2LIT|3VULN|1MLV	1FEWX|259VULN|3MLV|46LIT|7ZMB|8RCR|aLWND
79	23126 62113	   	270.64	DCR|2LIT|4VULN|1DMG|2DUR	1aDUR|257aVULN|3DMG|46LIT|8RCR|9aCANARM|aBPWR
80	23226 63316	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG	1DUR|25VULN|3MLV|46aLIT|7BEXP|8CDMG|9RCR
81	53221 63313	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG	1FEWX|27VULN|3MLV|46aLIT|5DUST|8CDMG|9RCR
82	23226 21141	   	270.54	DCR|2LIT|3VULN|1MLV	1DUR|256VULN|3MLV|4aLIT|7ZMB|8RCR|9RMIN
83	33226 25131	   	270.54	DCR|2LIT|3VULN|1MLV	1ZMB|2BEXP|356VULN|4aLIT|7MLV|8RCR|9ERES
84	53226 21131	   	270.54	DCR|2LIT|3VULN|1MLV	1FEWX|256VULN|3MLV|4aLIT|7ZMB|8RCR|9ERES
85	23226 61122	   	270.54	DCR|2LIT|3VULN|1MLV	1DUR|259VULN|3MLV|46LIT|7ZMB|8RCR|aBEXP
86	23226 61123	   	270.54	DCR|2LIT|3VULN|1MLV	1DUR|259VULN|3MLV|46LIT|7ZMB|8RCR|aLWND
87	23226 61124	   	270.54	DCR|2LIT|3VULN|1MLV	1DUR|259VULN|3MLV|46LIT|7ZMB|8RCR|aDMSP
88	33226 65121	   	270.54	DCR|2LIT|3VULN|1MLV	1ZMB|2BEXP|359VULN|46LIT|7MLV|8RCR|aDUST
89	33226 65123	   	270.54	DCR|2LIT|3VULN|1MLV	1ZMB|2BEXP|359VULN|46LIT|7MLV|8RCR|aERES
90	53226 61121	   	270.54	DCR|2LIT|3VULN|1MLV	1FEWX|259VULN|3MLV|46LIT|7ZMB|8RCR|aDUST
91	33246 33222	   	270.54	DCR|4VULN|1LIT|1MLV	1ZMB|2aBEXP|3459VULN|6RCR|7LIT|8MLV
92	33246 33224	   	270.54	DCR|4VULN|1LIT|1MLV	1ZMB|2BEXP|3459VULN|6RCR|7LIT|8MLV|aDMSP
93	33246 33226	   	270.54	DCR|4VULN|1LIT|1MLV	1ZMB|2BEXP|3459VULN|6RCR|7LIT|8MLV|aLWND
94	23226 21131	   	270.44	DCR|2LIT|3VULN|1MLV	1DUR|256VULN|3MLV|4aLIT|7ZMB|8RCR|9ERES
95	23226 21168	   	270.44	DCR|2LIT|3VULN|1MLV	1DUR|256VULN|3MLV|4aLIT|7ZMB|8RCR|9MBVNT
96	36226 25131	   	270.44	DCR|2LIT|3VULN|1MLV	1ZMB|2DUST|356VULN|4aLIT|7MLV|8RCR|9ERES
97	23226 61121	   	270.44	DCR|2LIT|3VULN|1MLV	1DUR|259VULN|3MLV|46LIT|7ZMB|8RCR|aDUST
98	33246 33221	   	270.44	DCR|4VULN|1LIT|1MLV	1ZMB|2BEXP|3459VULN|6RCR|7LIT|8MLV|aDUST
99	33246 33223	   	270.44	DCR|4VULN|1LIT|1MLV	1ZMB|2BEXP|3459VULN|6RCR|7LIT|8MLV|aERES
