0	Index      	 *	Score 	Summary	Detail	
1	32424 34288	 * 	304.94	DCR|3LIT|2MLV|3VULN	19SNITOX|28MLV|3MBVNT|469LIT|579VULN|9BPWR|aRCR
14	13522 32443	 * 	283.26	DCR|3LIT|3VULN|2DMG	159LIT|235CGEN|4RCVC|59BPWR|679VULN|89DMG|aRCR
15	15243 34313	 * 	282.77	DCR|2LIT|4VULN|1MLV	12LIT|3MLV|459aVULN|6BEXP|7DUST|8RCR
16	12544 18442	   	281.77	DCR|2LIT|3VULN|1MLV|1DMG	1aLIT|2MBVNT|3DMG|4BASARM|578VULN|6MLV|9RCR
17	12544 61442	   	281.77	DCR|2LIT|3VULN|1MLV|1DMG	1aLIT|2MBVNT|3DMG|4BASARM|568VULN|7MLV|9RCR
18	12544 63242	   	281.77	DCR|2LIT|3VULN|1MLV|1DMG	1aLIT|2MBVNT|3DMG|4BASARM|567VULN|8MLV|9RCR
19	12554 18442	   	281.77	DCR|2LIT|3VULN|1MLV|1DMG	1aLIT|2MBVNT|3DMG|4MULHEA|578VULN|6MLV|9RCR
20	12554 61442	   	281.77	DCR|2LIT|3VULN|1MLV|1DMG	1aLIT|2MBVNT|3DMG|4MULHEA|568VULN|7MLV|9RCR
21	12554 63242	   	281.77	DCR|2LIT|3VULN|1MLV|1DMG	1aLIT|2MBVNT|3DMG|4MULHEA|567VULN|8MLV|9RCR
22	32424 58442	   	281.77	DCR|2LIT|3VULN|1MLV|1DMG	1SNITOX|2MLV|3MBVNT|4aLIT|578VULN|6DMG|9RCR
23	12616 37321	   	280.72	DCR|3LIT|2MLV|1VULN|1DMG|2ZMB	135LIT|2MBVNT|45ZMB|5BPWR|6DMG|78MLV|9RCR|aVULN
24	15212 16111	 * 	280.15	DCR|3LIT|3MLV|2VULN	124LIT|38aMLV|5LHND|68BEXP|78VULN|8BPWR|9RCR
25	15211 16111	   	280.00	DCR|3LIT|3MLV|2VULN	124LIT|38aMLV|5DUR|68BEXP|78VULN|8BPWR|9RCR
26	15236 16111	   	280.00	DCR|3LIT|3MLV|2VULN	125LIT|38aMLV|4LEGI|68BEXP|78VULN|8BPWR|9RCR
27	12214 16415	   	279.98	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3BEXP|4aMLV|5CGEN|7RCR|8ERES|9aVULN|aBPWR
28	12414 16415	   	279.98	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3FEWX|4aMLV|5CGEN|7RCR|8ERES|9aVULN|aBPWR
29	15243 34311	   	279.85	DCR|2LIT|3VULN|1MLV|1AART	12LIT|3MLV|459VULN|6BEXP|7DUST|8RCR|aAART
30	14523 36111	   	279.85	DCR|3LIT|3MLV|2VULN	135LIT|28DUST|4LWND|68aMLV|78VULN|8BPWR|9RCR
31	15215 26111	   	279.85	DCR|3LIT|3MLV|2VULN|2DUR	124LIT|38aMLV|5FEWX|68DUR|78VULN|8BPWR|9RCR
32	12714 16415	   	279.83	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3DUR|4aMLV|5CGEN|7RCR|8ERES|9aVULN|aBPWR
33	15214 26111	   	279.70	DCR|3LIT|3MLV|2VULN|2DUR	124LIT|38aMLV|5DUST|68DUR|78VULN|8BPWR|9RCR
34	12648 31611	   	279.58	DCR|2LIT|2VULN|1MLV|1DMG|1AART	13LIT|2MBVNT|4RMIN|5DMG|6MLV|7RCR|89VULN|aAART
35	12428 88312	 * 	279.32	DCR|2LIT|2VULN|1FLTARM|1MLV	16LIT|2MBVNT|3FEWX|4LHND|56VULN|6BPWR|7LWND|8RCR|9FLTARM|aMLV
36	12824 64312	   	279.32	DCR|2LIT|2VULN|1FLTARM|1MLV	17LIT|2MBVNT|37LWND|4LHND|5DUST|67VULN|7BPWR|8RCR|9FLTARM|aMLV
37	12832 64312	   	279.32	DCR|2LIT|2VULN|1FLTARM|1MLV	17LIT|2MBVNT|37LWND|4DUST|5LHND|67VULN|7BPWR|8RCR|9FLTARM|aMLV
38	12428 87312	   	279.22	DCR|2LIT|2VULN|1FLTARM|1MLV	16LIT|2MBVNT|3FEWX|4LHND|56VULN|6BPWR|7DUR|8RCR|9FLTARM|aMLV
39	12722 64312	   	279.22	DCR|2LIT|2VULN|1FLTARM|1MLV|2DUR	17LIT|2MBVNT|37DUR|4LHND|5LWND|67VULN|7BPWR|8RCR|9FLTARM|aMLV
40	12823 47312	   	279.22	DCR|2LIT|2VULN|1FLTARM|1MLV	16LIT|2MBVNT|3LWND|4LHND|56VULN|6BPWR|7DUR|8RCR|9FLTARM|aMLV
41	15243 32533	   	279.20	DCR|3LIT|3VULN|1MLV	12aLIT|3MLV|457VULN|68BEXP|9RCR
42	12732 64312	   	279.12	DCR|2LIT|2VULN|1FLTARM|1MLV|2DUR	17LIT|2MBVNT|37DUR|4DUST|5LWND|67VULN|7BPWR|8RCR|9FLTARM|aMLV
43	12738 44312	   	279.02	DCR|2LIT|2VULN|1FLTARM|1MLV	17LIT|2MBVNT|3DUR|47DUST|57VULN|6LEGI|7BPWR|8RCR|9FLTARM|aMLV
44	12814 43815	   	277.58	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3LWND|4aMLV|56CGEN|6aBPWR|7TLV|8RCR|9aVULN
45	12214 13815	   	277.43	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3BEXP|4aMLV|5CGEN|7TLV|8RCR|9aVULN|aBPWR
46	12214 43815	   	277.43	DCR|3LIT|2MLV|2VULN	17aLIT|2MBVNT|3BEXP|4aMLV|5CGEN|6TLV|8RCR|9aVULN|aBPWR
47	12414 13815	   	277.43	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3FEWX|4aMLV|5CGEN|7TLV|8RCR|9aVULN|aBPWR
48	12414 43815	   	277.43	DCR|3LIT|2MLV|2VULN	17aLIT|2MBVNT|3FEWX|4aMLV|5CGEN|6TLV|8RCR|9aVULN|aBPWR
49	12811 21815	   	277.43	DCR|3LIT|2MLV|2VULN	15aLIT|2MBVNT|3LWND|4aMLV|6TLV|7CGEN|8RCR|9aVULN|aBPWR
50	12814 13815	   	277.43	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3LWND|4aMLV|5CGEN|7TLV|8RCR|9aVULN|aBPWR
51	32424 34188	   	277.30	DCR|3LIT|3VULN|1MLV	19SNITOX|2MLV|3MBVNT|469LIT|579VULN|8RCVC|9BPWR|aRCR
52	12714 13815	   	277.28	DCR|3LIT|2MLV|2VULN	16aLIT|2MBVNT|3DUR|4aMLV|5CGEN|7TLV|8RCR|9aVULN|aBPWR
53	12714 43815	   	277.28	DCR|3LIT|2MLV|2VULN	17aLIT|2MBVNT|3DUR|4aMLV|5CGEN|6TLV|8RCR|9aVULN|aBPWR
54	12544 51442	   	277.22	DCR|2LIT|2VULN|2DMG|1MLV	1aLIT|2MBVNT|36DMG|4BASARM|58VULN|7MLV|9RCR
55	12544 53242	   	277.22	DCR|2LIT|2VULN|2DMG|1MLV	1aLIT|2MBVNT|36DMG|4BASARM|57VULN|8MLV|9RCR
56	12554 51442	   	277.22	DCR|2LIT|2VULN|2DMG|1MLV	1aLIT|2MBVNT|36DMG|4MULHEA|58VULN|7MLV|9RCR
57	12554 53242	   	277.22	DCR|2LIT|2VULN|2DMG|1MLV	1aLIT|2MBVNT|36DMG|4MULHEA|57VULN|8MLV|9RCR
58	22314 35413	   	276.10	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1SELL	19aVULN|2CDMG|3FEWX|4DMG|5LIT|6SELL|7RCR|8MLV
59	12617 37321	   	275.63	DCR|3LIT|2MLV|1VULN|1DMG	135LIT|2MBVNT|4ZMB|6DMG|78MLV|9RCR|aVULN
60	15233 23561	   	275.62	DCR|2LIT|2VULN|1FLTARM|1MLV	12LIT|3MLV|4LEGI|58VULN|6BEXP|7AART|9FLTARM|aRCR
61	15233 33561	   	275.62	DCR|2LIT|2VULN|1FLTARM|1MLV	12LIT|3MLV|4LEGI|58VULN|6FEWX|7AART|9FLTARM|aRCR
62	32424 88442	   	275.35	DCR|2LIT|3VULN|1MLV|1ASPD	1SNITOX|2MLV|3MBVNT|4aLIT|578VULN|6ASPD|9RCR
