0	Index      	 *	Score 	Summary	Detail	
1	46321 11336	 * 	285.67	DCR|2LIT|3VULN|1MLV|2CDMG	19CDMG|23LIT|4RPLT|59LHND|689VULN|7RCR|9BPWR|aMLV
18	54111 31332	 * 	272.46	DCR|2LIT|3VULN|2DMG|1DUR|1SELL	19LIT|289VULN|3SELL|4ZMB|5DUR|6RPLT|79DMG|9BPWR|aRCR
19	54111 33532	 * 	272.46	DCR|2LIT|3VULN|2DMG|1DUR|1SELL	19LIT|279VULN|3SELL|4ZMB|5DUR|6RPLT|89DMG|9BPWR|aRCR
20	16324 26333	   	272.27	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|2NUKE|3aBEXP|4DMG|5MLV|6RCR|7aLIT|8ZMB|9aVULN|aBPWR
21	54121 36211	 * 	271.66	DCR|3LIT|2MLV|2VULN|1SELL	149LIT|27VULN|3SELL|59LWND|69MLV|8MBVNT|9BPWR|aRCR
22	54121 21331	 * 	270.73	DCR|3LIT|3VULN|1DMG|1SELL	149LIT|289VULN|3SELL|59LWND|6RPLT|7RCR|9BPWR|aDMG
23	12611 34431	 * 	270.17	DCR|3LIT|4VULN	19LHND|259LIT|3569VULN|4RMIN|59BPWR|7RCR|8AART|aCGEN
24	12611 34432	   	270.17	DCR|3LIT|4VULN	19LHND|259LIT|3569VULN|4RMIN|59BPWR|7RCR|8AART|aFEWX
25	32611 34431	   	270.17	DCR|3LIT|4VULN	19LWND|259LIT|3569VULN|4RMIN|59BPWR|7RCR|8AART|aCGEN
26	32611 34432	   	270.17	DCR|3LIT|4VULN	19LWND|259LIT|3569VULN|4RMIN|59BPWR|7RCR|8AART|aFEWX
27	12611 34433	   	270.07	DCR|3LIT|4VULN	19LHND|259LIT|3569VULN|4RMIN|59BPWR|7RCR|8AART|aERES
28	32611 34433	   	270.07	DCR|3LIT|4VULN	19LWND|259LIT|3569VULN|4RMIN|59BPWR|7RCR|8AART|aERES
29	12422 64131	 * 	268.56	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1LHND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8FEWX|9VULN|aMLV
30	12422 64211	   	268.56	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1LHND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8VULN|9LWND|aMLV
31	32422 64211	   	268.56	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1LWND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8VULN|9LHND|aMLV
32	41123 41333	 * 	268.27	DCR|1LIT|1FLTARM|1VULN|1MLV|2CDMG|1DMG|1DUR	12CDMG|3MLV|4DUR|5FLTARM|6MBVNT|7LIT|8DMG|9RCR|aVULN
33	43233 22364	 * 	268.16	DCR|2MLV|3VULN|1LIT|1CDMG	1CDMG|258VULN|35MLV|4DMSP|5BPWR|6LHND|7FEWX|9RCR|aLIT
34	53232 55122	   	267.85	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1LIT|2RPLT|3MLV|4BASICY|5CDMG|6CRUSTR|7RCR|8aVULN|9FLTARM
35	45523 12114	 * 	267.58	DCR|2MLV|1LIT|1VULN|3CDMG|2ASPD|1DMG	149CDMG|2DMG|39MLV|5VULN|6MBVNT|7LIT|89ASPD|9BPWR|aRCR
36	51436 22311	 * 	266.71	DCR|3LIT|1FLTARM|1VULN|1MLV	145LIT|2BEXP|3FLTARM|6MLV|7VULN|8ERES|9RPLT|aRCR
37	52436 22311	   	266.71	DCR|3LIT|1FLTARM|1VULN|1MLV	145LIT|2FEWX|3FLTARM|6MLV|7VULN|8ERES|9RPLT|aRCR
38	43242 26214	 * 	266.70	ACR|2LIT|2MLV|2VULN|3CDMG	169CDMG|25VULN|39MLV|4RCR|79LIT|8MBVNT|9BPWR|aZMB
39	62436 22311	   	266.61	DCR|3LIT|1FLTARM|1VULN|1MLV	1DUST|245LIT|3FLTARM|6MLV|7VULN|8ERES|9RPLT|aRCR
40	32434 26321	 * 	266.57	DCR|3LIT|2FLTARM|1MLV	147LWND|267LIT|37FLTARM|5RPLT|7BPWR|8MLV|9RCR|aFEWX
41	32434 26323	   	266.57	DCR|3LIT|2FLTARM|1MLV	147LWND|267LIT|37FLTARM|5RPLT|7BPWR|8MLV|9RCR|aLHND
42	32434 26322	   	266.47	DCR|3LIT|2FLTARM|1MLV	147LWND|267LIT|37FLTARM|5RPLT|7BPWR|8MLV|9RCR|aDUST
43	12611 34242	   	266.33	DCR|2LIT|4VULN|1ASPD	1LHND|25LIT|3569VULN|4RMIN|5BPWR|7RCR|8RPLT|aASPD
44	32611 34242	   	266.33	DCR|2LIT|4VULN|1ASPD	1LWND|25LIT|3569VULN|4RMIN|5BPWR|7RCR|8RPLT|aASPD
45	12611 34126	   	265.60	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aLWND
46	12611 34225	   	265.60	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RPLT|9BEXP|aMLV
47	12611 34235	   	265.60	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RPLT|9FEWX|aMLV
48	32611 34126	   	265.60	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aLHND
49	32611 34225	   	265.60	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RPLT|9BEXP|aMLV
50	32611 34235	   	265.60	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RPLT|9FEWX|aMLV
51	12611 34116	   	265.50	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9DUST|aMLV
52	12611 34121	   	265.50	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aMBVNT
53	12611 34122	   	265.50	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aDUST
54	12611 34124	   	265.50	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aERES
55	12611 34125	   	265.50	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aSPLREG
56	12611 34216	   	265.50	DCR|2LIT|3VULN|1MLV|1DUR	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RPLT|9DUR|aMLV
57	32611 34116	   	265.50	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9DUST|aMLV
58	32611 34121	   	265.50	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aMBVNT
59	32611 34122	   	265.50	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aDUST
60	32611 34124	   	265.50	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aERES
61	32611 34125	   	265.50	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aSPLREG
62	32611 34216	   	265.50	DCR|2LIT|3VULN|1MLV|1DUR	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RPLT|9DUR|aMLV
63	11222 26351	 * 	264.50	DCR|3VULN|1LIT|1MLV|1DMG	1LHND|2CGEN|3LWND|4DMG|5MLV|6RCR|7LIT|89aVULN
64	11324 26351	   	264.50	DCR|3VULN|1LIT|1MLV|1DMG	1LHND|2CGEN|3BEXP|4DMG|5MLV|6RCR|7LIT|89aVULN
65	15222 26351	   	264.50	DCR|3VULN|1LIT|1MLV|1DMG	1LHND|2TLV|3LWND|4DMG|5MLV|6RCR|7LIT|89aVULN
66	31622 26351	   	264.50	DCR|3VULN|1LIT|1MLV|1DMG	1LWND|2CGEN|3LHND|4DMG|5MLV|6RCR|7LIT|89aVULN
67	41133 41333	   	264.42	DCR|1LIT|1FLTARM|1VULN|1MLV|2CDMG|1DMG	12CDMG|3MLV|4LWND|5FLTARM|6MBVNT|7LIT|8DMG|9RCR|aVULN
68	25222 26351	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2LHND|3LWND|4DMG|5MLV|6RCR|7LIT|89aVULN
69	61222 26351	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1DUST|2CGEN|3LWND|4DMG|5MLV|6RCR|7LIT|89aVULN
70	61322 26351	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1DUST|2CGEN|3BEXP|4DMG|5MLV|6RCR|7LIT|89aVULN
71	23222 26351	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2DUST|3LWND|4DMG|5MLV|6RCR|7LIT|89aVULN
72	23322 26351	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2DUST|3BEXP|4DMG|5MLV|6RCR|7LIT|89aVULN
73	24222 26351	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1ERES|2DUR|3LWND|4DMG|5MLV|6RCR|7LIT|89aVULN
74	53322 14242	   	263.95	DCR|2LIT|2VULN|1MLV|1ASPD	16LIT|2RPLT|3CGEN|4MLV|59VULN|7RCR|8ZMB|aASPD
75	12422 64323	 * 	263.47	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1LHND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9MLV|aZMB
76	32422 64323	   	263.47	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1LWND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9MLV|aZMB
77	43243 11336	 * 	263.19	ACR|3LIT|2MLV|2VULN|1CDMG|1SELL	1CDMG|2aVULN|39MLV|4RCR|5SELL|678LIT
78	32256 22433	   	262.75	DCR|2LIT|2FLTARM|2VULN	19LWND|25LIT|3RCVC|49FLTARM|6FEWX|7CGEN|89VULN|9BPWR|aRCR
79	32416 22433	   	262.75	DCR|2LIT|2FLTARM|2VULN	19LWND|25LIT|39FLTARM|4DMSP|6FEWX|7CGEN|89VULN|9BPWR|aRCR
80	33361 53533	   	262.75	DCR|2LIT|2FLTARM|2VULN	19LWND|25FEWX|39FLTARM|4CGEN|68VULN|79LIT|9BPWR|aRCR
81	11222 26355	 * 	262.42	DCR|1LIT|2VULN|1MLV|1DMG|1NUKE	1LHND|2CGEN|3LWND|4DMG|5MLV|6RCR|7LIT|89VULN|aNUKE
82	22231 51532	   	262.36	DCR|3LIT|2VULN|1MLV	1ERES|2DMSP|3aVULN|4MLV|579LIT|6RCR|8CGEN
83	46321 11341	 * 	262.28	DCR|3LIT|2VULN|1DMG|1CDMG	1CDMG|239LIT|4RPLT|5LHND|68VULN|7RCR|aDMG
84	23222 26355	   	262.22	DCR|1LIT|2VULN|1MLV|1DMG|1NUKE	1ERES|2DUST|3LWND|4DMG|5MLV|6RCR|7LIT|89VULN|aNUKE
85	23322 26355	   	262.22	DCR|1LIT|2VULN|1MLV|1DMG|1NUKE	1ERES|2DUST|3BEXP|4DMG|5MLV|6RCR|7LIT|89VULN|aNUKE
86	46322 11341	   	262.18	DCR|3LIT|2VULN|1DMG|1CDMG	1CDMG|239LIT|4RPLT|5DUST|68VULN|7RCR|aDMG
87	43624 31231	 * 	262.05	DCR|1LIT|2VULN|1MLV|3CDMG|1ASPD	134CDMG|23VULN|3BPWR|5BELT|6RCR|7ASPD|8CGEN|9MLV|aLIT
88	43624 31131	   	261.95	DCR|1LIT|2VULN|1MLV|3CDMG|1ASPD	134CDMG|23VULN|3BPWR|5BELT|6RCR|7ASPD|8ERES|9MLV|aLIT
89	43223 11126	 * 	261.94	DCR|3LIT|2MLV|1VULN|2CDMG|2SELL	19CDMG|2VULN|39MLV|4LEGI|58SELL|679LIT|9BPWR|aRCR
90	53336 11431	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LIT|2RPLT|3CGEN|4CDMG|5ZMB|6aVULN|7RCR|8MLV|9DMG
91	32611 34423	   	260.81	DCR|2LIT|3VULN|1ASPD|1CDMG	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8AART|9ASPD|aCDMG
92	12631 15152	 * 	260.71	DCR|3VULN|1LIT|1FLTARM|1DMG	1LHND|2LIT|378VULN|4AART|5DMG|6FLTARM|9RCR|aBEXP
93	12631 15153	   	260.71	DCR|3VULN|1LIT|1FLTARM|1DMG	1LHND|2LIT|378VULN|4AART|5DMG|6FLTARM|9RCR|aRPLT
94	32631 15152	   	260.71	DCR|3VULN|1LIT|1FLTARM|1DMG	1LWND|2LIT|378VULN|4AART|5DMG|6FLTARM|9RCR|aBEXP
95	32631 15153	   	260.71	DCR|3VULN|1LIT|1FLTARM|1DMG	1LWND|2LIT|378VULN|4AART|5DMG|6FLTARM|9RCR|aRPLT
96	46321 11332	   	260.51	DCR|2LIT|3VULN|2CDMG	19CDMG|23LIT|4RPLT|59LHND|689VULN|7RCR|9BPWR|aZMB
97	43131 64323	 * 	260.28	DCR|1LIT|2VULN|1MLV|3ZMB|2CDMG|1SELL	19CDMG|29VULN|3SELL|4MLV|5LIT|6RMIN|7RCR|89aZMB|9BPWR
98	11222 26354	 * 	259.94	DCR|1LIT|2VULN|2DMG|1MLV	1LHND|2CGEN|3LWND|4aDMG|5MLV|6RCR|7LIT|89VULN
99	12611 34532	   	259.81	DCR|2LIT|4VULN	19LHND|25LIT|3569VULN|4RMIN|59BPWR|7RCR|89BEXP|aZMB
100	32611 34532	   	259.81	DCR|2LIT|4VULN	19LWND|25LIT|3569VULN|4RMIN|59BPWR|7RCR|89BEXP|aZMB
101	23222 26354	   	259.74	DCR|1LIT|2VULN|2DMG|1MLV	1ERES|2DUST|3LWND|4aDMG|5MLV|6RCR|7LIT|89VULN
102	23322 26354	   	259.74	DCR|1LIT|2VULN|2DMG|1MLV	1ERES|2DUST|3BEXP|4aDMG|5MLV|6RCR|7LIT|89VULN
103	21261 15311	   	259.25	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2DMG|3ASPD|4ZMB|5LIT|6BEXP|7MLV|8RCR|9aVULN
104	21265 42311	   	259.25	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2DMG|3ASPD|4ZMB|5MLV|6BEXP|7LIT|8RCR|9aVULN
105	21266 15311	   	259.25	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2DMG|3ASPD|4ZMB|5BEXP|6LIT|7MLV|8RCR|9aVULN
106	54253 32211	   	259.16	DCR|3LIT|3VULN|1CDMG	149LIT|249VULN|3RCVC|49BPWR|5TLV|6CDMG|79BEXP|8MBVNT|aRCR
107	54423 32211	   	259.16	DCR|3LIT|3VULN|1CDMG	139LIT|239VULN|39BPWR|4CGEN|5CDMG|6DMSP|79BEXP|8MBVNT|aRCR
108	54433 32211	   	259.16	DCR|3LIT|3VULN|1CDMG	139LIT|239VULN|39BPWR|4TLV|5CDMG|6DMSP|79BEXP|8MBVNT|aRCR
109	41133 41331	 * 	259.15	DCR|2LIT|1FLTARM|1MLV|2CDMG|1DMG	12CDMG|3MLV|4LWND|5FLTARM|6MBVNT|7aLIT|8DMG|9RCR
110	21265 12311	   	259.15	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2DMG|3ASPD|4ZMB|5MLV|6DUST|7LIT|8RCR|9aVULN
111	41123 41331	   	259.05	DCR|2LIT|1FLTARM|1MLV|1DMG|2CDMG|1DUR	12CDMG|3MLV|4DUR|5FLTARM|6MBVNT|7aLIT|8DMG|9RCR
112	43622 13226	 * 	259.03	DCR|4VULN|2MLV|3CDMG|2ZMB	134CDMG|2379VULN|39BPWR|5RPLT|69MLV|89ZMB|aRCR
113	43212 22364	   	259.00	DCR|3VULN|1LIT|1MLV|2CDMG	16CDMG|258VULN|3MLV|4LWND|7FEWX|9RCR|aLIT
114	54253 33211	   	258.96	DCR|3LIT|3VULN|2DUR|1CDMG	149LIT|249VULN|3RCVC|49BPWR|5TLV|6CDMG|79DUR|8MBVNT|aRCR
115	54423 33211	   	258.96	DCR|3LIT|3VULN|2DUR|1CDMG	139LIT|239VULN|39BPWR|4CGEN|5CDMG|6DMSP|79DUR|8MBVNT|aRCR
116	54433 33211	   	258.96	DCR|3LIT|3VULN|2DUR|1CDMG	139LIT|239VULN|39BPWR|4TLV|5CDMG|6DMSP|79DUR|8MBVNT|aRCR
117	12611 41242	   	258.91	DCR|2LIT|3VULN|1ASPD|1CDMG	1LHND|25LIT|359VULN|4RMIN|5BPWR|6CDMG|7DUST|8RCR|aASPD
118	23222 26353	   	258.41	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1ERES|2DUST|3LWND|4DMG|5MLV|6RCR|7LIT|89VULN|aAART
119	23322 26353	   	258.41	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1ERES|2DUST|3BEXP|4DMG|5MLV|6RCR|7LIT|89VULN|aAART
120	24222 26353	   	258.41	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1DUR	1ERES|2DUR|3LWND|4DMG|5MLV|6RCR|7LIT|89VULN|aAART
121	21352 22136	   	257.93	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2DMG|3FEWX|46VULN|5MLV|79LIT|8RCVC|aRCR
122	21352 24236	   	257.93	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2DMG|37FEWX|46VULN|5MLV|89LIT|aRCR
123	22233 25236	   	257.93	DCR|2LIT|2VULN|1MLV|1DMG	1ERES|2DMSP|36VULN|4MLV|5DMG|7LWND|89LIT|aRCR
124	53322 14421	   	257.01	DCR|2LIT|2VULN|1MLV|1CDMG	16LIT|2RPLT|3CGEN|4MLV|5aVULN|7RCR|8LHND|9CDMG
125	53322 14521	   	257.01	DCR|2LIT|2VULN|1MLV|1CDMG	16LIT|2RPLT|3CGEN|4MLV|5aVULN|7RCR|8BEXP|9CDMG
126	46322 11326	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|23LIT|4RPLT|5DUST|68VULN|7RCR|9RCVC|aMLV
127	53322 14121	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	16LIT|2RPLT|3CGEN|4MLV|5aVULN|7RCR|8DUST|9CDMG
128	53322 14621	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	16LIT|2RPLT|3CGEN|4MLV|5aVULN|7RCR|8LEGI|9CDMG
129	53422 14121	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	16LIT|2RPLT|3RMIN|4MLV|5aVULN|7RCR|8DUST|9CDMG
130	22231 51526	   	256.59	DCR|2LIT|2MLV|2VULN	1ERES|2DMSP|3aVULN|49MLV|57LIT|6RCR|8CGEN
131	12422 14341	 * 	256.53	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1LHND|2aLIT|3FLTARM|46CGEN|5CDMG|7RCR|8DMG|9VULN
132	12422 64313	   	256.53	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1LHND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9BEXP|aVULN
133	12422 64321	   	256.53	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1LHND|26LIT|3FLTARM|4aCGEN|5CDMG|7RCR|8DMG|9MLV
134	12422 64322	   	256.53	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1LHND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9MLV|aCRUSTR
135	12422 64333	   	256.53	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1LHND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9FEWX|aVULN
136	32422 14341	   	256.53	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1LWND|2aLIT|3FLTARM|46CGEN|5CDMG|7RCR|8DMG|9VULN
137	32422 64313	   	256.53	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1LWND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9BEXP|aVULN
138	32422 64321	   	256.53	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1LWND|26LIT|3FLTARM|4aCGEN|5CDMG|7RCR|8DMG|9MLV
139	32422 64322	   	256.53	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1LWND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9MLV|aCRUSTR
140	32422 64333	   	256.53	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1LWND|26LIT|3FLTARM|4CGEN|5CDMG|7RCR|8DMG|9FEWX|aVULN
141	43242 26211	   	256.29	ACR|2LIT|2MLV|2VULN|3CDMG	169CDMG|25VULN|39MLV|4RCR|79LIT|8MBVNT|9BPWR|aDMSP
142	43242 26213	   	256.29	ACR|2LIT|2MLV|2VULN|3CDMG	169CDMG|25VULN|39MLV|4RCR|79LIT|8MBVNT|9BPWR|aCGEN
143	22231 51534	 * 	256.22	DCR|3LIT|1VULN|1MLV|1DMG	1ERES|2DMSP|3VULN|4MLV|579LIT|6RCR|8CGEN|aDMG
144	42512 21351	   	256.18	DCR|3VULN|1LIT|1MLV|1CDMG	1CDMG|2ERES|3MLV|4LWND|5LIT|6RPLT|7RCR|89aVULN
145	42532 21351	   	256.18	DCR|3VULN|1LIT|1MLV|1CDMG	1CDMG|2ERES|3MLV|4LHND|5LIT|6RPLT|7RCR|89aVULN
146	43242 26212	   	256.14	ACR|2LIT|2MLV|2VULN|3CDMG	169CDMG|25VULN|39MLV|4RCR|79LIT|8MBVNT|9BPWR|aERES
147	45432 32232	 * 	256.06	DCR|1LIT|2VULN|2DMG|2CDMG|1ASPD	16CDMG|24DMG|34VULN|4BPWR|5LIT|7BEXP|8MBVNT|9RCR|aASPD
148	12631 12156	 * 	256.05	DCR|1LIT|2VULN|2DMG|1FLTARM	1LHND|2LIT|38VULN|47AART|5aDMG|6FLTARM|9RCR
149	32631 12156	   	256.05	DCR|1LIT|2VULN|2DMG|1FLTARM	1LWND|2LIT|38VULN|47AART|5aDMG|6FLTARM|9RCR
150	45432 33232	   	255.96	DCR|1LIT|2VULN|2DMG|2CDMG|1ASPD|1DUR	16CDMG|24DMG|34VULN|4BPWR|5LIT|7DUR|8MBVNT|9RCR|aASPD
151	12422 14343	   	255.92	DCR|1LIT|2VULN|1FLTARM|1DMG|1CDMG	1LHND|2LIT|3FLTARM|46CGEN|5CDMG|7RCR|8DMG|9aVULN
152	32422 14343	   	255.92	DCR|1LIT|2VULN|1FLTARM|1DMG|1CDMG	1LWND|2LIT|3FLTARM|46CGEN|5CDMG|7RCR|8DMG|9aVULN
