0	Index      	 *	Score 	Summary	Detail	
1	55225 32224	 * 	303.40	DCR|2LIT|2MLV|3VULN|1ASPD	1aERES|28aVULN|3ASPD|4MBVNT|57LIT|6RCR|9aMLV|aBPWR
13	21364 23161	   	278.83	ACR|3LIT|2MLV|2VULN|1DMG	1AART|2RCR|37VULN|47MLV|567LIT|7BPWR|89RMIN|aDMG
14	21364 23224	   	278.83	ACR|3LIT|2MLV|2VULN|1NUKE	1AART|2RCR|37VULN|47MLV|567LIT|7BPWR|8RPLT|9MGNSTR|aNUKE
15	21364 23631	   	278.83	ACR|3LIT|2MLV|2VULN|1DMG	1AART|2RCR|37VULN|47MLV|567LIT|7BPWR|89TLV|aDMG
16	21364 23234	   	278.68	ACR|3LIT|2MLV|2VULN|1NUKE	1AART|2RCR|37VULN|47MLV|567LIT|7BPWR|8RPLT|9CANSTR|aNUKE
17	21364 23352	   	278.68	ACR|3LIT|2MLV|2VULN|1DMG	1AART|2RCR|37VULN|47MLV|567LIT|7BPWR|8DUST|9DMG|aLWND
18	21364 23353	   	278.53	ACR|3LIT|2MLV|2VULN|1DMG	1AART|2RCR|37VULN|47MLV|567LIT|7BPWR|8DUST|9DMG|aLEGI
19	21364 26221	 * 	277.31	ACR|3LIT|2VULN|2DMG|1MLV	1AART|2RCR|38VULN|4MLV|569LIT|7aDMG
20	43152 31131	   	276.76	DCR|2LIT|4VULN|1CDMG|2ZMB	1aZMB|24LWND|348aVULN|4aBPWR|5CDMG|6BEXP|7RCR|9aLIT
21	43152 41131	   	276.66	DCR|2LIT|4VULN|1CDMG|2ZMB	1aZMB|24LWND|348aVULN|4aBPWR|5CDMG|6DUST|7RCR|9aLIT
22	42162 51131	   	276.66	DCR|2LIT|4VULN|1CDMG|2ZMB	1aZMB|2FEWX|368aVULN|4LHND|5CDMG|7RCR|9aLIT|aBPWR
23	42122 53142	   	276.60	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ZMB|2FEWX|3aVULN|4DMG|5MLV|6RCR|7ASPD|8CDMG|9LIT
24	43122 53142	   	276.60	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ZMB|2LWND|3aVULN|4DMG|5MLV|6RCR|7ASPD|8CDMG|9LIT
25	41162 51131	   	276.56	DCR|2LIT|4VULN|1CDMG|2ZMB	1aZMB|2DUST|368aVULN|4LHND|5CDMG|7RCR|9aLIT|aBPWR
26	41122 53142	   	276.50	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ZMB|2DUST|3aVULN|4DMG|5MLV|6RCR|7ASPD|8CDMG|9LIT
27	42124 31224	   	275.46	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB	17ZMB|2FEWX|38VULN|4DMG|5aLIT|6RCR|9MLV
28	43124 31224	   	275.46	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB	17ZMB|2LWND|38VULN|4DMG|5aLIT|6RCR|9MLV
29	41124 31224	   	275.36	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB	17ZMB|2DUST|38VULN|4DMG|5aLIT|6RCR|9MLV
30	23364 23162	 * 	274.68	DCR|3LIT|2MLV|2VULN	1AART|27VULN|3DUST|47MLV|567LIT|7BPWR|8RMIN|9RCR|aLWND
31	23364 23163	   	274.53	DCR|3LIT|2MLV|2VULN	1AART|27VULN|3DUST|47MLV|567LIT|7BPWR|8RMIN|9RCR|aLEGI
32	21364 42223	 * 	273.67	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	19AART|2RCR|3aVULN|4MLV|58LIT|6FLTARM|7ASPD
33	21364 42113	   	273.42	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD|1SELL	1AART|2RCR|3aVULN|4MLV|59LIT|6FLTARM|7ASPD|8SELL
