0	Index      	 *	Score 	Summary	Detail	
1	22531 41323	 * 	371.52	橙2双倍秒伤1易伤1时间1全技能1卖塔	1最后敌人2卖塔3掉矿4全技能5时间6头目7核8易伤9a双倍秒伤
13	12335 23634	   	357.91	橙橙1双倍秒伤1易伤1时间	1挖尘2易伤3随机矿4赏金邻近5技能点68核7低血量敌人9时间a双倍秒伤
14	61633 11223	 * 	347.48	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8金币生成9雷电a双倍秒伤
15	61633 11513	   	347.38	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8雷电9核弹a双倍秒伤
16	61633 11111	   	347.28	紫3易伤1双倍秒伤2时间1挖怪	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9挖怪a赏金邻近
17	61633 11112	   	347.28	紫3易伤1双倍秒伤2时间1挖怪	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9挖怪a掉矿
18	61633 11113	   	347.28	紫3易伤1双倍秒伤2时间1挖怪	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9挖怪a随机技能
19	61633 11114	 * 	347.28	紫3易伤1双倍秒伤2时间1等级1挖怪	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9挖怪a等级
20	61633 11115	   	347.28	紫3易伤1双倍秒伤2时间1挖怪	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9挖怪a机枪对壮
21	61633 11116	   	347.28	紫3易伤1双倍秒伤2时间1挖怪	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9挖怪a金币生成
22	61633 11121	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9双倍矿a头目
23	61633 11122	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9双倍矿a金币生成
24	61633 11123	 * 	347.28	紫3易伤1双倍秒伤3时间	1随机矿257技能点357易伤4核57序列升级67a时间8双倍秒伤9双倍矿
25	61633 11124	   	347.28	紫3易伤1双倍秒伤2时间1伤害	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9双倍矿a伤害
26	61633 11125	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9双倍矿a雷电减费
27	61633 11126	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9双倍矿a寒冰对冰
28	61633 11131	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9平台a掉矿
29	61633 11132	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9平台a低血量敌人
30	61633 11133	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9平台a加一
31	61633 11134	   	347.28	紫3易伤1双倍秒伤2时间1伤害	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9平台a伤害
32	61633 11136	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9平台a额外掉落
33	61633 11141	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9立即金币a头目
34	61633 11142	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9立即金币a金币生成
35	61633 11143	   	347.28	紫3易伤1双倍秒伤3时间	1随机矿257技能点357易伤4核57序列升级67a时间8双倍秒伤9立即金币
36	61633 11151	 * 	347.28	紫4易伤1双倍秒伤2时间	1随机矿257技能点3579易伤4核57序列升级67时间8双倍秒伤a头目
37	61633 11152	   	347.28	紫4易伤1双倍秒伤2时间	1随机矿257技能点3579易伤4核57序列升级67时间8双倍秒伤a金币生成
38	61633 11153	 * 	347.28	紫4易伤1双倍秒伤3时间	1随机矿257技能点3579易伤4核57序列升级67a时间8双倍秒伤
39	61633 11161	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9头目a毒气减费
40	61633 11162	 * 	347.28	紫3易伤1双倍秒伤2时间1等级	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9头目a等级
41	61633 11163	   	347.28	紫3易伤1双倍秒伤2时间	1随机矿257技能点357易伤4核57序列升级67时间8双倍秒伤9头目a最后敌人
42	12265 61121	 * 	343.30	橙2易伤1双倍秒伤2时间	1挖尘24易伤3攻速5多重对甲68时间7核9双倍秒伤a掉矿
43	12265 61122	 * 	343.30	橙3易伤1双倍秒伤3时间	1a挖尘24a易伤3攻速5多重对甲68a时间7核9双倍秒伤a序列升级
44	12265 61123	   	343.30	橙2易伤1双倍秒伤2时间	1挖尘24易伤3攻速5多重对甲68时间7核9双倍秒伤a基地爆炸
