0	Index      	 *	Score 	Summary	Detail	
1	13215 52134	 * 	265.13	橙橙1易伤1等级1矿等1暴击	1烈焰减费2易伤3攻速4暴击5敌人爆炸6赏金塔79核8矿等a等级
38	52344 42245	 * 	239.50	橙3易伤3伤害2暴击	1加一249伤害37低血量敌人569易伤89暴击9序列升级a核
39	13215 52132	   	238.93	橙橙1易伤1矿等1暴击	1烈焰减费2易伤3攻速4暴击5敌人爆炸6赏金塔79核8矿等a策反
40	13215 52136	   	238.93	橙橙1易伤1矿等1暴击	1烈焰减费2易伤3攻速4暴击5敌人爆炸6赏金塔79核8矿等a金币生成
41	13215 52131	   	238.83	橙橙1易伤1矿等1暴击	1烈焰减费2易伤3攻速4暴击5敌人爆炸6赏金塔79核8矿等a雷电减费
42	13215 52133	   	238.83	橙橙1易伤1矿等1暴击	1烈焰减费2易伤3攻速4暴击5敌人爆炸6赏金塔79核8矿等a赏金邻近
43	24165 13223	   	237.60	橙橙1等级1伤害1技能	1攻速2伤害3随机技能4等级5掉矿6随机矿78核9金币生成a技能
44	24165 13231	   	237.60	橙橙1等级1伤害1暴击	1攻速2伤害3随机技能4等级5掉矿6随机矿78核9雷电a暴击
45	58833 43221	   	236.55	橙橙1易伤1伤害1暴击	1加一2暴击3随机技能4伤害5策反6平台7立即金币8a核9易伤
46	25236 11262	   	236.45	橙橙1易伤1伤害2攻速	1a攻速2策反3金币生成4伤害5赏金塔6易伤7额外掉落89核
47	58833 41221	   	236.45	橙橙1易伤1伤害1暴击	1加一2暴击3随机技能4伤害5策反6平台7毒气减费8a核9易伤
48	13432 11651	 * 	236.29	橙3易伤2等级1伤害1全技能	19烈焰减费269易伤3策反4伤害5赏金塔79等级8全技能9序列升级a核
49	23223 16151	   	235.98	橙橙1易伤1等级	1攻速2平台3最后敌人4激光对愈5易伤69核7等级8敌人爆炸a头目
50	23223 16156	   	235.98	橙橙1易伤1等级	1攻速2平台3最后敌人4激光对愈5易伤69核7等级8敌人爆炸a随机技能
51	23223 16152	   	235.88	橙橙1易伤1等级	1攻速2平台3最后敌人4激光对愈5易伤69核7等级8敌人爆炸a挖尘
52	23223 16153	   	235.88	橙橙1易伤1等级	1攻速2平台3最后敌人4激光对愈5易伤69核7等级8敌人爆炸a赏金塔
53	23223 16154	   	235.88	橙橙1易伤1等级	1攻速2平台3最后敌人4激光对愈5易伤69核7等级8敌人爆炸a双倍秒伤
