0	Index      	 *	Score 	Summary	Detail	
1	51531 21254	 * 	284.79	DCR|DCR|3VULN|1DMG|1DUR	1DMG|2MBVNT|38aVULN|4BBNT|5DUR|6RAT|79RCR
22	11462 34133	 * 	259.34	DCR|3VULN|2DMG|1TLV|1MLV|1DUR|1AAC	1FEWX|25DMG|345VULN|5BPWR|6AAC|7TLV|8RCR|9MLV|aDUR
23	31233 16613	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1SPLARM|2RCVC|3TLV|4LHND|5ZMB|6VULN|7CDMG|8aRCR|9MLV
24	31243 26613	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1SPLARM|2RCVC|3TLV|4VULN|5ZMB|6DUST|7CDMG|8aRCR|9MLV
25	31253 16613	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1SPLARM|2RCVC|3TLV|4DUST|5ZMB|6VULN|7CDMG|8aRCR|9MLV
26	32233 16613	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	12SPLARM|2BPWR|3TLV|4LHND|5ZMB|6VULN|7CDMG|8aRCR|9MLV
27	32243 26613	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	12SPLARM|2BPWR|3TLV|4VULN|5ZMB|6DUST|7CDMG|8aRCR|9MLV
28	32253 16613	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	12SPLARM|2BPWR|3TLV|4DUST|5ZMB|6VULN|7CDMG|8aRCR|9MLV
29	11462 34131	   	256.70	DCR|3VULN|2DMG|1TLV|1MLV|1AAC|1NUKE	1FEWX|25DMG|345VULN|5BPWR|6AAC|7TLV|8RCR|9MLV|aNUKE
30	31141 62413	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1SPLARM|2RCVC|3DUR|4VULN|5FEWX|6CDMG|7aRCR|8TLV|9CGEN
31	22531 62243	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CGEN|2SPLARM|3ERES|48VULN|5FEWX|6CDMG|7aRCR|9DUR
32	32141 62413	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	12SPLARM|2BPWR|3DUR|4VULN|5FEWX|6CDMG|7aRCR|8TLV|9CGEN
33	23412 32613	   	255.00	DCR|DCR|2VULN|1TLV|1SELL	14CGEN|23VULN|5SELL|6AETHUN|7DMSP|8TLV|9aRCR
34	23412 33613	   	255.00	DCR|DCR|2VULN|1TLV|1SELL	147CGEN|23VULN|5SELL|6AETHUN|8TLV|9aRCR
35	23412 34213	   	255.00	DCR|DCR|2VULN|1TLV|1SELL	148CGEN|23VULN|5SELL|6AETHUN|7TLV|9aRCR
36	31244 21232	   	254.94	DCR|DCR|2VULN|1TLV	1aSPLARM|2RCVC|3TLV|4aVULN|5AEBURN|68RCR|7DUST|9aERES|aBPWR
37	43212 35113	   	254.90	DCR|DCR|2VULN|1TLV|1SELL	1DUST|2BEXP|34VULN|5TLV|6aRCR|7FRZFST|8SELL|9CGEN
38	43212 36113	   	254.90	DCR|DCR|2VULN|1TLV|1SELL	1DUST|2BEXP|34VULN|5TLV|6aRCR|7SPLJET|8SELL|9CGEN
39	32244 21232	   	254.84	DCR|DCR|2VULN|1TLV	12aSPLARM|2aBPWR|3TLV|4aVULN|5AEBURN|68RCR|7DUST|9aERES
