0	Index      	 *	Score 	Summary	Detail	
1	23441 32351	 * 	264.61	DCR|DCR|1VULN|1TLV|2AAC|1DMG|1MLV	16AAC|2TLV|3TBNT|4MLV|5DMG|7aRCR|8AETHUN|9VULN
28	21362 11142	   	244.74	DCR|DCR|2VULN|2AAC|1MLV	13AAC|2MLV|45VULN|6aCGEN|79RCR|8VENTOX
29	21362 11144	   	244.74	DCR|DCR|2VULN|2AAC|1MLV	13AAC|2MLV|45VULN|6CGEN|79RCR|8VENTOX|aLWND
30	21362 11146	   	244.74	DCR|DCR|2VULN|2AAC|1MLV	13AAC|2MLV|45VULN|6CGEN|79RCR|8VENTOX|aRCVC
31	21362 11141	   	244.64	DCR|DCR|2VULN|2AAC|1MLV	13AAC|2MLV|45VULN|6CGEN|79RCR|8VENTOX|aAME
32	21362 11143	   	244.64	DCR|DCR|2VULN|2AAC|1MLV	13AAC|2MLV|45VULN|6CGEN|79RCR|8VENTOX|aCANSTR
33	21362 11145	   	244.64	DCR|DCR|2VULN|2AAC|1MLV|1MSE	13AAC|2MLV|45VULN|6CGEN|79RCR|8VENTOX|aMSE
34	24112 32286	   	242.69	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1AAC|2FEWX|3TLV|4BOSS|5MBVNT|6VULN|7DUR|8BELT|9aRCR
35	23362 22623	 * 	240.42	DCR|3VULN|2DMG|2TLV|2AAC	13AAC|2aTLV|45aVULN|6TBNT|7RCR|8BOSS|9aDMG|aBPWR
36	11311 16141	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	1TBNT|2AAC|3ERES|4CGEN|58DMG|6VULN|7aRCR|9BEXP
37	11311 16161	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	1TBNT|2AAC|3ERES|4CGEN|58DMG|6VULN|7aRCR|9LHND
38	11311 26151	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	1TBNT|2AAC|3ERES|4CGEN|58DMG|6DUST|7aRCR|9VULN
39	11222 62451	 * 	239.47	DCR|DCR|2TLV|1VULN|1AAC	1TBNT|2AAC|35CGEN|45TLV|5BPWR|6ZMB|7aRCR|8FEWX|9VULN
40	11241 32451	   	238.50	DCR|DCR|1VULN|2AAC|1DMG|1MLV	1TBNT|26AAC|3CGEN|4MLV|5DMG|7aRCR|8FEWX|9VULN
41	21411 32451	   	238.50	DCR|DCR|1VULN|2AAC|1DMG|1MLV	16AAC|2MLV|3TBNT|4CGEN|5DMG|7aRCR|8FEWX|9VULN
42	11241 32351	   	238.40	DCR|DCR|1VULN|2AAC|1DMG|1MLV	1TBNT|26AAC|3CGEN|4MLV|5DMG|7aRCR|8AETHUN|9VULN
43	11341 32451	   	238.40	DCR|DCR|1VULN|2AAC|1DMG|1MLV	1TBNT|26AAC|3ERES|4MLV|5DMG|7aRCR|8FEWX|9VULN
44	21411 32351	   	238.40	DCR|DCR|1VULN|2AAC|1DMG|1MLV	16AAC|2MLV|3TBNT|4CGEN|5DMG|7aRCR|8AETHUN|9VULN
45	11341 32351	   	238.30	DCR|DCR|1VULN|2AAC|1DMG|1MLV	1TBNT|26AAC|3ERES|4MLV|5DMG|7aRCR|8AETHUN|9VULN
46	11156 23633	   	237.80	DCR|DCR|1TLV|1DUR|1AART|1CDMG|1AAC	1TBNT|2AAC|3DUR|4RPLT|5TLV|6aRCR|7CDMG|8AART|9DLOT
47	21363 63325	 * 	236.94	DCR|2VULN|3DUR|2MLV|2AAC|1AART|1CDMG	13AAC|27MLV|47VULN|57aDUR|6AART|7BPWR|8CDMG|9RCR
48	12621 32451	   	236.55	DCR|DCR|1VULN|2AAC|1DMG|1DUR	1TBNT|2DUR|3DMSP|46AAC|5DMG|7aRCR|8FEWX|9VULN
49	13621 32451	   	236.55	DCR|DCR|1VULN|2AAC|1DMG|1DUR	1TBNT|2RCVC|3DUR|46AAC|5DMG|7aRCR|8FEWX|9VULN
50	21422 32121	   	235.82	ACR|DCR|2DMG|1VULN|1MLV|1DUR|1AAC	1AAC|2MLV|3TBNT|4aRCR|58DMG|6CGEN|7VULN|9DUR
51	12121 46114	 * 	235.55	DCR|2VULN|2DMG|2MLV|2DUR	1TBNT|29DUR|3aVULN|49MLV|5AEWIND|6RCR|7ERES|89DMG|9BPWR
