0	Index      	 *	Score 	Summary	Detail	
1	22353 51152	 * 	221.45	橙5易伤2伤害1全技能2攻速	1359a易伤2全技能35序列升级45伤害68攻速7核
19	22353 51163	   	201.46	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9时间a最后敌人
20	22353 51633	   	201.46	橙3易伤2伤害1全技能1暴击	135易伤2全技能35序列升级45伤害6攻速7核8加农对直升9暴击a随机矿
21	22353 51133	   	201.36	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9防空对直升a时间
22	22353 51611	   	201.36	橙3易伤2伤害1全技能1暴击	135易伤2全技能35序列升级45伤害6攻速7核8加农对直升9掉矿a暴击
23	22353 51631	   	201.36	橙3易伤2伤害1全技能1暴击	135易伤2全技能35序列升级45伤害6攻速7核8加农对直升9暴击a掉矿
24	22312 53424	   	201.18	橙4易伤2伤害1全技能1暴击1卖塔	1389易伤2全技能3序列升级4暴击56伤害7卖塔a核
25	22353 21623	 * 	200.87	橙3易伤3伤害2全技能	135易伤27全技能35序列升级459伤害6基地爆炸8低血量敌人a核
26	23521 53222	 * 	200.29	紫4易伤3伤害2策反	1579易伤24掉矿3核69策反89a伤害9序列升级
27	22353 51221	   	199.35	橙3易伤2全技能2伤害	135易伤2a全技能35序列升级45伤害6攻速7核8雷电9低血量敌人
28	22353 51231	   	199.35	橙3易伤2全技能2伤害	135易伤2a全技能35序列升级45伤害6攻速7核8雷电9最后敌人
29	22353 51261	   	199.35	橙3易伤2全技能2伤害	135易伤2a全技能35序列升级45伤害6攻速7核8雷电9基地爆炸
30	22353 51322	   	199.35	橙3易伤2全技能2伤害	135易伤2a全技能35序列升级45伤害6攻速7核89基地爆炸
31	22353 51351	   	199.35	橙3易伤2全技能2伤害	135易伤29全技能35序列升级45伤害6攻速7核8基地爆炸a平台
32	22353 51353	   	199.35	橙3易伤2全技能2伤害	135易伤29全技能35序列升级45伤害6攻速7核8基地爆炸a最后敌人
33	22353 51211	   	199.25	橙3易伤2全技能2伤害	135易伤2a全技能35序列升级45伤害6攻速7核8雷电9挖尘
34	22353 45322	   	196.12	橙3易伤3伤害1全技能1卖塔	135易伤2全技能35序列升级459伤害6卖塔7随机矿8攻速a核
35	22353 43532	   	196.02	橙3易伤2伤害1全技能1策反2卖塔	135易伤2全技能35序列升级45伤害67卖塔8核9时间a策反
36	22345 62222	   	195.28	橙3易伤3全技能1伤害	134易伤28a全技能34序列升级5攻速6核7时间9伤害
37	22353 51226	   	194.84	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8雷电9低血量敌人a时间
38	22353 51236	   	194.84	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8雷电9最后敌人a时间
39	22353 51522	   	194.84	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9基地爆炸a矿等
40	22353 51523	   	194.84	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9基地爆炸a低血量敌人
41	22353 51532	   	194.84	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9低血量敌人a矿等
42	22353 51512	   	194.74	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9挖青a矿等
43	22353 51513	   	194.74	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9挖青a低血量敌人
44	22353 51521	   	194.74	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9基地爆炸a挖尘
45	22353 51531	   	194.74	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9低血量敌人a挖尘
46	22353 51533	   	194.74	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9低血量敌人a挖青
47	22353 51511	   	194.64	橙3易伤2伤害1全技能	135易伤2全技能35序列升级45伤害6攻速7核8时间9挖青a挖尘
48	22244 13523	 * 	194.62	橙2易伤2伤害1全技能2暴击	1a易伤2全技能3激光对冰4a暴击5平台6核7时间8掉矿9a伤害a序列升级
49	22353 51113	   	194.52	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9金币生成a随机矿
50	22353 51114	   	194.52	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9金币生成a最后敌人
51	22353 51115	   	194.52	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9金币生成a低血量敌人
52	22353 51141	   	194.52	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9雷电a金币生成
53	22353 51111	   	194.42	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9金币生成a掉矿
54	22353 51131	   	194.42	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9防空对直升a金币生成
55	22353 51112	   	194.27	橙3易伤2伤害1全技能2攻速1卖塔	135易伤2全技能35序列升级45伤害68攻速7核9金币生成a卖塔
56	22312 55322	   	194.26	橙3伤害2易伤1全技能1暴击	13易伤2全技能3序列升级4暴击569伤害7随机矿8攻速a核
57	24221 25523	 * 	192.82	橙4易伤1全技能2暴击1策反	158a易伤2时间38暴击48掉矿6全技能7核8序列升级9策反
58	22122 51235	   	192.71	橙2全技能2易伤2伤害2攻速	1a易伤29全技能3a伤害4雷电5挖尘6核7a攻速8平台a序列升级
59	22353 21313	   	192.15	橙3易伤2全技能2伤害	135易伤27全技能35序列升级45伤害6基地爆炸8攻速9金币生成a核
60	22353 23143	   	192.15	橙3易伤2全技能2伤害	135易伤29全技能35序列升级45伤害6基地爆炸7矿等8攻速a核
61	22353 11313	   	192.05	橙3易伤2全技能2伤害	135易伤27全技能35序列升级45伤害6挖尘8攻速9金币生成a核
62	22353 13143	   	192.05	橙3易伤2全技能2伤害	135易伤29全技能35序列升级45伤害6挖尘7矿等8攻速a核
63	22353 24143	   	192.05	橙3易伤2全技能2伤害	135易伤29全技能35序列升级45伤害6基地爆炸7等级8攻速a核
64	22355 22223	   	192.05	橙3易伤2全技能2伤害	135易伤28全技能3序列升级49伤害6基地爆炸7时间a核
65	22615 21223	   	192.05	橙3易伤2全技能2伤害	157易伤28全技能3时间49伤害6基地爆炸a核
66	22112 42663	   	192.02	橙3易伤2伤害1全技能1暴击	167易伤2全技能39伤害4等级5雷电8核a暴击
67	22352 32663	   	192.02	橙3易伤2伤害1全技能1暴击	137易伤2全技能3序列升级49伤害5等级6雷电8核a暴击
68	22353 14143	   	191.95	橙3易伤2全技能2伤害	135易伤29全技能35序列升级45伤害6挖尘7等级8攻速a核
69	22615 11223	   	191.95	橙3易伤2全技能2伤害	157易伤28全技能3时间49伤害6挖尘a核
70	22355 11523	   	191.95	橙3易伤2全技能2伤害	135易伤27全技能3序列升级49伤害6挖尘8时间a核
71	22355 12223	   	191.95	橙3易伤2全技能2伤害	135易伤28全技能3序列升级49伤害6挖尘7时间a核
72	22345 61322	 * 	191.65	橙4易伤2全技能2攻速	1349易伤27全技能34序列升级58攻速6核a时间
