0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24135 32161	7	 * 	274.26	DCR|5VULN|3ASPD|1DUR	17LHND|24567VULN|37aASPD|7BPWR|8RCR|9DUR
104	34613 63314	4	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV|1NUKE	1aERES|29aVULN|3MBVNT|4DMG|5TLV|6NUKE|7RCR|8aDUR|aBPWR
105	21611 44323	1	   	251.80	DCR|4VULN|3DUR	18LHND|237DUR|48BEXP|5689VULN|8BPWR|aRCR
106	21631 44323	1	   	251.80	DCR|4VULN|3DUR	18LHND|237DUR|48FEWX|5689VULN|8BPWR|aRCR
107	23332 33211	5	   	251.80	DCR|4VULN|3DUR	17LHND|2RPLT|3ZMB|467DUR|5789VULN|7BPWR|aRCR
108	23333 33211	4	   	251.80	DCR|4VULN|3DUR	17LHND|2RPLT|3ZMB|467DUR|5789VULN|7BPWR|aRCR
109	14643 18224	7	   	251.70	DCR|4VULN|3DUR	145ZMB|2479VULN|3MBVNT|479BPWR|679DUR|89ERES|aRCR
110	14643 18224	8	   	251.70	DCR|4VULN|3DUR	145ZMB|2479VULN|3MBVNT|479BPWR|679DUR|89ERES|aRCR
111	21611 44123	1	   	251.60	DCR|4VULN|3DUR	1LHND|237DUR|4BEXP|5689VULN|aRCR
112	21621 44323	1	   	251.60	DCR|4VULN|3DUR	18LHND|237DUR|48DUST|5689VULN|8BPWR|aRCR
113	21631 44123	1	   	251.60	DCR|4VULN|3DUR	1LHND|237DUR|4FEWX|5689VULN|aRCR
114	62353 23211	5	   	251.60	DCR|4VULN|3DUR	17DUST|237DUR|4RMIN|5RPLT|6789VULN|7BPWR|aRCR
115	62353 43211	6	   	251.60	DCR|4VULN|3DUR	17DUST|237DUR|4RMIN|5RPLT|6789VULN|7BPWR|aRCR
116	64341 33323	3	   	251.60	DCR|4VULN|3DUR	18DUST|2589VULN|347DUR|68FEWX|8BPWR|aRCR
117	61611 43323	1	   	251.60	DCR|4VULN|3DUR	18DUST|237DUR|48BEXP|5689VULN|8BPWR|aRCR
118	62311 43323	4	   	251.60	DCR|4VULN|3DUR	18DUST|237DUR|48FEWX|5689VULN|8BPWR|aRCR
119	62311 43323	3	   	251.60	DCR|4VULN|3DUR	18DUST|237DUR|48BEXP|5689VULN|8BPWR|aRCR
120	62611 43323	2	   	251.60	DCR|4VULN|3DUR	18DUST|237DUR|48BEXP|5689VULN|8BPWR|aRCR
121	14334 12234	4	   	251.53	DCR|5VULN|1TLV	1ZMB|24679VULN|3DUST|5LIT|8RCR|aTLV
122	54334 12332	4	   	251.53	DCR|5VULN|1DUR	1CGEN|24679VULN|3DUST|5LIT|8DUR|aRCR
123	63235 12332	1	   	251.53	DCR|5VULN|1DUR	1DUST|24679VULN|3LIT|5MLV|8DUR|aRCR
124	64235 12332	2	   	251.53	DCR|5VULN|1DUR	1DUST|24679VULN|3LIT|5MLV|8DUR|aRCR
125	21621 44123	1	   	251.50	DCR|4VULN|3DUR	1LHND|237DUR|4DUST|5689VULN|aRCR
126	61611 43123	1	   	251.50	DCR|4VULN|3DUR	1DUST|237DUR|4BEXP|5689VULN|aRCR
127	62311 43123	4	   	251.50	DCR|4VULN|3DUR	1DUST|237DUR|4FEWX|5689VULN|aRCR
128	62311 43123	3	   	251.50	DCR|4VULN|3DUR	1DUST|237DUR|4BEXP|5689VULN|aRCR
129	62611 43123	2	   	251.50	DCR|4VULN|3DUR	1DUST|237DUR|4BEXP|5689VULN|aRCR
130	64331 33423	3	   	251.50	DCR|4VULN|3DUR	1DUST|2459VULN|378DUR|6FEWX|aRCR
131	64341 33123	3	   	251.50	DCR|4VULN|3DUR	1DUST|2589VULN|347DUR|6FEWX|aRCR
132	34334 12332	4	   	251.43	DCR|5VULN|1DUR	1ERES|24679VULN|3DUST|5LIT|8DUR|aRCR
133	34335 32332	5	   	251.43	DCR|5VULN|1DUR	1ERES|24579VULN|3DUST|6LIT|8DUR|aRCR
134	34635 12434	4	   	251.43	DCR|5VULN|1DUR	1ERES|24679VULN|3MBVNT|5LIT|8RCR|aDUR
135	34636 32434	5	   	251.43	DCR|5VULN|1DUR	1ERES|24579VULN|3MBVNT|6LIT|8RCR|aDUR
136	13442 22241	9	   	251.23	DCR|2VULN|2DMG|2DUR|1TLV	1ZMB|2LWND|3aDMG|4aDUR|5BEXP|6RCR|7aVULN|8LIT|9TLV|aBPWR
137	23453 15323	1	   	251.14	DCR|4VULN|1TLV|1DUR|1ASPD	137LHND|2369VULN|3BPWR|4ASPD|5TLV|8DUR|aRCR
138	14683 21231	8	   	251.13	DCR|2VULN|2DMG|2DUR|1TLV	1ZMB|2aVULN|3MBVNT|4FEWX|5TLV|6RCR|7aDUR|8LIT|9aDMG|aBPWR
139	22161 15323	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	17LHND|2ASPD|3TLV|4569VULN|8DUR|aRCR
140	23553 15323	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	17LHND|2369VULN|4ASPD|5TLV|8DUR|aRCR
141	24133 15323	4	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	17LHND|2469VULN|3ASPD|5TLV|8DUR|aRCR
142	24135 31263	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8LWND|9TLV|aRCR
143	24135 31313	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8TLV|9RCVC|aRCR
144	24135 31333	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8TLV|9DMSP|aRCR
145	24135 31335	9	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8TLV|9CGEN|aRCR
146	24135 31421	10	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8RCR|9FEWX|aTLV
147	24135 31431	10	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8RCR|9LWND|aTLV
148	24135 41323	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2459VULN|3ASPD|6RCVC|7DUR|8TLV|aRCR
149	24145 31323	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	14LHND|2569VULN|3ASPD|7DUR|8TLV|aRCR
150	24235 31423	7	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	13LHND|2569VULN|4TLV|7DUR|8ASPD|aRCR
151	24235 31423	6	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	13LHND|2569VULN|4TLV|7DUR|8ASPD|aRCR
152	24135 31411	10	   	250.94	DCR|4VULN|1DUR|1TLV|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8RCR|9DUST|aTLV
153	34161 13423	1	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1ERES|2DUR|3MLV|4569VULN|7TLV|8ASPD|aRCR
154	34261 13423	2	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1ERES|2569VULN|3DUR|4MLV|7TLV|8ASPD|aRCR
155	36261 13423	1	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1ERES|2569VULN|3DUR|4MLV|7TLV|8ASPD|aRCR
156	14611 32126	4	 * 	250.92	DCR|3VULN|2DMG|2TLV	19ZMB|259VULN|3MBVNT|4aDMG|6LIT|79TLV|8RCR|9BPWR
157	22143 41241	10	 * 	250.92	DCR|3VULN|2DMG|2CDMG	12LHND|25BPWR|35DMG|45CDMG|6LIT|7RCR|89aVULN
158	22143 41243	9	   	250.92	DCR|3VULN|2DMG|2CDMG	12LHND|25BPWR|35DMG|45CDMG|6LIT|7RCR|89aVULN
159	34434 33223	5	   	250.91	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1ERES|269VULN|3DMG|4TLV|5DLOT|7CDMG|8DUR|aRCR
160	14224 12243	2	   	250.65	DCR|3VULN|2DUR|1DMG|2LIT	1ZMB|267VULN|34DUR|5aLIT|8RCR|9DMG
161	34226 51123	2	   	250.60	DCR|2VULN|3DUR|2DMG|1ASPD	1ERES|29VULN|345DUR|67DMG|8RCR|aASPD
162	34236 51123	1	   	250.60	DCR|2VULN|3DUR|2DMG|1ASPD	1ERES|235DUR|49VULN|67DMG|8RCR|aASPD
163	36226 51123	1	   	250.60	DCR|2VULN|3DUR|2DMG|1ASPD	1ERES|29VULN|345DUR|67DMG|8RCR|aASPD
164	32415 23316	8	   	249.90	DCR|3VULN|2DMG|1DUR|1ASPD	1ERES|2aMLV|3CGEN|4DUR|59aVULN|6ASPD|7aDMG|8RCR|aBPWR
165	35335 23316	8	   	249.90	DCR|3VULN|2DMG|1TLV|1ASPD	1ERES|2aCGEN|3LHND|4TLV|59aVULN|6ASPD|7aDMG|8RCR|aBPWR
166	24133 51124	10	   	249.80	DCR|3VULN|2DMG|1TLV|1ASPD	1LHND|246VULN|3ASPD|5ZMB|7TLV|8aDMG|9RCR
167	14611 32121	4	   	249.58	DCR|3VULN|2TLV|1DMG|1DUR	19ZMB|259VULN|3MBVNT|4DMG|6LIT|79TLV|8RCR|9BPWR|aDUR
168	14636 32121	4	   	249.58	DCR|3VULN|2TLV|1DMG|1DUR	19ZMB|249VULN|3MBVNT|5DMG|6LIT|79TLV|8RCR|9BPWR|aDUR
169	54611 32342	8	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	15aCGEN|28aVULN|3MBVNT|4DMG|6CDMG|7RCR|9aDUR|aBPWR
170	22143 41623	10	 * 	249.53	DCR|2VULN|3DMG|2CDMG|1AART	12aLHND|25aBPWR|35aDMG|45CDMG|6LIT|7RCR|8AART|9aVULN
171	32165 62213	8	   	249.46	DCR|4VULN|1DMG|1CDMG	1ERES|2MLV|3DMG|458aVULN|6LIT|7CDMG|9RCR
172	64331 23135	3	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|245VULN|3aDUR|6DMG|7MLV|8CDMG|9RCR
173	64135 21221	6	   	249.28	DCR|4VULN|2DUR|1ASPD	1DUST|2459VULN|3ASPD|6BELT|7RCR|8aDUR
174	21424 14123	1	   	249.22	DCR|3VULN|3DUR|3LIT	19aLHND|249DUR|3MLV|58aLIT|69aVULN|7RCR|9aBPWR
175	21515 32124	7	   	249.21	DCR|3VULN|3DMG|1ASPD	17LHND|2DUST|347DMG|567VULN|7BPWR|8MBVNT|9RCR|aASPD
176	21124 14123	1	   	249.12	DCR|3VULN|3DUR|3LIT	19aLHND|249DUR|3ERES|58aLIT|69aVULN|7RCR|9aBPWR
177	34116 33361	10	 * 	249.02	DCR|3VULN|3DUR|2CDMG	159ERES|29aVULN|3RMIN|4FEWX|6aCDMG|7RCR|89aDUR|9aBPWR
178	34614 21721	8	   	249.02	DCR|3VULN|3DUR|1DMG	189ERES|289VULN|3MBVNT|4DMG|5LWND|6RCR|789DUR|89BPWR|aLHND
179	62353 23533	5	   	249.02	DCR|3VULN|3DUR|1DMG	17DUST|237DUR|4RMIN|5RPLT|67aVULN|7BPWR|8RCR|9DMG
180	12653 23325	2	   	249.00	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	17ZMB|2MLV|37VULN|4ASPD|5TLV|67DMG|7BPWR|8AART|9DUR|aRCR
181	12653 23325	1	   	249.00	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	17ZMB|2MLV|37VULN|4ASPD|5TLV|67DMG|7BPWR|8AART|9DUR|aRCR
182	14334 12235	4	   	248.94	DCR|5VULN|1CDMG	1ZMB|24679VULN|3DUST|5LIT|8RCR|aCDMG
183	34614 21722	8	   	248.92	DCR|3VULN|3DUR|1DMG	189ERES|289VULN|3MBVNT|4DMG|5LWND|6RCR|789DUR|89BPWR|aDUST
