0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33512 25224	7	 * 	311.94	DCR|4VULN|3DMG|2DUR|2TLV	179aVULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR
19	35113 51313	9	   	295.45	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aBBNT
20	35113 51314	9	   	295.45	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aDUST
21	35153 51313	9	   	295.45	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LWND|5LIT|678CDMG|78BPWR|9RCR|aBBNT
22	34512 25221	7	   	294.86	DCR|3VULN|2DMG|2DUR|2ASPD|2TLV	179VULN|29ASPD|37TLV|47DMG|5MBVNT|6RCR|79BPWR|89DUR|aBEXP
23	34512 25224	7	   	294.86	DCR|3VULN|2DMG|2DUR|2ASPD|2TLV	179VULN|29ASPD|37TLV|47DMG|5MBVNT|6RCR|79BPWR|89DUR|aMLV
24	34512 25223	7	   	294.76	DCR|3VULN|2DMG|2DUR|2ASPD|2TLV|1NUKE	179VULN|29ASPD|37TLV|47DMG|5MBVNT|6RCR|79BPWR|89DUR|aNUKE
25	35143 41213	8	   	294.76	DCR|4VULN|3DMG|2TLV|1CDMG	1248VULN|348DMG|48BPWR|5CDMG|69CGEN|78TLV|aRCR
26	35143 41223	9	   	294.76	DCR|4VULN|3DMG|2TLV|1CDMG	1248VULN|348DMG|48BPWR|5CDMG|6CGEN|78TLV|9DMSP|aRCR
27	35143 41233	9	   	294.76	DCR|4VULN|3DMG|2TLV|1CDMG	1248VULN|348DMG|48BPWR|5CDMG|69CGEN|78TLV|aRCR
28	35143 21122	10	   	294.56	DCR|4VULN|3DMG|2TLV|1CDMG	124aVULN|34aDMG|4aBPWR|5CDMG|67TLV|8RCR|9aERES
29	34163 21351	9	 * 	293.60	DCR|4VULN|2ASPD|2TLV|2CDMG|2LIT	147aVULN|2aASPD|37LIT|57CDMG|6RCR|7aBPWR|8aTLV|9AART
30	35143 22242	7	   	291.44	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1248VULN|34DMG|4BPWR|5CDMG|6TLV|7CGEN|9RCR|aDUR
31	35143 22213	8	   	291.04	DCR|4VULN|3DMG|1TLV|1CDMG	1248VULN|348DMG|48BPWR|5CDMG|6TLV|789CGEN|aRCR
32	35143 22223	9	   	291.04	DCR|4VULN|3DMG|1TLV|1CDMG	1248VULN|348DMG|48BPWR|5CDMG|6TLV|78CGEN|9DMSP|aRCR
33	35143 22233	9	   	291.04	DCR|4VULN|3DMG|1TLV|1CDMG	1248VULN|348DMG|48BPWR|5CDMG|6TLV|789CGEN|aRCR
34	35143 22613	7	   	291.04	DCR|4VULN|3DMG|1TLV|1CDMG	1248VULN|348DMG|48BPWR|5CDMG|6TLV|789CGEN|aRCR
35	35141 33133	5	 * 	290.74	DCR|5VULN|2DMG|1DUR	12478VULN|34DMG|4BPWR|5BEXP|6AART|9RCR|aDUR
36	34163 21131	10	   	289.35	DCR|5VULN|2CDMG|1DUR|2LIT|1ASPD	1479aVULN|2ASPD|37LIT|57CDMG|6RCR|7BPWR|8DUR
37	34163 21522	10	   	289.35	DCR|5VULN|2CDMG|1DUR|2LIT|1ASPD	14789VULN|2ASPD|37LIT|57CDMG|6RCR|7BPWR|aDUR
38	34163 21522	9	   	289.35	DCR|5VULN|2CDMG|1DUR|2LIT|1ASPD	14789VULN|2ASPD|37LIT|57CDMG|6RCR|7BPWR|aDUR
39	34163 21523	10	   	289.35	DCR|5VULN|2CDMG|1TLV|2LIT|1ASPD	14789VULN|2ASPD|37LIT|57CDMG|6RCR|7BPWR|aTLV
40	33512 25223	7	   	289.30	DCR|3VULN|3DMG|2DUR|2TLV	179VULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR|aBEXP
41	33512 25228	7	   	289.30	DCR|3VULN|3DMG|2DUR|2TLV	179VULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR|aLWND
42	34162 51313	10	 * 	289.23	DCR|4VULN|3ASPD|3CDMG|1TLV	1478VULN|278ASPD|3LIT|5LWND|678CDMG|78BPWR|9RCR|aTLV
43	34213 51313	10	   	289.23	DCR|4VULN|3ASPD|3CDMG|1TLV	1378VULN|278ASPD|4LHND|5LIT|678CDMG|78BPWR|9RCR|aTLV
44	34213 51315	9	   	289.23	DCR|4VULN|3ASPD|3CDMG|1TLV	1378VULN|278ASPD|4LHND|5LIT|678CDMG|78BPWR|9RCR|aTLV
45	34253 51313	10	   	289.23	DCR|4VULN|3ASPD|3CDMG|1TLV	1378VULN|278ASPD|4LWND|5LIT|678CDMG|78BPWR|9RCR|aTLV
46	33512 25222	7	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	179VULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR|aERES
47	33512 25227	7	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	179VULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR|aDUST
48	32235 24223	7	   	289.16	DCR|3VULN|3DMG|2DUR|2TLV|1SELL	179VULN|2RPLT|3SELL|47TLV|579DMG|6RCR|79BPWR|89DUR|aBEXP
49	32235 24226	7	   	289.16	DCR|3VULN|3DMG|2DUR|2TLV|1SELL	179VULN|2RPLT|3SELL|47TLV|579DMG|6RCR|79BPWR|89DUR|aRCVC
50	32235 24222	7	   	289.06	DCR|3VULN|3DMG|2DUR|2TLV|1SELL	179VULN|2RPLT|3SELL|47TLV|579DMG|6RCR|79BPWR|89DUR|aERES
51	33512 25225	7	   	289.06	DCR|3VULN|3DMG|2DUR|2TLV|1SELL	179VULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR|aSELL
52	32235 24224	7	   	288.91	DCR|3VULN|3DMG|2DUR|2TLV|2SELL	179VULN|2RPLT|3aSELL|47TLV|579DMG|6RCR|79BPWR|89DUR
53	35143 21153	10	   	288.17	DCR|3VULN|3DMG|2TLV|1DUR|1CDMG	124VULN|34aDMG|4BPWR|5CDMG|67TLV|8RCR|9DUR
54	35141 33232	5	   	288.14	DCR|5VULN|2DMG|1CDMG	1247aVULN|34DMG|4BPWR|5BEXP|6AART|8CDMG|9RCR
55	35131 13222	3	   	287.11	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	129VULN|3DMG|49ASPD|5LWND|6RCR|7TLV|89DUR|9BPWR|aCDMG
56	35431 13222	2	   	287.11	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	129VULN|3DMG|49ASPD|5LWND|6RCR|7TLV|89DUR|9BPWR|aCDMG
57	35531 12222	3	   	287.11	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	129VULN|3TLV|49ASPD|5LWND|6RCR|7DMG|89DUR|9BPWR|aCDMG
58	34512 21222	7	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	179VULN|29ASPD|3TLV|4DMG|5MBVNT|6RCR|89DUR|9BPWR|aCDMG
59	34512 27422	8	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	189VULN|29ASPD|3TLV|4DMG|5MBVNT|6RCR|79DUR|9BPWR|aCDMG
60	34512 48222	7	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	169VULN|29ASPD|3TLV|4DMG|5MBVNT|7RCR|89DUR|9BPWR|aCDMG
61	35132 13222	3	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	129VULN|3DMG|49ASPD|5DUST|6RCR|7TLV|89DUR|9BPWR|aCDMG
62	35432 13222	2	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	129VULN|3DMG|49ASPD|5DUST|6RCR|7TLV|89DUR|9BPWR|aCDMG
63	35131 11363	3	 * 	286.14	DCR|5VULN|2DMG|2ASPD	1278aVULN|39DMG|48ASPD|58LWND|6RCR|8BPWR
64	35431 11363	2	   	286.14	DCR|5VULN|2DMG|2ASPD	1278aVULN|39DMG|48ASPD|58LWND|6RCR|8BPWR
65	35143 13225	5	   	286.09	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	124aVULN|34DMG|4BPWR|5CDMG|6BBNT|7DUR|8RCR|9ASPD
66	35143 13262	5	   	286.09	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	1249VULN|34DMG|4BPWR|5CDMG|6BBNT|7DUR|8RCR|aASPD
67	34163 21133	9	   	286.06	DCR|4VULN|2CDMG|1TLV|1DUR|2LIT|1ASPD	1479VULN|2ASPD|37LIT|57CDMG|6RCR|7BPWR|8DUR|aTLV
68	33512 21223	7	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	179VULN|2RMIN|3TLV|49aDMG|5MBVNT|6RCR|89DUR|9BPWR
69	33512 27423	8	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	189VULN|2RMIN|3TLV|49aDMG|5MBVNT|6RCR|79DUR|9BPWR
70	33512 27823	7	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	189VULN|2RMIN|3TLV|49aDMG|5MBVNT|6RCR|79DUR|9BPWR
71	33512 28224	6	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	19aVULN|2RMIN|3TLV|479DMG|5MBVNT|6RCR|89DUR|9BPWR
72	35531 15242	5	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	12aVULN|3TLV|4MBVNT|5aDUR|6RPLT|78aDMG|9RCR|aBPWR
73	35531 35242	6	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	12aVULN|3TLV|4MBVNT|5aDUR|6RPLT|78aDMG|9RCR|aBPWR
74	32235 21223	7	   	285.24	DCR|3VULN|3DMG|2DUR|1TLV|1SELL	179VULN|2RPLT|3SELL|4TLV|59aDMG|6RCR|89DUR|9BPWR
75	35141 33235	5	   	284.85	DCR|4VULN|2DMG|1TLV|1CDMG	1247VULN|34DMG|4BPWR|5BEXP|6AART|8CDMG|9RCR|aTLV
76	35122 73274	10	 * 	284.50	ACR|5VULN|3DMG|3LIT|1TLV	12789VULN|379DMG|4RCR|5MBVNT|679LIT|79BPWR|aTLV
77	34163 21135	10	   	284.40	DCR|4VULN|2DUR|2CDMG|2LIT|1ASPD	1479VULN|2ASPD|37LIT|57CDMG|6RCR|7BPWR|8aDUR
78	34512 25242	7	   	283.52	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1ASPD	179VULN|2ASPD|37TLV|47DMG|5MBVNT|6RCR|7BPWR|8DUR|aCDMG
79	35143 13263	5	   	283.40	DCR|4VULN|2DMG|1DUR|1CDMG	1249VULN|34DMG|4BPWR|5CDMG|6BBNT|7DUR|8RCR|aLIT
80	33512 21222	7	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	179VULN|2RMIN|3TLV|49DMG|5MBVNT|6RCR|89DUR|9BPWR|aCDMG
81	33512 27422	8	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	189VULN|2RMIN|3TLV|49DMG|5MBVNT|6RCR|79DUR|9BPWR|aCDMG
82	33512 27822	7	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	189VULN|2RMIN|3TLV|49DMG|5MBVNT|6RCR|79DUR|9BPWR|aCDMG
83	32235 21222	7	   	283.24	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	179VULN|2RPLT|3SELL|4TLV|59DMG|6RCR|89DUR|9BPWR|aCDMG
84	33512 27428	7	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	19aVULN|2RMIN|3TLV|49DMG|5MBVNT|6RCR|789DUR|9BPWR
85	35131 11361	3	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1278VULN|39DMG|48ASPD|58LWND|6RCR|8BPWR|aDUR
86	35131 11365	3	   	282.85	DCR|4VULN|2DMG|2ASPD|1TLV	1278VULN|39DMG|48ASPD|58LWND|6RCR|8BPWR|aTLV
87	35431 11361	2	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1278VULN|39DMG|48ASPD|58LWND|6RCR|8BPWR|aDUR
88	34162 51312	9	   	282.64	DCR|4VULN|3ASPD|3CDMG	1478VULN|278ASPD|3LIT|5LWND|678CDMG|78BPWR|9RCR|aAART
89	34213 51312	9	   	282.64	DCR|4VULN|3ASPD|3CDMG	1378VULN|278ASPD|4LHND|5LIT|678CDMG|78BPWR|9RCR|aAART
90	34253 51312	9	   	282.64	DCR|4VULN|3ASPD|3CDMG	1378VULN|278ASPD|4LWND|5LIT|678CDMG|78BPWR|9RCR|aAART
91	35141 33136	5	   	282.26	DCR|5VULN|2DMG|2AART	12478VULN|34DMG|4BPWR|5BEXP|6aAART|9RCR
