0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62135 21432	10	 * 	302.43	DCR|3VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|589DMG|69aVULN|7RCR
31	56244 21238	5	 * 	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1489VULN|2MBVNT|348ASPD|48BPWR|5DUST|6TLV|78DUR|aRCR
32	62216 34722	1	 * 	285.29	DCR|3VULN|3DUR|2ASPD|1DMG|2LIT	128DUR|36ASPD|468VULN|5MBVNT|68BPWR|78LIT|9RCR|aDMG
33	63123 21344	4	   	284.64	DCR|4VULN|2DUR|3CDMG|1DMG	19DUR|256CDMG|3456VULN|56BPWR|7RCR|8LHND|aDMG
34	63133 21314	4	   	284.64	DCR|4VULN|2DUR|3CDMG|1DMG	14DUR|256CDMG|3569VULN|56BPWR|7RCR|8LHND|aDMG
35	63123 21144	4	   	284.54	DCR|4VULN|2DUR|3CDMG|1DMG	19DUR|256CDMG|3456VULN|56BPWR|7RCR|8LEGI|aDMG
36	63133 21114	4	   	284.54	DCR|4VULN|2DUR|3CDMG|1DMG	14DUR|256CDMG|3569VULN|56BPWR|7RCR|8LEGI|aDMG
37	63133 21615	4	   	284.54	DCR|4VULN|2DUR|3CDMG|1DMG	14DUR|256CDMG|3569VULN|56BPWR|7RCR|8MBVNT|aDMG
38	53523 21432	5	   	284.35	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	146VULN|2CDMG|3DUR|567DMG|6BPWR|8RCR|9ERES|aTLV
39	53133 21432	5	   	284.35	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9ERES|aTLV
40	63123 21343	4	   	284.12	DCR|5VULN|2DUR|3CDMG	19DUR|256CDMG|3456aVULN|56BPWR|7RCR|8LHND
41	63133 21313	4	   	284.12	DCR|5VULN|2DUR|3CDMG	14DUR|256CDMG|3569aVULN|56BPWR|7RCR|8LHND
42	63123 21314	4	   	284.12	DCR|5VULN|2DUR|3CDMG	1aDUR|256CDMG|34569VULN|56BPWR|7RCR|8LHND
43	63123 21684	4	   	284.12	DCR|5VULN|2DUR|3CDMG	19DUR|256CDMG|34569VULN|569BPWR|7RCR|8MBVNT|aCGEN
44	63123 21143	4	   	284.02	DCR|5VULN|2DUR|3CDMG	19DUR|256CDMG|3456aVULN|56BPWR|7RCR|8LEGI
45	63123 21653	4	   	284.02	DCR|5VULN|2DUR|3CDMG	19DUR|256CDMG|3456aVULN|56BPWR|7RCR|8MBVNT
46	63133 21113	4	   	284.02	DCR|5VULN|2DUR|3CDMG	14DUR|256CDMG|3569aVULN|56BPWR|7RCR|8LEGI
47	63133 21613	4	   	284.02	DCR|5VULN|2DUR|3CDMG	14DUR|256CDMG|3569aVULN|56BPWR|7RCR|8MBVNT
48	63123 21114	4	   	284.02	DCR|5VULN|2DUR|3CDMG	1aDUR|256CDMG|34569VULN|56BPWR|7RCR|8LEGI
49	63123 21681	4	   	284.02	DCR|5VULN|2DUR|3CDMG	19DUR|256CDMG|34569VULN|569BPWR|7RCR|8MBVNT|aBBNT
50	63123 21682	4	   	284.02	DCR|5VULN|2DUR|3CDMG	19DUR|256CDMG|34569VULN|569BPWR|7RCR|8MBVNT|aDUST
51	52321 63232	2	 * 	283.96	ACR|4VULN|2DMG|2DUR|3LIT|2CDMG	179aVULN|25aLIT|37CDMG|4RCR|67DUR|7aBPWR|8aDMG
52	54321 63232	1	   	283.96	ACR|4VULN|2DMG|2DUR|3LIT|2CDMG	179aVULN|25aLIT|37CDMG|4RCR|67DUR|7aBPWR|8aDMG
53	53133 62112	9	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8LWND|9RCR|aTLV
54	53133 62212	9	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8FEWX|9RCR|aTLV
55	53523 62112	9	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	147VULN|2CDMG|37DUR|57DMG|6RMIN|7BPWR|8LWND|9RCR|aTLV
56	53523 62212	9	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	147VULN|2CDMG|37DUR|57DMG|6RMIN|7BPWR|8FEWX|9RCR|aTLV
57	63123 62112	9	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8LWND|9RCR|aTLV
58	63123 62212	9	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8FEWX|9RCR|aTLV
59	53133 62312	9	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8DUST|9RCR|aTLV
60	53523 62312	9	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	147VULN|2CDMG|37DUR|57DMG|6RMIN|7BPWR|8DUST|9RCR|aTLV
61	63123 62312	9	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8DUST|9RCR|aTLV
62	63123 21461	5	   	283.13	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG|1ASPD	16DUR|2CDMG|34VULN|567DMG|6BPWR|8RCR|9ASPD|aTLV
63	13123 23662	4	   	283.01	DCR|5VULN|3CDMG|1DMG	1LWND|256CDMG|34568VULN|56BPWR|7AART|9RCR|aDMG
64	13123 26362	4	   	283.01	DCR|5VULN|3CDMG|1DMG	1LWND|256CDMG|34567VULN|56BPWR|8AART|9RCR|aDMG
65	53613 12612	9	   	283.00	DCR|4VULN|2DUR|2ASPD|1CDMG|1NUKE	1478VULN|2CDMG|3NUKE|57ASPD|67DUR|7BPWR|9AART|aRCR
66	53133 62215	9	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	137VULN|2CDMG|47DUR|57aDMG|6RMIN|7BPWR|8FEWX|9RCR
67	63123 62215	9	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	17DUR|2CDMG|347VULN|57aDMG|6RMIN|7BPWR|8FEWX|9RCR
68	53133 21414	5	   	282.82	DCR|3VULN|3DMG|2CDMG|1DUR	136VULN|2aCDMG|4DUR|567DMG|6BPWR|8RCR|9LIT
69	53133 21426	5	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	136VULN|2CDMG|49DUR|567DMG|6BPWR|8RCR|aDMSP
70	53523 21421	5	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	146VULN|2CDMG|39DUR|567DMG|6BPWR|8RCR|aERES
71	53523 21423	5	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	146VULN|2CDMG|39DUR|567DMG|6BPWR|8RCR|aDUST
72	53133 21421	5	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	136VULN|2CDMG|49DUR|567DMG|6BPWR|8RCR|aERES
73	53133 21423	5	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	136VULN|2CDMG|49DUR|567DMG|6BPWR|8RCR|aDUST
74	53133 21425	5	   	282.54	DCR|3VULN|3DMG|2DUR|1CDMG|1SELL	136VULN|2CDMG|49DUR|567DMG|6BPWR|8RCR|aSELL
75	63123 21422	4	   	281.06	DCR|4VULN|3CDMG|1DMG|1DUR|1ASPD	1DUR|256CDMG|3456VULN|56BPWR|7RCR|8RPLT|9DMG|aASPD
76	63123 21345	4	   	280.83	DCR|4VULN|2DUR|3CDMG|1TLV	19DUR|256CDMG|3456VULN|56BPWR|7RCR|8LHND|aTLV
77	63133 21315	4	   	280.83	DCR|4VULN|2DUR|3CDMG|1TLV	14DUR|256CDMG|3569VULN|56BPWR|7RCR|8LHND|aTLV
78	63123 21145	4	   	280.73	DCR|4VULN|2DUR|3CDMG|1TLV	19DUR|256CDMG|3456VULN|56BPWR|7RCR|8LEGI|aTLV
79	63133 21115	4	   	280.73	DCR|4VULN|2DUR|3CDMG|1TLV	14DUR|256CDMG|3569VULN|56BPWR|7RCR|8LEGI|aTLV
80	63133 21616	4	   	280.73	DCR|4VULN|2DUR|3CDMG|1TLV	14DUR|256CDMG|3569VULN|56BPWR|7RCR|8MBVNT|aTLV
81	63126 16213	8	   	280.49	DCR|4VULN|2DUR|2TLV|1CDMG	1aDUR|2CDMG|348aVULN|5LWND|6LIT|7RCR|9aTLV|aBPWR
82	63152 16213	8	   	280.49	DCR|4VULN|2DUR|2TLV|1CDMG	1aDUR|2CDMG|358aVULN|4LHND|6LIT|7RCR|9aTLV|aBPWR
83	53136 16213	8	   	280.49	DCR|4VULN|2DUR|2TLV|1CDMG	138aVULN|2CDMG|4aDUR|5LWND|6LIT|7RCR|9aTLV|aBPWR
84	53133 62161	7	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	137VULN|2CDMG|479DUR|57DMG|6RMIN|7BPWR|8LHND|aRCR
85	53133 62161	8	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	137VULN|2CDMG|479DUR|57DMG|6RMIN|7BPWR|8LWND|aRCR
86	53133 62261	8	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	137VULN|2CDMG|479DUR|57DMG|6RMIN|7BPWR|8FEWX|aRCR
87	63123 62161	7	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	179DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8LHND|aRCR
88	63123 62161	8	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	179DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8LWND|aRCR
89	63123 62261	8	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	179DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8FEWX|aRCR
90	63133 62163	10	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	147DUR|2CDMG|379VULN|57DMG|6RMIN|7BPWR|8ZMB|aRCR
91	63133 62411	9	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	147DUR|2CDMG|379VULN|57DMG|6RMIN|7BPWR|8FEWX|aRCR
92	63133 62611	9	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	147DUR|2CDMG|379VULN|57DMG|6RMIN|7BPWR|8LHND|aRCR
93	63133 62621	7	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	147DUR|2CDMG|379VULN|57DMG|6RMIN|7BPWR|8LWND|aRCR
94	63133 62621	8	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	147DUR|2CDMG|379VULN|57DMG|6RMIN|7BPWR|8LHND|aRCR
95	53142 12161	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	137VULN|2CDMG|47DMG|5NUKE|679DUR|7BPWR|8LWND|aRCR
96	53142 12161	7	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	137VULN|2CDMG|47DMG|5NUKE|679DUR|7BPWR|8LHND|aRCR
97	53142 12261	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	137VULN|2CDMG|47DMG|5NUKE|679DUR|7BPWR|8FEWX|aRCR
98	53612 12161	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	147VULN|2CDMG|3NUKE|57DMG|679DUR|7BPWR|8LWND|aRCR
99	53612 12161	7	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	147VULN|2CDMG|3NUKE|57DMG|679DUR|7BPWR|8LHND|aRCR
100	53612 12261	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	147VULN|2CDMG|3NUKE|57DMG|679DUR|7BPWR|8FEWX|aRCR
101	53133 62361	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	137VULN|2CDMG|479DUR|57DMG|6RMIN|7BPWR|8DUST|aRCR
102	63123 62361	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	179DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8DUST|aRCR
103	53142 12361	8	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	137VULN|2CDMG|47DMG|5NUKE|679DUR|7BPWR|8DUST|aRCR
104	53612 12361	8	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	147VULN|2CDMG|3NUKE|57DMG|679DUR|7BPWR|8DUST|aRCR
105	53533 22224	5	   	280.11	DCR|2VULN|3DMG|3DUR|1CDMG|1ASPD	16VULN|2CDMG|347DUR|56aDMG|6BPWR|8ASPD|9RCR
106	63123 22224	5	   	280.11	DCR|2VULN|3DMG|3DUR|1CDMG|1ASPD	167DUR|2CDMG|34VULN|56aDMG|6BPWR|8ASPD|9RCR
107	53153 21421	5	   	279.21	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	136VULN|2CDMG|4LHND|567DMG|6BPWR|8RCR|9DUR|aASPD
108	53223 21421	5	   	279.21	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	146VULN|2CDMG|3LHND|567DMG|6BPWR|8RCR|9DUR|aASPD
109	53233 21421	3	   	279.21	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	156VULN|2CDMG|3LHND|467DMG|6BPWR|8RCR|9DUR|aASPD
110	53133 21462	5	   	279.21	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9ASPD|aMLV
111	53133 21463	5	   	279.21	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9ASPD|aBEXP
112	53163 12612	9	   	279.20	DCR|4VULN|2DUR|2CDMG|1ASPD	1378VULN|27CDMG|4ZMB|5ASPD|67DUR|7BPWR|9AART|aRCR
113	53313 12612	9	   	279.20	DCR|4VULN|2DUR|2CDMG|1ASPD	1478VULN|27CDMG|3ZMB|5ASPD|67DUR|7BPWR|9AART|aRCR
114	53123 21421	5	   	279.11	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	136VULN|2CDMG|4DUST|567DMG|6BPWR|8RCR|9DUR|aASPD
115	63123 21615	4	   	279.09	DCR|5VULN|3CDMG|1DUR	1DUR|256CDMG|34569VULN|56BPWR|7RCR|8MBVNT|aAART
116	63123 26336	4	   	279.09	DCR|5VULN|3CDMG|1DUR	1DUR|256CDMG|34567VULN|56BPWR|8AART|9ERES|aRCR
117	53133 26612	9	   	278.17	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1378VULN|2CDMG|4DUR|5DMG|6ASPD|9AART|aRCR
118	63123 26612	9	   	278.17	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUR|2CDMG|3478VULN|5DMG|6ASPD|9AART|aRCR
119	56134 34121	3	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2MBVNT|39DUR|4ZMB|5LIT|69DMG|7RCR|9BPWR|aTLV
120	56144 34121	4	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2MBVNT|39DUR|4ZMB|5LIT|69DMG|7RCR|9BPWR|aTLV
121	56434 34121	2	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2MBVNT|39DUR|4ZMB|5LIT|69DMG|7RCR|9BPWR|aTLV
122	66234 34121	2	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2MBVNT|389VULN|4ZMB|5LIT|69DMG|7RCR|9BPWR|aTLV
123	66434 34121	3	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2MBVNT|389VULN|4ZMB|5LIT|69DMG|7RCR|9BPWR|aTLV
124	66444 34121	4	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2MBVNT|389VULN|4ZMB|5LIT|69DMG|7RCR|9BPWR|aTLV
125	13123 21312	4	   	277.84	DCR|5VULN|3CDMG|1TLV	1LWND|256CDMG|34568VULN|56BPWR|7RCR|9LIT|aTLV
126	13123 21315	4	   	277.84	DCR|5VULN|3CDMG|1DUR	1LWND|256CDMG|34568VULN|56BPWR|7RCR|9LIT|aDUR
127	13123 26412	4	   	277.84	DCR|5VULN|3CDMG|1TLV	1LWND|256CDMG|34567VULN|56BPWR|8RCR|9LIT|aTLV
128	13123 26415	4	   	277.84	DCR|5VULN|3CDMG|1DUR	1LWND|256CDMG|34567VULN|56BPWR|8RCR|9LIT|aDUR
129	63123 26411	4	   	277.84	DCR|5VULN|3CDMG|1DUR	1DUR|256CDMG|34567VULN|56BPWR|8RCR|9LIT|aRCVC
130	63133 21683	4	   	277.80	DCR|4VULN|3DUR|3CDMG	149DUR|256CDMG|3569VULN|569BPWR|7RCR|8MBVNT|aBEXP
131	63133 21684	4	   	277.80	DCR|4VULN|3DUR|3CDMG	149DUR|256CDMG|3569VULN|569BPWR|7RCR|8MBVNT|aFEWX
132	53133 22422	4	   	277.80	DCR|4VULN|3DUR|3CDMG	1379VULN|256CDMG|456DUR|56BPWR|8RCR|aZMB
133	53133 22425	4	   	277.80	DCR|4VULN|3DUR|3CDMG	1379VULN|256CDMG|456DUR|56BPWR|8RCR|aFEWX
134	53523 22422	4	   	277.80	DCR|4VULN|3DUR|3CDMG	1479VULN|256CDMG|356DUR|56BPWR|8RCR|aZMB
135	63123 21618	4	   	277.74	DCR|5VULN|3CDMG|1DUR	1DUR|256CDMG|34569VULN|56BPWR|7RCR|8MBVNT|aLIT
136	63123 26413	4	   	277.74	DCR|5VULN|3CDMG|1DUR	1DUR|256CDMG|34567VULN|56BPWR|8RCR|9LIT|aDUST
137	53133 22426	4	   	277.70	DCR|4VULN|3DUR|3CDMG	1379VULN|256CDMG|456DUR|56BPWR|8RCR|aLEGI
138	52223 31151	10	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	14aVULN|2LIT|37aDUR|5BEXP|6DMG|8aCDMG|9RCR|aBPWR
139	52226 31151	10	   	277.49	DCR|3VULN|3DUR|1DMG|2CDMG	14aVULN|2LIT|37aDUR|5FEWX|6DMG|8aCDMG|9RCR|aBPWR
140	52252 21622	7	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	168VULN|2LIT|378DUR|4RPLT|58CDMG|8BPWR|9RCR|aDMG
141	31311 23155	1	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1RMIN|23457VULN|6CDMG|8DMG|9DUR|aRCR
142	53133 62116	9	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8LWND|9RCR|aAART
143	63123 62116	9	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8LWND|9RCR|aAART
144	53133 62316	9	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8DUST|9RCR|aAART
145	63123 62316	9	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8DUST|9RCR|aAART
146	53523 21411	5	   	276.51	DCR|3VULN|3DMG|1DUR|1CDMG	146VULN|2CDMG|3DUR|567DMG|6BPWR|8RCR|9LIT|aRCVC
147	53523 21412	5	   	276.51	DCR|3VULN|3DMG|1DUR|1CDMG	146VULN|2CDMG|3DUR|567DMG|6BPWR|8RCR|9LIT|aBELT
148	53133 21411	5	   	276.51	DCR|3VULN|3DMG|1DUR|1CDMG	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9LIT|aRCVC
149	53133 21412	5	   	276.51	DCR|3VULN|3DMG|1DUR|1CDMG	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9LIT|aBELT
150	53133 21416	5	   	276.51	DCR|3VULN|3DMG|1DUR|1CDMG	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9LIT|aZMB
151	53523 21413	5	   	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	146VULN|2CDMG|3DUR|567DMG|6BPWR|8RCR|9LIT|aLEGI
152	53133 21413	5	   	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9LIT|aLEGI
153	53133 21452	5	   	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9TBNT|aLIT
154	56241 34146	4	 * 	275.92	DCR|4VULN|2DMG|3ASPD	146aVULN|2MBVNT|346ASPD|46aBPWR|5LEGI|7aDMG|8aERES|9RCR
155	53133 62111	9	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8LWND|9RCR|aLIT
156	53133 62211	9	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8FEWX|9RCR|aLIT
157	53523 62111	9	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	147VULN|2CDMG|37DUR|57DMG|6RMIN|7BPWR|8LWND|9RCR|aLIT
158	53523 62211	9	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	147VULN|2CDMG|37DUR|57DMG|6RMIN|7BPWR|8FEWX|9RCR|aLIT
159	63123 62111	9	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8LWND|9RCR|aLIT
160	63123 62211	9	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8FEWX|9RCR|aLIT
161	62135 21236	9	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|59aDMG|69VULN|7RCR|8RCVC
162	62135 21336	9	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|59aDMG|69VULN|7RCR|8DMSP
163	62135 21431	10	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|589DMG|69VULN|7RCR|aCGEN
164	62135 21432	9	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|589DMG|69VULN|7RCR|aRPLT
165	62135 21433	10	   	275.52	DCR|2VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|589DMG|69VULN|7RCR|aRPLT
166	63133 26162	4	   	275.48	DCR|4VULN|2DUR|3CDMG|1ASPD	14DUR|256CDMG|3567VULN|56BPWR|8TBNT|9ASPD|aRCR
