0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32544 46236	8	 * 	307.02	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|278DUR|3MBVNT|4LIT|5TLV|678DMG|78BPWR|9BBNT|aRCR
17	32544 67241	6	   	281.01	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	169VULN|2DUR|3MBVNT|49LIT|5TLV|7ASPD|89DMG|9BPWR|aRCR
18	32112 26144	1	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	128VULN|3BEXP|48DUR|5TBNT|6RCR|78DMG|8BPWR|9ASPD|aTLV
19	24412 63221	10	 * 	280.68	DCR|5VULN|3DMG	1BELT|27ZMB|357DMG|4578aVULN|57BPWR|6RCR|9MLV
20	32512 12155	4	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	148VULN|28DUR|3MBVNT|5TBNT|68DMG|7RCR|8BPWR|9ASPD|aTLV
21	32225 26136	2	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	148VULN|24DUR|3BBNT|48BPWR|58LWND|6RCR|789DMG|aASPD
22	32226 26136	2	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	148VULN|24DUR|3BBNT|48BPWR|58LHND|6RCR|789DMG|aASPD
23	32112 26136	1	   	280.14	DCR|3VULN|3DMG|2DUR|1ASPD	128VULN|3BEXP|48DUR|5TBNT|6RCR|789DMG|8BPWR|aASPD
24	34112 26136	2	   	280.14	DCR|3VULN|3DMG|2DUR|1ASPD	128VULN|3BEXP|48DUR|5TBNT|6RCR|789DMG|8BPWR|aASPD
25	12624 67423	5	   	279.97	DCR|4VULN|3DUR|2CDMG	18CDMG|2MBVNT|3LIT|458DUR|6789VULN|8BPWR|aRCR
26	11213 62133	2	   	279.90	DCR|4VULN|2DMG|3CDMG	138CDMG|236BEXP|368BPWR|4568VULN|78DMG|9LIT|aRCR
27	11213 62133	1	   	279.90	DCR|4VULN|2DMG|3CDMG	138CDMG|236BEXP|368BPWR|4568VULN|78DMG|9LIT|aRCR
28	31251 22342	5	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1348VULN|28ASPD|5RCVC|6RCR|78DUR|8BPWR|9BEXP|aDMG
29	31251 22312	5	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1348VULN|28ASPD|5RCVC|6RCR|78DUR|8BPWR|9MBVNT|aDMG
30	31116 66123	7	 * 	278.04	DCR|3VULN|2DMG|3ASPD|1DUR	158VULN|268ASPD|3FEWX|4DUR|78DMG|8BPWR|9LIT|aRCR
31	32518 82111	9	   	277.98	DCR|5VULN|2DUR|2CDMG	1458aVULN|2aDUR|3MBVNT|6RCVC|7aCDMG|9RCR|aBPWR
32	32518 83321	9	   	277.98	DCR|5VULN|2DUR|2CDMG	1458aVULN|2aDUR|3MBVNT|6RCVC|7RCR|9aCDMG|aBPWR
33	12717 22732	3	 * 	277.90	DCR|4VULN|3DUR|3CDMG	178CDMG|2MBVNT|3CGEN|478DUR|5789VULN|6RCVC|78BPWR|aRCR
34	12717 42732	3	   	277.90	DCR|4VULN|3DUR|3CDMG	178CDMG|2MBVNT|36CGEN|478DUR|5789VULN|78BPWR|aRCR
35	32225 26142	2	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	148VULN|24aDUR|3BBNT|48BPWR|58LWND|6RCR|78DMG|9ASPD
36	32225 26163	2	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	148VULN|249DUR|3BBNT|48BPWR|58LWND|6RCR|78DMG|aASPD
37	32226 26142	2	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	148VULN|24aDUR|3BBNT|48BPWR|58LHND|6RCR|78DMG|9ASPD
38	32226 26163	2	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	148VULN|249DUR|3BBNT|48BPWR|58LHND|6RCR|78DMG|aASPD
39	12517 22732	2	   	277.80	DCR|4VULN|3DUR|3CDMG	178CDMG|2MBVNT|3ERES|478DUR|5789VULN|6RCVC|78BPWR|aRCR
40	12517 22732	3	   	277.80	DCR|4VULN|3DUR|3CDMG	178CDMG|2MBVNT|3ERES|478DUR|5789VULN|6RCVC|78BPWR|aRCR
41	32112 26142	1	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	128VULN|3BEXP|48aDUR|5TBNT|6RCR|78DMG|8BPWR|9ASPD
42	34112 26142	2	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	128VULN|3BEXP|48aDUR|5TBNT|6RCR|78DMG|8BPWR|9ASPD
43	34243 21331	1	   	277.70	DCR|4VULN|3DUR|3CDMG	138aVULN|2TBNT|4aDUST|589DUR|6RCR|78aCDMG|8aBPWR
44	32512 12152	4	   	277.61	DCR|3VULN|3DUR|2DMG|1ASPD	148VULN|28aDUR|3MBVNT|5TBNT|68DMG|7RCR|8BPWR|9ASPD
45	22212 15511	2	   	277.54	DCR|3VULN|3DMG|2DUR	1BELT|29DUR|3LIT|49aVULN|569DMG|7RPLT|8RCR|9BPWR
46	24412 63112	10	   	277.39	DCR|4VULN|3DMG|1DUR	1BELT|278ZMB|357DMG|4579VULN|57BPWR|6RCR|aDUR
47	24412 63211	10	   	277.39	DCR|4VULN|3DMG|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9DUR|aFEWX
48	24412 63213	9	   	277.39	DCR|4VULN|3DMG|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9DUR|aFEWX
49	24412 63213	10	   	277.39	DCR|4VULN|3DMG|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9DUR|aCGEN
50	24412 63222	9	   	277.39	DCR|4VULN|3DMG|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9MLV|aDUR
51	24412 63211	9	   	277.29	DCR|4VULN|3DMG|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9DUR|aTBNT
52	24412 63211	8	   	277.29	DCR|4VULN|3DMG|1TLV	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9TLV|aBBNT
53	24412 63311	7	   	277.29	DCR|4VULN|3DMG|1TLV	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9TLV|aBBNT
54	24412 63314	10	   	277.29	DCR|4VULN|3DMG|1DUR	1BELT|27ZMB|357DMG|4579VULN|57BPWR|6RCR|8MBVNT|aDUR
