0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16213 78412	4	 * 	305.53	DCR|4VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478aVULN|578ASPD|6RCR|78BPWR|9DMSP
30	34611 35473	5	 * 	286.21	DCR|4VULN|3DUR|3CDMG	1MBVNT|279CDMG|3CGEN|4679VULN|579DUR|79BPWR|8RCR|aLIT
31	16232 17438	5	   	285.62	DCR|3VULN|3DMG|3CDMG|2ASPD	148DMG|2MBVNT|34aCDMG|48BPWR|58ASPD|6RCR|789VULN
32	16232 17438	4	   	285.62	DCR|3VULN|3DMG|3CDMG|2ASPD	148DMG|2MBVNT|34aCDMG|48BPWR|58ASPD|6RCR|789VULN
33	61433 34233	10	   	284.76	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2689VULN|3DMG|4ASPD|5DUR|7CDMG|aRCR
34	34513 78412	4	   	284.64	DCR|4VULN|3ASPD|3CDMG|1DMG	1MBVNT|278CDMG|3DMG|478aVULN|578ASPD|6RCR|78BPWR|9BELT
35	34513 78432	4	   	284.64	DCR|4VULN|3ASPD|3CDMG|1DMG	1MBVNT|278CDMG|3DMG|4789VULN|578ASPD|6RCR|78BPWR|aFEWX
36	34513 78434	4	   	284.64	DCR|4VULN|3ASPD|3CDMG|1DMG	1MBVNT|278CDMG|3DMG|4789VULN|578ASPD|6RCR|78BPWR|aRPLT
37	34513 78433	4	   	284.40	DCR|4VULN|3ASPD|3CDMG|1DMG|1SELL	1MBVNT|278CDMG|3DMG|4789VULN|578ASPD|6RCR|78BPWR|aSELL
38	24426 21111	1	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	1LEGI|269DMG|39DUR|4FEWX|56aVULN|69BPWR|7RCR|89LIT
39	11436 12116	3	   	283.99	DCR|3VULN|3DMG|2DUR|2LIT	137DMG|259VULN|4MBVNT|69DUR|89LIT|9BPWR|aRCR
40	24436 21111	1	   	283.99	DCR|3VULN|3DMG|2DUR|2LIT	1LEGI|269DMG|39DUR|4DUST|56aVULN|69BPWR|7RCR|89LIT
41	34511 38423	6	   	283.53	DCR|3VULN|3DUR|3CDMG|1DMG|1NUKE	1MBVNT|278CDMG|3DMG|478VULN|578DUR|6NUKE|78BPWR|9RCR|aLIT
42	11211 53641	9	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|24567VULN|38CDMG|9DUR|aRCR
43	11211 53641	8	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|24567VULN|38CDMG|9DUR|aRCR
44	11221 52531	7	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|25689VULN|34CDMG|7DUR|aRCR
45	11221 53431	8	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|25679VULN|34CDMG|8DUR|aRCR
46	11221 53541	7	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|25678VULN|34CDMG|9DUR|aRCR
47	11221 53641	8	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|25678VULN|34CDMG|9DUR|aRCR
48	11221 53641	9	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|25678VULN|34CDMG|9DUR|aRCR
49	16213 78411	4	   	282.89	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9aDMSP
50	16213 78422	4	   	282.89	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9BEXP|aMLV
51	16213 78432	4	   	282.89	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9FEWX|aMLV
52	16213 78441	4	   	282.89	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9RMIN|aRCVC
53	16213 78442	4	   	282.89	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9RMIN|aCGEN
54	16213 78443	4	   	282.89	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9RMIN|aLHND
55	16231 21423	9	   	282.88	DCR|3VULN|3DMG|2CDMG|2LIT	149DMG|2MBVNT|34CDMG|49BPWR|589VULN|69LIT|7AART|aRCR
56	16242 32526	3	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	179DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|89aVULN|9BPWR
57	16242 32526	4	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	179DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|89aVULN|9BPWR
58	16242 33226	4	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	189DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|79aVULN|9BPWR
59	16242 33226	3	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	189DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|79aVULN|9BPWR
60	16247 33226	5	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	189DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|79aVULN|9BPWR
61	16251 33226	4	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	189DMG|2MBVNT|3CDMG|49DUR|5RPLT|6RCR|79aVULN|9BPWR
62	16253 33226	5	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	189DMG|2MBVNT|3CDMG|49DUR|5RPLT|6RCR|79aVULN|9BPWR
63	16213 78413	4	   	282.79	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9DMSP|aDUST
64	16213 78423	4	   	282.79	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9BEXP|aDUST
65	16213 78433	4	   	282.79	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9FEWX|aDUST
66	16213 78444	4	   	282.79	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9RMIN|aERES
67	16213 78424	4	   	282.64	DCR|3VULN|3DMG|3ASPD|1CDMG|1SELL	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9BEXP|aSELL
68	16213 78434	4	   	282.64	DCR|3VULN|3DMG|3ASPD|1CDMG|1SELL	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9FEWX|aSELL
69	42332 35321	8	   	282.56	DCR|3VULN|3DMG|3DUR	189DUR|2aRCVC|389VULN|4BEXP|5DUST|6RCR|789DMG|89BPWR
70	42332 35322	8	   	282.56	DCR|3VULN|3DMG|3DUR	189DUR|2RCVC|389VULN|4BEXP|5DUST|6RCR|789DMG|89BPWR|aCGEN
71	34211 38474	6	   	281.66	DCR|2VULN|3DMG|3DUR|3CDMG	1MBVNT|278CDMG|3RMIN|4aVULN|578DUR|678DMG|78BPWR|9RCR
72	11221 52244	10	   	281.60	DCR|4VULN|2DMG|2CDMG|1DUR	19DMG|2569VULN|34CDMG|7DUR|89BEXP|9BPWR|aRCR
73	12221 24326	10	   	281.47	DCR|2VULN|3DMG|3DUR|1TLV	169DMG|2TLV|349DUR|5RCVC|79VULN|8RCR|9BPWR|aAART
74	42345 31322	4	   	281.42	DCR|4VULN|3DUR|3LIT	189DUR|2RCVC|3689VULN|468LIT|5BBNT|689BPWR|7AART|aRCR
75	42552 31322	1	   	281.42	DCR|4VULN|3DUR|3LIT	189DUR|2689VULN|3BBNT|468LIT|5RCVC|689BPWR|7AART|aRCR
76	42363 61112	10	   	281.42	DCR|4VULN|3DUR|2TLV	15aDUR|2RCVC|369aVULN|4aTLV|7AART|8RCR|aBPWR
77	37225 15432	8	   	281.11	DCR|4VULN|3DMG|3LIT	1MBVNT|2BELT|379DMG|4aBEXP|579aVULN|679LIT|79aBPWR|8RCR
78	11214 12533	3	 * 	280.76	ACR|4VULN|3DMG|3CDMG|1TLV	178DMG|278aVULN|378CDMG|4RCR|5AART|6LEGI|78BPWR|9TLV
79	11365 31421	10	 * 	280.68	DCR|5VULN|3DMG	18aDMG|2458aVULN|348LWND|48aBPWR|6RCR|7RCVC|9aERES
80	43231 32125	5	   	280.56	DCR|3VULN|3DMG|3CDMG|1DUR	1DUR|247DMG|346CDMG|4BPWR|58aVULN|9RCR
81	43232 32125	4	   	280.56	DCR|3VULN|3DMG|3CDMG|1DUR	1DUR|247DMG|346CDMG|4BPWR|58aVULN|9RCR
82	12221 24321	9	   	280.11	DCR|2VULN|3DMG|3DUR|1TLV	169DMG|2TLV|349DUR|5RCVC|79VULN|8RCR|9BPWR|aLIT
83	43232 51261	8	   	279.93	DCR|2VULN|2DMG|2DUR|3CDMG|1TLV|1ASPD	19DUR|24DMG|349CDMG|49BPWR|5ASPD|6ERES|7RCR|89VULN|aTLV
84	16232 17416	4	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78aVULN|9LWND
85	16232 17416	5	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78aVULN|9LWND
86	16232 17431	4	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aCGEN
87	16232 17431	5	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aCGEN
88	16232 17433	5	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aDMSP
89	16232 17433	4	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aDMSP
90	16232 17434	5	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aBEXP
91	16232 17434	4	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aBEXP
92	16232 17435	5	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aFEWX
93	16232 17435	4	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aFEWX
94	16232 17432	4	   	279.48	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aERES
95	16232 17432	5	   	279.48	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aERES
96	16232 17437	5	   	279.48	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aTBNT
97	16232 17437	4	   	279.48	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|789VULN|aTBNT
98	43326 21242	3	   	278.90	DCR|3VULN|3DMG|2DUR	19DUR|269DMG|3LWND|4FEWX|569VULN|69BPWR|7RCR|8BBNT|aAART
99	11211 23136	6	   	278.80	DCR|4VULN|2DMG|2TLV|1CDMG	1aDMG|245aVULN|3CDMG|68DUST|7RCR|9aTLV|aBPWR
100	43216 21242	2	   	278.80	DCR|3VULN|3DMG|2DUR	19DUR|269DMG|3DUST|4LWND|569VULN|69BPWR|7RCR|8BBNT|aAART
101	43336 21242	3	   	278.80	DCR|3VULN|3DMG|2DUR	19DUR|269DMG|3LWND|4DUST|569VULN|69BPWR|7RCR|8BBNT|aAART
102	16232 17444	4	   	278.58	DCR|2VULN|3DMG|2ASPD|2CDMG|1DUR	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78VULN|9AART|aDUR
103	16232 17444	5	   	278.58	DCR|2VULN|3DMG|2ASPD|2CDMG|1DUR	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78VULN|9AART|aDUR
104	11211 41531	6	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24589VULN|3CDMG|7FEWX|aRCR
105	11211 41531	5	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24589VULN|3CDMG|7FEWX|aRCR
106	11211 43131	8	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24579VULN|3CDMG|8LWND|aRCR
107	11211 43131	7	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24579VULN|3CDMG|8BEXP|aRCR
108	11211 43331	8	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24579VULN|3CDMG|8BEXP|aRCR
109	11211 43551	7	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24578VULN|3CDMG|9BEXP|aRCR
110	11211 43651	8	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24578VULN|3CDMG|9BEXP|aRCR
111	11211 43661	9	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24578VULN|3CDMG|9LWND|aRCR
112	11211 44531	7	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24589VULN|3CDMG|7BEXP|aRCR
113	11211 46531	6	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24589VULN|3CDMG|7BEXP|aRCR
114	11211 46531	5	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24589VULN|3CDMG|7BEXP|aRCR
115	11212 41531	4	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24589VULN|3CDMG|7FEWX|aRCR
116	11212 46531	4	   	278.38	DCR|5VULN|2DMG|1CDMG	16DMG|24589VULN|3CDMG|7BEXP|aRCR
117	11211 43511	7	   	278.28	DCR|5VULN|2DMG|1CDMG	16DMG|24578VULN|3CDMG|9DUST|aRCR
118	11211 43611	8	   	278.28	DCR|5VULN|2DMG|1CDMG	16DMG|24578VULN|3CDMG|9DUST|aRCR
119	12661 25332	6	   	278.23	DCR|3VULN|3DMG|3LIT|2TLV	159DMG|2aTLV|36aLIT|47aVULN|8RCR|aBPWR
120	14261 25332	6	   	278.23	DCR|3VULN|3DMG|3LIT|2TLV	159DMG|26aLIT|3aTLV|47aVULN|8RCR|aBPWR
121	34611 35471	5	   	277.90	DCR|4VULN|3DUR|3CDMG	1MBVNT|279CDMG|3CGEN|4679VULN|579DUR|79BPWR|8RCR|aLHND
122	34611 35474	5	   	277.90	DCR|4VULN|3DUR|3CDMG	1MBVNT|279CDMG|3aCGEN|4679VULN|579DUR|79BPWR|8RCR
123	34611 35472	5	   	277.80	DCR|4VULN|3DUR|3CDMG	1MBVNT|279CDMG|3CGEN|4679VULN|579DUR|79BPWR|8RCR|aERES
124	34611 88424	10	   	277.66	DCR|4VULN|3DUR|3CDMG|1SELL	1MBVNT|279CDMG|3CGEN|4679VULN|579DUR|79BPWR|8SELL|aRCR
125	11141 32345	10	   	277.54	DCR|3VULN|3DMG|2DUR	17aDMG|28aVULN|3LHND|4LIT|5aDUR|6RCVC|9RCR|aBPWR
126	11211 12531	7	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24589VULN|3CDMG|6RCVC|7DUR|aRCR
127	11211 13431	8	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24579VULN|3CDMG|6RCVC|8DUR|aRCR
128	11211 13541	7	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24578VULN|3CDMG|6RCVC|9DUR|aRCR
129	11211 13641	9	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24578VULN|3CDMG|6RCVC|9DUR|aRCR
130	11211 13641	8	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24578VULN|3CDMG|6RCVC|9DUR|aRCR
131	11211 15531	5	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1DMG|24589VULN|3CDMG|6TLV|7MLV|aRCR
132	11211 52253	7	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24569VULN|3CDMG|7DUR|8ZMB|aRCR
133	11211 52353	8	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24569VULN|3CDMG|7DUR|8ZMB|aRCR
134	11211 52363	9	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24569VULN|3CDMG|7DUR|8ZMB|aRCR
135	11211 52541	7	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24568VULN|3CDMG|7DUR|9DMSP|aRCR
136	11211 53441	7	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1DMG|24567VULN|3CDMG|8DUR|9DMSP|aRCR
137	11211 65531	6	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1DMG|24589VULN|3CDMG|6TLV|7MLV|aRCR
138	11212 15531	4	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1DMG|24589VULN|3CDMG|6TLV|7MLV|aRCR
139	11211 11441	5	   	276.94	DCR|5VULN|1DMG|1TLV|1CDMG	1DMG|24579VULN|3CDMG|6TLV|8ERES|aRCR
140	11211 61441	6	   	276.94	DCR|5VULN|1DMG|1TLV|1CDMG	1DMG|24579VULN|3CDMG|6TLV|8ERES|aRCR
141	11212 11441	4	   	276.94	DCR|5VULN|1DMG|1TLV|1CDMG	1DMG|24579VULN|3CDMG|6TLV|8ERES|aRCR
142	11231 55422	6	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|28aVULN|3CDMG|4CGEN|5AART|6RCR|78DUR|8BPWR|9BBNT
143	16242 33422	4	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|789VULN|9BPWR|aAART
144	16242 33422	3	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|789VULN|9BPWR|aAART
145	16247 33422	5	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|2MBVNT|3CDMG|4RPLT|59DUR|6RCR|789VULN|9BPWR|aAART
146	16251 33422	4	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|2MBVNT|3CDMG|49DUR|5RPLT|6RCR|789VULN|9BPWR|aAART
147	16253 33422	5	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|2MBVNT|3CDMG|49DUR|5RPLT|6RCR|789VULN|9BPWR|aAART
148	11242 54233	10	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1DMG|289VULN|3CDMG|46DUR|5ASPD|7TLV|aRCR
149	43212 54233	10	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	16DUR|2DMG|3CDMG|489VULN|5ASPD|7TLV|aRCR
150	61433 34223	10	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|268VULN|3DMG|4ASPD|59DUR|7CDMG|aRCR
151	11325 11526	2	   	276.47	DCR|3VULN|3DUR|2DMG	18DMG|28aVULN|36RPLT|478DUR|5AART|8BPWR|9RCR
152	11334 51521	2	   	276.47	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|3RPLT|5AART|678DUR|8BPWR|9RCR|aBEXP
153	11334 51523	2	   	276.37	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|3RPLT|5AART|678DUR|8BPWR|9RCR|aLEGI
154	11535 63123	9	   	276.22	DCR|4VULN|2DMG|2DUR	19DMG|2569VULN|3CGEN|4RMIN|7ZMB|89DUR|9BPWR|aRCR
155	11363 21166	6	   	276.22	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|346LWND|48BPWR|5MBVNT|78DUR|aRCR
156	11515 52123	9	   	276.22	DCR|4VULN|2DMG|2DUR	19DMG|2569VULN|345CGEN|59BPWR|7DUST|89DUR|aRCR
