0	Index      	Bounty	 *	Score 	Summary	Detail	
1	68321 11225	10	 * 	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1MBVNT|2579VULN|3CDMG|478DUR|67DMG|7BPWR|aRCR
43	43223 36531	1	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|2678VULN|3BEXP|4TLV|57DMG|7BPWR|9RCR|aLHND
44	43223 36532	1	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|2678VULN|3BEXP|4TLV|57DMG|7BPWR|9RCR|aLWND
45	43326 36133	1	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	17LIT|2679VULN|3DUR|4ZMB|57DMG|7BPWR|8LHND|aRCR
46	68321 11361	10	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8BEXP|9LIT|aRCR
47	68321 11461	10	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9LIT|aRCR
48	68331 11454	9	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|2578VULN|3CDMG|47LHND|67DMG|7BPWR|9RCR|aDUR
49	61284 43371	9	 * 	274.62	DCR|3VULN|3DMG|3LIT|1DUR	1MBVNT|278LIT|39FEWX|489DMG|589VULN|6RCR|89BPWR|aDUR
50	68331 11451	9	 * 	274.59	DCR|4VULN|3DMG|1CDMG	1MBVNT|2578VULN|3CDMG|47LHND|67aDMG|7BPWR|9RCR
51	68473 41123	8	 * 	273.66	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1MBVNT|28aVULN|3DUR|48DMG|5ERES|6CDMG|78ASPD|8BPWR|9RCR
52	68371 11214	8	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57BEXP|67DMG|8aDUR|9RCR
53	68371 11222	10	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57BEXP|67DMG|8aDUR|9RCR
54	68371 11224	9	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57BEXP|67DMG|8aDUR|9RCR
55	68371 11314	7	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57BEXP|67DMG|8aDUR|9RCR
56	68374 11214	8	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57LWND|67DMG|8aDUR|9RCR
57	68374 11223	10	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57LWND|67DMG|8aDUR|9RCR
58	68374 11224	9	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57LWND|67DMG|8aDUR|9RCR
59	68374 11314	7	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57LWND|67DMG|8aDUR|9RCR
60	68321 11321	10	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|257VULN|3aCDMG|47DUR|67DMG|7BPWR|8BEXP|9RCR
61	68321 11421	10	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|257VULN|3aCDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR
62	68544 22331	5	 * 	273.37	DCR|4VULN|2ASPD|2TLV|1DUR	1MBVNT|257aVULN|3aASPD|4LIT|6RCR|8DUR|9aTLV|aBPWR
63	68321 11821	10	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|257VULN|3aCDMG|47DUR|67DMG|7BPWR|8DUST|9RCR
64	68373 11214	8	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57DUST|67DMG|8aDUR|9RCR
65	68373 11222	10	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57DUST|67DMG|8aDUR|9RCR
66	68373 11224	9	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57DUST|67DMG|8aDUR|9RCR
67	68373 11314	7	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|247VULN|34CDMG|47BPWR|57DUST|67DMG|8aDUR|9RCR
68	43313 33435	1	   	273.29	DCR|4VULN|2DUR|1DMG|2LIT	18LIT|2567VULN|34DUR|9RCR|aDMG
