0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16324 11621	8	 * 	271.78	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1CDMG|238VULN|4ASPD|5DUR|6RCR|7TLV|9AART|aDMG
19	16631 21621	8	   	264.68	DCR|4VULN|2DUR|3CDMG	168CDMG|2468VULN|3BELT|5DMSP|68BPWR|78DUR|9RCR|aLWND
20	16631 21622	8	   	264.68	DCR|4VULN|2DUR|3CDMG	168CDMG|2468VULN|3BELT|5DMSP|68BPWR|78DUR|9RCR|aFEWX
21	16631 21623	8	   	264.68	DCR|4VULN|2DUR|3CDMG	168CDMG|2468VULN|3BELT|5DMSP|68BPWR|78DUR|9RCR|aMLV
22	16324 11612	10	   	264.59	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2389VULN|4ASPD|5DUR|6RCR|7TLV|aERES
23	16324 11632	10	   	264.59	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1CDMG|238aVULN|4ASPD|5DUR|6RCR|7TLV|9ERES
24	16153 42221	4	   	263.96	DCR|2VULN|3DMG|2CDMG|1TLV|1DUR	17CDMG|27VULN|3BEXP|4DUR|5BELT|679DMG|7BPWR|8RCR|aTLV
25	16611 42221	5	   	263.86	DCR|2VULN|3DMG|2CDMG|1TLV|1DUR	17CDMG|27VULN|3BELT|4DUR|5DUST|679DMG|7BPWR|8RCR|aTLV
26	11243 11516	9	 * 	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	12CDMG|3DMG|489aVULN|5FEWX|6RCR|7TLV
27	13243 11516	9	   	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	12CDMG|2BPWR|3DMG|489aVULN|5FEWX|6RCR|7TLV
28	11244 11613	9	   	263.46	DCR|3VULN|3CDMG|1DMG|1TLV|1DUR	12aCDMG|3DMG|489VULN|5DUR|6RCR|7TLV
29	13244 11613	9	   	263.46	DCR|3VULN|3CDMG|1DMG|1TLV|1DUR	12aCDMG|2BPWR|3DMG|489VULN|5DUR|6RCR|7TLV
30	16324 13336	9	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1CDMG|23aVULN|4ASPD|5DUR|6RCR|7LWND|89DMG
31	16633 23512	6	 * 	263.39	DCR|5VULN|2CDMG|1DUR	16CDMG|24567VULN|3BELT|6BPWR|8RCR|9DUR|aZMB
32	16633 23513	6	   	263.39	DCR|5VULN|2CDMG|1DUR	16CDMG|24567VULN|3BELT|6BPWR|8RCR|9DUR|aCGEN
33	16633 23511	6	   	263.29	DCR|5VULN|2CDMG|1DUR	16CDMG|24567VULN|3BELT|6BPWR|8RCR|9DUR|aMBVNT
34	16324 16323	8	   	263.21	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD|1SELL	1CDMG|239VULN|4ASPD|5DUR|6RCR|7aDMG|8SELL
35	12613 24225	5	   	262.29	DCR|2VULN|3DMG|2DUR|2CDMG	1aCDMG|2LWND|3BELT|4aDUR|5aVULN|6RCR|789DMG|aBPWR
36	12613 43225	5	   	262.29	DCR|2VULN|3DMG|2DUR|2CDMG	1aCDMG|2LWND|3BELT|4aDUR|5aVULN|679DMG|8RCR|aBPWR
37	12323 56623	3	   	262.10	DCR|5VULN|2CDMG|2LIT	18CDMG|2LWND|34689VULN|58LIT|7RCVC|8BPWR|aRCR
38	16324 11323	8	   	261.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1SELL	1CDMG|239VULN|4ASPD|5DUR|6RCR|7TLV|8SELL|aDMG
39	16316 21316	6	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	19CDMG|239VULN|4ERES|5TLV|69DUR|7RMIN|8RCR|9BPWR|aAART
40	33243 23745	10	 * 	261.04	DCR|4VULN|3DMG	1DMSP|238LWND|48aDMG|5MBVNT|678aVULN|8aBPWR|9RCR
41	16324 11423	9	 * 	260.82	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG|1ASPD	1CDMG|23aVULN|4ASPD|5DUR|6RCR|7aTLV|8FEWX|9aLIT|aBPWR
42	16324 11523	9	   	260.82	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG|1ASPD	1CDMG|23aVULN|4ASPD|5DUR|6RCR|7aTLV|8BEXP|9aLIT|aBPWR
43	16633 13253	10	 * 	260.79	DCR|5VULN|1DMG|1CDMG	1CDMG|24589VULN|3BELT|6BEXP|7DMG|aRCR
44	16343 13532	6	   	260.45	DCR|3VULN|2DUR|2CDMG|1TLV	18CDMG|238VULN|4ZMB|5FEWX|6RCR|78DUR|8BPWR|9LIT|aTLV
45	11224 11133	7	 * 	260.32	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	12CDMG|3aDMG|4BEXP|5DUR|6RCR|7aTLV|8LIT|9aVULN|aBPWR
46	13224 11133	7	   	260.32	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	12CDMG|2aBPWR|3aDMG|4BEXP|5DUR|6RCR|7aTLV|8LIT|9aVULN
47	11214 11133	7	   	260.22	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	12CDMG|3aDMG|4DUST|5DUR|6RCR|7aTLV|8LIT|9aVULN|aBPWR
48	13214 11133	7	   	260.22	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	12CDMG|2aBPWR|3aDMG|4DUST|5DUR|6RCR|7aTLV|8LIT|9aVULN
49	16324 11621	7	   	259.45	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD|1AART	1CDMG|23VULN|4ASPD|58DUR|6RCR|7TLV|9AART|aDMG
50	16352 22232	3	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1CDMG|235VULN|4LHND|6DUR|7DMG|8RCR|9LIT|aTLV
51	16422 22232	2	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1CDMG|245VULN|3LHND|6DUR|7DMG|8RCR|9LIT|aTLV
52	35513 11316	8	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	1DMSP|29aVULN|3CGEN|49CDMG|5FEWX|6RCR|7TLV|89DMG|9BPWR
53	36311 35432	8	 * 	258.88	DCR|3VULN|3DUR|3LIT|1AART	1DMSP|2RCVC|379LIT|4LHND|579VULN|679DUR|79BPWR|8AART|aRCR
54	16365 11312	8	   	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	19CDMG|239VULN|4LEGI|5MLV|6RCR|7TLV|89DMG|9BPWR|aLWND
55	16365 11313	8	   	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	19CDMG|239VULN|4LEGI|5MLV|6RCR|7TLV|89DMG|9BPWR|aBEXP
56	16316 12512	6	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	19CDMG|239VULN|4ERES|5TLV|6LEGI|79DMG|8RCR|9BPWR|aLHND
57	16365 11311	8	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	19CDMG|239VULN|4LEGI|5MLV|6RCR|7TLV|89DMG|9BPWR|aERES
58	16633 23151	8	   	258.67	DCR|4VULN|1DMG|2CDMG|1ASPD	16CDMG|2456VULN|39BELT|6BPWR|7ASPD|8DMG|aRCR
59	16316 12511	6	   	258.66	DCR|3VULN|2DMG|2CDMG|1TLV	19CDMG|239VULN|4aERES|5TLV|6LEGI|79DMG|8RCR|9BPWR
60	42132 55212	7	 * 	258.54	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LWND|4579VULN|67DUR|8FEWX|aRCR
61	42132 55212	8	   	258.54	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LWND|4579VULN|67DUR|8FEWX|aRCR
62	42232 35112	8	   	258.54	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LHND|4579VULN|67DUR|8LWND|aRCR
63	42232 35212	7	   	258.54	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LHND|4579VULN|67DUR|8FEWX|aRCR
64	42232 35512	8	   	258.54	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LHND|4579VULN|67DUR|8FEWX|aRCR
65	42232 35612	7	   	258.54	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LHND|4578VULN|67DUR|9BEXP|aRCR
66	15133 12365	1	   	258.44	DCR|4VULN|2DUR|2CDMG	18CDMG|2RMIN|389aVULN|4BELT|58DUR|6TBNT|7RCR|8BPWR
67	15133 22365	1	   	258.44	DCR|4VULN|2DUR|2CDMG	18CDMG|2RMIN|389aVULN|4BELT|58DUR|6BBNT|7RCR|8BPWR
68	24528 11344	2	 * 	258.44	DCR|4VULN|2DUR|1DMG	1BEXP|2568VULN|36DUR|4MBVNT|6BPWR|7DMG|9FEWX|aRCR
69	42132 55112	7	   	258.44	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LWND|4579VULN|67DUR|8LEGI|aRCR
70	42232 35112	7	   	258.44	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LHND|4579VULN|67DUR|8LEGI|aRCR
71	42232 35412	8	   	258.44	DCR|4VULN|2DUR|3LIT	127LIT|257BPWR|35LHND|4579VULN|67DUR|8DUST|aRCR
72	16323 41162	5	   	258.10	DCR|4VULN|1DUR|1CDMG|1ASPD|1AART	1CDMG|2368VULN|4ASPD|5BELT|7DUR|9RCR|aAART
73	16316 21313	6	   	258.09	DCR|3VULN|2DUR|3CDMG|1TLV	19aCDMG|239VULN|4ERES|5TLV|69DUR|7RMIN|8RCR|9BPWR
74	16352 22216	3	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1CDMG|235aVULN|4LHND|6DUR|7DMG|8RCR|9MLV
75	16422 22216	2	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1CDMG|245aVULN|3LHND|6DUR|7DMG|8RCR|9MLV
76	16633 13113	10	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1CDMG|245aVULN|3BELT|6BEXP|7DMG|8DUR|9RCR
77	11244 16112	9	   	257.44	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD	12CDMG|37DMG|49VULN|58DUR|6RCR|aASPD
78	13244 16112	9	   	257.44	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD	12CDMG|2BPWR|37DMG|49VULN|58DUR|6RCR|aASPD
79	16335 33422	9	   	257.43	DCR|4VULN|1DMG|2CDMG|1AART	19CDMG|2379VULN|4FEWX|5AART|6DMG|89LWND|9BPWR|aRCR
80	11244 11611	10	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|3DMG|489VULN|5DUR|6RCR|7TLV|aFEWX
81	11244 11611	9	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|3DMG|489VULN|5DUR|6RCR|7TLV|aLWND
82	11244 11612	9	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|3DMG|489VULN|5DUR|6RCR|7TLV|aLHND
83	11244 11613	10	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|3DMG|489VULN|5DUR|6RCR|7TLV|aLHND
84	13244 11611	10	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|2BPWR|3DMG|489VULN|5DUR|6RCR|7TLV|aFEWX
85	13244 11611	9	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|2BPWR|3DMG|489VULN|5DUR|6RCR|7TLV|aLWND
86	13244 11612	9	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|2BPWR|3DMG|489VULN|5DUR|6RCR|7TLV|aLHND
87	13244 11613	10	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|2BPWR|3DMG|489VULN|5DUR|6RCR|7TLV|aLHND
88	11244 11612	10	   	257.32	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|3DMG|489VULN|5DUR|6RCR|7TLV|aERES
89	11244 11632	10	   	257.32	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|3DMG|48aVULN|5DUR|6RCR|7TLV|9ERES
90	13244 11612	10	   	257.32	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|2BPWR|3DMG|489VULN|5DUR|6RCR|7TLV|aERES
91	13244 11632	10	   	257.32	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	12CDMG|2BPWR|3DMG|48aVULN|5DUR|6RCR|7TLV|9ERES
92	16335 33522	9	   	257.23	DCR|4VULN|1DMG|2CDMG|1AART	19CDMG|2379VULN|4FEWX|5AART|6DMG|89DUST|9BPWR|aRCR
93	11244 11325	8	   	257.18	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1SELL	12CDMG|3DMG|49aVULN|5DUR|6RCR|7TLV|8SELL
94	13244 11325	8	   	257.18	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1SELL	12CDMG|2BPWR|3DMG|49aVULN|5DUR|6RCR|7TLV|8SELL
95	16324 11532	6	   	256.87	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD	18CDMG|238VULN|4ASPD|5DUR|6RCR|78LHND|8BPWR|9LIT|aTLV
96	16324 12532	6	   	256.87	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD	18CDMG|238VULN|4ASPD|5DUR|6RCR|78BEXP|8BPWR|9LIT|aTLV
97	16324 12532	7	   	256.87	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD	18CDMG|238VULN|4ASPD|5DUR|6RCR|78LHND|8BPWR|9LIT|aTLV
98	16324 13532	7	   	256.87	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD	18CDMG|238VULN|4ASPD|5DUR|6RCR|78LWND|8BPWR|9LIT|aTLV
99	16324 11131	7	   	256.67	DCR|3VULN|2CDMG|1DUR|1TLV|1ASPD	1aCDMG|239VULN|4ASPD|5DUR|6RCR|7TLV|8LIT
100	16324 11631	8	   	256.67	DCR|3VULN|2CDMG|1DUR|1TLV|1ASPD	1aCDMG|238VULN|4ASPD|5DUR|6RCR|7TLV|9LIT
101	35221 41522	9	   	256.66	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1DMSP|269VULN|39LWND|4ASPD|56CDMG|69BPWR|79DUR|8AART|aRCR
102	16324 11135	10	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1CDMG|23aVULN|4ASPD|59DUR|6RCR|7TLV|8CGEN
103	35521 11312	8	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1DMSP|29VULN|3CGEN|49DUR|5CDMG|6RCR|7TLV|89DMG|9BPWR|aLWND
104	35521 11313	8	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1DMSP|29VULN|3CGEN|49DUR|5CDMG|6RCR|7TLV|89DMG|9BPWR|aBEXP
105	35521 11315	8	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1DMSP|29VULN|3CGEN|49DUR|5CDMG|6RCR|7TLV|89DMG|9BPWR|aFEWX
106	35521 11311	8	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1DMSP|29VULN|3CGEN|49DUR|5CDMG|6RCR|7TLV|89DMG|9BPWR|aERES
107	25512 12316	8	 * 	256.36	DCR|3VULN|2DMG|2TLV|1CDMG	19BEXP|25TLV|39aVULN|4CDMG|6RCR|7CGEN|89DMG|9BPWR
108	16324 11521	7	 * 	255.08	DCR|2VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|23VULN|48ASPD|5DUR|6RCR|7TLV|9AART|aDMG
109	11244 16113	10	   	254.74	DCR|2VULN|2DMG|2DUR|2CDMG	12CDMG|37DMG|49VULN|58DUR|6RCR|aLIT
110	13244 16113	10	   	254.74	DCR|2VULN|2DMG|2DUR|2CDMG	12CDMG|2BPWR|37DMG|49VULN|58DUR|6RCR|aLIT
111	16324 11123	7	   	254.27	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	1CDMG|23aVULN|4ASPD|5DUR|6RCR|7aTLV|8LIT|9aFEWX|aBPWR
112	16322 31536	7	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|23aVULN|4ASPD|5DMG|6CGEN|7DUR|8RCR|9LIT
113	16324 13321	10	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|23aVULN|4ASPD|5DUR|6RCR|7LWND|8DMG|9LIT
114	16316 22513	6	   	254.14	DCR|2VULN|2DMG|3CDMG|1TLV|1DUR	19aCDMG|23VULN|49ERES|5TLV|6DUR|79DMG|8RCR|9BPWR
115	16322 23135	6	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|239VULN|4ASPD|5DMG|6MBVNT|7RCR|8LIT|aDUR
116	16322 26135	7	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|239VULN|4ASPD|5DMG|6MBVNT|7RCR|8LIT|aDUR
117	16324 16131	7	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|239VULN|4ASPD|5DUR|6RCR|7DMG|8LIT|aMBVNT
118	16324 16133	7	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|239VULN|4ASPD|5DUR|6RCR|7DMG|8LIT|aDUST
119	16343 13522	6	   	253.86	DCR|3VULN|2DUR|2CDMG|1AART	18CDMG|238VULN|4ZMB|5FEWX|6RCR|78DUR|8BPWR|9AART|aLIT
120	12312 22614	10	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2LWND|3689VULN|4RMIN|5TLV|7DUR|aRCR
121	12312 22646	9	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2LWND|368aVULN|4RMIN|5TLV|7DUR|9RCR
122	45136 33333	7	   	253.61	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV	1LIT|2BEXP|3aVULN|4aDUR|5DMG|6aCDMG|7MLV|8TLV|9RCR|aBPWR
123	16322 26742	10	 * 	253.17	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR	19CDMG|23VULN|49ASPD|59DMG|6MBVNT|7RCR|8RPLT|9BPWR|aDUR
124	11243 16135	10	   	252.95	DCR|2VULN|2DMG|3CDMG|1DUR|2LIT	12aCDMG|37DMG|4aVULN|5FEWX|6RCR|8DUR|9aLIT|aBPWR
125	13243 16135	10	   	252.95	DCR|2VULN|2DMG|3CDMG|1DUR|2LIT	12aCDMG|2aBPWR|37DMG|4aVULN|5FEWX|6RCR|8DUR|9aLIT
126	16352 22222	3	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1CDMG|235VULN|4LHND|6DUR|7DMG|8RCR|9AART|aLIT
127	16422 22222	2	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1CDMG|245VULN|3LHND|6DUR|7DMG|8RCR|9AART|aLIT
128	16324 13336	10	   	252.79	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|23VULN|4ASPD|5DUR|6RCR|7LWND|89DMG|aTLV
129	34531 11316	8	   	252.65	DCR|3VULN|2DMG|1TLV|1CDMG	1DMSP|29FEWX|3CGEN|49aVULN|5CDMG|6RCR|7TLV|89DMG|9BPWR
130	15143 22513	2	   	252.58	DCR|2VULN|2DMG|2DUR|3CDMG	19aCDMG|2CGEN|39VULN|4ERES|56DUR|79DMG|8RCR|9BPWR
131	16233 42241	2	   	252.37	DCR|3VULN|2DMG|2CDMG|1AART	17CDMG|279VULN|3LWND|4BEXP|5BELT|67DMG|7BPWR|8RCR|aAART
132	16312 11265	6	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1CDMG|23aVULN|4ERES|5BELT|6DUR|78DMG|9RCR
133	16312 21265	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1CDMG|23aVULN|4ERES|5BELT|6DUR|78DMG|9RCR
134	12324 32516	3	   	252.27	DCR|3VULN|2DMG|2CDMG|1AART	19CDMG|2LWND|349VULN|5CGEN|6ERES|79DMG|8RCR|9BPWR|aAART
135	11243 11512	10	   	252.18	DCR|3VULN|1DMG|2CDMG|1TLV|1ASPD	12CDMG|3DMG|489VULN|5FEWX|6RCR|7TLV|aASPD
136	13243 11512	10	   	252.18	DCR|3VULN|1DMG|2CDMG|1TLV|1ASPD	12CDMG|2BPWR|3DMG|489VULN|5FEWX|6RCR|7TLV|aASPD
137	16313 16512	10	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1CDMG|2389VULN|4ERES|5FEWX|6RCR|7DMG|aASPD
138	16322 23347	6	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1CDMG|239aVULN|4ASPD|5DMG|6MBVNT|7RCR|8LHND
139	16322 26347	7	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1CDMG|239aVULN|4ASPD|5DMG|6MBVNT|7RCR|8LHND
140	16333 16512	10	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1CDMG|2389VULN|4FEWX|5ERES|6RCR|7DMG|aASPD
141	16322 23247	6	   	252.06	DCR|4VULN|1DMG|1CDMG|1ASPD	1CDMG|239aVULN|4ASPD|5DMG|6MBVNT|7RCR|8DUST
142	16322 26247	7	   	252.06	DCR|4VULN|1DMG|1CDMG|1ASPD	1CDMG|239aVULN|4ASPD|5DMG|6MBVNT|7RCR|8DUST
143	16322 26447	8	   	252.06	DCR|4VULN|1DMG|1CDMG|1ASPD	1CDMG|239aVULN|4ASPD|5DMG|6MBVNT|7RCR|8DUST
144	16121 27434	2	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1aCDMG|24aVULN|39BEXP|5MBVNT|6TLV|7aDUR|8RCR|aBPWR
145	16121 27434	3	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1aCDMG|24aVULN|39BEXP|5MBVNT|6TLV|7aDUR|8RCR|aBPWR
146	16316 21312	6	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	19CDMG|239VULN|4ERES|5TLV|69DUR|7RMIN|8RCR|9BPWR|aLHND
147	16316 21314	6	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	19CDMG|239VULN|4ERES|5TLV|69DUR|7RMIN|8RCR|9BPWR|aBEXP
148	16316 21315	6	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	19CDMG|239VULN|4ERES|5TLV|69DUR|7RMIN|8RCR|9BPWR|aFEWX
149	16331 27434	3	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1aCDMG|23aVULN|49BEXP|5MBVNT|6TLV|7aDUR|8RCR|aBPWR
150	16152 22316	9	   	252.02	DCR|4VULN|2DUR|1CDMG	1CDMG|269aVULN|35BEXP|47DUR|8RCR
151	16324 11324	8	   	252.02	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG|1SELL	1CDMG|239VULN|4aASPD|5DUR|6RCR|7TLV|8SELL
152	16316 21311	6	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	19CDMG|239VULN|4aERES|5TLV|69DUR|7RMIN|8RCR|9BPWR
153	16331 23826	4	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	1aCDMG|23aVULN|4FEWX|5MBVNT|6TLV|7aDUR|8RCR|9TBNT|aBPWR
154	16324 11623	8	   	251.71	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD|1AART	1CDMG|238VULN|4ASPD|5DUR|6RCR|7TLV|9AART|aFEWX
155	16316 43332	6	   	251.61	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD|1AART	1CDMG|236VULN|4ERES|5TLV|7AART|8ASPD|9DUR|aRCR
156	16324 11622	8	   	251.61	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD|1AART	1CDMG|238VULN|4ASPD|5DUR|6RCR|7TLV|9AART|aMBVNT
157	11244 11621	8	   	251.18	DCR|2VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD|1AART	12CDMG|3DMG|48VULN|5DUR|6RCR|7TLV|9AART|aASPD
158	11244 11621	7	   	251.18	DCR|2VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD|1AART	12CDMG|3DMG|48VULN|5DUR|6RCR|7TLV|9AART|aASPD
159	13244 11621	8	   	251.18	DCR|2VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD|1AART	12CDMG|2BPWR|3DMG|48VULN|5DUR|6RCR|7TLV|9AART|aASPD
