0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23214 16332	6	 * 	290.13	DCR|3VULN|3DUR|2DMG|2TLV	14aDUR|269VULN|3aTLV|5RCVC|7RCR|8aDMG|aBPWR
27	23223 31121	9	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|267aVULN|3TLV|4DUST|5CDMG|8DMG|9RCR
28	23223 31123	10	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|267aVULN|3TLV|4DUST|5CDMG|8DMG|9RCR
29	22625 14132	7	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	157DUR|2BEXP|37VULN|4RPLT|67DMG|7BPWR|8CDMG|9RCR|aTLV
30	61432 33253	3	   	270.94	DCR|4VULN|2DMG|1DUR|1CDMG	1LIT|24DMG|3457VULN|4BPWR|6LWND|8CDMG|9RCR|aDUR
31	23253 62132	5	   	270.37	DCR|5VULN|2DUR|1TLV	1aDUR|25679VULN|3TLV|4CGEN|8RCR
32	23614 62132	2	   	270.37	DCR|5VULN|2DUR|1TLV	1aDUR|23679VULN|4TLV|5CGEN|8RCR
33	15611 52132	5	 * 	270.12	DCR|5VULN|2DUR|3CDMG|1SELL	16aCDMG|2ERES|3SELL|4aDUR|5679aVULN|6aBPWR|8RCR
34	16231 23353	2	   	268.82	DCR|3VULN|3DUR|3CDMG|2LIT|1AART	169CDMG|29aVULN|3AART|4DUST|5aLIT|79aDUR|8RCR|9aBPWR
35	24252 42332	7	   	268.56	DCR|2VULN|2DMG|2TLV|2DUR|2ASPD	18DUR|2aLHND|38TLV|4CGEN|5aDMG|6RCR|78ASPD|8aBPWR|9aVULN
36	23212 42525	9	 * 	267.94	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG	149DUR|29VULN|3TLV|5LEGI|6RCR|7ASPD|89CDMG|9BPWR|aDMG
37	61432 32632	3	   	267.25	DCR|4VULN|2DMG|1TLV	1LIT|24DMG|3459VULN|4BPWR|6LWND|7RCR|8TLV|aLHND
38	61432 32633	3	   	267.15	DCR|4VULN|2DMG|1TLV	1LIT|24DMG|3459VULN|4BPWR|6LWND|7RCR|8TLV|aTBNT
39	61432 32532	3	   	267.00	DCR|4VULN|2DMG|1TLV|1SELL	1LIT|24DMG|3459VULN|4BPWR|6LWND|7RCR|8SELL|aTLV
40	61431 33252	3	   	266.40	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	15LIT|24DMG|347VULN|4BPWR|6LWND|8CDMG|9RCR|aTLV
41	16523 22533	3	 * 	266.18	DCR|3VULN|1TLV|1DMG|2CDMG|2ASPD|1AART	19CDMG|249VULN|3DMG|5TLV|6AART|7DMSP|89ASPD|9BPWR|aRCR
42	25225 36132	4	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1aDUR|2ERES|3aDMG|4CDMG|58TLV|6RPLT|7RCR|9aVULN|aBPWR
43	23322 62135	1	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	12DUR|2BPWR|3CGEN|4TLV|5679VULN|8RCR|aCDMG
44	25322 62135	1	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	12DUR|3CGEN|4TLV|5679VULN|8RCR|aCDMG
45	23213 22645	8	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	14DUR|2679VULN|3TLV|5LWND|8RCR|aCDMG
46	23214 62135	4	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	14DUR|2679VULN|3TLV|5CGEN|8RCR|aCDMG
47	24261 41332	6	   	265.64	DCR|2VULN|3DUR|2DMG|2TLV	18aDUR|28LHND|3aTLV|4RMIN|5CGEN|6RCR|78DMG|8aBPWR|9aVULN
48	21655 11132	6	   	265.45	DCR|4VULN|3DUR|1TLV	13aDUR|2DMSP|4TLV|569aVULN|7aZMB|8RCR|aBPWR
49	23512 41122	6	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	149DUR|29VULN|3MLV|5LEGI|6RCR|7aDMG|89TLV|9BPWR
50	23213 22644	8	   	265.25	DCR|4VULN|3DUR|1TLV	14aDUR|2679VULN|3TLV|5LWND|8RCR
51	23243 31122	10	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1aDUR|267VULN|3TLV|4BEXP|5CDMG|8DMG|9RCR
52	23243 33121	9	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	17DUR|26aVULN|3TLV|4BEXP|5CDMG|8DMG|9RCR
53	23243 33123	10	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	17DUR|26aVULN|3TLV|4BEXP|5CDMG|8DMG|9RCR
54	23223 31122	10	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1aDUR|267VULN|3TLV|4DUST|5CDMG|8DMG|9RCR
55	23223 33121	9	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	17DUR|26aVULN|3TLV|4DUST|5CDMG|8DMG|9RCR
56	23223 33123	10	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	17DUR|26aVULN|3TLV|4DUST|5CDMG|8DMG|9RCR
57	23315 16333	6	 * 	264.13	DCR|5VULN|2DUR|1DMG	14DUR|2569aVULN|3ERES|7RCR|8DMG
58	21656 31132	7	   	264.12	DCR|3VULN|3DUR|1TLV|2CDMG|1SELL	13aDUR|2DMSP|4TLV|5aCDMG|69aVULN|7SELL|8RCR|aBPWR
59	61432 33236	3	   	263.00	DCR|4VULN|2DMG|1CDMG	1LIT|24DMG|3457VULN|4BPWR|6LWND|8CDMG|9ASPD|aRCR
60	61363 12212	8	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|29DMG|3CGEN|4DUR|569VULN|7TLV|89FEWX|9BPWR|aRCR
61	61363 12212	7	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|29DMG|3CGEN|4DUR|569VULN|7TLV|89BEXP|9BPWR|aRCR
62	61363 12312	8	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|29DMG|3CGEN|4DUR|569VULN|7TLV|89LWND|9BPWR|aRCR
63	61363 14212	6	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|29DMG|3CGEN|4DUR|569VULN|7TLV|89BEXP|9BPWR|aRCR
64	61432 32622	3	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|24DMG|345VULN|4BPWR|6LWND|7RCR|8TLV|9DUR|aRPLT
65	61563 12212	7	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|29DMG|3ERES|4DUR|569VULN|7TLV|89BEXP|9BPWR|aRCR
66	61563 12212	8	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|29DMG|3ERES|4DUR|569VULN|7TLV|89FEWX|9BPWR|aRCR
67	61563 12312	8	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|29DMG|3ERES|4DUR|569VULN|7TLV|89LWND|9BPWR|aRCR
68	61431 32631	3	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	15LIT|24DMG|349VULN|4BPWR|6LWND|7RCR|8TLV|aAART
69	25212 61321	9	 * 	262.38	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2ERES|39DMG|47aVULN|5DUST|6RCR|89CDMG|9BPWR
70	25212 61323	10	   	262.38	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2ERES|39DMG|47aVULN|5DUST|6RCR|89CDMG|9BPWR
71	25212 64221	9	   	262.38	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2ERES|39DMG|48aVULN|5DUST|6RCR|79CDMG|9BPWR
72	25212 64223	10	   	262.38	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2ERES|39DMG|48aVULN|5DUST|6RCR|79CDMG|9BPWR
73	61432 32621	3	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|24DMG|345VULN|4BPWR|6LWND|7RCR|8TLV|9DUR|aERES
74	61432 32611	3	   	261.85	DCR|3VULN|3DMG|1TLV	1LIT|249DMG|345VULN|4BPWR|6LWND|7RCR|8TLV|aBEXP
75	61432 32612	3	   	261.85	DCR|3VULN|3DMG|1TLV	1LIT|249DMG|345VULN|4BPWR|6LWND|7RCR|8TLV|aZMB
76	23452 13252	2	   	261.24	DCR|3VULN|2DUR|1TLV|1CDMG	16DUR|247VULN|3LIT|5ASPD|8CDMG|9RCR|aTLV
77	23662 13252	2	   	261.24	DCR|3VULN|2DUR|1TLV|1CDMG	16DUR|237VULN|4LIT|5ASPD|8CDMG|9RCR|aTLV
78	13562 16332	5	 * 	260.83	DCR|2VULN|2TLV|2DUR|3CDMG|1DMG	18aCDMG|28CGEN|3RPLT|4aDUR|5DMG|68TLV|7RCR|8aBPWR|9aVULN
79	22212 42246	9	   	260.79	DCR|3VULN|3DUR|2TLV	149DUR|2BEXP|39TLV|5LHND|6RCR|7ASPD|89aVULN|9BPWR
80	23213 22623	8	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	14DUR|267VULN|3TLV|5LWND|8RCR|9AART|aDMG
81	23252 46133	4	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	19DUR|289VULN|3TLV|4CGEN|5AART|6RCR|79ERES|9BPWR|aDMG
82	23252 46133	3	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	19DUR|289VULN|3TLV|4CGEN|5AART|6RCR|79ERES|9BPWR|aDMG
83	22222 42246	9	   	260.69	DCR|3VULN|3DUR|2TLV	159DUR|2BEXP|39TLV|45DUST|59BPWR|6RCR|7ASPD|89aVULN
84	21653 11132	6	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	13aDUR|2DMSP|4TLV|5aASPD|69aVULN|7RCVC|8RCR|aBPWR
85	21653 15132	7	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	13aDUR|2DMSP|4TLV|5aASPD|69aVULN|7RCVC|8RCR|aBPWR
86	23145 43311	10	   	260.45	DCR|3VULN|3DUR|3CDMG|2ASPD	148DUR|289VULN|3FEWX|59ASPD|6RCR|789CDMG|89BPWR|aERES
87	23253 14323	7	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|25VULN|39TLV|4CGEN|6DUST|7RCR|89DMG|9BPWR|aLIT
88	22215 42221	10	   	260.33	DCR|4VULN|2DUR|1TLV	14DUR|2BEXP|3TLV|589aVULN|6RCR|7ASPD
89	23214 62131	4	   	260.33	DCR|4VULN|2DUR|1TLV	14DUR|2679VULN|3TLV|5CGEN|8RCR|aLIT
90	23254 62131	4	   	260.33	DCR|4VULN|2DUR|1TLV	15DUR|2679VULN|3TLV|4CGEN|8RCR|aLIT
91	23254 62131	3	   	260.33	DCR|4VULN|2DUR|1TLV	15DUR|2679VULN|3TLV|4CGEN|8RCR|aLIT
92	23264 62131	3	   	260.33	DCR|4VULN|2DUR|1TLV	14DUR|2679VULN|3TLV|5CGEN|8RCR|aLIT
93	23322 62131	1	   	260.33	DCR|4VULN|2DUR|1TLV	12DUR|2BPWR|3CGEN|4TLV|5679VULN|8RCR|aLIT
94	25322 62131	1	   	260.33	DCR|4VULN|2DUR|1TLV	12DUR|3CGEN|4TLV|5679VULN|8RCR|aLIT
95	23225 61323	7	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|27VULN|39TLV|4DUST|5ERES|6RCR|89DMG|9BPWR|aLIT
96	25412 61323	7	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|2ERES|39TLV|47VULN|5DUST|6RCR|89DMG|9BPWR|aLIT
97	23145 43312	10	   	260.31	DCR|3VULN|3DUR|3CDMG|2ASPD|1SELL	148DUR|289VULN|3FEWX|59ASPD|6RCR|789CDMG|89BPWR|aSELL
98	23145 43313	9	   	260.31	DCR|3VULN|3DUR|3CDMG|2ASPD|1SELL	148DUR|289VULN|3FEWX|59ASPD|6RCR|789CDMG|89BPWR|aSELL
99	23215 62131	5	   	260.23	DCR|4VULN|2DUR|1TLV	14DUR|2679VULN|3TLV|5ERES|8RCR|aLIT
100	23333 62131	3	   	260.23	DCR|4VULN|2DUR|1TLV	15DUR|2679VULN|3ERES|4TLV|8RCR|aLIT
101	25413 62131	4	   	260.23	DCR|4VULN|2DUR|1TLV	15DUR|2ERES|3TLV|4679VULN|8RCR|aLIT
102	25533 62131	2	   	260.23	DCR|4VULN|2DUR|1TLV	15DUR|2ERES|3679VULN|4TLV|8RCR|aLIT
103	25533 62131	3	   	260.23	DCR|4VULN|2DUR|1TLV	15DUR|2ERES|3679VULN|4TLV|8RCR|aLIT
