0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33315 33622	7	 * 	282.46	DCR|3VULN|3DMG|3DUR	1RPLT|247DUR|3RCVC|57aVULN|67aDMG|7aBPWR|8TBNT|9RCR
46	11214 66221	9	   	254.62	DCR|4VULN|2DUR|1TLV	18ERES|248aVULN|3BEXP|5TLV|68DUR|7RCVC|8BPWR|9RCR
47	11216 42221	9	   	254.62	DCR|4VULN|2DUR|1TLV	18ERES|248aVULN|3BEXP|5RCVC|6TLV|78DUR|8BPWR|9RCR
48	11614 61221	9	   	254.62	DCR|4VULN|2DUR|1TLV	18ERES|248aVULN|37FEWX|5TLV|68DUR|8BPWR|9RCR
49	11616 42221	9	   	254.62	DCR|4VULN|2DUR|1TLV	18ERES|248aVULN|3FEWX|5RCVC|6TLV|78DUR|8BPWR|9RCR
50	33611 12253	5	 * 	254.57	4VULN|3DMG|3DUR|1TLV|1CDMG	1RPLT|289DUR|389DMG|4CDMG|5BEXP|6789VULN|89BPWR|aTLV
51	33613 12253	4	   	254.57	4VULN|3DMG|3DUR|1TLV|1CDMG	1RPLT|289DUR|389DMG|4CDMG|5BEXP|6789VULN|89BPWR|aTLV
52	33662 12253	5	   	254.57	4VULN|3DMG|3DUR|1TLV|1CDMG	1RPLT|289DUR|389DMG|4BEXP|5CDMG|6789VULN|89BPWR|aTLV
53	11212 42225	9	   	254.52	DCR|4VULN|2DUR|1TLV	158ERES|2489VULN|3BEXP|6TLV|78DUR|8BPWR|aRCR
54	11212 42255	8	   	254.52	DCR|4VULN|2DUR|1TLV	158ERES|2489VULN|3BEXP|6TLV|78DUR|8BPWR|aRCR
55	11612 42225	9	   	254.52	DCR|4VULN|2DUR|1TLV	158ERES|2489VULN|3FEWX|6TLV|78DUR|8BPWR|aRCR
56	14122 12155	3	   	254.45	DCR|3VULN|3DMG|1DUR	19ERES|2FEWX|389DMG|4BEXP|5DUR|679VULN|9BPWR|aRCR
57	16234 61123	10	   	254.42	DCR|4VULN|2DUR|1TLV	12ERES|378aVULN|46DUR|5TLV|9RCR
58	12122 12155	3	   	254.35	DCR|3VULN|3DMG|1DUR	19ERES|2DUST|389DMG|4BEXP|5DUR|679VULN|9BPWR|aRCR
59	12132 12155	3	   	254.35	DCR|3VULN|3DMG|1DUR	19ERES|2DUST|389DMG|4FEWX|5DUR|679VULN|9BPWR|aRCR
60	12161 12155	5	   	254.35	DCR|3VULN|3DMG|1DUR	19ERES|2DUST|389DMG|4DUR|5BEXP|679VULN|9BPWR|aRCR
61	12163 12155	4	   	254.35	DCR|3VULN|3DMG|1DUR	19ERES|2DUST|389DMG|4DUR|5BEXP|679VULN|9BPWR|aRCR
62	11122 22131	3	   	254.35	DCR|3VULN|3DMG|1DUR	1ERES|27aVULN|389DMG|4BEXP|5DUR|6RCR
63	11153 22131	3	   	254.35	DCR|3VULN|3DMG|1DUR	1ERES|27aVULN|389DMG|4DUR|5BEXP|6RCR
64	11153 22251	2	   	254.33	DCR|5VULN|1DUR|1ASPD	19ERES|2789aVULN|3ASPD|4DUR|59BEXP|6RCR|9BPWR
65	12153 22251	1	   	254.33	DCR|5VULN|1DUR|1ASPD	19ERES|2789aVULN|3ASPD|4DUR|59BEXP|6RCR|9BPWR
66	11142 22131	4	   	254.25	DCR|3VULN|3DMG|1DUR	1ERES|27aVULN|389DMG|4DUST|5DUR|6RCR
67	11122 22211	2	   	254.23	DCR|5VULN|1DUR|1ASPD	1ERES|2789aVULN|3ASPD|4BEXP|5DUR|6RCR
68	11153 22211	2	   	254.23	DCR|5VULN|1DUR|1ASPD	1ERES|2789aVULN|3ASPD|4DUR|5BEXP|6RCR
69	12122 22211	1	   	254.23	DCR|5VULN|1DUR|1ASPD	1ERES|2789aVULN|3ASPD|4BEXP|5DUR|6RCR
70	12153 22211	1	   	254.23	DCR|5VULN|1DUR|1ASPD	1ERES|2789aVULN|3ASPD|4DUR|5BEXP|6RCR
71	33315 33213	9	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|247DUR|3RCVC|57VULN|67DMG|7BPWR|8FEWX|9RCR|aCDMG
72	33315 33213	8	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|247DUR|3RCVC|57VULN|67DMG|7BPWR|8FEWX|9RCR|aCDMG
73	33315 33213	7	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|247DUR|3RCVC|57VULN|67DMG|7BPWR|8BEXP|9RCR|aCDMG
74	33315 33513	8	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|247DUR|3RCVC|57VULN|67DMG|7BPWR|8LWND|9RCR|aCDMG
75	33315 33513	9	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|247DUR|3RCVC|57VULN|67DMG|7BPWR|8LWND|9RCR|aCDMG
76	11162 41126	9	   	253.41	DCR|4VULN|1DMG|1TLV|1AART	1ERES|2578VULN|3DMG|4CGEN|6TLV|9RCR|aAART
77	11152 63151	3	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|29aVULN|38DMG|45DUR|6RCR|79FEWX|9BPWR
78	11122 22154	3	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4BEXP|59DUR|6RCR|9BPWR|aDMSP
79	11122 22155	3	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4BEXP|59DUR|6RCR|9BPWR|aFEWX
80	11122 22156	3	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4BEXP|59DUR|6RCR|9BPWR|aRPLT
81	11122 25151	3	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|29aVULN|38DMG|4BEXP|59DUR|6RCR|7DMSP|9BPWR
82	11226 23311	3	   	253.38	DCR|3VULN|2DMG|2DUR	1ERES|29aVULN|3BEXP|4DUST|59DMG|6RCR|7LHND|89DUR|9BPWR
83	11226 24311	3	   	253.38	DCR|3VULN|2DMG|2DUR	1ERES|29aVULN|3BEXP|4DUST|59DMG|6RCR|7LWND|89DUR|9BPWR
84	11122 21111	4	   	253.28	DCR|3VULN|2DMG|2DUR	1ERES|29aVULN|38DMG|4LHND|57DUR|6RCR
85	11152 63111	3	   	253.28	DCR|3VULN|2DMG|2DUR	1ERES|29aVULN|38DMG|45DUR|6RCR|7FEWX
86	11152 65111	3	   	253.28	DCR|3VULN|2DMG|2DUR	1ERES|29aVULN|38DMG|45DUR|6RCR|7LHND
87	11122 22153	3	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4BEXP|59DUR|6RCR|9BPWR|aDUST
88	11142 22152	4	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4DUST|59DUR|6RCR|9BPWR|aBEXP
89	11142 22154	4	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4DUST|59DUR|6RCR|9BPWR|aDMSP
90	11142 22155	4	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4DUST|59DUR|6RCR|9BPWR|aFEWX
91	11142 22156	4	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4DUST|59DUR|6RCR|9BPWR|aRPLT
92	11142 25151	4	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|29aVULN|38DMG|4DUST|59DUR|6RCR|7DMSP|9BPWR
93	11122 22531	3	   	253.28	DCR|3VULN|2DMG|2DUR	1ERES|27aVULN|39DMG|4BEXP|58DUR|6RCR
94	11153 22531	3	   	253.28	DCR|3VULN|2DMG|2DUR	1ERES|27aVULN|39DMG|48DUR|5BEXP|6RCR
95	11152 64111	3	   	253.18	DCR|3VULN|2DMG|2DUR	1ERES|29aVULN|38DMG|45DUR|6RCR|7DUST
96	11142 22153	4	   	253.18	DCR|3VULN|2DMG|2DUR	19ERES|279VULN|38DMG|4aDUST|59DUR|6RCR|9BPWR
97	11142 22531	4	   	253.18	DCR|3VULN|2DMG|2DUR	1ERES|27aVULN|39DMG|4DUST|58DUR|6RCR
