0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52132 42214	4	 * 	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3DUST|479aVULN|57DUR|6RCR|7BPWR|8CDMG
22	52132 42216	4	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8CDMG|aLIT
23	55211 13122	4	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	1RPLT|23aVULN|4aASPD|56DUR|7CGEN|8RCR|9aDMG|aBPWR
24	33661 23522	9	 * 	273.55	DCR|3VULN|2DMG|3ASPD|3LIT	1RMIN|2BELT|358LIT|48aVULN|6RCR|78aASPD|8aBPWR|9aDMG
25	23534 12362	2	 * 	272.15	DCR|2VULN|3DMG|2DUR|2CDMG|1AART	158FEWX|2aDUR|38CDMG|4AART|6RCR|78aDMG|8aBPWR|9aVULN
26	43215 12362	1	   	271.85	DCR|2VULN|3DMG|2DUR|2CDMG|1AART	128DUST|3AART|4aDUR|58CDMG|6RCR|78aDMG|8aBPWR|9aVULN
27	55221 41111	8	 * 	271.14	DCR|5VULN|3DUR	1RPLT|23478VULN|4BPWR|56aDUR|9RCR
28	51262 53333	6	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27LWND|358VULN|47DUR|67DMG|7BPWR|9TLV|aRCR
29	52231 23333	4	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DMG|348VULN|57DUR|67LWND|7BPWR|9TLV|aRCR
30	52232 13333	4	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DMG|348VULN|57LWND|67DUR|7BPWR|9TLV|aRCR
31	52353 13333	5	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DMG|3RCVC|4LWND|578VULN|67DUR|7BPWR|9TLV|aRCR
32	52532 23333	4	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DMG|35DUR|478VULN|67LWND|7BPWR|9TLV|aRCR
33	52132 42121	4	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8LHND|aTLV
34	52132 42331	4	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8BEXP|aTLV
35	52211 34323	8	 * 	269.24	DCR|3VULN|3DMG|2DUR	1RPLT|289DMG|378VULN|4CGEN|5FEWX|68DUR|8BPWR|aRCR
36	52413 31324	8	 * 	269.24	DCR|3VULN|3DMG|3ASPD|1NUKE	1RPLT|28aDMG|3CGEN|48aASPD|58aVULN|6RCR|7RMIN|8aBPWR|9NUKE
37	55221 62312	6	   	268.92	DCR|5VULN|2DUR|1ASPD	1RPLT|23489VULN|4BPWR|5aDUR|6RCR|7ASPD
38	55634 32433	10	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1RPLT|26aVULN|38DUR|4MBVNT|5aDMG|7aLIT|9RCR|aBPWR
39	52222 42214	4	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|39aVULN|47LWND|57DUR|6RCR|7BPWR|8CDMG
40	52132 42211	4	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8CDMG|aCGEN
41	52132 42215	4	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8CDMG|aLHND
42	52232 33355	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|29DMG|349VULN|5ZMB|6TBNT|7CDMG|89DUR|9BPWR|aRCR
43	52132 42212	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3aDUST|479VULN|57DUR|6RCR|7BPWR|8CDMG
44	52132 42213	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8CDMG|aTBNT
45	52133 41316	8	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|29DMG|3DUST|49aVULN|5CDMG|6RCR|7ERES|89DUR|9BPWR
46	52212 42214	3	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|39aVULN|47DUST|57DUR|6RCR|7BPWR|8CDMG
47	55231 15122	4	   	266.81	DCR|3VULN|3DUR|2DMG	1RPLT|23aVULN|4CGEN|56aDUR|7RMIN|8RCR|9aDMG|aBPWR
48	55231 15122	3	   	266.81	DCR|3VULN|3DUR|2DMG	1RPLT|23aVULN|4MLV|56aDUR|7RMIN|8RCR|9aDMG|aBPWR
49	55231 15122	2	   	266.81	DCR|3VULN|3DUR|2DMG	1RPLT|23aVULN|4MLV|56aDUR|7RMIN|8RCR|9aDMG|aBPWR
50	52413 35312	6	   	266.60	DCR|4VULN|2DMG|2ASPD	1RPLT|2aDMG|37CGEN|4aASPD|589aVULN|6RCR|aBPWR
51	52413 35312	7	   	266.60	DCR|4VULN|2DMG|2ASPD	1RPLT|2aDMG|3CGEN|4aASPD|589aVULN|6RCR|7RCVC|aBPWR
52	52413 36312	7	   	266.60	DCR|4VULN|2DMG|2ASPD	1RPLT|2aDMG|37CGEN|4aASPD|589aVULN|6RCR|aBPWR
53	52413 42312	7	   	266.60	DCR|4VULN|2DMG|2ASPD	1RPLT|2aDMG|36CGEN|4aASPD|589aVULN|7RCR|aBPWR
54	52413 62312	7	   	266.60	DCR|4VULN|2DMG|2ASPD	1RPLT|2aDMG|3CGEN|4aASPD|589aVULN|6RCVC|7RCR|aBPWR
55	55213 23124	5	   	266.60	DCR|4VULN|2DMG|2ASPD	1RPLT|235aVULN|4aASPD|6LHND|7CGEN|8RCR|9aDMG|aBPWR
56	36141 61213	6	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	1RMIN|247DUR|37DMG|578VULN|6SELL|7BPWR|9RCR|aLWND
57	36251 61213	6	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	1RMIN|237DUR|47DMG|578VULN|6SELL|7BPWR|9RCR|aLWND
58	55221 63313	10	   	266.22	DCR|5VULN|2DUR	1RPLT|2348aVULN|4BPWR|59DUR|6RCR|7LIT
59	21452 62211	1	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1FEWX|23DMG|456VULN|7DUR|8RCR|9TLV|aASPD
60	55211 23333	4	   	265.83	DCR|4VULN|2DUR|1TLV|1ASPD	1RPLT|2378VULN|4ASPD|57DUR|67LWND|7BPWR|9TLV|aRCR
61	55212 13333	4	   	265.83	DCR|4VULN|2DUR|1TLV|1ASPD	1RPLT|2378VULN|4ASPD|57LWND|67DUR|7BPWR|9TLV|aRCR
62	31641 31114	8	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	12RMIN|37aDUR|4TLV|5aVULN|6aDMG|8AART|9RCR|aBPWR
63	23323 63513	3	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	17FEWX|257DUR|3RMIN|467VULN|7BPWR|8TLV|9DMG|aRCR
64	34223 63513	3	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1RMIN|27BEXP|357DUR|467VULN|7BPWR|8TLV|9DMG|aRCR
65	34232 63513	4	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1RMIN|27BEXP|347DUR|567VULN|7BPWR|8TLV|9DMG|aRCR
66	36212 63513	4	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1RMIN|237DUR|47LWND|567VULN|7BPWR|8TLV|9DMG|aRCR
67	36222 63513	4	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1RMIN|237DUR|47BEXP|567VULN|7BPWR|8TLV|9DMG|aRCR
68	36241 22513	7	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1RMIN|238DUR|4TLV|578VULN|68LHND|8BPWR|9DMG|aRCR
69	36252 23513	2	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1RMIN|237DUR|37BPWR|457VULN|67FEWX|8TLV|9DMG|aRCR
70	36252 23513	3	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1RMIN|237DUR|457VULN|67FEWX|7BPWR|8TLV|9DMG|aRCR
71	43323 63513	3	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	17DUST|257DUR|3RMIN|467VULN|7BPWR|8TLV|9DMG|aRCR
72	43332 63513	4	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	17DUST|247DUR|3RMIN|567VULN|7BPWR|8TLV|9DMG|aRCR
73	52233 33342	4	 * 	265.15	DCR|4VULN|2DMG|3LIT	1RPLT|2aDMG|347aVULN|58aLIT|6RCR|9TBNT|aBPWR
74	52236 31162	9	   	264.93	DCR|5VULN|2DMG	1RPLT|2aDMG|3478aVULN|5aCGEN|6RCVC|9RCR|aBPWR
75	55232 52312	7	   	264.93	DCR|5VULN|2DMG	1RPLT|2389aVULN|4CGEN|5aZMB|6aDMG|7RCR|aBPWR
76	52234 31162	9	   	264.83	DCR|5VULN|2DMG	1RPLT|2aDMG|3478aVULN|5RMIN|6RCVC|9RCR|aBPWR
77	52233 22162	9	   	264.73	DCR|5VULN|2DMG	1RPLT|2aDMG|3458aVULN|6RCVC|7aERES|9RCR|aBPWR
78	32112 13614	8	 * 	264.58	DCR|4VULN|3ASPD|1DUR|1AART	1RMIN|28aMLV|3AART|4DUR|578aVULN|68aASPD|8aBPWR|9RCR
79	52132 42115	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|27DMG|3DUST|47aVULN|57DUR|6RCR|7BPWR|8LHND|9AART
80	52132 42126	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8LHND|aAART
81	52232 11135	3	   	263.14	DCR|3VULN|2DMG|3ASPD|1AART	1RPLT|27DMG|367VULN|4TBNT|567ASPD|67BPWR|8FEWX|9AART|aRCR
82	52252 11135	3	   	263.14	DCR|3VULN|2DMG|3ASPD|1AART	1RPLT|27DMG|367VULN|467ASPD|5BBNT|67BPWR|8FEWX|9AART|aRCR
83	52233 34123	5	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|27DMG|345VULN|6AART|89DUR|aRCR
84	36212 63315	4	   	262.90	DCR|4VULN|3DUR|1ASPD	1RMIN|237DUR|478LWND|5678VULN|78BPWR|9RCR|aASPD
85	55221 62313	6	   	262.64	DCR|5VULN|1DUR|1ASPD	1RPLT|23489VULN|4BPWR|5DUR|6RCR|7ASPD|aLIT
86	55221 43212	6	   	262.60	DCR|4VULN|3DUR|1ASPD	1RPLT|2348VULN|4BPWR|567DUR|9RCR|aASPD
87	13215 42352	4	 * 	262.49	DCR|3VULN|2ASPD|2CDMG|1DMG|1DUR	1LHND|28aVULN|3ERES|4DMG|5aCDMG|6DUR|7aASPD|9RCR|aBPWR
88	52232 43342	3	 * 	262.19	DCR|2VULN|3DMG|3ASPD|3LIT	1RPLT|29aDMG|3aVULN|4TBNT|589ASPD|69aLIT|7RCR|9aBPWR
89	12613 12335	7	   	261.89	DCR|3VULN|2DMG|2DUR	18LHND|28DUR|3ZMB|45DMG|6RCR|78aVULN|8BPWR|9LIT
90	13613 15335	6	   	261.89	DCR|3VULN|2DMG|2DUR	18LHND|28aVULN|3ZMB|45DMG|6RCR|78DUR|8BPWR|9LIT
91	52132 42612	4	   	261.79	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8LIT|aFEWX
92	52132 42613	4	   	261.69	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8LIT|aERES
93	13113 61533	3	   	261.64	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|34BEXP|5TLV|78DMG|8BPWR|aRCR
94	13114 61533	2	   	261.64	DCR|4VULN|2DMG|1DUR	18LHND|2689VULN|3DMSP|4MLV|5DUR|78DMG|8BPWR|aRCR
95	13133 61533	3	   	261.64	DCR|4VULN|2DMG|1TLV	148LHND|2689VULN|3BEXP|5TLV|78DMG|8BPWR|aRCR
96	13133 61533	4	   	261.64	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|3BEXP|4DMSP|5TLV|78DMG|8BPWR|aRCR
97	13136 61533	2	   	261.64	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|3DMSP|4FEWX|5TLV|78DMG|8BPWR|aRCR
98	13153 61533	4	   	261.64	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|3BEXP|4RCVC|5TLV|78DMG|8BPWR|aRCR
99	13163 61533	2	   	261.64	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|3DMSP|4BEXP|5TLV|78DMG|8BPWR|aRCR
100	13326 61333	3	   	261.64	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|3RMIN|4MLV|5TLV|78DMG|8BPWR|aRCR
101	52233 53152	6	   	261.64	DCR|4VULN|2DMG|1DUR	1RPLT|2aDMG|345aVULN|6DUR|7CGEN|8RCR|9aLHND|aBPWR
102	55221 53122	6	   	261.64	DCR|4VULN|2DMG|1DUR	1RPLT|234aVULN|4aBPWR|5DUR|6RMIN|7aCGEN|8RCR|9aDMG
103	16634 32225	8	   	261.54	DCR|4VULN|2DMG|1DUR	17LHND|2RPLT|3DUR|4MBVNT|57DMG|679aVULN|7BPWR|8RCR
104	16634 32335	6	   	261.54	DCR|4VULN|2DMG|1DUR	17LHND|2RPLT|3DUR|4MBVNT|57DMG|678aVULN|7BPWR|9RCR
105	16634 32335	7	   	261.54	DCR|4VULN|2DMG|1DUR	17LHND|2RPLT|3DUR|4MBVNT|57DMG|678aVULN|7BPWR|9RCR
106	51232 43735	6	   	261.54	DCR|4VULN|2DMG|1DUR	1RPLT|27LWND|357aVULN|4MBVNT|67DMG|7BPWR|8DUR|9RCR
107	51634 32225	8	   	261.54	DCR|4VULN|2DMG|1DUR	1RPLT|27LWND|3DUR|4MBVNT|57DMG|679aVULN|7BPWR|8RCR
108	13214 61533	3	   	261.54	DCR|4VULN|2DMG|1DUR	148LHND|2689VULN|3ERES|5DUR|78DMG|8BPWR|aRCR
109	13224 61513	3	   	261.54	DCR|4VULN|2DMG|1DUR	189LHND|2468VULN|34ERES|48BPWR|5DUR|78DMG|aRCR
110	13233 61533	3	   	261.54	DCR|4VULN|2DMG|1DUR	158LHND|2689VULN|3ERES|4DUR|78DMG|8BPWR|aRCR
111	13233 61533	4	   	261.54	DCR|4VULN|2DMG|1DUR	158LHND|2689VULN|3ERES|4DUR|78DMG|8BPWR|aRCR
112	13236 61513	4	   	261.54	DCR|4VULN|2DMG|1DUR	189LHND|2568VULN|3ERES|4DUR|78DMG|8BPWR|aRCR
113	13236 61513	3	   	261.54	DCR|4VULN|2DMG|1DUR	189LHND|2568VULN|3ERES|4DUR|78DMG|8BPWR|aRCR
114	13366 61333	4	   	261.54	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|3RMIN|4ERES|5TLV|78DMG|8BPWR|aRCR
115	13366 61333	3	   	261.54	DCR|4VULN|2DMG|1TLV	18LHND|2689VULN|3RMIN|4ERES|5TLV|78DMG|8BPWR|aRCR
116	13231 61533	4	   	261.44	DCR|4VULN|2DMG|1DUR	18LHND|2689VULN|35ERES|4DUR|78DMG|8BPWR|aRCR
117	13231 61533	3	   	261.44	DCR|4VULN|2DMG|1DUR	18LHND|2689VULN|35ERES|4DUR|78DMG|8BPWR|aRCR
118	52231 24315	4	   	261.44	DCR|4VULN|2DMG|1DUR	1RPLT|27DMG|3489VULN|5DUR|6LWND|aRCR
119	52232 14315	4	   	261.44	DCR|4VULN|2DMG|1DUR	1RPLT|27DMG|3489VULN|5LWND|6DUR|aRCR
120	43613 12125	10	   	261.34	DCR|4VULN|2DMG|1DUR	1DUST|2DUR|3ZMB|45DMG|6RCR|789aVULN
121	52222 11165	3	   	261.34	DCR|4VULN|2DMG|1DUR	1RPLT|27DMG|367aVULN|467ERES|5BBNT|67BPWR|8DUR|9RCR
122	52322 11165	2	   	261.34	DCR|4VULN|2DMG|1DUR	1RPLT|27DMG|3BBNT|467ERES|567aVULN|67BPWR|8DUR|9RCR
123	55221 43211	6	   	261.26	DCR|4VULN|3DUR|1AART	1RPLT|2348VULN|4BPWR|567DUR|9RCR|aAART
124	52233 32661	8	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1RPLT|29DMG|3457VULN|6SELL|8TLV|aRCR
125	52213 51162	9	 * 	261.04	DCR|4VULN|3DMG	1RPLT|26aDMG|378aVULN|45aCGEN|9RCR|aBPWR
126	52532 35211	5	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1RPLT|2DMG|3aDUR|479VULN|5ASPD|6RCR|8CDMG
127	55221 31234	5	   	260.33	DCR|4VULN|2DUR|1CDMG	1RPLT|2347VULN|47BPWR|57DUR|6TBNT|8LIT|9CDMG|aRCR
128	12613 11112	8	 * 	260.29	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	1LHND|2aDUR|3ZMB|45DMG|6RCR|7aTLV|8CDMG|9aVULN|aBPWR
129	55211 51322	4	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	1RPLT|23aVULN|4aASPD|5DUR|68CGEN|7RCR|9aDMG|aBPWR
130	55211 33122	4	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	16RPLT|23aVULN|4aASPD|5DUR|7CGEN|8RCR|9aDMG|aBPWR
131	55211 43122	4	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	1RPLT|23aVULN|4aASPD|5DUR|6RCVC|7CGEN|8RCR|9aDMG|aBPWR
132	55211 52122	4	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	1RPLT|23aVULN|4aASPD|5DUR|67CGEN|8RCR|9aDMG|aBPWR
133	43613 11112	8	   	260.19	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	1DUST|2aDUR|3ZMB|45DMG|6RCR|7aTLV|8CDMG|9aVULN|aBPWR
134	52233 33442	4	   	260.15	DCR|4VULN|2DMG|2LIT	18RPLT|2aDMG|347aVULN|5aLIT|6RCR|9TBNT|aBPWR
135	52233 33642	4	   	260.15	DCR|4VULN|2DMG|2LIT	1RPLT|2aDMG|347aVULN|5aLIT|6RCR|8DMSP|9TBNT|aBPWR
136	55532 42223	10	   	260.15	DCR|4VULN|2DMG|2LIT	1RPLT|259aVULN|3LWND|4MBVNT|6aDMG|7aLIT|8RCR|aBPWR
137	52233 54333	6	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1RPLT|2DMG|3458VULN|6DUR|7LHND|9TLV|aRCR
138	36315 25122	5	   	260.10	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG|1NUKE	1RMIN|2aDUR|3CDMG|4aASPD|5DMG|6TLV|7aVULN|8RCR|9NUKE|aBPWR
139	55336 42223	10	   	260.05	DCR|4VULN|2DMG|2LIT	1RPLT|259aVULN|3DUST|4MBVNT|6aDMG|7aLIT|8RCR|aBPWR
140	51262 23315	6	 * 	259.79	DCR|4VULN|2DUR|2ASPD	1RPLT|27LWND|3589VULN|47DUR|67ASPD|7BPWR|aRCR
141	51333 13315	5	   	259.79	DCR|4VULN|2DUR|2ASPD	1RPLT|27LWND|34ASPD|5789VULN|67DUR|7BPWR|aRCR
142	51342 13315	5	   	259.79	DCR|4VULN|2DUR|2ASPD	1RPLT|27LWND|35ASPD|4789VULN|67DUR|7BPWR|aRCR
