0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43161 33121	2	 * 	269.76	DCR|4VULN|2TLV|2DUR|1AART	19ERES|2AART|3478VULN|59DUR|69TLV|9BPWR|aRCR
20	62255 21212	9	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2356VULN|4DMG|7DUR|8TLV|9RCR|aERES
21	52224 51321	7	 * 	257.40	DCR|4VULN|1TLV|2CDMG|1DUR	1LHND|2356VULN|48CDMG|7TLV|9DUR|aRCR
22	21221 15512	9	 * 	256.69	ACR|4VULN|3DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69aDMG|89DUR
23	21421 15512	9	   	256.69	ACR|4VULN|3DMG|2DUR|1AART	1RCR|2AART|3RCVC|4579VULN|59BPWR|69aDMG|89DUR
24	12112 66532	6	 * 	256.34	DCR|3VULN|3TLV|2DUR|2AART|1SELL	1SELL|29DUR|369TLV|4aAART|569VULN|69BPWR|7TBNT|8RCR
25	52224 53222	6	 * 	255.35	DCR|5VULN|1DMG|1CDMG	1LHND|23569VULN|4CDMG|7DMG|8LIT|aRCR
26	43561 33121	4	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	19ERES|2AART|3DUR|4789VULN|5RCVC|69TLV|9BPWR|aRCR
27	43561 33121	3	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	19ERES|2AART|3DUR|4789VULN|5RCVC|69TLV|9BPWR|aRCR
28	21232 32325	3	   	254.69	ACR|4VULN|2DMG|2DUR|1CDMG|1AART	1RCR|2AART|369aVULN|4CDMG|59DUR|79DMG|8BELT|9BPWR
29	52155 32123	10	 * 	254.40	DCR|4VULN|3DUR|2LIT	19aLHND|259aVULN|35LIT|4RPLT|59aBPWR|6RCR|7FEWX|89aDUR
30	52155 33123	10	   	254.40	DCR|4VULN|3DUR|2LIT	19aLHND|259aVULN|35LIT|4RPLT|59aBPWR|6RCR|7LWND|89aDUR
31	13247 24422	8	   	252.84	DCR|5VULN|1TLV|1CDMG|1SELL	1SELL|2CDMG|3568aVULN|4MBVNT|7TLV|9RCR
32	13247 24462	8	   	252.84	DCR|5VULN|1TLV|1CDMG|1SELL	1SELL|2CDMG|35689VULN|4MBVNT|7TLV|aRCR
33	21124 14131	8	 * 	252.79	ACR|4VULN|2DMG|2TLV|1AART	1RCR|2AART|3RMIN|469aVULN|5LIT|7aDMG|8aTLV|aBPWR
34	21124 14631	7	   	252.79	ACR|4VULN|2DMG|2TLV|1AART	1RCR|2AART|3RMIN|469aVULN|5LIT|7aDMG|8aTLV|aBPWR
35	11341 32115	3	 * 	252.50	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	1SELL|2aDMG|36LIT|469VULN|5RMIN|6BPWR|7TLV|8RCR
36	21232 16443	3	 * 	251.53	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	1RCR|2AART|37VULN|4CDMG|57DUR|67TLV|7BPWR|89DMG|aASPD
37	21232 16113	3	 * 	251.22	ACR|4VULN|2TLV|2DUR|1CDMG|1AART	1RCR|2AART|379aVULN|4CDMG|57DUR|67TLV|7BPWR|8DUST
38	52224 51121	8	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LHND|2356VULN|4CDMG|7TLV|8RCVC|9DUR|aRCR
39	63223 11226	6	 * 	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|26DUR|37aVULN|4TLV|5BELT|8DMG|9RCR
40	52252 25122	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|238VULN|4DMG|5aDUR|6RPLT|7RCR|9TLV
41	63213 13146	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	14BEXP|25DUR|358VULN|5BPWR|6DMG|7DUST|9TLV|aRCR
42	63233 13146	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|25DUR|358VULN|4RCVC|5BPWR|6DMG|7DUST|9TLV|aRCR
43	11333 25522	4	   	251.02	ACR|4VULN|2DMG|1TLV|2LIT|1AART|1SELL	1SELL|28DMG|38LIT|4AART|5RCR|6789VULN|8BPWR|aTLV
44	11333 25522	3	   	251.02	ACR|4VULN|2DMG|1TLV|2LIT|1AART|1SELL	1SELL|28DMG|38LIT|4AART|5RCR|6789VULN|8BPWR|aTLV
45	62224 51231	9	 * 	250.94	DCR|3VULN|2DUR|1TLV|2CDMG	1BEXP|235VULN|49CDMG|68DUR|7TLV|aRCR
46	23443 11215	2	 * 	250.79	ACR|5VULN|3DMG|1DUR	1RCR|29ZMB|35789VULN|456DMG|59BPWR|aDUR
47	21232 16451	3	   	250.33	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1RCR|2AART|379VULN|4CDMG|57DUR|67TLV|7BPWR|8DMG|aCGEN
48	21232 16452	3	   	250.33	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1RCR|2AART|379VULN|4CDMG|57DUR|67TLV|7BPWR|8DMG|aLWND
49	21232 16543	3	   	250.33	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1RCR|2AART|37aVULN|4CDMG|57DUR|67TLV|7BPWR|8ZMB|9DMG
50	21222 53522	2	   	250.18	ACR|3VULN|2DMG|1TLV|2CDMG|2LIT|1AART	1RCR|2AART|38CDMG|45LIT|689VULN|78DMG|8BPWR|aTLV
51	21642 14231	6	   	250.06	ACR|4VULN|2TLV|1DMG|2LIT|1AART	1RCR|2AART|3aTLV|4aLIT|5ASPD|6DMG|789aVULN|aBPWR
52	21642 16231	7	   	250.06	ACR|4VULN|2TLV|1DMG|2LIT|1AART	1RCR|2AART|3aTLV|4aLIT|5ASPD|6DMG|789aVULN|aBPWR
53	52221 43413	8	   	249.90	DCR|4VULN|1TLV|2LIT|1CDMG	17LHND|2379VULN|4CDMG|5MLV|67LIT|7BPWR|8RCR|aTLV
54	62221 43413	8	   	249.90	DCR|4VULN|1TLV|2LIT|1CDMG	17BEXP|2379VULN|4CDMG|5MLV|67LIT|7BPWR|8RCR|aTLV
55	13215 21215	9	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2CDMG|356VULN|4BEXP|7DUR|8TLV|9RCR|aDMG
56	13236 21215	9	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2CDMG|356VULN|4FEWX|7DUR|8TLV|9RCR|aDMG
57	21221 15513	10	   	249.34	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aLIT
58	21421 15513	10	   	249.34	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3RCVC|4579VULN|59BPWR|69DMG|89DUR|aLIT
59	62331 23352	10	 * 	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1NUKE	1BEXP|2aVULN|3DUST|4DUR|5NUKE|6aDMG|7TLV|8RCR|9aCDMG|aBPWR
60	11341 32136	3	 * 	249.17	DCR|2VULN|2DMG|1TLV|3LIT|2ASPD|1SELL	1SELL|2aDMG|36aLIT|46VULN|5RMIN|6aBPWR|7TLV|8RCR|9aASPD
61	13215 25214	10	 * 	249.09	DCR|4VULN|2TLV|2CDMG|1SELL	1SELL|2aCDMG|356aVULN|4BEXP|7DUST|8aTLV|9RCR|aBPWR
62	13236 25214	10	 * 	249.09	DCR|4VULN|2TLV|2CDMG|1SELL	1SELL|2aCDMG|356aVULN|4FEWX|7DUST|8aTLV|9RCR|aBPWR
63	43161 33621	2	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	19ERES|2AART|347VULN|59DUR|69TLV|8RCVC|9BPWR|aRCR
64	43111 33121	2	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	19ERES|2AART|378VULN|4DMSP|59DUR|69TLV|9BPWR|aRCR
65	43561 31121	4	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	19ERES|2AART|37DUR|489VULN|5RCVC|69TLV|9BPWR|aRCR
66	43561 31121	3	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	19ERES|2AART|37DUR|489VULN|5RCVC|69TLV|9BPWR|aRCR
67	45213 33121	3	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	19ERES|2RCVC|378VULN|49DUR|5AART|69TLV|9BPWR|aRCR
68	12112 21532	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6TBNT|8RCR|9BPWR|aBEXP
69	12112 21534	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6TBNT|8RCR|9BPWR|aRMIN
70	12112 21535	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6TBNT|8RCR|9BPWR|aCGEN
71	12112 21536	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6TBNT|8RCR|9BPWR|aZMB
72	12112 61532	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6BBNT|8RCR|9BPWR|aBEXP
73	12112 61534	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6BBNT|8RCR|9BPWR|aRMIN
74	12112 61535	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6BBNT|8RCR|9BPWR|aCGEN
75	12112 61536	5	   	248.57	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6BBNT|8RCR|9BPWR|aZMB
76	12112 66531	6	 * 	248.57	DCR|3VULN|3TLV|2DUR|1AART|1SELL	1SELL|29DUR|369TLV|4AART|569VULN|69BPWR|7TBNT|8RCR|aBEXP
77	12112 66533	6	 * 	248.57	DCR|3VULN|3TLV|2DUR|1AART|1SELL	1SELL|29DUR|369TLV|4AART|569VULN|69BPWR|7TBNT|8RCR|aCGEN
78	21233 23552	3	   	248.49	ACR|3VULN|2DMG|2DUR|2LIT|1CDMG|1AART	1RCR|2AART|368VULN|4CDMG|58LIT|78DMG|8BPWR|9aDUR
79	12112 66511	6	   	248.47	DCR|3VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|36TLV|4AART|56aVULN|6BPWR|7TBNT|8RCR
80	21221 23552	2	 * 	248.26	ACR|3VULN|2DMG|2DUR|2CDMG|1AART	1RCR|2AART|38CDMG|4LIT|568VULN|78DMG|8BPWR|9aDUR
81	22156 21225	10	 * 	247.97	ACR|4VULN|2TLV|2DUR|1DMG	1RCR|2RCVC|356aVULN|4DMG|7aDUR|8aTLV|9MBVNT|aBPWR
82	42332 26232	10	 * 	247.75	DCR|2VULN|3DUR|2TLV|1DMG	1ERES|23aDUR|4FEWX|5MLV|6aVULN|7DMG|8aTLV|9RCR|aBPWR
83	52214 51222	7	   	247.59	DCR|5VULN|1TLV|1SELL	1LHND|23569VULN|4SELL|7TLV|8LIT|aRCR
84	24341 81217	1	   	247.43	ACR|4VULN|2DMG|2DUR|2ASPD	1RCR|2MBVNT|39ASPD|478aVULN|59DMG|69DUR|9BPWR
85	62245 21212	10	   	247.10	DCR|4VULN|1TLV|1DUR|1AART	1BEXP|2356VULN|4RMIN|7DUR|8TLV|9RCR|aAART
86	26321 23522	6	   	247.03	ACR|4VULN|3DMG|2DUR	1RCR|2RPLT|348aVULN|5FEWX|67aDMG|9aDUR|aBPWR
87	26326 23522	6	   	247.03	ACR|4VULN|3DMG|2DUR	1RCR|2RPLT|348aVULN|5LHND|67aDMG|9aDUR|aBPWR
88	26352 23522	6	   	247.03	ACR|4VULN|3DMG|2DUR	1RCR|2RPLT|358aVULN|4FEWX|67aDMG|9aDUR|aBPWR
89	26323 23522	6	   	246.93	ACR|4VULN|3DMG|2DUR	1RCR|2RPLT|348aVULN|5DUST|67aDMG|9aDUR|aBPWR
90	43161 33161	2	   	246.90	DCR|4VULN|1TLV|1DUR|1AART	19ERES|2AART|3478VULN|5DUR|6TLV|aRCR
91	26331 31215	4	   	246.79	ACR|4VULN|3DMG|2DUR|1SELL	1RCR|2RPLT|3789VULN|4SELL|59aDMG|69DUR|9BPWR
92	42623 32134	6	 * 	246.61	DCR|2VULN|3DMG|3DUR	169ERES|259DUR|357DMG|4RMIN|59BPWR|89VULN|aRCR
93	42623 33134	7	   	246.61	DCR|2VULN|3DMG|3DUR	169ERES|259DUR|357DMG|4RMIN|59BPWR|89VULN|aRCR
94	42623 33234	8	   	246.61	DCR|2VULN|3DMG|3DUR	169ERES|259DUR|357DMG|4RMIN|59BPWR|89VULN|aRCR
95	23443 15222	2	 * 	246.14	ACR|3VULN|3DMG|2DUR|3LIT	1RCR|28aZMB|358VULN|456DMG|58aBPWR|78aLIT|9aDUR
96	62254 21212	10	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	15BEXP|236VULN|4DMG|7DUR|8TLV|9RCR|aAART
97	63324 23531	5	 * 	245.98	DCR|4VULN|2DUR|2CDMG	137BEXP|2aDUR|4aCDMG|589aVULN|6RCR|aBPWR
98	52256 21213	10	 * 	245.88	DCR|4VULN|2DUR|1DMG	1LHND|2356VULN|4DMG|7aDUR|8MLV|9RCR
99	12111 52162	10	   	245.87	DCR|3VULN|1TLV|1DMG|1DUR|1AART|1SELL	1SELL|2DUR|3TLV|4AART|5DMG|68aVULN|7RPLT|9RCR
100	12112 62363	9	   	245.83	DCR|2VULN|2TLV|2DUR|1CDMG|1AART|1SELL	1SELL|27DUR|36TLV|4AART|56VULN|6BPWR|8LIT|9CDMG|aRCR
101	45262 22232	3	   	245.78	DCR|4VULN|2DUR|1DMG	14ERES|2RCVC|345aVULN|4BPWR|69DUR|7DMG|8RCR
102	13262 61261	3	   	245.77	DCR|3VULN|1TLV|2CDMG|1DUR|1AART|1SELL	1SELL|24CDMG|346VULN|4BPWR|5ERES|7DUR|8RCR|9TLV|aAART
103	12112 15224	5	   	245.60	DCR|2VULN|2DUR|1TLV|2ASPD|1CDMG|1AART|1SELL	1SELL|29DUR|3TLV|4AART|59VULN|6CDMG|7DUST|89ASPD|9BPWR|aRCR
104	13262 61232	3	   	245.54	DCR|4VULN|2DUR|2CDMG|1SELL	1SELL|24CDMG|346aVULN|4BPWR|5ERES|79DUR|8RCR
105	52221 43423	10	   	245.10	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	17LHND|237VULN|4CDMG|5MLV|67LIT|7BPWR|8RCR|9DUR|aTLV
106	62221 43423	10	   	245.10	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	17BEXP|237VULN|4CDMG|5MLV|67LIT|7BPWR|8RCR|9DUR|aTLV
107	52256 21212	10	   	244.95	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2356VULN|4DMG|7DUR|8MLV|9RCR|aCDMG
108	62224 51121	9	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	18BEXP|235VULN|4CDMG|69DUR|7TLV|aRCR
109	62224 31225	8	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1BEXP|235VULN|4CDMG|6FEWX|7TLV|89DUR|aRCR
110	55221 11236	4	 * 	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1LHND|2DUR|378VULN|49TLV|5DMG|6BEXP|aRCR
111	55223 21236	6	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1LHND|2DUR|378VULN|49TLV|5FEWX|6DMG|aRCR
112	63221 31326	4	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1BEXP|2DUR|37aVULN|48TLV|5DMG|6BELT|9RCR
113	63225 21236	6	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1BEXP|2DUR|378VULN|49TLV|5FEWX|6DMG|aRCR
114	63226 21236	6	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1BEXP|2DUR|378VULN|49TLV|5LHND|6DMG|aRCR
115	62224 21225	8	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	1BEXP|235VULN|4CDMG|6DUST|7TLV|89DUR|aRCR
116	21221 11244	7	   	244.45	ACR|3VULN|2TLV|2DUR|1DMG|2AART	1RCR|29AART|35aVULN|4DMSP|5aBPWR|6DMG|7aDUR|8aTLV
117	21221 11544	8	   	244.45	ACR|3VULN|2TLV|2DUR|1DMG|2AART	1RCR|29AART|35aVULN|4DMSP|5aBPWR|6DMG|7aDUR|8aTLV
118	21421 11244	7	   	244.45	ACR|3VULN|2TLV|2DUR|1DMG|2AART	1RCR|29AART|3RCVC|45aVULN|5aBPWR|6DMG|7aDUR|8aTLV
119	13215 41214	10	 * 	244.39	DCR|3VULN|2TLV|2CDMG|1DUR|1SELL	1SELL|2aCDMG|35aVULN|47BEXP|6DUR|8aTLV|9RCR|aBPWR
120	13214 21214	10	 * 	244.39	DCR|3VULN|2TLV|2CDMG|1DUR|1SELL	1SELL|2aCDMG|36aVULN|45BEXP|7DUR|8aTLV|9RCR|aBPWR
121	13215 21215	10	   	244.38	DCR|3VULN|2DUR|1TLV|1CDMG|1SELL	1SELL|2CDMG|356VULN|4BEXP|7aDUR|8TLV|9RCR
122	13236 21215	10	   	244.38	DCR|3VULN|2DUR|1TLV|1CDMG|1SELL	1SELL|2CDMG|356VULN|4FEWX|7aDUR|8TLV|9RCR
123	21231 13522	3	   	243.86	ACR|3VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1RCR|2AART|389VULN|4CDMG|5RCVC|68LIT|78DMG|8BPWR|aTLV
124	21233 13522	3	   	243.86	ACR|3VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1RCR|2AART|389VULN|4CDMG|58LIT|6RCVC|78DMG|8BPWR|aTLV
125	21233 23516	3	   	243.86	ACR|3VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1RCR|2AART|368VULN|4CDMG|58LIT|78DMG|8BPWR|9FEWX|aTLV
126	21233 23546	3	   	243.86	ACR|3VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1RCR|2AART|368VULN|4CDMG|58LIT|78DMG|8BPWR|9BEXP|aTLV
127	12112 66513	6	   	243.84	DCR|2VULN|2TLV|2DUR|1DMG|1AART|1SELL	1SELL|29DUR|36TLV|4AART|56VULN|6BPWR|7TBNT|8RCR|aDMG
128	52221 43226	10	   	243.76	DCR|4VULN|1DMG|2LIT|1CDMG	17LHND|2379VULN|4CDMG|5MLV|67LIT|7BPWR|8DMG|aRCR
129	62221 43226	10	   	243.76	DCR|4VULN|1DMG|2LIT|1CDMG	17BEXP|2379VULN|4CDMG|5MLV|67LIT|7BPWR|8DMG|aRCR
130	43333 44231	5	   	243.69	DCR|4VULN|2DUR|1AART	13aERES|2AART|4LIT|5aDUR|6RCR|789aVULN|aBPWR
131	12134 15513	7	 * 	243.69	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1SELL|25DUR|3TLV|4BELT|6aDMG|7RCR|89VULN
132	21221 23516	2	   	243.63	ACR|3VULN|2DMG|1TLV|2CDMG|1AART	1RCR|2AART|38CDMG|4LIT|568VULN|78DMG|8BPWR|9FEWX|aTLV
133	21221 23546	2	   	243.63	ACR|3VULN|2DMG|1TLV|2CDMG|1AART	1RCR|2AART|38CDMG|4LIT|568VULN|78DMG|8BPWR|9BEXP|aTLV
134	21221 13522	2	   	243.63	ACR|3VULN|2DMG|1TLV|2CDMG|1AART	1RCR|2AART|38CDMG|4LIT|589VULN|6RCVC|78DMG|8BPWR|aTLV
135	21233 21242	3	 * 	243.36	ACR|3VULN|2DUR|1TLV|2CDMG|2LIT|1AART	1RCR|2AART|367VULN|47CDMG|57LIT|7BPWR|8aDUR|9TLV
136	21221 21242	2	   	243.36	ACR|3VULN|2DUR|1TLV|2CDMG|2LIT|1AART	1RCR|2AART|37CDMG|47LIT|567VULN|7BPWR|8aDUR|9TLV
137	52262 63332	2	   	243.35	DCR|4VULN|2DUR|2AART	1LHND|2567VULN|3aAART|46DUR|6BPWR|8RMIN|9RCR
138	21232 16312	3	   	243.23	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	1RCR|2AART|37VULN|4CDMG|57DUR|67TLV|7BPWR|8BELT|9aDMG
139	21232 16432	3	   	243.23	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	1RCR|2AART|37VULN|4CDMG|57DUR|67TLV|7BPWR|8aDMG|9BELT
140	21232 16441	3	   	243.23	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	1RCR|2AART|37VULN|4CDMG|57DUR|67TLV|7BPWR|89DMG|aCGEN
141	21232 16442	3	   	243.23	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	1RCR|2AART|37VULN|4CDMG|57DUR|67TLV|7BPWR|89DMG|aLWND
142	21232 16463	3	   	243.23	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	1RCR|2AART|37VULN|4CDMG|57DUR|67TLV|7BPWR|8aDMG|9LHND
143	21223 25522	2	   	243.18	ACR|4VULN|1TLV|2CDMG|2ASPD|1AART	1RCR|2AART|38CDMG|4LIT|58ASPD|6789VULN|8BPWR|aTLV
144	24141 81334	1	   	243.07	ACR|3VULN|2TLV|2DUR|1DMG|2ASPD	1RCR|2MBVNT|39TLV|479VULN|5DMG|6aDUR|89ASPD|9BPWR
145	11341 32113	3	   	242.99	DCR|3VULN|2TLV|1DMG|2LIT|1SELL	1SELL|2DMG|36LIT|469VULN|5RMIN|6BPWR|7aTLV|8RCR
146	11316 44312	8	 * 	242.65	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	1SELL|2aDMG|3aLIT|4FEWX|5DUR|69aVULN|7RPLT|8RCR|aBPWR
147	23443 11134	2	 * 	242.50	ACR|4VULN|3DMG|1TLV	1RCR|29ZMB|3579VULN|456DMG|59BPWR|89CGEN|aTLV
148	23443 11252	2	   	242.30	ACR|4VULN|3DMG|1TLV	1RCR|2ZMB|3578VULN|456DMG|5BPWR|9TLV|aLWND
149	23443 11253	2	   	242.30	ACR|4VULN|3DMG|1TLV	1RCR|2ZMB|3578VULN|456DMG|5BPWR|9TLV|aCGEN
150	52221 43322	7	   	242.03	DCR|5VULN|2LIT|1CDMG	17LHND|23789VULN|4CDMG|5MLV|67LIT|7BPWR|aRCR
151	52256 22322	6	   	241.70	DCR|5VULN|1DMG	1LHND|23567VULN|4DMG|8ASPD|9BEXP|aRCR
152	62255 22322	6	   	241.70	DCR|5VULN|1DMG	19BEXP|23567VULN|4DMG|8ASPD|aRCR
153	52214 53222	6	   	241.45	DCR|5VULN|1DMG|1SELL	1LHND|23569VULN|4SELL|7DMG|8LIT|aRCR
154	52251 11226	3	   	241.25	DCR|4VULN|1TLV|1DMG	1LHND|237aVULN|4BEXP|5BELT|6TLV|8DMG|9RCR
155	62241 11226	3	   	241.25	DCR|4VULN|1TLV|1DMG	1BEXP|237aVULN|4LWND|5BELT|6TLV|8DMG|9RCR
156	62242 31226	3	   	241.25	DCR|4VULN|1TLV|1DMG	1BEXP|237aVULN|4LWND|5TLV|6BELT|8DMG|9RCR
157	62261 11226	4	   	241.25	DCR|4VULN|1TLV|1DMG	1BEXP|237aVULN|4LHND|5BELT|6TLV|8DMG|9RCR
158	52224 51331	7	   	241.15	DCR|4VULN|1TLV|2CDMG	1LHND|2356VULN|48CDMG|7TLV|9BEXP|aRCR
159	52231 11226	3	   	241.15	DCR|4VULN|1TLV|1DMG	1LHND|237aVULN|4DUST|5BELT|6TLV|8DMG|9RCR
160	52233 11146	3	   	241.15	DCR|4VULN|1TLV|1DMG	1LHND|2358VULN|45DUST|5BPWR|6DMG|7BEXP|9TLV|aRCR
161	52361 11226	4	   	241.15	DCR|4VULN|1TLV|1DMG	1LHND|247aVULN|3DUST|5BELT|6TLV|8DMG|9RCR
162	62231 11226	3	   	241.15	DCR|4VULN|1TLV|1DMG	1BEXP|237aVULN|4DUST|5BELT|6TLV|8DMG|9RCR
163	62361 11226	4	   	241.15	DCR|4VULN|1TLV|1DMG	1BEXP|247aVULN|3DUST|5BELT|6TLV|8DMG|9RCR
164	21221 15511	9	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aLWND
