0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36146 13133	10	 * 	278.10	DCR|4VULN|3DUR|3CDMG	1RMIN|278aVULN|3RPLT|4aBEXP|578DUR|678CDMG|78aBPWR|9RCR
68	53151 31151	6	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2TLV|3RPLT|489VULN|5DMG|6BEXP|7RCR
69	53134 13322	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	16DUR|2TLV|3RPLT|4DMSP|589VULN|7RCR|aDMG
70	53134 13322	8	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	16DUR|2TLV|3RPLT|4DMSP|589VULN|7RCR|aDMG
71	52141 11623	1	   	251.95	DCR|3VULN|2DUR|3LIT|1TLV	15DUR|249VULN|348LIT|4BPWR|6MLV|7RCR|aTLV
72	52352 27334	1	   	251.92	DCR|4VULN|2DUR|1CDMG|1NUKE	16DUR|2689VULN|3RMIN|4MBVNT|5NUKE|6BPWR|7CDMG|aRCR
73	52435 23233	1	   	251.53	DCR|5VULN|1DUR	1DUR|2568aVULN|3BBNT|4LWND|7LIT|9RCR
74	53215 12116	1	   	251.46	DCR|4VULN|3DUR|1SELL	136DUR|29RCVC|4678VULN|5SELL|6BPWR|aRCR
75	23134 63225	2	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1FEWX|2TLV|3DUST|4DUR|5689VULN|7ASPD|aRCR
76	52141 11341	1	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT	15DUR|249VULN|34LIT|4BPWR|6MLV|7RCR|8CGEN|aDMG
77	35223 13625	2	   	250.65	DCR|3VULN|2DUR|1DMG|2LIT	1RMIN|2aLIT|3DMG|4aDUR|5BBNT|67aVULN|8RCR|9TBNT|aBPWR
78	52141 41331	1	   	250.65	DCR|3VULN|2DUR|1DMG|2LIT	15DUR|249VULN|34LIT|4BPWR|6ERES|7RCR|8CGEN|aDMG
79	36623 23112	9	 * 	250.36	ACR|4VULN|3DMG|2ASPD	1RMIN|278aVULN|3RCR|4BEXP|578DMG|678aLHND|78aBPWR|9aASPD
80	36623 23142	8	   	250.36	ACR|4VULN|3DMG|2ASPD	1RMIN|278aVULN|3RCR|4BEXP|578DMG|678aLHND|78aBPWR|9aASPD
81	36163 43121	9	   	250.19	DCR|4VULN|3CDMG|1TLV	1RMIN|2789VULN|3RPLT|478CDMG|578LHND|6RCR|78BPWR|aTLV
82	31155 13433	2	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RMIN|2AART|38ERES|48DMG|59VULN|6CDMG|78DUR|8BPWR|aRCR
83	31355 13433	3	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RMIN|2AART|38ERES|48DMG|59VULN|6CDMG|78DUR|8BPWR|aRCR
84	64213 11336	1	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3DUST|4678VULN|5TBNT|9TLV|aRCR
85	53134 13533	10	 * 	249.23	DCR|2VULN|3DUR|3ASPD|1TLV	16aDUR|2TLV|3RPLT|4DMSP|5aVULN|7RCR|89aASPD|aBPWR
86	53262 63321	9	 * 	249.12	DCR|3VULN|3DUR|2TLV	169DUR|29TLV|3CGEN|4RMIN|5LHND|789VULN|9BPWR|aRCR
87	53353 34321	9	   	249.12	DCR|3VULN|3DUR|2TLV	149DUR|29TLV|3FEWX|5RMIN|6CGEN|789VULN|9BPWR|aRCR
88	53622 63321	9	   	249.12	DCR|3VULN|3DUR|2TLV	169DUR|29TLV|34BEXP|5LHND|789VULN|9BPWR|aRCR
89	53652 33321	9	   	249.12	DCR|3VULN|3DUR|2TLV	149DUR|29TLV|36BEXP|5LHND|789VULN|9BPWR|aRCR
90	53522 36122	7	   	249.02	DCR|3VULN|3DUR|2TLV|1NUKE	17aDUR|27TLV|3NUKE|4RCVC|578VULN|6BELT|7BPWR|9RCR
91	53134 13341	7	   	249.02	DCR|3VULN|3DUR|2TLV	16aDUR|2aTLV|3RPLT|4DMSP|59aVULN|7RCR|8TBNT|aBPWR
92	53134 13342	10	   	249.02	DCR|3VULN|3DUR|2TLV	16aDUR|2aTLV|3RPLT|4DMSP|58aVULN|7RCR|9LEGI|aBPWR
93	53134 13612	10	   	249.02	DCR|3VULN|3DUR|2TLV	16aDUR|2aTLV|3RPLT|4DMSP|59aVULN|7RCR|8LEGI|aBPWR
94	36131 41631	3	 * 	248.81	DCR|4VULN|2ASPD|2TLV	1RMIN|247aVULN|3RPLT|47aBPWR|5TBNT|6RCR|8aASPD|9aTLV
95	63431 13353	1	   	248.80	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1AART|2ASPD|3DUR|48VULN|56DMG|7TLV|9BELT|aRCR
96	64331 13353	1	   	248.80	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1AART|2DUR|3ASPD|48VULN|56DMG|7TLV|9BELT|aRCR
97	62162 61312	4	   	248.45	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1AART|2MLV|35VULN|45DUR|5BPWR|6TBNT|7DMG|8CDMG|9TLV|aRCR
98	42141 22315	1	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1LWND|2468VULN|34LIT|4BPWR|5DUR|7AART|9FEWX|aRCR
99	42141 22325	1	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1LWND|2468VULN|34LIT|4BPWR|5DUR|7AART|9ZMB|aRCR
100	42141 22335	1	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1LWND|2468VULN|34LIT|4BPWR|5DUR|7AART|9LHND|aRCR
101	52143 22315	1	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1DUR|2468VULN|34LIT|4BPWR|5LWND|7AART|9FEWX|aRCR
102	52143 22325	1	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1DUR|2468VULN|34LIT|4BPWR|5LWND|7AART|9ZMB|aRCR
103	52143 22335	1	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1DUR|2468VULN|34LIT|4BPWR|5LWND|7AART|9LHND|aRCR
104	31212 13233	1	   	248.25	DCR|4VULN|1TLV|1DUR	1RMIN|2TLV|3DUR|4BBNT|5LIT|678aVULN|9RCR
105	31214 23233	1	   	248.25	DCR|4VULN|1TLV|1DUR	1RMIN|2TLV|3DUR|4BBNT|568aVULN|7LIT|9RCR
106	53412 13233	3	   	248.25	DCR|4VULN|1TLV|1DUR	1DUR|2TLV|3RMIN|4BBNT|5LIT|678aVULN|9RCR
107	53414 23233	3	   	248.25	DCR|4VULN|1TLV|1DUR	1DUR|2TLV|3RMIN|4BBNT|568aVULN|7LIT|9RCR
