0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22421 74234	5	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	127aVULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV
27	24621 43621	7	   	269.93	DCR|3VULN|3DMG|2TLV	138VULN|2LHND|468DMG|5MBVNT|78TLV|8BPWR|9LIT|aRCR
28	23432 61135	1	 * 	269.62	DCR|4VULN|1TLV|1DMG|2CDMG	1345VULN|24CDMG|4BPWR|6LIT|7CGEN|8TLV|9DMG|aRCR
29	22622 45112	7	 * 	269.57	DCR|5VULN|2TLV|1CDMG	12349VULN|58TLV|6CDMG|7LIT|aRCR
30	23121 74234	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|2LWND|3RCVC|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV
31	22421 74231	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV|aRCVC
32	22421 74236	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV|aZMB
33	22421 74237	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV|aLHND
34	22421 74238	5	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV|aDUST
35	22622 45212	8	   	268.04	DCR|5VULN|1TLV|2LIT|1CDMG	12349VULN|5TLV|6CDMG|78LIT|aRCR
36	22642 22512	4	   	267.90	DCR|5VULN|1TLV|1DMG	1237aVULN|4DMG|5TLV|6LIT|8RCR|9LWND
37	22623 32135	5	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1234VULN|57DUR|6CDMG|8LIT|9DMG|aRCR
38	22623 34335	5	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1234VULN|58DUR|6CDMG|7LIT|9DMG|aRCR
39	22624 32135	4	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1234VULN|57DUR|6CDMG|8LIT|9DMG|aRCR
40	22652 12135	3	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1235VULN|4CDMG|67DUR|8LIT|9DMG|aRCR
41	22663 32135	5	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1234VULN|4BPWR|57DUR|6CDMG|8LIT|9DMG|aRCR
42	22633 11435	3	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1236VULN|4RPLT|5AART|7RCR|8DMG|9TLV|aDUR
43	22642 22521	4	   	267.15	DCR|4VULN|2DMG|1TLV	1237VULN|4aDMG|5TLV|6LIT|8RCR|9RMIN
44	22642 22531	4	   	267.05	DCR|4VULN|2DMG|1TLV	1237VULN|4aDMG|5TLV|6LIT|8RCR|9ERES
45	42421 31351	10	   	266.49	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	12TLV|3ASPD|49aVULN|5DUR|6CDMG|7RCR|8DMG
46	42432 31351	10	   	266.49	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	12TLV|3ASPD|4DUR|59aVULN|6CDMG|7RCR|8DMG
47	22421 74253	5	   	266.48	DCR|3VULN|3DMG|2DUR	127VULN|3LWND|479DMG|5MBVNT|67DUR|7BPWR|8RCR|aASPD
48	23463 31113	10	   	266.05	DCR|4VULN|2DUR|1DMG|2CDMG	1459VULN|2LWND|39DUR|69CDMG|7RCR|8DMSP|9BPWR|aDMG
49	24463 31113	10	   	266.05	DCR|4VULN|2DUR|1DMG|2CDMG	1459VULN|2LHND|39DUR|69CDMG|7RCR|8DMSP|9BPWR|aDMG
50	24463 31313	10	   	266.05	DCR|4VULN|2DUR|1DMG|2CDMG	1459VULN|28LHND|39DUR|69CDMG|7RCR|9BPWR|aDMG
51	22242 21613	10	   	266.05	DCR|4VULN|2DUR|1DMG|2CDMG	1289VULN|3ZMB|49CDMG|59DUR|6RMIN|7RCR|9BPWR|aDMG
52	23432 12441	1	   	265.85	DCR|4VULN|2DUR|1DMG|2CDMG	1345VULN|24CDMG|4BPWR|67DUR|8TBNT|9DMG|aRCR
53	23432 13542	1	   	265.85	DCR|4VULN|2DUR|1DMG|2CDMG	1345VULN|24CDMG|4BPWR|6aDUR|7ERES|8DMG|9RCR
54	63221 26361	2	   	265.83	ACR|3VULN|3DMG|2DUR|1TLV|1CDMG	1RCR|258DMG|38aVULN|4CGEN|6TLV|78DUR|8BPWR|9CDMG
55	12461 31263	7	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|249aVULN|3DUR|5TLV|6ASPD|7DMG|8RCR
56	22623 26123	5	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1234VULN|5DUR|6LIT|7DMG|8RCR|9RMIN|aTLV
57	22624 26123	4	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1234VULN|5DUR|6LIT|7DMG|8RCR|9RMIN|aTLV
58	22663 26123	5	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1234VULN|4BPWR|5DUR|6LIT|7DMG|8RCR|9RMIN|aTLV
59	23432 24315	1	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	1345VULN|24CDMG|4BPWR|6FEWX|7LIT|8DUR|9TLV|aRCR
60	23432 62315	1	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	1345VULN|24CDMG|4BPWR|6LIT|7FEWX|8DUR|9TLV|aRCR
61	32161 31265	7	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1FEWX|249aVULN|3DUR|5TLV|6ASPD|7DMG|8RCR
62	22623 26116	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1234VULN|5DUR|6LIT|7DMG|8RCR|9BBNT|aTLV
63	22623 26153	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1234VULN|5DUR|6LIT|7DMG|8RCR|9ERES|aTLV
64	22622 23345	6	 * 	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1234VULN|5aTLV|6RCVC|7DUR|8DMG|9RCR
65	22623 32411	5	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1234VULN|57DUR|6CDMG|8TBNT|9TLV|aRCR
66	22624 32411	4	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1234VULN|57DUR|6CDMG|8TBNT|9TLV|aRCR
67	22652 12411	3	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1235VULN|4CDMG|67DUR|8TBNT|9TLV|aRCR
68	22663 32411	5	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1234VULN|4BPWR|57DUR|6CDMG|8TBNT|9TLV|aRCR
69	32164 31523	7	 * 	265.55	DCR|4VULN|3DUR|1TLV	168FEWX|2458VULN|358DUR|58BPWR|7BELT|9RCR|aTLV
70	65621 21322	7	 * 	265.51	ACR|3VULN|3DMG|3DUR|1TLV	1RCR|28aDUR|38aVULN|4DMSP|5TLV|6ERES|78aDMG|8aBPWR|9BELT
71	22623 42153	7	   	265.44	DCR|5VULN|1TLV|1DUR|1AART	12347VULN|5DUR|6RCVC|8TLV|9AART|aRCR
72	22234 21262	1	   	265.24	DCR|4VULN|2DMG|2ASPD|1DUR	169aVULN|2DUR|3RCVC|4RPLT|59DMG|7RCR|89ASPD|9BPWR
73	24144 32322	1	   	265.06	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	134VULN|23LIT|3BPWR|5TLV|6FEWX|7DMG|8DUR|9CDMG|aRCR
74	24142 11226	1	   	264.96	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	134VULN|23LIT|3BPWR|5ERES|6TLV|7DUR|8RCR|9CDMG|aDMG
75	22642 21224	4	   	264.96	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	123VULN|4DMG|5TLV|6aLIT|7DUR|8RCR|9CDMG
76	22633 11441	3	   	264.56	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1236VULN|4RPLT|5AART|7RCR|8DMG|9CDMG|aTLV
77	22623 15215	10	 * 	264.33	DCR|5VULN|2DUR|1DMG	12346VULN|58DUR|78MLV|8BPWR|9DMG|aRCR
78	22623 23215	10	   	264.33	DCR|5VULN|2DUR|1DMG	12347VULN|58DUR|68CGEN|8BPWR|9DMG|aRCR
79	22663 23215	10	   	264.33	DCR|5VULN|2DUR|1DMG	12347VULN|48BPWR|58DUR|68CGEN|9DMG|aRCR
80	22242 21611	10	 * 	264.33	DCR|5VULN|2DUR|2CDMG	1289aVULN|3ZMB|49CDMG|59DUR|6RMIN|7RCR|9BPWR
81	22242 21615	9	   	264.33	DCR|5VULN|2DUR|2CDMG	1289aVULN|3ZMB|49CDMG|59DUR|6RMIN|7RCR|9BPWR
82	23463 31111	10	   	264.33	DCR|5VULN|2DUR|2CDMG	1459aVULN|2LWND|39DUR|69CDMG|7RCR|8DMSP|9BPWR
83	23463 31115	9	   	264.33	DCR|5VULN|2DUR|2CDMG	1459aVULN|2LWND|39DUR|69CDMG|7RCR|8DMSP|9BPWR
84	24463 31111	10	   	264.33	DCR|5VULN|2DUR|2CDMG	1459aVULN|2LHND|39DUR|69CDMG|7RCR|8DMSP|9BPWR
85	24463 31311	10	   	264.33	DCR|5VULN|2DUR|2CDMG	1459aVULN|28LHND|39DUR|69CDMG|7RCR|9BPWR
86	22623 23515	10	   	264.23	DCR|5VULN|2DUR|1DMG	12347VULN|58DUR|6CGEN|9DMG|aRCR
87	24621 74242	5	   	264.05	DCR|3VULN|3DUR|2DMG	137VULN|2LHND|47DMG|5MBVNT|679DUR|7BPWR|8RCR|aLIT
88	22161 31221	10	 * 	264.02	DCR|3VULN|3DUR|1TLV|2CDMG|1NUKE|1SELL	12aVULN|3NUKE|4TLV|59aDUR|6aCDMG|7RCR|8SELL|aBPWR
89	12621 74273	5	   	263.57	DCR|4VULN|2DMG|2DUR	17LHND|239aVULN|47DMG|5MBVNT|67DUR|7BPWR|8RCR
90	22421 74226	5	   	263.57	DCR|4VULN|2DMG|2DUR	127aVULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9LHND
91	22421 74246	5	   	263.57	DCR|4VULN|2DMG|2DUR	127aVULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9BEXP
92	22421 74271	5	   	263.57	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|aLHND
93	22421 74272	5	   	263.57	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|aBEXP
94	23121 74276	5	   	263.57	DCR|4VULN|2DMG|2DUR	179aVULN|2LWND|3RCVC|47DMG|5MBVNT|67DUR|7BPWR|8RCR
95	24121 74273	5	   	263.57	DCR|4VULN|2DMG|2DUR	179aVULN|2LHND|3RCVC|47DMG|5MBVNT|67DUR|7BPWR|8RCR
96	24621 74223	5	   	263.57	DCR|4VULN|2DMG|2DUR	137aVULN|29LHND|47DMG|5MBVNT|67DUR|7BPWR|8RCR
97	32121 33412	3	   	263.57	DCR|4VULN|2DMG|2DUR	1FEWX|249aVULN|34DUR|4BPWR|56DMG|7CGEN|8RCR
98	22421 74216	5	   	263.47	DCR|4VULN|2DMG|2DUR	127aVULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9DUST
99	22421 74274	5	   	263.47	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|aBBNT
100	22622 42113	9	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1234VULN|5TLV|6CDMG|7LWND|8RCR|9DMG|aLIT
101	22662 42113	9	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1234VULN|4BPWR|5TLV|6CDMG|7LWND|8RCR|9DMG|aLIT
102	22622 46113	9	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1234VULN|5TLV|6CDMG|7DUST|8RCR|9DMG|aLIT
103	22622 43333	10	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1234VULN|58TLV|6CDMG|7RMIN|9RCR|aDMG
104	22662 43333	10	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1234VULN|4BPWR|58TLV|6CDMG|7RMIN|9RCR|aDMG
105	12461 31243	7	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|24aVULN|3DUR|5TLV|6ASPD|79DMG|8RCR
106	32161 31245	7	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|24aVULN|3DUR|5TLV|6ASPD|79DMG|8RCR
107	12421 36412	3	   	262.13	DCR|4VULN|2DUR|1DMG|2ASPD	1LHND|249aVULN|34DUR|4BPWR|5DMG|67ASPD|8RCR
108	22425 31523	7	   	261.95	DCR|3VULN|3DMG|1TLV	128VULN|3LWND|478DMG|58CGEN|6RCR|8BPWR|9LIT|aTLV
109	22323 26523	3	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	1278VULN|37DUST|47DUR|5BBNT|6AART|7BPWR|9TLV|aRCR
110	22622 42151	10	   	261.49	DCR|5VULN|1TLV|1CDMG	1234aVULN|5TLV|6CDMG|7LWND|8RCR|9ASPD
111	42261 47143	8	 * 	261.42	DCR|3VULN|3DMG|3TLV	127TLV|3DUST|479VULN|5MBVNT|67aDMG|7BPWR|8RCR
112	22622 42115	10	   	261.22	DCR|4VULN|1TLV|1DMG|2CDMG	1234VULN|5TLV|6aCDMG|7LWND|8RCR|9DMG
113	32164 62322	7	   	260.84	DCR|4VULN|2DUR|1DMG|2LIT	1FEWX|2457VULN|35DUR|5BPWR|6DMG|8aLIT|9RCR
114	22623 25335	5	   	260.33	DCR|4VULN|2DUR|1TLV	1234VULN|5aDUR|6LIT|7RCR|8RPLT|9TLV
115	32161 36412	7	   	260.33	DCR|4VULN|2DUR|1TLV	1FEWX|249aVULN|37DUR|5TLV|6ASPD|8RCR
116	22152 35531	3	 * 	260.20	DCR|4VULN|2TLV|2DUR|1NUKE	1268VULN|3NUKE|4BELT|58DUR|78TLV|8BPWR|9RPLT|aRCR
117	22266 22324	8	   	260.20	DCR|4VULN|2TLV|2DUR	1289VULN|3ZMB|48TLV|5MLV|6ERES|78DUR|8BPWR|aRCR
118	22166 22324	8	   	260.10	DCR|4VULN|2TLV|2DUR|1NUKE	1289VULN|3NUKE|48TLV|5MLV|6ERES|78DUR|8BPWR|aRCR
119	32236 54212	9	   	259.95	DCR|3VULN|2DMG|1TLV|1CDMG	17FEWX|237VULN|4LHND|5LIT|67DMG|7BPWR|8CDMG|9TLV|aRCR
120	32216 54212	9	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	17FEWX|237VULN|4DUST|5LIT|67DMG|7BPWR|8CDMG|9TLV|aRCR
