0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11132 43551	5	 * 	305.09	DCR|3VULN|3DUR|2DMG|2TLV|2LIT	1aDMG|256VULN|346DUR|6aBPWR|7RCR|8aLIT|9aTLV
23	13422 25341	6	   	281.91	DCR|5VULN|2DMG|2DUR	17DMG|2DUST|34579VULN|67DUR|7BPWR|8RPLT|aRCR
24	11121 35362	9	   	281.81	DCR|5VULN|2DMG|2DUR	17DMG|2489aVULN|37DUR|57ERES|6RCR|7BPWR
25	11122 34541	10	   	281.44	DCR|3VULN|3DMG|2DUR|2LIT	168DMG|245VULN|38DUR|78LIT|8BPWR|9ASPD|aRCR
26	11132 43323	5	   	280.98	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|256VULN|346DUR|6BPWR|7RCR|8ASPD|9LIT|aTLV
27	11411 42513	10	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	14DMG|2346aVULN|4BPWR|5ERES|7CDMG|8RCR|9DUR
28	11411 52513	10	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	14DMG|2346aVULN|46BPWR|56ERES|7CDMG|8RCR|9DUR
29	11122 24453	9	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|245aVULN|36DUR|7LIT|8RCR|9TLV
30	11132 23551	6	   	280.29	DCR|2VULN|3DUR|2DMG|2TLV|2LIT	1aDMG|25VULN|346DUR|7RCR|8aLIT|9aTLV|aBPWR
31	11132 53551	5	   	280.29	DCR|2VULN|3DUR|2DMG|2TLV|2LIT	1aDMG|25VULN|346DUR|7RCR|8aLIT|9aTLV|aBPWR
32	12431 63621	2	   	279.46	DCR|3VULN|3DMG|1TLV|1DUR	159DMG|2BEXP|3TLV|458VULN|5BPWR|6DUR|7RCR|aAART
33	13431 63621	2	   	279.36	DCR|3VULN|3DMG|1TLV|1DUR	159DMG|2DUST|3TLV|458VULN|5BPWR|6DUR|7RCR|aAART
34	11414 61221	6	   	278.49	DCR|4VULN|3DMG|1DUR|1CDMG	147DMG|2347VULN|47BPWR|5RCVC|67CGEN|8RCR|9CDMG|aDUR
35	11415 11252	10	   	278.29	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|234VULN|4BPWR|5TLV|6ERES|78DUR|9RCR|aAART
36	11415 16212	10	   	278.29	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|234VULN|4BPWR|5TLV|6ERES|7RCR|89DUR|aAART
37	11122 36265	7	   	278.19	DCR|4VULN|3DMG|1DUR|1CDMG	168DMG|245aVULN|3DUR|7RCR|9CDMG
38	11411 42531	9	   	278.19	DCR|4VULN|3DMG|1DUR|1CDMG	149DMG|2346VULN|4BPWR|5ERES|7CDMG|8RCR|aDUR
39	11411 52531	9	   	278.19	DCR|4VULN|3DMG|1DUR|1CDMG	149DMG|2346VULN|46BPWR|56ERES|7CDMG|8RCR|aDUR
40	11122 34552	9	   	278.14	DCR|3VULN|3DMG|2DUR|3LIT	168DMG|245VULN|38DUR|789LIT|8BPWR|aRCR
41	11123 32523	5	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	178DMG|248VULN|3DUR|5BEXP|68TLV|8BPWR|9LWND|aRCR
42	11123 32523	7	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	168DMG|248VULN|3DUR|5BEXP|78TLV|8BPWR|9LWND|aRCR
43	11123 32543	5	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	178DMG|248VULN|3DUR|5BEXP|68TLV|8BPWR|9LHND|aRCR
44	11123 32543	7	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	168DMG|248VULN|3DUR|5BEXP|78TLV|8BPWR|9LHND|aRCR
45	11123 32553	7	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	168DMG|248VULN|3DUR|5BEXP|78TLV|8BPWR|9FEWX|aRCR
46	11123 32553	5	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	178DMG|248VULN|3DUR|5BEXP|68TLV|8BPWR|9FEWX|aRCR
47	11463 32523	5	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	178DMG|238VULN|4DUR|5BEXP|68TLV|8BPWR|9LWND|aRCR
48	11463 32523	7	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	168DMG|238VULN|4DUR|5BEXP|78TLV|8BPWR|9LWND|aRCR
49	12411 15123	8	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2BEXP|378VULN|4FEWX|5DUR|67TLV|7BPWR|aRCR
50	12411 15623	7	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2BEXP|378VULN|4FEWX|5DUR|67TLV|7BPWR|aRCR
51	11136 25431	4	   	277.91	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1DMG|29aVULN|347DUR|5CDMG|6TLV|8RCR
52	12434 15123	8	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2BEXP|378VULN|4DUR|5DUST|67TLV|7BPWR|aRCR
53	12441 15123	8	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2BEXP|378VULN|4DUST|5DUR|67TLV|7BPWR|aRCR
54	13411 15123	8	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2DUST|378VULN|4FEWX|5DUR|67TLV|7BPWR|aRCR
55	13411 15623	7	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2DUST|378VULN|4FEWX|5DUR|67TLV|7BPWR|aRCR
56	13461 15123	8	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2DUST|378VULN|4BEXP|5DUR|67TLV|7BPWR|aRCR
57	11122 21351	10	   	277.45	DCR|5VULN|3DUR|1DMG	1DMG|24589VULN|367DUR|aRCR
58	11132 26351	10	   	277.45	DCR|5VULN|3DUR|1DMG	1DMG|25789VULN|346DUR|aRCR
59	11462 21351	10	   	277.45	DCR|5VULN|3DUR|1DMG	1DMG|23589VULN|467DUR|aRCR
60	11415 12314	5	 * 	277.18	DCR|5VULN|2DMG|1TLV|1NUKE	14DMG|23478VULN|4BPWR|5TLV|6NUKE|9MLV|aRCR
61	11121 35323	10	   	277.12	DCR|4VULN|2DMG|2DUR|1CDMG	17DMG|248aVULN|37DUR|57ERES|6RCR|7BPWR|9CDMG
62	11461 35323	10	   	277.12	DCR|4VULN|2DMG|2DUR|1CDMG	17DMG|238aVULN|47DUR|57ERES|6RCR|7BPWR|9CDMG
63	11411 43335	6	   	277.08	DCR|5VULN|2DMG|1TLV	14DMG|23467VULN|4BPWR|58ERES|9TLV|aRCR
64	11411 53331	6	   	277.08	DCR|5VULN|2DMG|1TLV	14DMG|23467VULN|46BPWR|568ERES|9RCR|aTLV
65	11132 34453	9	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	16DMG|25aVULN|34DUR|7LIT|8RCR|9TLV
66	11415 11251	9	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|234VULN|4BPWR|5TLV|6ERES|78DUR|9RCR|aLIT
67	11415 16211	9	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|234VULN|4BPWR|5TLV|6ERES|7RCR|89DUR|aLIT
68	11415 16231	8	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|234VULN|4BPWR|5TLV|6ERES|7RCR|89DUR|aLIT
69	11414 12412	6	   	276.91	DCR|4VULN|2DMG|1TLV	14DMG|2347VULN|4BPWR|5RCVC|6LIT|8RCR|9AART|aTLV
70	11132 25345	10	   	276.80	DCR|4VULN|3DUR|2DMG	17DMG|2578VULN|346DUR|7BPWR|9LHND|aRCR
71	11132 25365	10	   	276.80	DCR|4VULN|3DUR|2DMG	17DMG|2578VULN|346DUR|7BPWR|9FEWX|aRCR
72	11414 51321	7	   	276.80	DCR|4VULN|3DUR|2DMG	14DMG|2348VULN|4BPWR|5RCVC|67aDUR|9RCR
73	11121 35366	9	   	276.70	DCR|4VULN|3DUR|2DMG	17DMG|2489VULN|37aDUR|57ERES|6RCR|7BPWR
74	11122 26221	7	   	276.70	DCR|4VULN|3DUR|2DMG	18DMG|2459VULN|36aDUR|7RCR
75	11122 31321	7	   	276.70	DCR|4VULN|3DUR|2DMG	16DMG|2458VULN|37aDUR|9RCR
76	11122 36221	8	   	276.70	DCR|4VULN|3DUR|2DMG	16DMG|2459VULN|38aDUR|7RCR
77	11132 32321	6	   	276.70	DCR|4VULN|3DUR|2DMG	16DMG|2578VULN|34aDUR|9RCR
78	11132 36621	8	   	276.70	DCR|4VULN|3DUR|2DMG	16DMG|2589VULN|34aDUR|7RCR
79	11462 26221	7	   	276.70	DCR|4VULN|3DUR|2DMG	18DMG|2359VULN|46aDUR|7RCR
80	11462 31321	7	   	276.70	DCR|4VULN|3DUR|2DMG	16DMG|2358VULN|47aDUR|9RCR
81	11462 36221	8	   	276.70	DCR|4VULN|3DUR|2DMG	16DMG|2359VULN|48aDUR|7RCR
82	11122 26251	10	   	276.70	DCR|4VULN|3DUR|2DMG	19DMG|245aVULN|368DUR|7RCR
83	11132 25335	10	   	276.70	DCR|4VULN|3DUR|2DMG	17DMG|2578VULN|346DUR|7BPWR|9DUST|aRCR
84	11132 25364	8	   	276.70	DCR|4VULN|3DUR|2DMG|1NUKE	17DMG|2578VULN|346DUR|7BPWR|9NUKE|aRCR
85	11414 13134	8	   	276.68	DCR|3VULN|3DMG|2TLV|2LIT	149DMG|234VULN|49BPWR|5RCVC|69LIT|7BELT|89TLV|aRCR
86	11132 43324	5	   	275.82	DCR|4VULN|3DUR|1DMG	1DMG|256aVULN|346DUR|6BPWR|7RCR|8ASPD|9LIT
87	11122 36622	8	   	275.54	DCR|5VULN|2DMG|1DUR	16DMG|24589VULN|3DUR|7RCR|aLIT
88	11122 36622	9	   	275.54	DCR|5VULN|2DMG|1DUR	16DMG|2458aVULN|3DUR|7RCR|9ASPD
89	11122 36632	8	   	275.54	DCR|5VULN|2DMG|1DUR	16DMG|2458aVULN|3DUR|7RCR|9ASPD
90	11333 25131	10	   	275.29	DCR|4VULN|2DMG|1TLV|1DUR	17DMG|278aVULN|3LWND|4DUR|57CGEN|6RCR|7BPWR|9TLV
91	11415 16221	7	   	275.17	DCR|3VULN|3DMG|2TLV|1CDMG	148DMG|234VULN|4BPWR|59TLV|6ERES|7RCR|aCDMG
92	11332 25131	10	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	17DMG|278aVULN|3LWND|4DUR|57ERES|6RCR|7BPWR|9TLV
93	11415 11421	6	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2347VULN|4BPWR|5TLV|6ERES|8DMSP|9RCR|aDUR
94	11415 16231	10	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|234aVULN|4BPWR|5TLV|6ERES|7RCR|8DUR|9BEXP
95	12431 63422	2	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	15DMG|2BEXP|3TLV|459aVULN|5BPWR|6DUR|7RCR|8BBNT
