0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31273 43627	5	 * 	289.68	DCR|4VULN|3DUR|2TLV|2ASPD	1478VULN|24ASPD|3MBVNT|47BPWR|579DUR|67TLV|aRCR
88	33233 25414	6	   	264.67	ACR|3VULN|2DMG|2TLV|2DUR|2CDMG	18aVULN|28CDMG|3aDMG|4BELT|5RCR|6ERES|78DUR|8aBPWR|9aTLV
89	32223 25333	10	 * 	264.46	DCR|3VULN|3DUR|1TLV|1DMG	149VULN|2TLV|39LWND|579DUR|6RCR|8RPLT|9BPWR|aDMG
90	32423 25333	10	   	264.46	DCR|3VULN|3DUR|1TLV|1DMG	149VULN|2TLV|39LHND|579DUR|6RCR|8RPLT|9BPWR|aDMG
91	31413 32624	5	   	264.13	DCR|3VULN|2TLV|2ASPD|1DUR|1CDMG|1AART	158VULN|28ASPD|3LHND|4CDMG|68TLV|7RCR|8BPWR|9DUR|aAART
92	33345 22621	2	 * 	264.09	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	18VULN|28CDMG|3TLV|4LHND|58DMG|6RCVC|7RCR|8BPWR|9aDUR
93	33441 36333	8	 * 	263.99	DCR|3VULN|2DMG|1TLV|3CDMG	178VULN|248CDMG|3LWND|5CGEN|68DMG|8BPWR|9RCR|aTLV
94	33332 53186	10	 * 	263.45	DCR|2VULN|3DUR|2TLV|3CDMG|1AART	1aVULN|24aCDMG|347DUR|4aBPWR|5MBVNT|6AART|8aTLV|9RCR
95	31273 41684	9	   	263.25	DCR|4VULN|1TLV|2ASPD|1DUR|1AART	1467VULN|24ASPD|3MBVNT|4BPWR|5DUR|8AART|9RCR|aTLV
96	33332 56251	8	   	262.68	DCR|3VULN|3DUR|2CDMG|2LIT|1AART	19aVULN|24CDMG|34aDUR|4aBPWR|5MBVNT|6AART|7aLIT|8RCR
97	33661 32621	6	   	262.58	DCR|3VULN|2DMG|2DUR|2CDMG	138VULN|28CDMG|4LHND|5CGEN|68DMG|7RCR|8BPWR|9aDUR
98	35163 43313	6	   	262.42	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|247FEWX|34DMG|47BPWR|5DUR|67TLV|8BEXP|aRCR
99	36163 43313	6	   	262.42	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|247BEXP|34DMG|47BPWR|5DUR|67TLV|8FEWX|aRCR
100	32223 21332	8	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3LWND|5DUR|6RCR|7aDMG|8RPLT|9LEGI|aBPWR
101	32223 21532	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3LWND|5DUR|6RCR|7aDMG|8MBVNT|9RPLT|aBPWR
102	32223 21581	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aBELT
103	32223 21582	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aFEWX
104	32223 21583	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aLHND
105	32223 21584	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aBELT
106	32223 21586	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aRMIN
107	32223 21587	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aDMSP
108	32223 21587	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aDMSP
109	32223 21588	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aFEWX
110	32423 21332	8	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3LHND|5DUR|6RCR|7aDMG|8RPLT|9LEGI|aBPWR
111	32423 21532	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3LHND|5DUR|6RCR|7aDMG|8MBVNT|9RPLT|aBPWR
112	32423 21581	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LHND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aBELT
113	32423 21582	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LHND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aFEWX
114	32423 21583	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LHND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aLWND
115	32423 21584	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LHND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aBELT
116	35323 52122	3	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	19aVULN|29FEWX|38TLV|4TBNT|5DUR|69DMG|7RCR|9BPWR
117	36323 52122	3	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	19aVULN|29BEXP|38TLV|4TBNT|5DUR|69DMG|7RCR|9BPWR
118	32223 21542	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3LWND|5DUR|6RCR|7aDMG|8MBVNT|9TBNT|aBPWR
119	32223 21581	9	 * 	262.12	DCR|3VULN|2DMG|3TLV|1DUR	149VULN|29aTLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR
120	32223 21582	10	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aERES
121	32223 21583	9	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aTBNT
122	32223 21586	10	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aDLOT
123	32223 21588	9	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aDUST
124	32361 11212	2	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	13aVULN|2aTLV|4BBNT|5MBVNT|6LHND|7RCR|8DUR|9aDMG|aBPWR
125	32361 61212	2	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	13aVULN|2aTLV|4BBNT|5MBVNT|6LWND|7RCR|8DUR|9aDMG|aBPWR
126	32423 21542	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3LHND|5DUR|6RCR|7aDMG|8MBVNT|9TBNT|aBPWR
127	32423 21581	9	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	149VULN|29aTLV|3LHND|5DUR|6RCR|79DMG|8MBVNT|9BPWR
128	32423 21582	10	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LHND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aERES
129	32423 21583	9	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|29TLV|3LHND|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aTBNT
130	32511 11212	2	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	14aVULN|24aTLV|3TBNT|4aBPWR|5MBVNT|6LHND|7RCR|8DUR|9aDMG
131	32511 61212	2	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	14aVULN|24aTLV|3TBNT|4aBPWR|5MBVNT|6LWND|7RCR|8DUR|9aDMG
132	32521 11212	2	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3TBNT|5MBVNT|6LHND|7RCR|8DUR|9aDMG|aBPWR
133	32521 61212	2	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	14aVULN|2aTLV|3TBNT|5MBVNT|6LWND|7RCR|8DUR|9aDMG|aBPWR
134	32356 32623	2	   	262.08	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	138VULN|2aTLV|4SELL|58DMG|68LHND|7RCR|8BPWR|9DUR
135	33334 23563	8	   	261.96	DCR|2VULN|3DUR|1TLV|3CDMG|2ASPD	17VULN|247CDMG|349DUR|47BPWR|5LHND|67ASPD|8RCR|aTLV
136	31273 24741	8	 * 	261.90	DCR|3VULN|2TLV|3ASPD|1DUR|1CDMG	148VULN|248ASPD|3MBVNT|48BPWR|5DUR|6MLV|78TLV|9RCR|aCDMG
137	31413 32625	5	   	261.90	DCR|3VULN|2TLV|3ASPD|1DUR|1CDMG	158VULN|28aASPD|3LHND|4CDMG|68TLV|7RCR|8BPWR|9DUR
138	31273 41317	7	   	261.90	DCR|4VULN|1TLV|2ASPD|1DUR	1467VULN|24ASPD|3MBVNT|4BPWR|5DUR|8LIT|9TLV|aRCR
139	33332 67353	9	   	261.86	DCR|2VULN|3DUR|1TLV|3CDMG|2ASPD	19VULN|249CDMG|346DUR|49BPWR|5MBVNT|79ASPD|8RCR|aTLV
140	33332 28653	9	   	261.86	DCR|2VULN|3DUR|1TLV|3CDMG|2ASPD	19VULN|249CDMG|348DUR|49BPWR|5MBVNT|69ASPD|7RCR|aTLV
141	33623 35352	4	 * 	261.66	DCR|5VULN|2CDMG|1DMG	1347aVULN|26CDMG|5LIT|8DMG|9RCR
142	31274 11727	10	 * 	261.28	DCR|3VULN|2DMG|3ASPD|1DUR|1AART	14aVULN|24aASPD|3MBVNT|4aBPWR|5LHND|6DUR|7aDMG|8AART|9RCR
143	31163 43632	7	   	261.22	DCR|4VULN|1TLV|3ASPD|1DUR	148aVULN|24aASPD|3LEGI|4aBPWR|5DUR|6TLV|7RCR|9aZMB
144	53213 21165	10	   	261.21	DCR|3VULN|2TLV|2DUR|1CDMG	1CGEN|2aDUR|3CDMG|4BEXP|57aVULN|6RCR|8LIT|9aTLV|aBPWR
145	31233 43787	5	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	179VULN|2ASPD|3MBVNT|4DMSP|57DUR|67TLV|7BPWR|8CDMG|aRCR
146	31333 16143	3	   	261.07	DCR|3VULN|1TLV|1DMG|2ASPD|2LIT|1AART	16aVULN|2aASPD|3RPLT|4TLV|5DMG|7aLIT|8AART|9RCR|aBPWR
147	31363 16143	4	   	261.07	DCR|3VULN|1TLV|1DMG|2ASPD|2LIT|1AART	16aVULN|2aASPD|3RPLT|4TLV|5DMG|7aLIT|8AART|9RCR|aBPWR
148	33623 11131	5	   	261.02	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9DMG|aBELT
149	33623 11132	5	   	261.02	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9DMG|aFEWX
150	33623 11134	5	   	261.02	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9DMG|aRMIN
151	33623 11133	5	   	260.92	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9DMG|aERES
152	33623 11135	5	   	260.92	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9DMG|aBBNT
153	23633 21264	5	   	260.90	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	18FEWX|24CDMG|348VULN|48BPWR|58DUR|6RCVC|7AART|9TLV|aRCR
154	31273 46217	8	   	260.77	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	146VULN|24ASPD|3MBVNT|4BPWR|58DUR|7CDMG|9TLV|aRCR
155	31273 46317	9	   	260.77	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	146VULN|24ASPD|3MBVNT|4BPWR|59DUR|7CDMG|8TLV|aRCR
156	31273 46327	8	   	260.77	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	146VULN|24ASPD|3MBVNT|4BPWR|59DUR|7CDMG|8TLV|aRCR
157	33623 51161	5	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1346VULN|2CDMG|5AART|7RCR|8DUR|9TLV|aFEWX
158	33623 51162	5	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1346VULN|2CDMG|5AART|7RCR|8DUR|9TLV|aRCVC
