0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23512 64212	7	 * 	289.35	ACR|5VULN|3DMG|3CDMG|2LIT	17aCDMG|28LIT|37aDMG|4679aVULN|5RCR|7aBPWR
19	25333 44212	2	   	277.17	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	19CDMG|279VULN|34DUR|5LWND|6RCR|89ASPD|9BPWR|aDMG
20	25211 43613	3	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|2359VULN|46DUR|7LIT|8TLV|aRCR
21	25311 43613	2	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|2459VULN|36DUR|7LIT|8TLV|aRCR
22	25131 33714	6	 * 	276.44	ACR|4VULN|3DUR|3ASPD|3CDMG	19aCDMG|256aVULN|3RCR|459ASPD|59aBPWR|7MBVNT|89aDUR
23	25125 46314	4	 * 	276.27	ACR|3VULN|3DMG|3DUR|3CDMG	19aCDMG|28aVULN|3RCR|4MBVNT|569DMG|79aDUR|9aBPWR
24	21228 85412	4	   	276.16	DCR|4VULN|2DMG|2CDMG|1ASPD	19CDMG|26DUST|3569VULN|4MBVNT|69BPWR|79DMG|8RCR|aASPD
25	21242 33412	6	   	276.16	DCR|4VULN|2DMG|2CDMG|1ASPD	19CDMG|2DUST|3469VULN|59DMG|7MBVNT|8RCR|9BPWR|aASPD
26	31421 44212	1	 * 	274.55	DCR|3VULN|2DMG|2DUR|2ASPD|1SELL	1RMIN|2SELL|39DUR|4aDMG|579VULN|6RCR|89ASPD|9BPWR
27	25321 26421	10	   	274.54	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1CDMG|2aVULN|3TLV|4LIT|5aDUR|6CGEN|7AART|8RCR|9aDMG|aBPWR
28	22411 85411	3	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aLWND
29	22421 85411	4	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aLWND
30	22411 85413	3	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aERES
31	22411 85414	3	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aDUST
32	22421 85413	4	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aERES
33	22421 85414	4	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aDUST
34	35611 33336	8	 * 	272.81	ACR|4VULN|3DMG|3DUR	1RMIN|2789VULN|3RCR|49aDUR|578ERES|678DMG|789BPWR
35	14222 72144	8	   	271.86	DCR|4VULN|3DUR|2CDMG	19aBEXP|2aCDMG|379aVULN|4MBVNT|589DUR|6RCR|9aBPWR
36	64222 72144	8	   	271.56	DCR|4VULN|3DUR|2CDMG	19aDUST|2aCDMG|379aVULN|4MBVNT|589DUR|6RCR|9aBPWR
37	14242 33412	6	   	269.94	DCR|4VULN|2DMG|1CDMG|1ASPD	19BEXP|2CDMG|3469VULN|59DMG|7MBVNT|8RCR|9BPWR|aASPD
38	64242 33412	6	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	19DUST|2CDMG|3469VULN|59DMG|7MBVNT|8RCR|9BPWR|aASPD
39	36126 18224	9	   	269.24	DCR|3VULN|3DMG|3ASPD	1RMIN|29aDMG|3RPLT|4MBVNT|5FEWX|6RCR|79aASPD|89aVULN|9aBPWR
40	36128 18224	9	   	269.14	DCR|3VULN|3DMG|3ASPD	1RMIN|29aDMG|3RPLT|4MBVNT|5DUST|6RCR|79aASPD|89aVULN|9aBPWR
41	25232 26212	7	   	268.98	DCR|4VULN|2ASPD|1DMG|2CDMG	19CDMG|2369VULN|4LHND|5FEWX|7RCR|89ASPD|9BPWR|aDMG
42	25232 44212	4	   	268.98	DCR|4VULN|2ASPD|1DMG|2CDMG	19CDMG|2379VULN|4LHND|5BEXP|6RCR|89ASPD|9BPWR|aDMG
43	25232 44212	5	   	268.98	DCR|4VULN|2ASPD|1DMG|2CDMG	19CDMG|2379VULN|4LHND|5FEWX|6RCR|89ASPD|9BPWR|aDMG
44	25211 63613	3	   	268.31	DCR|4VULN|2CDMG|1DUR|1TLV	16CDMG|2359VULN|4DUR|7LIT|8TLV|aRCR
45	25311 63613	2	   	268.31	DCR|4VULN|2CDMG|1DUR|1TLV	16CDMG|2459VULN|3DUR|7LIT|8TLV|aRCR
46	25414 12123	10	   	268.20	DCR|4VULN|2DUR|2CDMG|1AART	1aCDMG|269aVULN|3CGEN|4LWND|5AART|7RCR|8aDUR|aBPWR
47	25614 12123	10	   	268.10	DCR|4VULN|2DUR|2CDMG|1AART	1aCDMG|269aVULN|3ERES|4LWND|5AART|7RCR|8aDUR|aBPWR
48	21222 53316	10	   	268.00	DCR|4VULN|2DUR|2CDMG|1AART	19CDMG|2DUST|379aVULN|4MBVNT|59DUR|6AART|8RCR|9BPWR
49	21222 72243	8	   	268.00	DCR|4VULN|2DUR|2CDMG|1AART	19CDMG|2DUST|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aAART
50	21222 72343	7	   	268.00	DCR|4VULN|2DUR|2CDMG|1AART	19CDMG|2DUST|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aAART
51	25314 22123	10	   	267.85	DCR|3VULN|2DUR|3CDMG|1TLV|1AART	16aCDMG|29aVULN|3TLV|4LWND|5AART|7RCR|8aDUR|aBPWR
52	25131 15312	5	 * 	267.62	ACR|4VULN|2DUR|2ASPD|1DMG|2CDMG	19CDMG|2589VULN|3RCR|45ASPD|59BPWR|6FEWX|79DUR|aDMG
53	25131 35612	6	   	267.62	ACR|4VULN|2DUR|2ASPD|1DMG|2CDMG	19CDMG|2569VULN|3RCR|45ASPD|59BPWR|7BEXP|89DUR|aDMG
54	25262 31351	10	 * 	267.53	DCR|4VULN|2CDMG|2TLV|1DMG	18CDMG|2368VULN|4DUST|5DMG|78TLV|8BPWR|9ERES|aRCR
55	25131 36612	6	   	267.52	ACR|4VULN|2DUR|2ASPD|1DMG|2CDMG	19CDMG|2569VULN|3RCR|45ASPD|59BPWR|7DUST|89DUR|aDMG
56	23611 63115	7	   	267.17	DCR|3VULN|3DUR|1TLV|1CDMG	1CDMG|2LIT|3TLV|46aVULN|579DUR|8RCR
57	25321 63115	7	   	267.17	DCR|3VULN|3DUR|1TLV|1CDMG	1CDMG|26aVULN|3TLV|4LIT|579DUR|8RCR
58	41262 33363	6	 * 	266.71	DCR|3VULN|3DUR|2DMG	19LHND|2DLOT|35DMG|459DUR|59BPWR|6RCR|79aVULN|8TBNT
59	21222 72241	8	   	266.64	DCR|4VULN|2DUR|2CDMG	19CDMG|2DUST|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aLIT
60	21222 72341	7	   	266.64	DCR|4VULN|2DUR|2CDMG	19CDMG|2DUST|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aLIT
61	23661 23421	10	   	266.51	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG|1AART	1CDMG|2aLIT|3TLV|4DUR|5AART|6aVULN|7CGEN|8RCR|9aDMG|aBPWR
62	25131 31324	9	 * 	266.27	ACR|4VULN|3ASPD|2TLV|1DMG|2CDMG	18CDMG|256aVULN|3RCR|458ASPD|58BPWR|78TLV|9DMG
63	23562 43813	10	   	265.85	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD	19CDMG|2LIT|39DMG|4aDUR|5MBVNT|6ASPD|7RCR|89VULN|9BPWR
64	25131 61612	5	   	265.52	ACR|4VULN|2DUR|2ASPD|2CDMG|1AART	1aCDMG|258aVULN|3RCR|45ASPD|5aBPWR|6LIT|7aDUR|9AART
65	21222 53318	10	   	265.42	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	19CDMG|2DUST|379VULN|4MBVNT|59DUR|6AART|8RCR|9BPWR|aDMG
66	21222 72147	8	   	265.17	DCR|3VULN|3DUR|2CDMG|1TLV	19CDMG|2DUST|379VULN|4MBVNT|589DUR|6RCR|9BPWR|aTLV
67	25212 44211	3	   	265.16	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2379VULN|4DUR|5BEXP|6RCR|89ASPD|9BPWR|aLWND
68	25213 44211	3	   	265.16	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2379VULN|4DUR|5LWND|6RCR|89ASPD|9BPWR|aLHND
69	25312 44211	2	   	265.16	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2479VULN|3DUR|5BEXP|6RCR|89ASPD|9BPWR|aLWND
70	25313 44211	2	   	265.16	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2479VULN|3DUR|5LWND|6RCR|89ASPD|9BPWR|aLHND
71	21224 85418	5	   	265.15	DCR|4VULN|2DMG|2CDMG	19CDMG|26DUST|369aVULN|4MBVNT|5DMSP|69BPWR|79DMG|8RCR
72	21228 25418	4	   	265.15	DCR|4VULN|2DMG|2CDMG	19CDMG|2DUST|359aVULN|4MBVNT|6RCVC|79DMG|8RCR|9BPWR
73	21228 85411	4	   	265.15	DCR|4VULN|2DMG|2CDMG	19CDMG|26DUST|3569VULN|4MBVNT|69BPWR|79DMG|8RCR|aLWND
74	21242 13418	6	   	265.15	DCR|4VULN|2DMG|2CDMG	19CDMG|2DUST|349aVULN|59DMG|6RCVC|7MBVNT|8RCR|9BPWR
75	21242 33411	6	   	265.15	DCR|4VULN|2DMG|2CDMG	19CDMG|2DUST|3469VULN|59DMG|7MBVNT|8RCR|9BPWR|aLWND
76	21242 33416	6	   	265.15	DCR|4VULN|2DMG|2CDMG	19CDMG|2DUST|3469VULN|59DMG|7MBVNT|8RCR|9BPWR|aRCVC
77	21211 41216	3	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2DUST|3459VULN|6DUR|7FEWX|89ASPD|9BPWR|aRCR
78	21241 41216	4	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2DUST|3459VULN|6DUR|7FEWX|89ASPD|9BPWR|aRCR
79	21243 14216	6	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2DUST|3479VULN|5DUR|6FEWX|89ASPD|9BPWR|aRCR
80	25212 44213	3	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2379VULN|4DUR|5BEXP|6RCR|89ASPD|9BPWR|aERES
81	25213 44213	3	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2379VULN|4DUR|5LWND|6RCR|89ASPD|9BPWR|aERES
82	25312 44213	2	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2479VULN|3DUR|5BEXP|6RCR|89ASPD|9BPWR|aERES
83	25313 44213	2	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	19CDMG|2479VULN|3DUR|5LWND|6RCR|89ASPD|9BPWR|aERES
84	21228 85413	4	   	265.05	DCR|4VULN|2DMG|2CDMG	19CDMG|26DUST|3569VULN|4MBVNT|69BPWR|79DMG|8RCR|aERES
85	21228 85414	4	   	265.05	DCR|4VULN|2DMG|2CDMG	19CDMG|26aDUST|3569VULN|4MBVNT|69BPWR|79DMG|8RCR
86	21242 33413	6	   	265.05	DCR|4VULN|2DMG|2CDMG	19CDMG|2DUST|3469VULN|59DMG|7MBVNT|8RCR|9BPWR|aERES
87	21242 33414	6	   	265.05	DCR|4VULN|2DMG|2CDMG	19CDMG|2aDUST|3469VULN|59DMG|7MBVNT|8RCR|9BPWR
88	25262 33418	6	   	265.05	DCR|4VULN|2DMG|2CDMG	19CDMG|236aVULN|49DUST|59DMG|7MBVNT|8RCR|9BPWR
89	21243 36214	10	 * 	264.90	DCR|3VULN|2DMG|3CDMG|1DUR	16aCDMG|2DUST|34aVULN|5DUR|7RCR|8LWND|9aDMG|aBPWR
90	21243 36314	10	   	264.90	DCR|3VULN|2DMG|3CDMG|1DUR	16aCDMG|2DUST|34aVULN|5DUR|7RCR|8LHND|9aDMG|aBPWR
91	46312 25311	1	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	19LHND|279DUR|3CDMG|48VULN|59DMG|6RCR|9BPWR|aASPD
92	21243 36113	8	   	264.48	DCR|4VULN|2DUR|3CDMG	169CDMG|2DUST|349aVULN|59DUR|7RCR|8RMIN|9BPWR
93	21222 72246	8	   	264.38	DCR|4VULN|2DUR|3CDMG	19aCDMG|2DUST|3789VULN|4MBVNT|59DUR|6RCR|9BPWR
94	21222 72346	7	   	264.38	DCR|4VULN|2DUR|3CDMG	19aCDMG|2DUST|3789VULN|4MBVNT|59DUR|6RCR|9BPWR
95	25212 61612	5	   	264.27	ACR|4VULN|2DUR|1DMG|2CDMG|1AART	1aCDMG|238aVULN|4RCR|5DMG|6LIT|7aDUR|9AART|aBPWR
96	35125 23262	2	 * 	263.98	DCR|3VULN|3DUR|3TLV|2LIT	1RMIN|29aVULN|3TBNT|47LIT|59aDUR|69aTLV|8RCR|9aBPWR
97	21211 44116	3	   	263.92	DCR|4VULN|1DMG|2CDMG|1DUR	19CDMG|2DUST|3459VULN|6DUR|7DMG|89LWND|9BPWR|aRCR
98	21242 34116	7	   	263.92	DCR|4VULN|1DMG|2CDMG|1DUR	19CDMG|2DUST|3469VULN|5DMG|7DUR|89LWND|9BPWR|aRCR
99	21242 34116	6	   	263.92	DCR|4VULN|1DMG|2CDMG|1DUR	19CDMG|2DUST|3469VULN|5DMG|7DUR|89LWND|9BPWR|aRCR
100	25233 61316	9	   	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	15CDMG|2367VULN|4LHND|8TLV|9RCR|aDMG
101	23512 65212	6	   	263.57	ACR|4VULN|3DMG|2CDMG|2LIT	1aCDMG|28LIT|37aDMG|469aVULN|5RCR|aBPWR
102	14242 31532	7	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1BEXP|2CDMG|346VULN|5aDMG|7TLV|8ASPD|9RCR
103	21242 31532	7	   	263.35	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|2DUST|346VULN|5aDMG|7TLV|8ASPD|9RCR
104	25262 31532	7	   	263.35	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|236VULN|4DUST|5aDMG|7TLV|8ASPD|9RCR
105	25314 12121	9	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1CDMG|269aVULN|3TLV|4LWND|5AART|7RCR|8DUR
106	25342 63113	9	   	263.10	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	1CDMG|29VULN|3TLV|4ERES|59DMG|6DUR|79ASPD|8RMIN|9BPWR|aRCR
107	25332 42532	3	 * 	262.92	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR|1ASPD	17CDMG|24VULN|34TLV|4BPWR|5aDMG|6DUR|8ASPD|9RCR
108	22512 44212	3	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|2RCVC|379VULN|4DUR|5BEXP|6RCR|89ASPD|9BPWR|aDMG
109	22513 44212	3	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|2RCVC|379VULN|4DUR|5LWND|6RCR|89ASPD|9BPWR|aDMG
110	25213 42212	3	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|239VULN|4DUR|57LWND|6RCR|89ASPD|9BPWR|aDMG
111	25213 43212	3	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|239VULN|4DUR|5LWND|6RCR|7DMSP|89ASPD|9BPWR|aDMG
112	25235 43212	4	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|239VULN|47LHND|5DUR|6RCR|89ASPD|9BPWR|aDMG
113	25313 42212	2	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|249VULN|3DUR|57LWND|6RCR|89ASPD|9BPWR|aDMG
114	25313 43212	2	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|249VULN|3DUR|5LWND|6RCR|7DMSP|89ASPD|9BPWR|aDMG
115	25343 21312	2	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|289VULN|3DUR|47ASPD|59LWND|6RCR|9BPWR|aDMG
116	25131 31315	8	   	262.46	ACR|4VULN|3ASPD|2TLV|2CDMG|1DUR	18CDMG|256aVULN|3RCR|458ASPD|58BPWR|78TLV|9DUR
117	23613 52363	9	 * 	262.42	DCR|4VULN|3TLV|2CDMG|2LIT	19CDMG|29LIT|358TLV|4679VULN|9BPWR|aRCR
118	25323 52363	9	   	262.42	DCR|4VULN|3TLV|2CDMG|2LIT	19CDMG|2679VULN|358TLV|49LIT|9BPWR|aRCR
119	21215 44212	3	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|29DUST|347VULN|5DUR|6RCR|89ASPD|9BPWR|aDMG
120	21243 44212	5	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|29DUST|347VULN|5DUR|6RCR|89ASPD|9BPWR|aDMG
121	25263 26212	7	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|239VULN|46DUST|5DUR|7RCR|89ASPD|9BPWR|aDMG
122	46221 12121	9	   	262.21	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	14LHND|2AART|34DMG|4BPWR|5CDMG|69aVULN|7RCR|8DUR
123	36342 14311	10	 * 	262.19	DCR|2VULN|3DMG|2DUR|2TLV	1RMIN|248DMG|38TLV|59DUR|6DUST|78VULN|8BPWR|aRCR
124	21242 31563	7	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2DUST|346VULN|5DMG|7TLV|8ASPD|9DUR|aRCR
125	25314 12133	10	   	261.81	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	1aCDMG|26aVULN|3TLV|49LWND|5AART|7RCR|8aDUR|aBPWR
126	14222 53316	10	   	261.78	DCR|4VULN|2DUR|1CDMG|1AART	19BEXP|2CDMG|379aVULN|4MBVNT|59DUR|6AART|8RCR|9BPWR
127	14222 72243	8	   	261.78	DCR|4VULN|2DUR|1CDMG|1AART	19BEXP|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aAART
128	14222 72343	7	   	261.78	DCR|4VULN|2DUR|1CDMG|1AART	19BEXP|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aAART
129	64222 72243	8	   	261.58	DCR|4VULN|2DUR|1CDMG|1AART	19DUST|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aAART
130	64222 72343	7	   	261.58	DCR|4VULN|2DUR|1CDMG|1AART	19DUST|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aAART
131	25332 55111	3	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|249aVULN|34TLV|4BPWR|5DMG|6RPLT|7TBNT|8RCR
132	25142 31323	9	 * 	261.22	ACR|3VULN|2DMG|2DUR|2TLV|2CDMG	18CDMG|246VULN|3RCR|58DMG|78TLV|8BPWR|9aDUR
133	25212 31323	9	   	261.22	ACR|3VULN|2DMG|2DUR|2TLV|2CDMG	18CDMG|236VULN|4RCR|58DMG|78TLV|8BPWR|9aDUR
134	25314 12121	10	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|269VULN|3TLV|4LWND|5AART|7RCR|8DUR|aDMG
135	25314 12124	9	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|269VULN|3TLV|4LWND|5AART|7RCR|8DUR|aDMG
136	14222 72241	8	   	260.43	DCR|4VULN|2DUR|1CDMG	19BEXP|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aLIT
137	14222 72341	7	   	260.43	DCR|4VULN|2DUR|1CDMG	19BEXP|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aLIT
138	25212 41115	3	   	260.41	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	1aCDMG|23aVULN|49DUR|5BEXP|6RCR|7AART|8aLIT|aBPWR
139	25213 41115	3	   	260.41	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	1aCDMG|23aVULN|49DUR|5LWND|6RCR|7AART|8aLIT|aBPWR
140	25312 41115	2	   	260.41	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	1aCDMG|24aVULN|39DUR|5BEXP|6RCR|7AART|8aLIT|aBPWR
141	25313 41115	2	   	260.41	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	1aCDMG|24aVULN|39DUR|5LWND|6RCR|7AART|8aLIT|aBPWR
142	24211 63313	6	   	260.33	DCR|4VULN|2DUR|1CDMG	1CDMG|2MLV|3LIT|4679VULN|58DUR|aRCR
143	25226 26313	3	   	260.33	DCR|4VULN|2DUR|1CDMG	1CDMG|2359VULN|4LIT|68DUR|7CGEN|aRCR
144	25211 43633	3	   	260.25	DCR|3VULN|2DUR|2CDMG|1TLV	19CDMG|235VULN|46DUR|7LIT|8TLV|aRCR
145	25311 43633	2	   	260.25	DCR|3VULN|2DUR|2CDMG|1TLV	19CDMG|245VULN|36DUR|7LIT|8TLV|aRCR
146	25331 63613	2	   	260.25	DCR|3VULN|2DUR|2CDMG|1TLV	16CDMG|259VULN|34DUR|7LIT|8TLV|aRCR
147	25311 35313	2	   	260.23	DCR|4VULN|2DUR|1CDMG	1CDMG|2459VULN|38DUR|6ERES|7LIT|aRCR
148	25311 43513	2	   	260.23	DCR|4VULN|2DUR|1CDMG	1CDMG|2459VULN|36DUR|7LIT|8ERES|aRCR
149	25311 44213	2	   	260.23	DCR|4VULN|2DUR|1CDMG	1CDMG|2459VULN|36DUR|7ERES|8LIT|aRCR
150	25211 35313	3	   	260.23	DCR|4VULN|2DUR|1CDMG	1CDMG|2359VULN|48DUR|6ERES|7LIT|aRCR
151	25211 43513	3	   	260.23	DCR|4VULN|2DUR|1CDMG	1CDMG|2359VULN|46DUR|7LIT|8ERES|aRCR
152	25211 44213	3	   	260.23	DCR|4VULN|2DUR|1CDMG	1CDMG|2359VULN|46DUR|7ERES|8LIT|aRCR
153	64222 72241	8	   	260.23	DCR|4VULN|2DUR|1CDMG	19DUST|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aLIT
154	64222 72341	7	   	260.23	DCR|4VULN|2DUR|1CDMG	19DUST|2CDMG|3789VULN|4MBVNT|59DUR|6RCR|9BPWR|aLIT
155	25233 61313	10	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	15CDMG|2367VULN|4LHND|8TLV|9RCR|aDUR
156	25233 61351	10	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	15CDMG|2367VULN|4LHND|8TLV|9DUR|aRCR
157	31621 41213	1	   	259.97	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1RMIN|2SELL|359VULN|49DMG|6DUR|7FEWX|89ASPD|9BPWR|aRCR
158	25131 31321	10	   	259.88	ACR|3VULN|3ASPD|2TLV|1DMG|2CDMG|1DUR	18CDMG|256VULN|3RCR|458ASPD|58BPWR|78TLV|9DMG|aDUR
159	25131 31322	9	   	259.88	ACR|3VULN|3ASPD|2TLV|1DMG|2CDMG|1DUR	18CDMG|256VULN|3RCR|458ASPD|58BPWR|78TLV|9DMG|aDUR
160	21421 16523	1	 * 	259.76	DCR|2VULN|3DUR|2DMG|2CDMG	1aCDMG|2CGEN|378DUR|4aDMG|5aVULN|6TBNT|9RCR|aBPWR
161	35611 33361	10	   	259.68	ACR|4VULN|3DMG|2DUR	1RMIN|278aVULN|3RCR|4aDUR|578ERES|678DMG|78aBPWR|9aMLV
162	35611 33331	8	   	259.58	ACR|4VULN|3DMG|2DUR	1RMIN|2789VULN|3RCR|49DUR|578ERES|678DMG|789BPWR|aFEWX
163	35611 33333	8	   	259.58	ACR|4VULN|3DMG|2DUR	1RMIN|2789VULN|3RCR|49DUR|578ERES|678DMG|789BPWR|aZMB
