0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53135 31341	10	 * 	288.01	DCR|4VULN|3DUR|1DMG|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7TLV|8RCR|9DMG
17	53135 31343	10	   	275.03	DCR|3VULN|3DUR|1DMG|1TLV|1AART	1ERES|246DUR|346VULN|46BPWR|5BELT|7TLV|8RCR|9DMG|aAART
18	11353 63341	2	   	274.77	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|249VULN|348DUR|49BPWR|59ERES|69DMG|7RCR|aLIT
19	53133 62234	8	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1ERES|24DUR|346aVULN|4BPWR|5LHND|7RCR|8DMG|9TLV
20	63135 12233	7	   	274.16	DCR|5VULN|2DUR|1TLV	1CGEN|24DUR|34569VULN|4BPWR|7RCR|8BBNT|aTLV
21	63135 12433	7	   	274.16	DCR|5VULN|2DUR|1TLV	1CGEN|24DUR|34569VULN|4BPWR|7RCR|8TBNT|aTLV
22	63135 12613	6	   	274.16	DCR|5VULN|2DUR|1TLV	1CGEN|24DUR|34567VULN|4BPWR|8TBNT|9RCR|aTLV
23	11543 34211	3	 * 	273.92	DCR|5VULN|3ASPD|1DUR|1SELL	1SELL|24789VULN|34aASPD|4BPWR|5DUR|6RCR
24	22462 11153	8	 * 	273.54	DCR|3DMG|3DUR|1VULN|3LIT|2AART|1CDMG	179LIT|2CDMG|379DMG|48AART|579DUR|6RCR|79BPWR|aVULN
25	63135 12214	8	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	18CGEN|24DUR|3456VULN|4BPWR|7RCR|9DMG|aCDMG
26	63135 12225	8	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	18CGEN|24DUR|3456VULN|4BPWR|7RCR|9CDMG|aDMG
27	53135 32341	10	   	271.76	DCR|4VULN|3DUR|1DMG	1ERES|246DUR|346aVULN|46BPWR|5BELT|7ZMB|8RCR|9DMG
28	53135 33341	10	   	271.76	DCR|4VULN|3DUR|1DMG	1ERES|246DUR|346aVULN|46BPWR|5BELT|7RMIN|8RCR|9DMG
29	23442 32137	1	   	271.76	DCR|4VULN|3DUR|3LIT	19aLIT|249aVULN|3FEWX|5CGEN|6RCR|7MBVNT|89aDUR|9aBPWR
30	26242 32137	3	   	271.76	DCR|4VULN|3DUR|3LIT	19aLIT|249aVULN|3FEWX|5CGEN|6RCR|7MBVNT|89aDUR|9aBPWR
31	53133 21436	7	   	271.66	DCR|4VULN|3DUR|1DMG	1ERES|246DUR|347aVULN|4BPWR|5LHND|8RCR|9DMG
32	12361 42126	1	 * 	271.52	DCR|4VULN|3DUR|2CDMG|1SELL	1SELL|238DUR|48CDMG|5RCVC|678aVULN|8BPWR|9RCR
33	63135 12315	7	   	271.34	DCR|5VULN|3DUR	1aCGEN|24aDUR|3456aVULN|4aBPWR|7RCR|8BELT|9TBNT
34	63135 12324	7	   	271.34	DCR|5VULN|3DUR	1aCGEN|249DUR|3456aVULN|4aBPWR|7RCR|8BELT
35	63131 12155	6	   	271.34	DCR|5VULN|3DUR	158CGEN|248DUR|34678VULN|48BPWR|9ERES|aRCR
36	63131 15613	6	   	271.34	DCR|5VULN|3DUR	157CGEN|247DUR|3467aVULN|47BPWR|8BBNT|9RCR
37	63135 12152	9	   	271.24	DCR|5VULN|3DUR	1CGEN|249DUR|3456aVULN|4BPWR|7RCR|8FEWX
38	63135 12322	7	   	271.24	DCR|5VULN|3DUR	1CGEN|249DUR|3456aVULN|4BPWR|7RCR|8BELT
39	53135 32122	9	   	271.24	DCR|5VULN|3DUR	1ERES|246DUR|34689VULN|46BPWR|5BELT|7ZMB|aRCR
40	53135 33124	9	   	271.24	DCR|5VULN|3DUR	1ERES|246DUR|34689VULN|46BPWR|5BELT|7RMIN|aRCR
41	53135 35122	9	   	271.14	DCR|5VULN|3DUR|1NUKE	1ERES|246DUR|34689VULN|46BPWR|5BELT|7NUKE|aRCR
42	53136 43233	4	   	269.60	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1ERES|246DUR|34VULN|4BPWR|5TLV|7RCR|89DMG|aCDMG
43	63135 12212	8	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	18CGEN|24DUR|3456VULN|4BPWR|7RCR|9DMG|aASPD
44	63135 12262	9	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	18CGEN|24DUR|3456VULN|4BPWR|7RCR|9ASPD|aDMG
45	63135 12612	7	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8RCVC|9DMG|aASPD
46	16312 21112	9	   	269.04	DCR|5VULN|1DUR|2LIT|1ASPD|1SELL	1SELL|26LIT|34569VULN|6BPWR|7ASPD|8RCR|aDUR
47	16312 21116	10	   	269.04	DCR|5VULN|1DUR|2LIT|1ASPD|1SELL	1SELL|26LIT|34569VULN|6BPWR|7ASPD|8RCR|aDUR
48	23161 28812	1	 * 	268.99	DCR|3VULN|3DUR|3LIT|3TLV	178LIT|289VULN|378DUR|467TLV|5MBVNT|78BPWR|aRCR
49	53136 43332	4	 * 	268.99	DCR|3VULN|3DUR|2TLV|1DMG	1ERES|246DUR|34aVULN|4BPWR|58TLV|7RCR|9DMG
50	22413 62161	2	 * 	268.31	DCR|4VULN|2CDMG|1TLV|1DUR	1LIT|25CDMG|3TBNT|4569VULN|5BPWR|7RCR|8TLV|aDUR
51	16312 21115	10	 * 	268.11	DCR|5VULN|2ASPD|3LIT|1SELL	1SELL|26aLIT|34569VULN|6aBPWR|7aASPD|8RCR
52	53135 31321	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aRPLT
53	53135 31321	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aCGEN
54	53135 31322	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aFEWX
55	53135 31322	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aBEXP
56	53135 31323	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aRCVC
57	53135 31323	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aFEWX
58	53135 31324	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aZMB
59	53135 31325	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aRCVC
60	53135 31325	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aMLV
61	53135 31326	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5aBELT|7TLV|8RCR
62	53135 31326	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5aBELT|7TLV|8RCR
63	53135 31331	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7TLV|8RCR|9RMIN
64	53135 31335	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7TLV|8RCR|9RMIN
65	53135 31336	8	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7TLV|8RCR|9CGEN
66	53135 31351	8	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aRPLT
67	53135 31352	8	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aFEWX
68	53135 31352	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7TLV|8RCR|9LHND
69	53135 31353	8	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aRCVC
70	53135 32311	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7ZMB|8RCR|9TLV
71	53135 32315	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7ZMB|8RCR|9TLV
72	53135 33311	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7RMIN|8RCR|9TLV
73	53135 33315	9	   	267.95	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7RMIN|8RCR|9TLV
74	63135 12152	10	   	267.95	DCR|4VULN|3DUR|1TLV	1CGEN|249DUR|3456VULN|4BPWR|7RCR|8FEWX|aTLV
75	53135 31116	8	   	267.85	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3468VULN|46BPWR|5BELT|7TLV|9BBNT|aRCR
76	53135 31126	7	   	267.85	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8TBNT|aRCR
77	53135 31226	7	   	267.85	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8BBNT|aRCR
78	53135 31315	8	   	267.85	DCR|4VULN|3DUR|1TLV|1NUKE	1ERES|246DUR|346aVULN|46BPWR|5BELT|7TLV|8RCR|9NUKE
79	53135 31324	10	   	267.85	DCR|4VULN|3DUR|1TLV	1ERES|246DUR|3469VULN|46BPWR|5BELT|7TLV|8RCR|aDUST
80	53135 35311	10	   	267.85	DCR|4VULN|3DUR|1TLV|1NUKE	1ERES|246DUR|346aVULN|46BPWR|5BELT|7NUKE|8RCR|9TLV
81	63135 12261	8	   	267.67	DCR|5VULN|2DUR|1AART	18CGEN|24DUR|3456aVULN|4BPWR|7RCR|9AART
82	61312 62221	7	 * 	267.37	DCR|3VULN|2DMG|3LIT|1CDMG|1ASPD	1CGEN|26aLIT|3MLV|4CDMG|56aVULN|6aBPWR|7RCR|8ASPD|9aDMG
83	51112 62221	7	   	267.27	DCR|3VULN|2DMG|3LIT|1CDMG|1ASPD	1ERES|26aLIT|3CGEN|4CDMG|56aVULN|6aBPWR|7RCR|8ASPD|9aDMG
84	61612 62221	7	   	267.27	DCR|3VULN|2DMG|3LIT|1CDMG|1ASPD	1CGEN|26aLIT|3ERES|4CDMG|56aVULN|6aBPWR|7RCR|8ASPD|9aDMG
85	63113 62222	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19CGEN|29DUR|346VULN|5BEXP|7RCR|89DMG|9BPWR|aCDMG
86	63115 42222	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19CGEN|29DUR|345VULN|6BEXP|7RCR|89DMG|9BPWR|aCDMG
87	11143 63521	2	   	266.99	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|248VULN|3RMIN|48BPWR|58DUR|68DMG|7RCR|9CGEN|aCDMG
88	16312 21151	8	   	266.97	DCR|4VULN|1DMG|2LIT|1CDMG|1ASPD|1SELL	1SELL|26LIT|3456VULN|6BPWR|7ASPD|8RCR|9CDMG|aDMG
89	16312 21151	9	   	266.97	DCR|4VULN|1DMG|2LIT|1CDMG|1ASPD|1SELL	1SELL|26LIT|3456VULN|6BPWR|7ASPD|8RCR|9CDMG|aDMG
90	63135 42221	9	   	266.91	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|345VULN|49BPWR|6BEXP|7RCR|89DMG|aRCVC
91	63135 42223	9	   	266.91	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|345VULN|49BPWR|6BEXP|7RCR|89DMG|aFEWX
92	63133 62221	9	   	266.91	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aRCVC
93	63133 62223	9	   	266.91	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aFEWX
94	63133 62224	9	   	266.91	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aLHND
95	63133 62225	10	   	266.91	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aBELT
96	63133 62226	10	   	266.91	DCR|3VULN|3DUR|2DMG	19aCGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG
97	63133 62226	9	   	266.91	DCR|3VULN|3DUR|2DMG	19aCGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG
98	63135 12131	10	   	266.84	DCR|4VULN|2DUR|1DMG	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8FEWX|9LIT|aDMG
99	63135 12331	10	   	266.84	DCR|4VULN|2DUR|1DMG	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8LHND|9LIT|aDMG
100	63135 12431	10	   	266.84	DCR|4VULN|2DUR|1DMG	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8LWND|9LIT|aDMG
101	63135 42221	10	   	266.81	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|345VULN|49BPWR|6BEXP|7RCR|89DMG|aDUST
102	63133 62221	10	   	266.81	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aDUST
103	63133 62225	9	   	266.81	DCR|3VULN|3DUR|2DMG|1NUKE	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aNUKE
104	63135 12631	10	   	266.74	DCR|4VULN|2DUR|1DMG	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8MBVNT|9LIT|aDMG
105	53132 62225	9	   	266.71	DCR|3VULN|3DUR|2DMG	1aERES|24aDUR|346VULN|4aBPWR|5LWND|7RCR|8aDMG|9RMIN
106	53133 62225	9	   	266.71	DCR|3VULN|3DUR|2DMG	1aERES|24aDUR|346VULN|4aBPWR|5LHND|7RCR|8aDMG|9RMIN
107	53133 62225	8	   	266.71	DCR|3VULN|3DUR|2DMG	1aERES|24aDUR|346VULN|4aBPWR|5LHND|7RCR|8aDMG|9RMIN
108	53135 32342	10	   	266.71	DCR|3VULN|3DUR|2DMG	1ERES|246DUR|346VULN|46BPWR|5BELT|7ZMB|8RCR|9aDMG
109	53135 33342	10	   	266.71	DCR|3VULN|3DUR|2DMG	1ERES|246DUR|346VULN|46BPWR|5BELT|7RMIN|8RCR|9aDMG
110	11542 31251	3	 * 	266.49	DCR|3VULN|2DUR|3ASPD|1DMG|1SELL	1SELL|249VULN|349ASPD|49BPWR|5LHND|6RCR|7DUST|89DUR|aDMG
111	11353 63343	2	   	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|249VULN|348DUR|49BPWR|59ERES|69DMG|7RCR|aCGEN
112	16312 21111	10	   	266.44	DCR|5VULN|2LIT|1CDMG|1ASPD|1SELL	1SELL|26LIT|34569VULN|6BPWR|7ASPD|8RCR|aCDMG
113	63135 12151	7	   	266.07	DCR|5VULN|2DUR|1SELL	1CGEN|24DUR|3456aVULN|4BPWR|7RCR|8SELL|9LIT
114	53133 62233	8	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1ERES|24DUR|346VULN|4BPWR|5LHND|7RCR|8DMG|9TLV|aCDMG
115	53135 31332	10	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|246DUR|346VULN|46BPWR|5BELT|7TLV|8RCR|9RMIN|aDMG
116	53135 31341	9	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|246DUR|346VULN|46BPWR|5BELT|7TLV|8RCR|9DMG|aRCVC
117	53135 32312	10	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|246DUR|346VULN|46BPWR|5BELT|7ZMB|8RCR|9TLV|aDMG
118	53135 33312	10	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|246DUR|346VULN|46BPWR|5BELT|7RMIN|8RCR|9TLV|aDMG
119	63133 21425	7	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1CGEN|246DUR|347VULN|4BPWR|5BEXP|8RCR|9TLV|aDMG
120	26211 32137	4	   	265.37	DCR|3VULN|3DUR|3LIT|1TLV	19aLIT|29aVULN|34FEWX|5TLV|6RCR|7MBVNT|89aDUR|9aBPWR
121	26221 32137	4	   	265.37	DCR|3VULN|3DUR|3LIT|1TLV	19aLIT|29aVULN|3FEWX|4RCVC|5TLV|6RCR|7MBVNT|89aDUR|9aBPWR
122	63135 12153	9	   	265.35	DCR|4VULN|3DUR|1CDMG	1CGEN|249DUR|3456VULN|4BPWR|7RCR|8FEWX|aCDMG
123	63135 12221	8	   	265.35	DCR|4VULN|3DUR|1CDMG	18CGEN|24aDUR|3456VULN|4BPWR|7RCR|9CDMG
124	63135 12621	7	   	265.35	DCR|4VULN|3DUR|1CDMG	1CGEN|24aDUR|3456VULN|4BPWR|7RCR|8RCVC|9CDMG
125	53135 11341	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|246DUR|34aVULN|4BPWR|5BELT|7TLV|8RCR|9DMG
126	53135 31343	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|246DUR|346VULN|46BPWR|5BELT|7TLV|8RCR|9DMG|aBBNT
127	53135 35312	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV|1NUKE	1ERES|246DUR|346VULN|46BPWR|5BELT|7NUKE|8RCR|9TLV|aDMG
128	53136 32224	4	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|247DUR|346VULN|4BPWR|5TLV|8ZMB|9DMG|aRCR
129	53132 21443	7	   	265.25	DCR|4VULN|3DUR|1CDMG	1ERES|246DUR|347aVULN|4BPWR|5LWND|8RCR|9CDMG
130	53133 21443	7	   	265.25	DCR|4VULN|3DUR|1CDMG	1ERES|246DUR|347aVULN|4BPWR|5LHND|8RCR|9CDMG
131	11353 63323	2	   	265.03	DCR|3VULN|3DUR|1DMG|1TLV|1SELL	1SELL|24aVULN|348DUR|4BPWR|5ERES|6DMG|7RCR|9TLV
132	42335 12126	6	 * 	264.93	DCR|5VULN|2DMG	128LWND|38DMG|4678aVULN|5RCVC|8BPWR|9RCR
133	64136 13332	8	   	264.93	DCR|5VULN|2DMG	14aCGEN|2MBVNT|3456aVULN|4aBPWR|7BELT|8aDMG|9RCR
134	22424 22314	5	   	264.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|2CDMG|3aDMG|4aDUR|5TLV|6aVULN|7MLV|8FEWX|9RCR|aBPWR
135	22424 23314	5	   	264.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|2CDMG|3aDMG|4aDUR|5TLV|6aVULN|7CGEN|8FEWX|9RCR|aBPWR
136	64116 13332	8	   	264.83	DCR|5VULN|2DMG	1aCGEN|2MBVNT|3456aVULN|7BELT|8aDMG|9RCR|aBPWR
137	63113 62222	9	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	19CGEN|29DUR|346VULN|5BEXP|7RCR|89DMG|9BPWR|aASPD
138	63115 42222	9	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	19CGEN|29DUR|345VULN|6BEXP|7RCR|89DMG|9BPWR|aASPD
139	11143 63523	2	   	264.34	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|248VULN|3RMIN|48BPWR|58DUR|68DMG|7RCR|9CGEN|aASPD
140	23144 62131	1	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	19LIT|2467VULN|36DUR|5RCVC|6BPWR|8ASPD|aRCR
141	11543 34213	3	 * 	264.30	DCR|5VULN|2ASPD|1DUR|1SELL	1SELL|24789VULN|34ASPD|4BPWR|5DUR|6RCR|aDUST
142	63115 12511	9	   	263.29	DCR|5VULN|1DMG|1DUR	1CGEN|2DUR|3456aVULN|7RCR|8ERES|9DMG
143	63115 12513	10	   	263.29	DCR|5VULN|1DMG|1DUR	1CGEN|2DUR|3456aVULN|7RCR|8ERES|9DMG
144	63113 62224	10	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19CGEN|29DUR|346VULN|5BEXP|7RCR|89DMG|9BPWR|aAART
145	16312 21156	10	   	263.15	DCR|4VULN|1TLV|2LIT|1CDMG|1ASPD|1SELL	1SELL|26LIT|3456VULN|6BPWR|7ASPD|8RCR|9CDMG|aTLV
146	22413 62261	2	   	263.06	DCR|4VULN|2CDMG|1DUR|1ASPD	1LIT|25CDMG|3TBNT|4569VULN|5BPWR|7RCR|8ASPD|aDUR
147	63133 62153	7	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3468VULN|4BPWR|5BEXP|7RCR|9LIT|aTLV
148	63135 12133	10	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8FEWX|9LIT|aTLV
149	63135 12133	9	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8FEWX|9LIT|aTLV
150	63135 12153	8	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8FEWX|9LIT|aTLV
151	63135 12333	10	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8LHND|9LIT|aTLV
152	63135 12333	9	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8LHND|9LIT|aTLV
153	63135 12353	8	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8LHND|9LIT|aTLV
154	63135 12433	10	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8LWND|9LIT|aTLV
155	63135 12433	9	   	263.03	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8LWND|9LIT|aTLV
156	16312 21114	10	 * 	263.00	DCR|5VULN|2ASPD|2LIT|1SELL	1SELL|26LIT|34569VULN|6BPWR|7aASPD|8RCR
157	16312 21131	9	 * 	263.00	DCR|5VULN|2ASPD|2LIT|1SELL	1SELL|26LIT|3456aVULN|6BPWR|79ASPD|8RCR
158	63135 12633	10	   	262.93	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8MBVNT|9LIT|aTLV
159	63135 12633	9	   	262.93	DCR|4VULN|2DUR|1TLV	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8MBVNT|9LIT|aTLV
160	51363 61121	1	   	262.50	DCR|4VULN|3DUR|1ASPD	178ERES|2348VULN|568DUR|8BPWR|9RCR|aASPD
161	61312 13221	5	   	262.26	DCR|3VULN|2DMG|2LIT|1CDMG|1ASPD	1CGEN|2aLIT|3MLV|4CDMG|57aVULN|6RCR|8ASPD|9aDMG|aBPWR
162	61316 13221	4	   	262.26	DCR|3VULN|2DMG|2LIT|1CDMG|1ASPD	1CGEN|2aLIT|3MLV|4CDMG|57aVULN|6RCR|8ASPD|9aDMG|aBPWR
163	16312 23274	6	   	261.75	DCR|5VULN|1DMG|2LIT|1SELL	1SELL|26LIT|34568VULN|6BPWR|7MBVNT|9DMG|aRCR
164	36315 62231	8	   	261.64	DCR|4VULN|2DMG|1DUR	19FEWX|2RMIN|3DUR|4569VULN|7RCR|89DMG|9BPWR|aBEXP
165	36315 62232	8	   	261.64	DCR|4VULN|2DMG|1DUR	19FEWX|2aRMIN|3DUR|4569VULN|7RCR|89DMG|9BPWR
166	36315 62233	8	   	261.54	DCR|4VULN|2DMG|1DUR	19FEWX|2RMIN|3DUR|4569VULN|7RCR|89DMG|9BPWR|aTBNT
167	41412 11341	8	   	261.44	DCR|4VULN|2DMG|1DUR	1LWND|2BELT|348aVULN|59DMG|6DUR|7RCR
168	53135 32322	10	   	261.36	DCR|4VULN|3DUR|1AART	1ERES|246DUR|346aVULN|46BPWR|5BELT|7ZMB|8RCR|9AART
169	53135 32323	9	   	261.36	DCR|4VULN|3DUR|1AART	1ERES|246DUR|346aVULN|46BPWR|5BELT|7ZMB|8RCR|9AART
170	53135 33322	10	   	261.36	DCR|4VULN|3DUR|1AART	1ERES|246DUR|346aVULN|46BPWR|5BELT|7RMIN|8RCR|9AART
171	53135 33323	9	   	261.36	DCR|4VULN|3DUR|1AART	1ERES|246DUR|346aVULN|46BPWR|5BELT|7RMIN|8RCR|9AART
172	63115 12513	9	   	261.34	DCR|4VULN|2DMG|1DUR	1CGEN|2DUR|3456VULN|7RCR|8ERES|9aDMG
