0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23426 53222	3	 * 	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	19DUST|2789VULN|3DMG|4TLV|59DUR|6RCR|9BPWR|aCDMG
46	33641 53322	3	   	258.94	DCR|4VULN|2DMG|1CDMG	18BEXP|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
47	53341 53322	2	   	258.94	DCR|4VULN|2DMG|1CDMG	18FEWX|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
48	53432 33322	6	   	258.94	DCR|4VULN|2DMG|1CDMG	18FEWX|2789VULN|38DMG|4LEGI|5RMIN|6RCR|8BPWR|aCDMG
49	53432 53322	5	   	258.94	DCR|4VULN|2DMG|1CDMG	18FEWX|2789VULN|38DMG|4LEGI|5RMIN|6RCR|8BPWR|aCDMG
50	53611 53322	4	   	258.94	DCR|4VULN|2DMG|1CDMG	18FEWX|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
51	53613 33322	6	   	258.94	DCR|4VULN|2DMG|1CDMG	18FEWX|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
52	53613 53322	5	   	258.94	DCR|4VULN|2DMG|1CDMG	18FEWX|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
53	33431 53322	4	   	258.84	DCR|4VULN|2DMG|1CDMG|1NUKE	18BEXP|2789VULN|38DMG|4LEGI|5NUKE|6RCR|8BPWR|aCDMG
54	53431 53322	4	   	258.84	DCR|4VULN|2DMG|1CDMG|1NUKE	18FEWX|2789VULN|38DMG|4LEGI|5NUKE|6RCR|8BPWR|aCDMG
55	23424 33224	8	   	258.66	DCR|3VULN|2DMG|2TLV|1DUR	159DUST|247VULN|39DMG|69TLV|8RCR|9BPWR|aDUR
56	33436 53321	3	   	258.64	DCR|4VULN|2DUR|1DMG	18BEXP|2789VULN|3DMG|4ZMB|58DUR|6RCR|8BPWR|aLHND
57	33436 53323	3	   	258.64	DCR|4VULN|2DUR|1DMG	18BEXP|2789VULN|3DMG|4ZMB|58DUR|6RCR|8BPWR|aBELT
58	23363 43622	8	   	258.52	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1DUST|256VULN|3SELL|45DMG|5BPWR|79CDMG|8TLV|aRCR
