0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21521 14412	9	 * 	307.10	DCR|5VULN|3DUR|3CDMG	12789VULN|3AART|467CDMG|567DUR|67BPWR|aRCR
79	23142 61134	2	   	279.55	DCR|5VULN|3DUR	1356aVULN|235DUR|35BPWR|4RMIN|7DUST|8RCR|9LIT
80	21323 41311	6	   	279.23	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aRPLT
81	21323 41312	6	   	279.23	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aLWND
82	21323 41313	6	   	279.23	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aMLV
83	21323 41355	6	   	279.23	DCR|5VULN|2DUR|2ASPD	1248aVULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|9RPLT
84	21323 42311	7	   	279.23	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aRPLT
85	21323 42312	7	   	279.23	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aLWND
86	21323 42313	7	   	279.23	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aMLV
87	21323 42355	7	   	279.23	DCR|5VULN|2DUR|2ASPD	1248aVULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|9RPLT
88	21323 41315	6	   	279.13	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aDUST
89	21323 42315	7	   	279.13	DCR|5VULN|2DUR|2ASPD	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aDUST
90	21323 41316	6	   	278.98	DCR|5VULN|2DUR|2ASPD|1SELL	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aSELL
91	21323 42316	7	   	278.98	DCR|5VULN|2DUR|2ASPD|1SELL	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aSELL
92	21621 63312	9	   	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1248VULN|38TLV|5RMIN|68LIT|7RCR|8BPWR|9DMG|aDUR
93	21621 63316	10	   	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1248VULN|38TLV|5RMIN|68LIT|7RCR|8BPWR|9DMG|aDUR
94	21623 11363	6	   	278.82	DCR|4VULN|2ASPD|2TLV|1DUR|1CDMG	1248VULN|38TLV|5DUR|6LWND|78ASPD|8BPWR|9CDMG|aRCR
95	21623 12363	7	   	278.82	DCR|4VULN|2ASPD|2TLV|1DUR|1CDMG	1248VULN|38TLV|5DUR|6LWND|78ASPD|8BPWR|9CDMG|aRCR
96	21623 41363	5	   	278.82	DCR|4VULN|2ASPD|2TLV|1DUR|1CDMG	1248VULN|38TLV|5DUR|6LWND|78ASPD|8BPWR|9CDMG|aRCR
97	23316 28722	10	   	278.40	DCR|4VULN|2DUR|1DMG|2CDMG	169aVULN|2aDUR|3DMG|4DUST|5MBVNT|7aCDMG|8RCR|aBPWR
98	21621 63325	10	   	278.35	DCR|5VULN|2TLV|1DUR|2LIT	12489VULN|38TLV|5RMIN|68LIT|7RCR|8BPWR|aDUR
99	23314 26363	3	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	178VULN|28DUR|36DMG|4ASPD|58LHND|8BPWR|9CDMG|aRCR
100	23315 16363	3	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	178VULN|28DUR|35DMG|4ASPD|68LWND|8BPWR|9CDMG|aRCR
101	23123 41423	2	   	277.98	DCR|5VULN|2DUR|1DMG	1359aVULN|23DUR|3BPWR|4DUST|6RCR|7RMIN|8DMG
102	24123 41423	1	   	277.98	DCR|5VULN|2DUR|1DMG	1359aVULN|23DUR|3BPWR|4DUST|6RCR|7RMIN|8DMG
