0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26311 46347	6	 * 	295.14	DCR|5VULN|3DUR|2DMG	1356aVULN|2aDMG|4MBVNT|79aDUR|8RCR|aBPWR
68	24333 36323	10	   	271.04	DCR|5VULN|2DMG|2CDMG	1279aVULN|37CDMG|4DUST|5CGEN|67DMG|7BPWR|8RCR
69	24336 26323	9	   	271.04	DCR|5VULN|3DUR|1CDMG	12579VULN|3CDMG|47DUST|67aDUR|7BPWR|8RCR
70	24344 33312	6	 * 	269.69	DCR|3VULN|3DMG|3CDMG|1DUR	12aVULN|356CDMG|456DMG|56BPWR|7ZMB|8RCR|9DUR
71	24342 22114	3	   	268.95	DCR|4VULN|2DMG|2CDMG|2ASPD	1269VULN|37CDMG|4DMSP|59ASPD|89DMG|9BPWR|aRCR
72	13226 22153	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	12RMIN|3aDMG|4TLV|59aVULN|6RPLT|7aDUR|8RCR|aBPWR
73	26126 22153	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19aVULN|2aDMG|3RCVC|4ZMB|5TLV|6RPLT|7aDUR|8RCR|aBPWR
74	22265 33421	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	146VULN|27FEWX|38DUR|56DMG|6BPWR|9TLV|aRCR
75	22265 34312	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	146VULN|2FEWX|39DUR|56DMG|6BPWR|7TLV|8MLV|aRCR
76	22265 32341	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	146VULN|2FEWX|3aDUR|56DMG|6BPWR|7MBVNT|8RCR|9TLV
77	22265 34221	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	146VULN|2FEWX|3aDUR|56DMG|6BPWR|7TLV|8DUST|9RCR
78	22265 34221	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	146VULN|2FEWX|3aDUR|56DMG|6BPWR|7TLV|8DUST|9RCR
79	26312 42288	4	 * 	268.52	DCR|3VULN|2DMG|2DUR|3CDMG	139VULN|29DMG|4MBVNT|567CDMG|89DUR|9BPWR|aRCR
80	24141 12347	6	   	268.41	DCR|4VULN|2TLV|2DUR	125aVULN|3aDUR|4ASPD|6DUST|7MBVNT|8RCR|9aTLV|aBPWR
81	24321 36323	9	   	268.35	DCR|4VULN|3DMG|2CDMG	1279VULN|37CDMG|4CGEN|5DUST|67aDMG|7BPWR|8RCR
82	24321 36353	8	   	268.35	DCR|4VULN|3DMG|2CDMG	1279VULN|37CDMG|4CGEN|5DUST|67aDMG|7BPWR|8RCR
83	24333 36323	9	   	268.35	DCR|4VULN|3DMG|2CDMG	1279VULN|37CDMG|4DUST|5CGEN|67aDMG|7BPWR|8RCR
84	24333 36353	8	   	268.35	DCR|4VULN|3DMG|2CDMG	1279VULN|37CDMG|4DUST|5CGEN|67aDMG|7BPWR|8RCR
85	24141 52211	9	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1258VULN|37DUR|4ASPD|6DMG|9CDMG|aRCR
86	24141 52221	8	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1258VULN|37DUR|4ASPD|6DMG|9CDMG|aRCR
87	21326 12324	7	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	134VULN|2ERES|5TLV|6RCR|7DUR|8CDMG|9aDMG
88	26311 55221	7	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	135VULN|28DMG|4MBVNT|6DUR|7TLV|9CDMG|aRCR
89	26314 47721	5	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	138VULN|27DMG|4MBVNT|5TLV|6CDMG|9DUR|aRCR
90	24311 36341	10	   	267.51	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9AART|aBEXP
91	24311 36341	9	   	267.51	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9AART|aZMB
92	24321 36343	9	   	267.51	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	127VULN|37CDMG|4CGEN|5DUST|67DMG|7BPWR|8RCR|9AART|aTLV
93	24333 36343	9	   	267.51	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	127VULN|37CDMG|4DUST|5CGEN|67DMG|7BPWR|8RCR|9AART|aTLV
94	24311 36343	10	   	267.41	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9AART|aERES
95	11223 26452	10	   	267.02	DCR|4VULN|2DMG|2TLV	1RMIN|27TLV|3LEGI|4LWND|5789VULN|67DMG|7BPWR|aRCR
96	26331 12347	6	   	266.92	DCR|4VULN|2DMG|2TLV	135aVULN|2aDMG|4FEWX|6DUST|7MBVNT|8RCR|9aTLV|aBPWR
97	26331 42347	5	   	266.92	DCR|4VULN|2DMG|2TLV	135aVULN|2aDMG|4FEWX|6DUST|7MBVNT|8RCR|9aTLV|aBPWR
98	26331 42347	3	   	266.92	DCR|4VULN|2DMG|2TLV	134aVULN|2aDMG|5FEWX|6DUST|7MBVNT|8RCR|9aTLV|aBPWR
99	23235 53152	5	 * 	266.84	DCR|3VULN|2DUR|1TLV|3CDMG|1AART	167VULN|2LHND|37DUR|467CDMG|5AART|67BPWR|8RCR|9DUST|aTLV
100	26241 22143	7	   	266.58	DCR|3VULN|3DMG|2DUR	15aVULN|29aDMG|3CGEN|4ASPD|6RPLT|7aDUR|8RCR|aBPWR
101	26611 22143	7	   	266.48	DCR|3VULN|3DMG|2DUR	15aVULN|29aDMG|3ASPD|4ERES|6RPLT|7aDUR|8RCR|aBPWR
102	24311 36343	8	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9LIT|aZMB
103	24311 36315	10	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9LHND|aLIT
104	24311 36333	10	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9FEWX|aLIT
105	24133 52236	6	 * 	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	127VULN|357DUR|4RCVC|67TLV|7BPWR|8CDMG|9CGEN|aRCR
106	24133 52236	5	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	127VULN|357DUR|4RCVC|67TLV|7BPWR|8CDMG|9CGEN|aRCR
107	24336 26321	9	   	266.12	DCR|5VULN|2DUR|1CDMG	12579VULN|3CDMG|47DUST|67DUR|7BPWR|8RCR|aLIT
108	24336 26322	10	   	266.12	DCR|5VULN|2DUR|1CDMG	12579VULN|3CDMG|47DUST|67DUR|7BPWR|8RCR|aLIT
109	21665 12311	5	   	266.06	DCR|3VULN|2DMG|1TLV|2CDMG	148VULN|28ERES|3ASPD|57CDMG|68DMG|8BPWR|9TLV|aRCR
110	24311 36342	8	   	266.06	DCR|3VULN|2DMG|1TLV|2CDMG	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9LIT|aERES
111	26311 48732	6	   	265.94	DCR|5VULN|2DMG|2LIT	13569VULN|29DMG|4MBVNT|7RCR|89LIT|9BPWR|aMLV
112	26311 48734	6	   	265.94	DCR|5VULN|2DMG|2LIT	13569VULN|29DMG|4MBVNT|7RCR|89LIT|9BPWR|aFEWX
113	24311 36314	10	   	265.93	DCR|3VULN|2DMG|2TLV|2CDMG	127VULN|37CDMG|4aTLV|5DUST|67DMG|7BPWR|8RCR|9LHND
114	24311 36334	10	   	265.93	DCR|3VULN|2DMG|2TLV|2CDMG	127VULN|37CDMG|4aTLV|5DUST|67DMG|7BPWR|8RCR|9FEWX
115	26311 48731	6	   	265.84	DCR|5VULN|2DMG|2LIT	13569VULN|29DMG|4MBVNT|7RCR|89LIT|9BPWR|aTBNT
116	24314 22362	10	   	265.78	DCR|3VULN|2TLV|1DMG|2CDMG|2AART	127VULN|35CDMG|45TLV|5BPWR|68AART|9RCR|aDMG
117	26311 48338	7	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1356VULN|2DMG|4MBVNT|7TLV|8DUR|9LIT|aRCR
118	26311 62344	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	135aVULN|2DMG|4MBVNT|6ASPD|7TLV|8RCR|9DUR
119	26341 22324	10	 * 	265.37	ACR|5VULN|3DMG|2DUR	1358aVULN|29aDMG|4RCR|6RPLT|7aDUR|aBPWR
120	26421 22324	10	   	265.37	ACR|5VULN|3DMG|2DUR	1458aVULN|29aDMG|3RCR|6RPLT|7aDUR|aBPWR
