0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42222 42313	4	 * 	309.09	DCR|5VULN|3DUR|2DMG	13478VULN|23CGEN|37BPWR|57DMG|679DUR|aRCR
21	61222 31216	10	   	291.59	DCR|5VULN|3DMG|1ASPD	136DMG|23467VULN|36BPWR|5RPLT|8LHND|9ASPD|aRCR
22	61222 33562	7	   	290.94	DCR|4VULN|3DMG|1DUR|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7BELT|8DUR|9CDMG|aRCR
23	61221 23215	10	   	288.79	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	13DMG|2349VULN|3BPWR|5LWND|6DUR|7ASPD|8TLV|aRCR
24	61221 34335	8	   	287.35	DCR|4VULN|3DMG|3CDMG	138DMG|234aVULN|38aBPWR|58aLWND|68aCDMG|7RCVC|9RCR
25	61224 51222	10	   	286.00	DCR|4VULN|2DMG|1TLV|1DUR	13DMG|2346VULN|3BPWR|5ERES|7TLV|8RCR|9DUR|aLIT
26	61222 32426	8	   	285.70	DCR|4VULN|3DMG|1CDMG|1ASPD	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8ASPD|9CGEN|aRCR
27	61222 34622	6	   	285.60	DCR|4VULN|3DMG|1DUR	136DMG|2346VULN|36BPWR|5RPLT|7ZMB|8LIT|9DUR|aRCR
28	61222 32316	9	   	284.36	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9ZMB|aRCR
29	61222 32321	10	   	284.36	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aFEWX
30	61222 32321	9	   	284.36	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aFEWX
31	61222 32322	10	   	284.36	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aLHND
32	61222 32324	10	   	284.36	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aBEXP
33	61222 32326	9	   	284.36	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aZMB
34	61222 32322	9	   	284.26	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aBBNT
35	61222 32323	10	   	284.26	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aERES
36	61222 32323	9	   	284.26	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aTBNT
37	61222 32326	10	   	284.26	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aDUST
38	61435 33222	9	   	284.24	DCR|3VULN|3DUR|2DMG|2AART	17DMG|257VULN|379DUR|4BELT|68AART|7BPWR|aRCR
39	43212 66331	2	 * 	283.50	DCR|3VULN|3DUR|3ASPD|1CDMG	189VULN|249FEWX|348DUR|489BPWR|5AART|689ASPD|7RCR|aCDMG
40	61221 23141	5	   	283.50	DCR|4VULN|2DMG|1TLV|1CDMG	13DMG|2349VULN|3BPWR|5LWND|6TLV|7LIT|8RCR|aCDMG
41	61223 23141	5	   	283.50	DCR|4VULN|2DMG|1TLV|1CDMG	13DMG|2349VULN|3BPWR|5LHND|6TLV|7LIT|8RCR|aCDMG
42	61225 23141	4	   	283.50	DCR|4VULN|2DMG|1TLV|1CDMG	13DMG|2349VULN|3BPWR|5LHND|6TLV|7LIT|8RCR|aCDMG
43	61242 23141	4	   	283.50	DCR|4VULN|2DMG|1TLV|1CDMG	13DMG|2359VULN|3BPWR|4LHND|6TLV|7LIT|8RCR|aCDMG
44	61222 43141	4	   	283.40	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2349VULN|3BPWR|5ERES|6DUR|7LIT|8RCR|aCDMG
45	61221 31212	3	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	137DMG|237VULN|37BPWR|4TBNT|5RPLT|67DUR|8LWND|9CDMG|aRCR
46	61221 31512	3	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	137DMG|237VULN|37BPWR|4TBNT|5RPLT|67DUR|8FEWX|9CDMG|aRCR
47	61255 31212	3	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	137DMG|237VULN|37BPWR|4RPLT|5BBNT|67DUR|8LWND|9CDMG|aRCR
48	61122 36125	8	 * 	282.66	DCR|3VULN|3DMG|3DUR	189DMG|28aVULN|3BEXP|4aLWND|5BELT|6RCR|78aDUR|8aBPWR
49	61216 16231	4	 * 	282.26	DCR|4VULN|3DMG|2ASPD	137DMG|239aVULN|37BPWR|47ASPD|5BBNT|67FEWX|8RCR
50	63125 31227	1	   	282.22	DCR|3VULN|3DMG|3DUR|1SELL	178DMG|2BEXP|3SELL|478VULN|5BBNT|678DUR|78BPWR|9MBVNT|aRCR
51	61216 15231	8	   	282.16	DCR|4VULN|3DMG|2ASPD	136DMG|2379VULN|3BPWR|48ASPD|5DMSP|aRCR
52	61125 31227	1	   	282.12	DCR|3VULN|3DMG|3DUR|1SELL	178DMG|2DUST|3SELL|478VULN|5BBNT|678DUR|78BPWR|9MBVNT|aRCR
53	61242 24434	3	   	281.71	DCR|3VULN|3DMG|1TLV|1DUR|1ASPD	134DMG|23aVULN|3BPWR|5MBVNT|6RCR|7DUR|8ASPD|9TLV
54	61224 51221	9	   	281.40	DCR|4VULN|2DMG|2TLV|1DUR	13DMG|2346VULN|3BPWR|5ERES|7aTLV|8RCR|9DUR
55	61221 31535	6	   	281.11	DCR|4VULN|3DMG|2CDMG	137DMG|234aVULN|3aBPWR|5aLWND|6aCDMG|8DMSP|9RCR
56	61221 34336	8	   	281.11	DCR|4VULN|3DMG|2CDMG	138DMG|234aVULN|38BPWR|58LWND|68CDMG|7RCVC|9RCR
57	61223 31535	6	   	281.11	DCR|4VULN|3DMG|2CDMG	137DMG|234aVULN|3aBPWR|5aLHND|6aCDMG|8DMSP|9RCR
58	61223 42632	8	   	281.11	DCR|4VULN|3DMG|2CDMG	137DMG|2347VULN|37BPWR|567LHND|8aCDMG|9RCR
59	61222 62335	5	   	281.11	DCR|4VULN|3DMG|2TLV	13aDMG|234aVULN|3aBPWR|5RPLT|6BEXP|7ZMB|8aTLV|9RCR
60	61222 32642	7	   	281.01	DCR|4VULN|3DMG|2CDMG	136DMG|2346VULN|36BPWR|5RPLT|78CDMG|9RCR|aFEWX
61	61222 22643	7	   	280.91	DCR|4VULN|3DMG|2CDMG	136DMG|234aVULN|3BPWR|5RPLT|78CDMG|9RCR
62	61222 32641	7	   	280.91	DCR|4VULN|3DMG|2CDMG	136DMG|2346VULN|36BPWR|5RPLT|78CDMG|9RCR|aDUST
63	61212 61433	10	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2378VULN|3BPWR|4ASPD|5FEWX|6LIT|9DUR|aRCR
64	61221 23225	10	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	13DMG|234VULN|3BPWR|5LWND|69DUR|7ASPD|8TLV|aRCR
65	61226 12612	3	   	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	138DMG|238VULN|38BPWR|4TBNT|578CDMG|6DMSP|9TLV|aRCR
66	61223 42633	7	   	280.58	DCR|5VULN|3DMG	137DMG|2347aVULN|37BPWR|567LHND|8RCR|9BBNT
67	61222 12436	8	   	280.58	DCR|5VULN|3DMG	13aDMG|2346aVULN|3aBPWR|5RPLT|7MBVNT|8aLHND|9RCR
68	61222 31126	10	   	280.58	DCR|5VULN|3DMG	136DMG|23467VULN|36BPWR|5RPLT|8FEWX|9RMIN|aRCR
69	61222 31226	10	   	280.58	DCR|5VULN|3DMG	136DMG|23467VULN|36BPWR|5RPLT|8LHND|9RMIN|aRCR
70	61222 31416	10	   	280.58	DCR|5VULN|3DMG	136DMG|23467VULN|36BPWR|5RPLT|8CGEN|9BEXP|aRCR
71	61222 31426	10	   	280.58	DCR|5VULN|3DMG	136DMG|23467VULN|36BPWR|5RPLT|8CGEN|9LWND|aRCR
72	61222 32123	6	   	280.58	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|57RPLT|8RCR|aLWND
73	61222 32126	6	   	280.58	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|57RPLT|8RCR|aRMIN
74	61222 36123	7	   	280.58	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|5RPLT|7RCVC|8RCR|aLWND
75	61222 36126	7	   	280.58	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|5RPLT|7RCVC|8RCR|aRMIN
76	61223 16336	8	   	280.58	DCR|5VULN|3DMG	13aDMG|2347aVULN|3aBPWR|5aLHND|6MBVNT|8RPLT|9RCR
77	61236 16231	4	   	280.58	DCR|5VULN|3DMG	137DMG|2379aVULN|37BPWR|4RMIN|5BBNT|67FEWX|8RCR
78	61222 11123	6	   	280.48	DCR|5VULN|3DMG	137DMG|23469VULN|3BPWR|5RPLT|8RCR|aLWND
79	61222 11126	6	   	280.48	DCR|5VULN|3DMG	137DMG|23469VULN|3BPWR|5RPLT|8RCR|aRMIN
80	61222 21123	7	   	280.48	DCR|5VULN|3DMG	136DMG|23479VULN|3BPWR|5RPLT|8RCR|aLWND
81	61222 21126	7	   	280.48	DCR|5VULN|3DMG	136DMG|23479VULN|3BPWR|5RPLT|8RCR|aRMIN
82	61222 31166	10	   	280.48	DCR|5VULN|3DMG	136DMG|23467VULN|36BPWR|5RPLT|8FEWX|9ERES|aRCR
83	61222 31316	10	   	280.48	DCR|5VULN|3DMG	136DMG|23467VULN|36BPWR|5RPLT|8ERES|9BEXP|aRCR
84	61222 31326	10	   	280.48	DCR|5VULN|3DMG	136DMG|23467VULN|36BPWR|5RPLT|8ERES|9LWND|aRCR
85	61222 32121	6	   	280.48	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|57RPLT|8RCR|aERES
86	61222 32122	6	   	280.48	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|57RPLT|8RCR|aDUST
87	61222 36121	7	   	280.48	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|5RPLT|7RCVC|8RCR|aERES
88	61222 36122	7	   	280.48	DCR|5VULN|3DMG	136DMG|23469VULN|36BPWR|5RPLT|7RCVC|8RCR|aDUST
89	35221 34141	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	15RPLT|27DMG|347DUR|67aVULN|7BPWR|8CDMG|9RCR
90	35223 34141	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	1RPLT|27DMG|347DUR|5RCVC|67aVULN|7BPWR|8CDMG|9RCR
91	63221 34141	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	17DMG|25RPLT|347DUR|67aVULN|7BPWR|8CDMG|9RCR
92	63223 34141	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	17DMG|2RPLT|347DUR|5RCVC|67aVULN|7BPWR|8CDMG|9RCR
93	61222 11121	6	   	280.38	DCR|5VULN|3DMG	137DMG|23469VULN|3BPWR|5RPLT|8RCR|aERES
94	61222 11122	6	   	280.38	DCR|5VULN|3DMG	137DMG|23469VULN|3BPWR|5RPLT|8RCR|aDUST
95	61222 21121	7	   	280.38	DCR|5VULN|3DMG	136DMG|23479VULN|3BPWR|5RPLT|8RCR|aERES
96	61222 21122	7	   	280.38	DCR|5VULN|3DMG	136DMG|23479VULN|3BPWR|5RPLT|8RCR|aDUST
97	61222 12336	8	   	280.38	DCR|5VULN|3DMG	13aDMG|2346aVULN|3aBPWR|5RPLT|7MBVNT|8LEGI|9RCR
98	61222 34152	9	   	280.35	DCR|4VULN|3DMG|1ASPD	136DMG|2346VULN|36BPWR|5RPLT|7ASPD|8LWND|9LIT|aRCR
99	61222 34332	9	   	280.35	DCR|4VULN|3DMG|1ASPD	136DMG|2346VULN|36BPWR|5RPLT|7ASPD|8FEWX|9LIT|aRCR
100	61222 33162	6	   	280.34	DCR|5VULN|3DMG|1SELL	136DMG|23469VULN|36BPWR|5RPLT|7SELL|8BEXP|aRCR
101	61222 32124	6	   	280.34	DCR|5VULN|3DMG|1SELL	136DMG|23469VULN|36BPWR|57RPLT|8RCR|aSELL
102	61222 36124	7	   	280.34	DCR|5VULN|3DMG|1SELL	136DMG|23469VULN|36BPWR|5RPLT|7RCVC|8RCR|aSELL
103	61222 11124	6	   	280.24	DCR|5VULN|3DMG|1SELL	137DMG|23469VULN|3BPWR|5RPLT|8RCR|aSELL
104	61222 21124	7	   	280.24	DCR|5VULN|3DMG|1SELL	136DMG|23479VULN|3BPWR|5RPLT|8RCR|aSELL
105	61222 33462	6	   	280.24	DCR|5VULN|3DMG|1SELL	136DMG|23469VULN|36BPWR|5RPLT|7SELL|8DUST|aRCR
106	61216 15123	8	   	279.21	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	136DMG|237VULN|3BPWR|4ASPD|5DMSP|8DUR|9RCR|aCDMG
107	61222 22416	9	   	279.21	DCR|3VULN|3DMG|1TLV|1CDMG|1ASPD	136DMG|234VULN|3BPWR|5RPLT|7CDMG|8ASPD|9TLV|aRCR
108	44152 21123	3	   	279.11	DCR|3VULN|3DMG|1TLV|1CDMG|1ASPD	19aVULN|2CDMG|3TLV|467DMG|5ASPD|8RCR
