0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23151 13435	10	 * 	296.46	DCR|4VULN|2DMG|2TLV|1DUR|2LIT	158aVULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR
19	25611 25132	5	   	277.54	DCR|3VULN|3DMG|2DUR	19aVULN|2aDUR|3LIT|46BEXP|58aDMG|7RCR|aBPWR
20	23251 13435	10	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	158aVULN|2ERES|38MLV|45DMG|58BPWR|6DUR|78LIT|9RCR
21	23151 24331	8	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	157aVULN|2ERES|3TLV|45DMG|5BPWR|6BEXP|8RCR|9CDMG
22	35131 23353	4	   	275.02	DCR|3VULN|3DUR|2DMG|1NUKE	128DUR|3LIT|4NUKE|5BELT|68DMG|78aVULN|8BPWR|9RCR
23	23151 13432	9	   	273.82	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR|aLWND
24	23151 13433	10	   	273.82	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR|aCGEN
25	23151 13434	9	   	273.82	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR|aCGEN
26	23151 13434	10	   	273.82	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR|aLHND
27	23151 13431	10	   	273.72	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR|aDUST
28	23151 13436	9	   	273.72	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR|aBBNT
29	23151 23435	9	   	273.22	DCR|3VULN|3DMG|2TLV|2LIT	158VULN|2ERES|38TLV|45aDMG|58BPWR|6BEXP|78LIT|9RCR
30	25112 13622	2	 * 	270.76	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	189VULN|29DUR|3CDMG|4RMIN|56TLV|79ASPD|9BPWR|aRCR
31	25112 14622	2	   	270.76	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	179VULN|29DUR|3CDMG|4RMIN|56TLV|89ASPD|9BPWR|aRCR
32	23132 22435	10	   	270.71	DCR|3VULN|2DUR|1DMG|2TLV|2LIT	18aVULN|2ERES|38TLV|46LIT|5DMG|78DUR|8BPWR|9RCR
33	23132 32435	9	 * 	270.50	DCR|2VULN|3DMG|2DUR|2TLV	18VULN|2ERES|38TLV|4LIT|56aDMG|78DUR|8BPWR|9RCR
34	25632 12226	6	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	16aVULN|2DUR|34LIT|56DMG|6BPWR|7TLV|8RCR|9CGEN
35	25632 11444	9	   	269.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	168VULN|2DUR|34LIT|56DMG|6BPWR|7MBVNT|9TLV|aRCR
36	25632 13221	6	   	269.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	169VULN|2DUR|34LIT|56DMG|6BPWR|7TBNT|8RCR|aTLV
37	23151 24315	10	   	269.75	DCR|4VULN|2DMG|1TLV	157aVULN|2ERES|3TLV|45DMG|5BPWR|6BEXP|8RCR|9LIT
38	43161 41221	6	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2LEGI|379VULN|4TLV|59DUR|6RCR|89DMG|9BPWR|aRMIN
39	43161 41223	6	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2LEGI|379VULN|4TLV|59DUR|6RCR|89DMG|9BPWR|aLWND
40	26126 11221	6	 * 	269.61	DCR|3VULN|2DUR|3TLV|1DMG|1CDMG	179VULN|24ZMB|349TLV|49BPWR|5CDMG|6DMG|89DUR|aRCR
41	23251 13435	9	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	158VULN|2ERES|38MLV|45aDMG|58BPWR|6DUR|78LIT|9RCR
42	26152 13221	5	   	269.51	DCR|3VULN|2DUR|3TLV|1DMG|1CDMG	169VULN|2ZMB|379TLV|4DMG|5CDMG|89DUR|9BPWR|aRCR
43	43123 41363	6	   	269.41	DCR|4VULN|3ASPD|2DUR	1RPLT|2LEGI|378aVULN|48BEXP|58aASPD|6RCR|8aBPWR|9aDUR
44	21611 15532	5	 * 	269.35	DCR|4VULN|3DMG	189aVULN|2aLWND|3LIT|4BEXP|56aDMG|7RCR|aBPWR
45	22611 15532	5	   	269.35	DCR|4VULN|3DMG	189aVULN|2aLHND|3LIT|4BEXP|56aDMG|7RCR|aBPWR
46	43113 41363	6	   	269.21	DCR|4VULN|3ASPD|2DUR	1RPLT|2LEGI|378aVULN|48DUST|58aASPD|6RCR|8aBPWR|9aDUR
47	21223 36243	2	   	269.14	DCR|3VULN|3DMG|2DUR|1NUKE	13aVULN|2LWND|4NUKE|5aDUR|6RPLT|7RCR|89aDMG|aBPWR
48	22223 36243	2	   	269.14	DCR|3VULN|3DMG|2DUR|1NUKE	13aVULN|2LHND|4NUKE|5aDUR|6RPLT|7RCR|89aDMG|aBPWR
49	23223 36243	1	   	269.14	DCR|3VULN|3DMG|2DUR|1NUKE	13aVULN|2LHND|4NUKE|5aDUR|6RPLT|7RCR|89aDMG|aBPWR
50	24223 36243	1	   	269.14	DCR|3VULN|3DMG|2DUR|1NUKE	13aVULN|2FEWX|4NUKE|5aDUR|6RPLT|7RCR|89aDMG|aBPWR
51	24223 36243	2	   	269.04	DCR|3VULN|3DMG|2DUR|1NUKE	13aVULN|2DUST|4NUKE|5aDUR|6RPLT|7RCR|89aDMG|aBPWR
52	21632 12332	9	   	268.54	DCR|3VULN|2DMG|2DUR|2LIT	16aVULN|2aLWND|34LIT|56DMG|6aBPWR|7aDUR|8DMSP|9RCR
53	22632 12332	9	   	268.54	DCR|3VULN|2DMG|2DUR|2LIT	16aVULN|2aLHND|34LIT|56DMG|6aBPWR|7aDUR|8DMSP|9RCR
54	25632 15332	9	   	268.54	DCR|3VULN|2DMG|2DUR|2LIT	16aVULN|2aDUR|34LIT|56DMG|6aBPWR|7aLHND|8DMSP|9RCR
55	25632 15233	6	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	16aVULN|2aDUR|34LIT|56DMG|6aBPWR|7aCGEN|8RCR|9BBNT
56	34151 33431	1	 * 	268.37	DCR|2VULN|3DUR|2DMG|2CDMG	147DUR|279FEWX|39CDMG|5LIT|67VULN|79BPWR|89DMG|aRCR
57	36151 33431	2	   	268.37	DCR|2VULN|3DUR|2DMG|2CDMG	147DUR|279FEWX|39CDMG|5LIT|67VULN|79BPWR|89DMG|aRCR
58	25243 32243	2	 * 	268.33	DCR|3VULN|3DUR|2TLV|1ASPD	13aVULN|25aDUR|4ASPD|6LIT|7aTLV|8RCR|9BBNT|aBPWR
59	25243 32253	2	   	268.33	DCR|3VULN|3DUR|2TLV|1ASPD	13aVULN|25aDUR|4ASPD|6LIT|7aTLV|8RCR|9TBNT|aBPWR
60	24632 16232	9	   	268.24	DCR|3VULN|2DMG|2DUR|2LIT	16aVULN|28aDUST|34LIT|56DMG|6aBPWR|7aDUR|9RCR
61	25632 13224	6	   	267.31	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	169VULN|2DUR|34LIT|56DMG|6BPWR|7TBNT|8RCR|aCDMG
62	23151 23431	9	   	267.23	DCR|3VULN|2DMG|2TLV|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6BEXP|78LIT|9RCR|aAART
63	25112 23622	2	   	267.04	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	189VULN|29DUR|3CDMG|4RMIN|5TLV|6RCVC|79ASPD|9BPWR|aRCR
64	25112 24622	2	   	267.04	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	179VULN|29DUR|3CDMG|4RMIN|5TLV|6RCVC|89ASPD|9BPWR|aRCR
65	25131 16223	6	   	266.81	DCR|3VULN|3DUR|2DMG	19aVULN|259DUR|3MLV|4RPLT|6FEWX|7RCR|89DMG|9BPWR
66	25131 46223	6	   	266.81	DCR|3VULN|3DUR|2DMG	19aVULN|259DUR|3MLV|4RPLT|6LWND|7RCR|89DMG|9BPWR
67	25134 16223	5	   	266.81	DCR|3VULN|3DUR|2DMG	19aVULN|269DUR|3MLV|4RPLT|5FEWX|7RCR|89DMG|9BPWR
68	25136 16223	4	   	266.81	DCR|3VULN|3DUR|2DMG	19aVULN|269DUR|3MLV|4RPLT|5LWND|7RCR|89DMG|9BPWR
69	25323 36223	5	   	266.81	DCR|3VULN|3DUR|2DMG	19aVULN|249DUR|3FEWX|5MLV|6RPLT|7RCR|89DMG|9BPWR
70	25123 33263	5	 * 	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	17aVULN|27DUR|35MLV|4DMG|678ASPD|7BPWR|9RCR
71	25131 36223	6	   	266.71	DCR|3VULN|3DUR|2DMG	19aVULN|259DUR|3MLV|4RPLT|6DUST|7RCR|89DMG|9BPWR
72	25131 66223	5	   	266.71	DCR|3VULN|3DUR|2DMG	19aVULN|259DUR|3MLV|4RPLT|6DUST|7RCR|89DMG|9BPWR
73	25135 16223	5	   	266.71	DCR|3VULN|3DUR|2DMG	19aVULN|269DUR|3MLV|4RPLT|5DUST|7RCR|89DMG|9BPWR
74	25225 36223	5	   	266.71	DCR|3VULN|3DUR|2DMG	19aVULN|249DUR|3DUST|5MLV|6RPLT|7RCR|89DMG|9BPWR
75	43151 16223	5	   	266.61	DCR|3VULN|3DUR|2DMG	1RPLT|2LEGI|39aVULN|4ERES|569DUR|7RCR|89DMG|9BPWR
76	33534 16223	4	   	266.61	DCR|3VULN|3DUR|2DMG	169DUR|2ERES|3LEGI|4RPLT|59aVULN|7RCR|89DMG|9BPWR
77	43161 24123	6	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	1RPLT|2LEGI|39aVULN|4TLV|589DUR|69ASPD|7RCR|9BPWR
