0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33132 16114	10	 * 	270.70	DCR|3VULN|3DUR|2DMG|2LIT	1BELT|2aDMG|347DUR|58aVULN|6aLIT|9RCR|aBPWR
46	36151 31621	3	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1BELT|2DMSP|38TLV|4CDMG|58DMG|6RCR|789VULN|8BPWR|aERES
47	36151 31622	3	   	259.62	DCR|3VULN|2DMG|3TLV|1CDMG	1BELT|2DMSP|38aTLV|4CDMG|58DMG|6RCR|789VULN|8BPWR
48	53435 31121	2	 * 	259.42	DCR|2VULN|3DUR|2DMG|2CDMG	1RPLT|27VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9aCDMG
49	52151 32114	10	   	259.27	DCR|4VULN|3TLV|1DUR|1CDMG	1RPLT|2BELT|3478VULN|478BPWR|578TLV|6RCR|9DUR|aCDMG
50	33124 22126	9	   	258.17	DCR|3VULN|3DMG|2DUR	1BELT|258DMG|38DUR|478VULN|6RPLT|8BPWR|9ERES|aRCR
51	33121 11134	6	   	258.05	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1BELT|28DMG|3DUR|48VULN|5CGEN|6TLV|78LIT|8BPWR|9CDMG|aRCR
52	53311 51423	2	 * 	257.91	DCR|5VULN|2DUR|1CDMG	1RPLT|2356aVULN|45DUR|5BPWR|7FEWX|8CDMG|9RCR
53	53522 11131	6	   	257.64	DCR|4VULN|2TLV|1DMG	1RPLT|239aVULN|49DUST|5ASPD|6RCR|7DMG|89TLV|9BPWR
54	52151 32131	10	   	257.37	DCR|5VULN|3TLV|1AART	1RPLT|2BELT|34789VULN|478BPWR|578TLV|6RCR|aAART
55	53311 62233	2	   	257.11	DCR|4VULN|3DUR|1AART	1RPLT|235aVULN|457DUR|5BPWR|6AART|8ASPD|9RCR
56	53511 62233	3	   	257.11	DCR|4VULN|3DUR|1AART	1RPLT|235aVULN|457DUR|5BPWR|6AART|8ASPD|9RCR
57	26145 23313	2	   	256.34	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1SELL	1aTLV|2DMSP|3SELL|4DMG|5aDUR|6CDMG|7RCR|8LIT|9aVULN|aBPWR
58	53422 23613	9	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	16RPLT|25aVULN|3aDUR|4LWND|7CDMG|8RCR|9aDMG|aBPWR
59	53432 23613	9	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	16RPLT|25aVULN|3aDUR|4LHND|7CDMG|8RCR|9aDMG|aBPWR
60	12212 32425	5	   	256.05	DCR|4VULN|2DMG|1CDMG|1AART	1DMSP|28DMG|3BELT|458aVULN|6AART|7RCR|8BPWR|9CDMG
61	12212 53425	7	   	256.05	DCR|4VULN|2DMG|1CDMG|1AART	1DMSP|28DMG|3BELT|458aVULN|6RCR|7AART|8BPWR|9CDMG
62	52151 32132	10	   	256.02	DCR|5VULN|3TLV	1RPLT|2BELT|34789VULN|478BPWR|578TLV|6RCR|aLIT
63	52151 32136	9	   	256.02	DCR|5VULN|3TLV	1RPLT|2BELT|34789VULN|478BPWR|578TLV|6RCR|aLIT
64	53132 15216	7	   	255.87	DCR|3VULN|2TLV|2DUR	1RPLT|28aVULN|3ZMB|4aTLV|5ASPD|6RCR|7LIT|9aDUR|aBPWR
65	12212 52265	7	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1DMSP|2aDMG|39BELT|45aVULN|6RCR|7aTLV|8AART|aBPWR
66	52123 36261	5	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1RPLT|2BELT|35aVULN|4BEXP|6RCR|7AART|8aTLV|9aDMG|aBPWR
67	52233 31452	5	   	255.36	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1RPLT|2BELT|39ASPD|49DMG|5TLV|6DUR|7RCR|89VULN|9BPWR|aAART
68	53321 23361	2	 * 	255.35	DCR|5VULN|1DMG|1CDMG	1RPLT|2345aVULN|6CDMG|7RCR|8LIT|9DMG
69	53521 23361	3	   	255.35	DCR|5VULN|1DMG|1CDMG	1RPLT|2345aVULN|6CDMG|7RCR|8LIT|9DMG
70	53435 31131	2	 * 	255.12	DCR|2VULN|3DMG|3DUR	1RPLT|27VULN|3LIT|457DUR|67aDMG|7BPWR|8RCR|9MLV
71	35621 11134	6	   	255.05	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	1BELT|28DUR|3DMG|48VULN|5CGEN|6TLV|78LIT|8BPWR|9CDMG|aRCR
72	12352 25263	10	   	255.00	DCR|2VULN|3DMG|2TLV|1AART	19DMSP|27aDMG|3LIT|4AART|5aTLV|6RCR|8aVULN|aBPWR
73	12352 25353	10	   	255.00	DCR|2VULN|3DMG|2TLV|1AART	1DMSP|27aDMG|3LIT|4AART|5aTLV|6RCR|8RCVC|9aVULN|aBPWR
74	53321 23413	2	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2345VULN|6CDMG|7RCR|8LHND|9DMG|aTLV
75	53521 23413	3	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2345VULN|6CDMG|7RCR|8LHND|9DMG|aTLV
76	53321 23513	2	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2345VULN|6CDMG|7RCR|8DUST|9DMG|aTLV
77	53521 23513	3	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2345VULN|6CDMG|7RCR|8DUST|9DMG|aTLV
78	12363 15421	5	   	254.40	DCR|3VULN|2DMG|1TLV	1DMSP|26DMG|3LIT|4ASPD|569VULN|6BPWR|7BBNT|8TLV|aRCR
79	11332 41131	5	   	254.28	DCR|3VULN|2DMG|2TLV	1DMSP|2RPLT|3MBVNT|49aVULN|5ASPD|6RCR|79DMG|89TLV|9BPWR
80	12356 21363	3	   	254.28	DCR|3VULN|2DMG|2TLV	1DMSP|29DMG|3LIT|4TBNT|569VULN|7BELT|89TLV|9BPWR|aRCR
81	33321 25326	4	   	254.14	DCR|3VULN|2DMG|1TLV|2ASPD	1BELT|2aDMG|3LHND|45aVULN|6LWND|7TLV|8RCR|9aASPD|aBPWR
82	33323 25326	5	   	254.14	DCR|3VULN|2DMG|1TLV|2ASPD	1BELT|2aDMG|3LHND|45aVULN|6LWND|7TLV|8RCR|9aASPD|aBPWR
83	33423 62326	7	   	254.14	DCR|3VULN|2DMG|1TLV|2ASPD	1BELT|2aDMG|3LWND|45aVULN|6LHND|7TLV|8RCR|9aASPD|aBPWR
84	52151 32113	9	   	253.93	DCR|4VULN|3TLV|1DUR	1RPLT|2BELT|3478VULN|478BPWR|578TLV|6RCR|9DUR|aASPD
85	52151 32115	9	   	253.93	DCR|4VULN|3TLV|1DUR	1RPLT|2BELT|3478VULN|478BPWR|578TLV|6RCR|9DUR|aLIT
86	52451 32121	8	   	253.93	DCR|4VULN|3TLV|1DUR	1RPLT|2BELT|378TLV|4578VULN|6RCR|78BPWR|9LIT|aDUR
87	52451 32131	9	   	253.93	DCR|4VULN|3TLV|1DUR	1RPLT|2BELT|378TLV|4578VULN|6RCR|78BPWR|9LIT|aDUR
88	12536 33361	4	   	253.84	DCR|3VULN|3DMG|1TLV	1DMSP|29aDMG|39aZMB|4CGEN|5TLV|69aVULN|7RCR|8RMIN|9aBPWR
89	24312 11634	9	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1TLV|29DMG|3BEXP|4FEWX|59DUR|6CGEN|7AART|89VULN|9BPWR|aRCR
90	24421 36231	3	   	253.74	DCR|2VULN|3DMG|2TLV	19TLV|259DMG|3RPLT|45VULN|59BPWR|6ASPD|79BEXP|8RCR|aLIT
91	44421 13232	3	   	253.28	DCR|2VULN|3DMG|2TLV|2ASPD	19ASPD|259DMG|3RPLT|45VULN|59BPWR|6BEXP|79TLV|8RCR|aDMSP
92	44421 13233	3	   	253.28	DCR|2VULN|3DMG|2TLV|2ASPD	19ASPD|259DMG|3RPLT|45VULN|59BPWR|6aBEXP|79TLV|8RCR
93	56421 13232	1	   	253.28	DCR|2VULN|3DMG|2TLV|2ASPD	1RPLT|29ASPD|359DMG|45VULN|59BPWR|6BEXP|79TLV|8RCR|aDMSP
94	56421 13233	1	   	253.28	DCR|2VULN|3DMG|2TLV|2ASPD	1RPLT|29ASPD|359DMG|45VULN|59BPWR|6aBEXP|79TLV|8RCR
95	53435 31111	2	   	253.11	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|27VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9BEXP|aCDMG
96	53435 31123	2	   	253.11	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|27VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9CDMG|aLHND
97	53435 31122	2	   	253.01	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|27VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9CDMG|aLEGI
98	21533 23314	1	   	252.74	DCR|3VULN|2TLV|1DMG|2ASPD	15TLV|2DMG|39aVULN|47ASPD|6RCR|8LIT
99	24533 23314	2	   	252.74	DCR|3VULN|2TLV|1DMG|2ASPD	15TLV|2DMG|39aVULN|47ASPD|6RCR|8LIT
100	31124 15343	9	   	252.60	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1BELT|2aASPD|3DUR|48aVULN|5DMG|6TLV|7aERES|9RCR|aBPWR
101	36126 33113	9	 * 	252.48	DCR|3VULN|3DUR|2TLV	1BELT|2DMSP|38TLV|489DUR|5RPLT|6RCR|78aVULN|8BPWR
102	52435 33113	9	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|24BELT|38TLV|589DUR|6RCR|78aVULN|8BPWR
103	12214 43313	2	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	1DMSP|2aDMG|35DUR|4aZMB|6TLV|7RCR|8LIT|9aVULN|aBPWR
104	12533 43313	3	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	1DMSP|2aDMG|3ZMB|4RCVC|5aDUR|6TLV|7RCR|8LIT|9aVULN|aBPWR
105	12613 43313	3	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	1DMSP|2aDMG|3RCVC|4ZMB|5aDUR|6TLV|7RCR|8LIT|9aVULN|aBPWR
106	22112 21163	1	   	252.38	DCR|3VULN|3DUR|2TLV	18TLV|2DUST|348DUR|5LHND|6FEWX|789VULN|8BPWR|aRCR
107	22112 51133	1	   	252.38	DCR|3VULN|3DUR|2TLV	18TLV|2DUST|348DUR|5LHND|6BEXP|789VULN|8BPWR|aRCR
108	22116 51133	1	   	252.38	DCR|3VULN|3DUR|2TLV	18TLV|2DUST|348DUR|5FEWX|6BEXP|789VULN|8BPWR|aRCR
109	22162 31133	1	   	252.38	DCR|3VULN|3DUR|2TLV	18TLV|2DUST|368DUR|4LHND|5BEXP|789VULN|8BPWR|aRCR
110	23122 31133	1	   	252.38	DCR|3VULN|3DUR|2TLV	18TLV|2LEGI|368DUR|4LHND|5BEXP|789VULN|8BPWR|aRCR
111	23131 31133	1	   	252.38	DCR|3VULN|3DUR|2TLV	18TLV|2LEGI|368DUR|4BEXP|5LWND|789VULN|8BPWR|aRCR
112	52151 32316	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|2BELT|347VULN|47BPWR|57TLV|6RCR|89aDUR
113	12212 53355	10	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|2aDMG|3BELT|45aVULN|6RCR|7AART|8aDUR|9RCVC|aBPWR
114	33333 14522	10	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1BELT|29DMG|3LHND|49DUR|59aVULN|6AART|7LEGI|8RCR|9BPWR
115	33433 14522	10	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1BELT|29DMG|3LWND|49DUR|59aVULN|6AART|7LEGI|8RCR|9BPWR
116	21116 42335	1	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|2aDMG|34FEWX|56VULN|7aDUR|8RCR|9TBNT|aBPWR
117	21326 42335	1	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|2aDMG|3RCVC|4FEWX|56VULN|7aDUR|8RCR|9TBNT|aBPWR
118	21511 42335	1	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|2aDMG|36VULN|45FEWX|7aDUR|8RCR|9TBNT|aBPWR
119	21512 42335	1	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|2aDMG|36VULN|4FEWX|5RCVC|7aDUR|8RCR|9TBNT|aBPWR
120	53626 41134	2	   	252.06	DCR|3VULN|3TLV|3ASPD|1DMG	1RPLT|29aVULN|3DMG|4MBVNT|5DMSP|6RCR|79aASPD|89aTLV|9aBPWR
121	24332 26343	6	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|27DMG|3BEXP|45DUR|69VULN|8RCR
122	44153 23313	4	   	251.92	DCR|2VULN|2TLV|3ASPD|1DMG|1DUR	17aASPD|2DMG|3DMSP|4aTLV|5DUR|6RCR|8LIT|9aVULN|aBPWR
123	11451 31622	1	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	1DMSP|2BELT|38CGEN|4CDMG|58DMG|6RCR|789VULN|8BPWR|aTLV
124	12352 21441	8	   	251.46	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1DMSP|29DMG|39LIT|4AART|5TLV|6RCR|7CDMG|89VULN|9BPWR|aBEXP
125	12352 21641	7	   	251.46	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1DMSP|29DMG|39LIT|4AART|5TLV|6RCR|7CDMG|89VULN|9BPWR|aBEXP
126	22242 53336	5	   	251.43	DCR|4VULN|2TLV|1CDMG	1aTLV|2ZMB|3aMLV|4CDMG|5LIT|679aVULN|8RCR|aBPWR
127	22242 63336	6	   	251.43	DCR|4VULN|2TLV|1CDMG	1aTLV|2ZMB|3aMLV|4CDMG|5LIT|679aVULN|8RCR|aBPWR
128	12352 21442	8	   	251.36	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1DMSP|29DMG|39LIT|4AART|5TLV|6RCR|7CDMG|89VULN|9BPWR|aERES
129	12352 21642	7	   	251.36	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1DMSP|29DMG|39LIT|4AART|5TLV|6RCR|7CDMG|89VULN|9BPWR|aERES
130	11551 31611	1	   	251.28	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1DMSP|2BELT|38TLV|4CDMG|58DMG|6RCR|78VULN|8BPWR|9LHND|aDUR
131	36151 31611	3	   	251.28	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1BELT|2DMSP|38TLV|4CDMG|58DMG|6RCR|78VULN|8BPWR|9LHND|aDUR
132	53135 13131	7	 * 	251.24	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|29aVULN|39ZMB|4TLV|5DMG|6RCR|79DUR|8DMSP|9BPWR
133	11551 31631	1	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1DMSP|2BELT|38TLV|4CDMG|58DMG|6RCR|78VULN|8BPWR|9DUST|aDUR
134	36151 31631	3	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1BELT|2DMSP|38TLV|4CDMG|58DMG|6RCR|78VULN|8BPWR|9DUST|aDUR
135	41333 43313	1	   	251.00	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1aASPD|2DMG|34RCVC|5aDUR|6TLV|7RCR|8LIT|9aVULN|aBPWR
136	44133 43313	3	   	251.00	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1aASPD|2DMG|3DMSP|4RCVC|5aDUR|6TLV|7RCR|8LIT|9aVULN|aBPWR
137	44333 43313	2	   	251.00	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1aASPD|2DMG|34RCVC|5aDUR|6TLV|7RCR|8LIT|9aVULN|aBPWR
138	53321 23633	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG|1NUKE	1RPLT|2345VULN|6CDMG|7RCR|8NUKE|9DUR|aTLV
139	53521 23633	3	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG|1NUKE	1RPLT|2345VULN|6CDMG|7RCR|8NUKE|9DUR|aTLV
140	21262 35523	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|2ERES|3LHND|45DUR|67aVULN|8DMG|9RCR
141	24332 24633	9	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|2DMG|3BEXP|45DUR|69aVULN|7ERES|8RCR
142	24523 33633	9	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|2DMG|3ERES|4FEWX|56DUR|79aVULN|8RCR
143	33123 11434	7	   	250.73	DCR|3VULN|2DMG|2DUR	1BELT|27DMG|38DUR|45aVULN|6LIT|9RCR
144	24242 21336	5	   	250.44	DCR|3VULN|2TLV|1DMG|1CDMG	1aTLV|2DMG|3aMLV|4CDMG|5LIT|6RCVC|79aVULN|8RCR|aBPWR
145	12212 52141	8	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DMSP|2DMG|3BELT|458VULN|6RCR|7TLV|9DUR|aCDMG
146	53562 21131	6	 * 	249.64	ACR|4VULN|2TLV|1DMG|2ASPD|1DUR	1RPLT|239aVULN|4RCR|59ASPD|6DUR|7DMG|89TLV|9BPWR
147	12333 12414	8	   	249.56	DCR|4VULN|1TLV|1DMG	1DMSP|2DMG|3LIT|4CGEN|569aVULN|7TLV|8RCR
148	12343 12414	8	   	249.46	DCR|4VULN|1TLV|1DMG	1DMSP|2DMG|3LIT|4ERES|569aVULN|7TLV|8RCR
149	31126 12114	10	   	249.20	DCR|3VULN|3DUR|2ASPD|2LIT	1BELT|2aASPD|357DUR|48aVULN|6aLIT|9RCR|aBPWR
150	31132 12114	10	   	249.20	DCR|3VULN|3DUR|2ASPD|2LIT	1BELT|2aASPD|347DUR|58aVULN|6aLIT|9RCR|aBPWR
151	33323 22123	8	   	249.09	DCR|4VULN|2DMG|1DUR	1BELT|28DMG|38LHND|4578VULN|6RPLT|8BPWR|9DUR|aRCR
152	33423 22123	8	   	249.09	DCR|4VULN|2DMG|1DUR	1BELT|28DMG|38LWND|4578VULN|6RPLT|8BPWR|9DUR|aRCR
153	33423 22163	9	   	249.09	DCR|4VULN|2DMG|1DUR	1BELT|28DMG|38LWND|4578VULN|6RPLT|8BPWR|9DUR|aRCR
154	31123 11123	10	   	248.93	DCR|2VULN|2DMG|2DUR|2ASPD|2LIT	1BELT|29ASPD|39DUR|45VULN|68LIT|79DMG|9BPWR|aRCR
155	36126 33112	10	 * 	247.85	DCR|2VULN|3DUR|2TLV|1DMG	1BELT|2DMSP|38TLV|489DUR|5RPLT|6RCR|78VULN|8BPWR|aDMG
156	52435 33112	10	   	247.85	DCR|2VULN|3DUR|2TLV|1DMG	1RPLT|24BELT|38TLV|589DUR|6RCR|78VULN|8BPWR|aDMG
157	11511 62133	2	   	247.82	DCR|3VULN|3DUR|1DMG|1AART	1DMSP|2RPLT|35aVULN|457DUR|5BPWR|6AART|8DMG|9RCR
158	51511 62133	1	   	247.82	DCR|3VULN|3DUR|1DMG|1AART	1RPLT|2RCVC|35aVULN|457DUR|5BPWR|6AART|8DMG|9RCR
159	53211 62133	3	   	247.82	DCR|3VULN|3DUR|1DMG|1AART	1RPLT|25aVULN|3RCVC|457DUR|5BPWR|6AART|8DMG|9RCR
160	53511 62133	2	   	247.82	DCR|3VULN|3DUR|1DMG|1AART	1RPLT|25aVULN|3RCVC|457DUR|5BPWR|6AART|8DMG|9RCR
161	53311 62131	2	   	247.82	DCR|3VULN|3DUR|1DMG|1AART	1RPLT|235VULN|457DUR|5BPWR|6AART|8DMG|9RCR|aFEWX
162	53311 62134	2	   	247.82	DCR|3VULN|3DUR|1DMG|1AART	1RPLT|235VULN|457DUR|5BPWR|6AART|8DMG|9RCR|aCGEN
163	53311 62136	2	   	247.82	DCR|3VULN|3DUR|1DMG|1AART	1RPLT|235VULN|457DUR|5BPWR|6AART|8DMG|9RCR|aLHND
