0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11114 33535	4	 * 	285.59	DCR|5VULN|2DMG|1ASPD|1AART	1aLHND|2ASPD|3479aVULN|5AART|6aDMG|8RCR|aBPWR
26	12522 14116	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LHND|2346VULN|5DUR|7DMG|8LWND|9TLV|aRCR
27	12522 14216	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LHND|2346VULN|5DUR|7DMG|8LWND|9TLV|aRCR
28	12522 14216	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LHND|2346VULN|5DUR|7DMG|8FEWX|9TLV|aRCR
29	12522 14116	8	   	260.00	DCR|4VULN|1DMG|1DUR|1TLV	1LHND|2346VULN|5DUR|7DMG|8DUST|9TLV|aRCR
30	22563 33143	1	   	259.86	DCR|4VULN|1DMG|1TLV|1DUR|1SELL	1RMIN|2469VULN|3SELL|5DUR|7TLV|8RCR|aDMG
31	25234 11611	10	 * 	259.62	DCR|3VULN|3DMG|2ASPD	1RMIN|268DMG|378VULN|48ASPD|5RCVC|8BPWR|9LHND|aRCR
32	25234 11631	10	   	259.62	DCR|3VULN|3DMG|2ASPD	1RMIN|268DMG|378VULN|48ASPD|5RCVC|8BPWR|9LWND|aRCR
33	25161 23363	6	 * 	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	1RMIN|24DMG|34CDMG|4BPWR|57aVULN|6TLV|8BEXP|9RCR
34	12522 16226	6	   	258.34	DCR|4VULN|2DUR|1DMG	1LHND|2346VULN|57DUR|8RCR|9ERES|aDMG
35	51131 31145	5	   	258.01	DCR|3VULN|2DMG|1DUR|1ASPD	1DUST|2ASPD|367VULN|4LIT|5DUR|89DMG|aRCR
36	12522 13616	7	 * 	257.91	DCR|5VULN|2DUR	1LHND|23469VULN|5aDUR|7LWND|8RCR
37	12522 21616	5	   	257.91	DCR|5VULN|2DUR	1LHND|23479VULN|5aDUR|6FEWX|8RCR
38	12523 12135	7	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1LHND|2347VULN|5CDMG|6DUST|8RCR|9DMG|aTLV
39	12523 22512	6	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1LHND|2348VULN|5CDMG|6TLV|7BBNT|9DMG|aRCR
40	52524 32112	3	   	257.30	DCR|4VULN|1DMG|1TLV|1CDMG	1DUST|2357VULN|4TBNT|6TLV|8CDMG|9DMG|aRCR
41	22116 33263	5	   	256.98	DCR|5VULN|1DUR|1CDMG	1RMIN|2BEXP|3467aVULN|5CDMG|8DUR|9RCR
42	26116 33263	5	   	256.98	DCR|5VULN|1DUR|1CDMG	1RMIN|2FEWX|3467aVULN|5CDMG|8DUR|9RCR
43	12523 12146	7	   	256.88	DCR|5VULN|1DUR|1CDMG	1LHND|23479VULN|5CDMG|6DUST|8RCR|aDUR
44	12523 12242	10	   	256.88	DCR|5VULN|1DUR|1CDMG	1LHND|23478VULN|5CDMG|6DUST|9RCR|aDUR
45	12523 12246	9	   	256.88	DCR|5VULN|1DUR|1CDMG	1LHND|23478VULN|5CDMG|6DUST|9RCR|aDUR
46	12523 12266	8	   	256.88	DCR|5VULN|1DUR|1CDMG	1LHND|23478VULN|5CDMG|6DUST|9RCR|aDUR
47	11112 73746	9	   	256.29	DCR|4VULN|2DMG|1ASPD	18LHND|2ASPD|3468VULN|5MBVNT|78DMG|8BPWR|9LWND|aRCR
48	11112 73716	9	   	256.19	DCR|4VULN|2DMG|1ASPD	18LHND|2ASPD|3468VULN|5MBVNT|78DMG|8BPWR|9DUST|aRCR
49	11112 73716	8	   	256.19	DCR|4VULN|2DMG|1ASPD	18LHND|2ASPD|3468VULN|5MBVNT|78DMG|8BPWR|9LEGI|aRCR
50	51112 72722	8	   	256.09	DCR|4VULN|2DMG|1ASPD	18DUST|2ASPD|3468VULN|5MBVNT|78DMG|8BPWR|9RCR|aMLV
51	51112 72723	8	   	256.09	DCR|4VULN|2DMG|1ASPD	18DUST|2ASPD|3468VULN|5MBVNT|78DMG|8BPWR|9RCR|aCGEN
