0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36326 24322	5	 * 	294.33	DCR|5VULN|3ASPD|1DMG|1DUR	1DUR|2RCVC|356ASPD|45689VULN|56BPWR|7DMG|aRCR
74	33335 22625	1	   	267.95	DCR|4VULN|3DUR|1TLV	159DUR|2358VULN|4RCVC|5BPWR|6RCR|7DMSP|aTLV
75	33335 25113	1	   	267.95	DCR|4VULN|3DUR|1TLV	15aDUR|2357VULN|4RCVC|5BPWR|6RCR|8LWND|9TLV
76	33335 25225	1	   	267.95	DCR|4VULN|3DUR|1TLV	159DUR|2357VULN|48RCVC|5BPWR|6RCR|aTLV
77	33335 32625	1	   	267.95	DCR|4VULN|3DUR|1TLV	159DUR|2358VULN|46RCVC|5BPWR|7RCR|aTLV
78	33345 25113	1	   	267.95	DCR|4VULN|3DUR|1TLV	15aDUR|2357VULN|4DMSP|5BPWR|6RCR|8LWND|9TLV
79	53135 25113	1	   	267.95	DCR|4VULN|3DUR|1TLV	1257VULN|35aDUR|4RCVC|5BPWR|6RCR|8LWND|9TLV
80	33335 25313	1	   	267.85	DCR|4VULN|3DUR|1TLV	15aDUR|2357VULN|4RCVC|5BPWR|6RCR|8DUST|9TLV
81	33345 25313	1	   	267.85	DCR|4VULN|3DUR|1TLV	15aDUR|2357VULN|4DMSP|5BPWR|6RCR|8DUST|9TLV
82	53135 25313	1	   	267.85	DCR|4VULN|3DUR|1TLV	1257VULN|35aDUR|4RCVC|5BPWR|6RCR|8DUST|9TLV
83	56512 21213	5	   	267.57	DCR|5VULN|2DUR|1AART	1348aVULN|2RCVC|59DUR|6RCR|7AART
84	63242 22323	4	 * 	267.01	DCR|5VULN|3LIT|2TLV	124LIT|34TLV|4BPWR|56789VULN|aRCR
85	31335 11152	10	   	266.42	DCR|5VULN|2DUR	19DUR|269CGEN|3ERES|4LIT|56789VULN|69BPWR|aRCR
86	31335 51152	10	   	266.32	DCR|5VULN|2DUR	19DUR|29CGEN|3ERES|4LIT|56789VULN|9BPWR|aRCR
87	53213 25151	1	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1236VULN|4CGEN|5CDMG|7LIT|8DMG|9RCR|aDUR
88	33335 23125	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|235VULN|4RCVC|5BPWR|6RCR|7CDMG|8ERES|9DMG|aTLV
89	33335 23525	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|235VULN|4RCVC|5BPWR|6RCR|7CDMG|8DMG|9ERES|aTLV
90	33345 23125	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|235VULN|4DMSP|5BPWR|6RCR|7CDMG|8ERES|9DMG|aTLV
91	53135 23125	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	125VULN|35DUR|4RCVC|5BPWR|6RCR|7CDMG|8ERES|9DMG|aTLV
92	33335 23211	1	 * 	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	159DUR|235VULN|4RCVC|59BPWR|6RCR|79CDMG|89FEWX|aTLV
93	33335 23611	1	   	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	159DUR|235VULN|4RCVC|59BPWR|6RCR|79CDMG|89LHND|aTLV
94	33345 23211	1	   	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	159DUR|235VULN|4DMSP|59BPWR|6RCR|79CDMG|89FEWX|aTLV
95	33345 23611	1	   	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	159DUR|235VULN|4DMSP|59BPWR|6RCR|79CDMG|89LHND|aTLV
96	33335 26313	1	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	15aDUR|235VULN|4RCVC|5BPWR|6RCR|7ERES|8DMG|9TLV
97	33345 26313	1	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	15aDUR|235VULN|4DMSP|5BPWR|6RCR|7ERES|8DMG|9TLV
98	53135 26313	1	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	125VULN|35aDUR|4RCVC|5BPWR|6RCR|7ERES|8DMG|9TLV
99	53135 23214	1	 * 	264.68	DCR|4VULN|2DUR|3CDMG	1259VULN|35DUR|4RCVC|59BPWR|6RCR|79aCDMG|89FEWX
100	33335 21242	1	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	15DUR|2358VULN|4RCVC|5BPWR|6RCR|7AART|9FEWX|aTLV
101	33335 25132	1	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	15DUR|2357VULN|4RCVC|5BPWR|6RCR|8LWND|9AART|aTLV
102	33345 21242	1	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	15DUR|2358VULN|4DMSP|5BPWR|6RCR|7AART|9FEWX|aTLV
103	33345 25132	1	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	15DUR|2357VULN|4DMSP|5BPWR|6RCR|8LWND|9AART|aTLV
104	53135 21242	1	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	1258VULN|35DUR|4RCVC|5BPWR|6RCR|7AART|9FEWX|aTLV
105	53135 25132	1	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	1257VULN|35DUR|4RCVC|5BPWR|6RCR|8LWND|9AART|aTLV
