0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26222 42523	9	 * 	275.00	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5TLV|7LHND|8DUR|9RCR
35	26232 34221	4	 * 	261.59	DCR|2VULN|3DUR|1DMG|2CDMG|1ASPD	17CDMG|2ASPD|37VULN|4LWND|5LIT|679DUR|7BPWR|8DMG|aRCR
36	26242 34221	3	   	261.59	DCR|2VULN|3DUR|1DMG|2CDMG|1ASPD	17CDMG|2ASPD|37VULN|4LWND|5LIT|679DUR|7BPWR|8DMG|aRCR
37	26262 34221	4	   	261.59	DCR|2VULN|3DUR|1DMG|2CDMG|1ASPD	17CDMG|2ASPD|37VULN|4LHND|5LIT|679DUR|7BPWR|8DMG|aRCR
38	21152 31331	1	   	260.82	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1ASPD	1CDMG|24aVULN|34LIT|4BPWR|5BELT|6DUR|7ASPD|8RCR|9DMG
39	21152 31331	2	   	260.82	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1ASPD	1CDMG|24aVULN|34LIT|4BPWR|5BELT|6DUR|7ASPD|8RCR|9DMG
40	26222 42521	10	   	260.67	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346VULN|4BPWR|5TLV|7LHND|8DUR|9RCR|aLIT
41	26236 32322	6	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2ASPD|38aVULN|4LWND|59DUR|6RCR|7DMG
42	26333 21183	8	   	260.35	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2ASPD|38DUR|4MBVNT|579VULN|6RCR|aDMG
43	21212 43362	3	   	260.13	DCR|3VULN|3DUR|2CDMG|1ASPD	17CDMG|247VULN|3BELT|57aDUR|6RPLT|7BPWR|8RCR|9ASPD
44	26333 21123	8	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	1aCDMG|2ASPD|38aDUR|4MBVNT|57aVULN|6RCR|9RPLT|aBPWR
45	21225 12563	3	 * 	259.66	DCR|3VULN|2DMG|3CDMG|1ASPD	179CDMG|259VULN|3BELT|49DMG|6RCR|8BBNT|9BPWR|aASPD
46	13622 14163	4	   	259.57	DCR|5VULN|2AART|2LIT	19MLV|28AART|3459aVULN|69LIT|7RCR|9BPWR
47	21233 45631	1	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1CDMG|256VULN|35DUR|4BBNT|5BPWR|7DMG|8RPLT|9AART|aRCR
48	21233 45631	2	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1CDMG|256VULN|35DUR|4BBNT|5BPWR|7DMG|8RPLT|9AART|aRCR
49	26221 42522	9	   	258.75	DCR|4VULN|2ASPD|1DUR|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5RMIN|7LHND|8DUR|9RCR
50	26222 14122	9	   	258.75	DCR|4VULN|2ASPD|1TLV|1CDMG	1CDMG|24ASPD|347aVULN|4BPWR|5TLV|6BEXP|8LWND|9RCR
51	26222 42123	9	   	258.75	DCR|4VULN|2ASPD|1TLV|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5TLV|7LHND|8LWND|9RCR
52	26222 42422	9	   	258.75	DCR|4VULN|2ASPD|1TLV|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5TLV|7LHND|8BEXP|9RCR
53	26222 44122	9	   	258.75	DCR|4VULN|2ASPD|1TLV|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5TLV|7FEWX|8LWND|9RCR
54	26323 34123	9	   	258.75	DCR|4VULN|2ASPD|1DUR|1CDMG	1CDMG|26ASPD|3DUR|4MLV|567aVULN|6BPWR|8LWND|9RCR
55	26323 34422	9	   	258.75	DCR|4VULN|2ASPD|1DUR|1CDMG	1CDMG|26ASPD|3DUR|4MLV|567aVULN|6BPWR|8BEXP|9RCR
56	26222 62523	9	   	258.67	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	16CDMG|24ASPD|34aVULN|4BPWR|5TLV|7LHND|8DUR|9RCR
57	26222 42322	9	   	258.65	DCR|4VULN|2ASPD|1TLV|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5TLV|7LHND|8DUST|9RCR
58	26323 34322	9	   	258.65	DCR|4VULN|2ASPD|1DUR|1CDMG	1CDMG|26ASPD|3DUR|4MLV|567aVULN|6BPWR|8DUST|9RCR
59	26221 44347	5	   	258.65	DCR|4VULN|2ASPD|1DUR|1CDMG	1CDMG|24ASPD|3489VULN|4BPWR|5RMIN|6MBVNT|7DUR|aRCR
60	26222 43347	5	   	258.65	DCR|4VULN|2ASPD|1TLV|1CDMG	1CDMG|24ASPD|3489VULN|4BPWR|5TLV|6MBVNT|7BEXP|aRCR
61	25213 33622	1	   	258.53	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	1aCDMG|235DUR|4aFEWX|6DMG|7RCR|8TLV|9aVULN|aBPWR
62	26222 14533	10	   	258.51	DCR|4VULN|2ASPD|1TLV|1CDMG|1SELL	1CDMG|24ASPD|347aVULN|4BPWR|5TLV|6BEXP|8RCR|9SELL
63	11246 31362	8	 * 	258.39	DCR|4VULN|2DUR|1DMG|1SELL	18MLV|2FEWX|378aVULN|48DUR|5SELL|6RCR|8BPWR|9DMG
64	11256 31362	8	 * 	258.39	DCR|4VULN|2DUR|1DMG|1SELL	18MLV|2FEWX|378aVULN|4SELL|58DUR|6RCR|8BPWR|9DMG
65	25243 33622	1	   	258.33	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	1aCDMG|235DUR|4aDUST|6DMG|7RCR|8TLV|9aVULN|aBPWR
66	26251 23122	4	   	258.05	DCR|5VULN|2CDMG|1ASPD	18CDMG|2ASPD|3457aVULN|6RMIN|9RCR
67	26251 43122	6	   	258.05	DCR|5VULN|2CDMG|1ASPD	18CDMG|2ASPD|3467aVULN|5RMIN|9RCR
68	26232 34421	4	   	257.77	DCR|2VULN|3DUR|2CDMG|1TLV|1ASPD	17CDMG|2ASPD|37VULN|4LWND|5LIT|679DUR|7BPWR|8TLV|aRCR
69	26143 34223	9	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	1CDMG|26ASPD|3aDMG|4LHND|567VULN|6BPWR|8RCR|9RMIN
70	26163 34223	9	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	1CDMG|26ASPD|3aDMG|4LWND|567VULN|6BPWR|8RCR|9RMIN
71	26337 72333	9	 * 	257.44	DCR|3DUR|1VULN|2DMG|3ASPD|2CDMG	18CDMG|268ASPD|356DUR|4MBVNT|68BPWR|78DMG|9RCR|aVULN
72	66137 21344	7	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2DMG|3CDMG|4MBVNT|5DUR|6RCR|789aVULN
73	21513 41363	8	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1CDMG|278aVULN|3LEGI|4DUR|5ERES|6RCR|9DMG
74	26221 23125	4	   	257.12	DCR|4VULN|2ASPD|2CDMG	18CDMG|24ASPD|3457VULN|4BPWR|6RMIN|9RCR|aLIT
75	26221 43125	6	   	257.12	DCR|4VULN|2ASPD|2CDMG	18CDMG|24ASPD|3467VULN|4BPWR|5RMIN|9RCR|aLIT
76	26221 63316	4	   	257.12	DCR|4VULN|2ASPD|2CDMG	19CDMG|24ASPD|3456VULN|4BPWR|7LIT|8MLV|aRCR
77	56322 11213	3	   	257.04	DCR|2VULN|3DMG|2DUR|2LIT|1SELL	1SELL|2BELT|35aDMG|45DUR|5aBPWR|6RCR|7aVULN|8aLIT|9RMIN
78	26333 24723	6	 * 	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1aCDMG|27ASPD|3aDUR|4MBVNT|58aVULN|6RCR|9RPLT|aBPWR
79	13622 14361	4	 * 	257.00	DCR|5VULN|3LIT|1AART	189MLV|2AART|34589VULN|689LIT|7RCR|89BPWR|aBEXP
80	13622 14362	4	   	257.00	DCR|5VULN|3LIT|1AART	189MLV|2AART|34589VULN|689LIT|7RCR|89BPWR|aRPLT
81	13622 14363	4	   	257.00	DCR|5VULN|3LIT|1AART	189MLV|2AART|34589VULN|689LIT|7RCR|89BPWR|aCGEN
82	21326 31616	5	   	256.78	DCR|5VULN|1DUR|1CDMG	1CDMG|24789VULN|345ERES|4BPWR|6DUR|aRCR
83	26333 21781	7	   	256.65	DCR|4VULN|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|3DUR|4MBVNT|5789VULN|6RCR|aLIT
84	26236 31123	9	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1CDMG|2ASPD|37aVULN|4LWND|58DUR|6RCR|9TLV
85	26266 31123	9	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1CDMG|2ASPD|37aVULN|4LHND|58DUR|6RCR|9TLV
86	26363 31122	9	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1CDMG|2ASPD|38DUR|4BEXP|57aVULN|6RCR|9TLV
87	26333 21122	9	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1CDMG|2ASPD|38DUR|4MBVNT|57aVULN|6RCR|9TLV
88	26351 31122	9	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1CDMG|2ASPD|38DUR|47aVULN|5DUST|6RCR|9TLV
89	21423 23356	2	   	256.36	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	15CDMG|25aVULN|3TBNT|4AART|5BPWR|68DUR|7ASPD|9RCR
90	21423 23356	1	   	256.36	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	15CDMG|25aVULN|3TBNT|4AART|5BPWR|68DUR|7ASPD|9RCR
91	13622 14161	4	   	256.28	DCR|4VULN|2AART|1DUR|2LIT	19MLV|28AART|3459VULN|69LIT|7RCR|9BPWR|aDUR
92	26222 14523	9	   	256.17	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	1CDMG|24ASPD|347VULN|4BPWR|5TLV|6BEXP|8RCR|9RMIN|aDMG
93	26223 23352	4	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	1CDMG|24ASPD|346VULN|4BPWR|5LHND|7DUR|8BELT|9RCR|aDMG
94	26225 23352	5	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	1CDMG|24ASPD|346VULN|4BPWR|5LWND|7DUR|8BELT|9RCR|aDMG
95	26222 22523	9	   	256.07	DCR|3VULN|2ASPD|2TLV|1DUR|1CDMG	1CDMG|24ASPD|34aVULN|4BPWR|56TLV|7LHND|8DUR|9RCR
96	26222 24522	9	   	256.07	DCR|3VULN|2ASPD|2TLV|1DUR|1CDMG	1CDMG|24ASPD|34aVULN|4BPWR|56TLV|7FEWX|8DUR|9RCR
97	26333 24783	6	   	255.97	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	1CDMG|27ASPD|3DUR|4MBVNT|589VULN|6RCR|aDMG
98	26143 33216	9	 * 	255.76	DCR|3VULN|3ASPD|1DMG|2CDMG	17CDMG|269ASPD|3DMG|4LHND|56aVULN|6BPWR|8RCR
99	26163 33216	9	   	255.76	DCR|3VULN|3ASPD|1DMG|2CDMG	17CDMG|269ASPD|3DMG|4LWND|56aVULN|6BPWR|8RCR
100	21212 43312	3	 * 	255.71	DCR|3VULN|2DUR|1DMG|2CDMG|1SELL	17CDMG|247VULN|3BELT|57DUR|6RPLT|7BPWR|8RCR|9SELL|aDMG
101	66215 13333	6	 * 	255.55	DCR|2VULN|3DMG|3DUR	14aLHND|27aDMG|3aVULN|589DUR|6RCR|aBPWR
102	26363 32243	6	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3DUR|4BEXP|59aVULN|6RCR|7DMG|8AART
103	26333 22243	6	   	255.43	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3DUR|4MBVNT|59aVULN|6RCR|7DMG|8AART
104	26351 32243	6	   	255.43	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3DUR|49aVULN|5DUST|6RCR|7DMG|8AART
105	26333 21663	8	   	255.43	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3DUR|4MBVNT|57aVULN|6RCR|8AART|9DMG
106	21212 43364	3	   	255.20	DCR|3VULN|2DUR|2CDMG|1ASPD	17CDMG|247VULN|3BELT|57DUR|6RPLT|7BPWR|8RCR|9ASPD|aLIT
107	21262 43251	4	   	255.16	DCR|3VULN|3DUR|3CDMG	147CDMG|27aVULN|3BELT|57aDUR|6RPLT|7aBPWR|8LEGI|9RCR
108	26334 25423	10	   	255.10	DCR|3VULN|2DUR|2CDMG|1ASPD	1aCDMG|2ASPD|3aDUR|4MBVNT|5LHND|6RCR|7LIT|89aVULN|aBPWR
109	26221 23124	4	 * 	254.85	DCR|4VULN|3CDMG|2ASPD	18aCDMG|24ASPD|3457VULN|4BPWR|6RMIN|9RCR
110	26221 43124	6	   	254.85	DCR|4VULN|3CDMG|2ASPD	18aCDMG|24ASPD|3467VULN|4BPWR|5RMIN|9RCR
111	63215 12213	9	   	254.85	DCR|3VULN|3DMG|1DUR	149aLHND|2ZMB|39aVULN|5DUR|6RCR|7BEXP|89aDMG|9aBPWR
112	13621 31165	6	   	254.85	DCR|4VULN|2DMG|1AART	1MLV|2AART|3479VULN|56DMG|8RMIN|aRCR
113	13622 41335	4	   	254.85	DCR|4VULN|2DMG|1AART	1MLV|2AART|3457VULN|6CGEN|89DMG|aRCR
114	21225 14121	3	 * 	254.75	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	1aCDMG|25aVULN|3BELT|4DMG|6RCR|7BEXP|8aTLV|9AART|aBPWR
115	21543 22632	7	   	254.65	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	17CDMG|257VULN|3LEGI|4RCVC|67TLV|7BPWR|8RCR|9AART|aDMG
116	11246 31322	9	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	18MLV|2FEWX|378aVULN|48DUR|5SELL|6RCR|8BPWR|9TLV
117	11256 31322	9	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	18MLV|2FEWX|378aVULN|4SELL|58DUR|6RCR|8BPWR|9TLV
118	21122 31331	2	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|24aVULN|3LIT|5BELT|6DUR|7ASPD|8RCR|9DMG
119	21122 31331	1	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|24aVULN|3LIT|5BELT|6DUR|7ASPD|8RCR|9DMG
120	21161 21331	1	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|26aVULN|3LIT|4BELT|5DUR|7ASPD|8RCR|9DMG
121	21161 21331	2	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|26aVULN|3LIT|4BELT|5DUR|7ASPD|8RCR|9DMG
122	21212 11331	3	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|24aVULN|3BELT|5DUR|6LIT|7ASPD|8RCR|9DMG
123	26363 32163	6	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|3DUR|4BEXP|59aVULN|6RCR|7DMG|8LIT
124	26332 51173	4	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|3DUR|4MBVNT|5LIT|6RCR|79aVULN|8DMG
125	26333 22173	6	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|3DUR|4MBVNT|59aVULN|6RCR|7DMG|8LIT
126	26333 25173	7	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|3DUR|4MBVNT|59aVULN|6RCR|7LIT|8DMG
127	26333 26173	6	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|3DUR|4MBVNT|59aVULN|6RCR|7LIT|8DMG
128	21233 22532	1	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|259VULN|35DUR|4BBNT|5BPWR|6LIT|7BEXP|8RCR|aTLV
129	21233 22532	2	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|259VULN|35DUR|4BBNT|5BPWR|6LIT|7BEXP|8RCR|aTLV
130	21463 22532	2	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|259VULN|3TBNT|45DUR|5BPWR|6LIT|7BEXP|8RCR|aTLV
131	21463 22532	1	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|259VULN|3TBNT|45DUR|5BPWR|6LIT|7BEXP|8RCR|aTLV
132	25433 22532	1	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|25DUR|3TBNT|459VULN|5BPWR|6LIT|7BEXP|8RCR|aTLV
133	21642 31313	1	   	253.86	DCR|3VULN|2DUR|2CDMG|1AART	18CDMG|278VULN|3RMIN|4LWND|5LIT|68DUR|8BPWR|9AART|aRCR
134	21642 31313	2	   	253.86	DCR|3VULN|2DUR|2CDMG|1AART	18CDMG|278VULN|3RMIN|4LWND|5LIT|68DUR|8BPWR|9AART|aRCR
135	21515 33314	8	   	253.69	DCR|3VULN|2DUR|1TLV|1CDMG|1SELL	1CDMG|256VULN|3LEGI|46DUR|6BPWR|7LIT|8SELL|9TLV|aRCR
136	63242 12143	9	   	253.58	DCR|3VULN|2DMG|2DUR	1aLHND|2ZMB|38aVULN|45DUR|6RCR|7BEXP|9aDMG|aBPWR
137	63242 12212	9	   	253.58	DCR|3VULN|2DMG|2DUR	19LHND|2ZMB|39aVULN|45DUR|6RCR|7BEXP|89DMG|9BPWR
138	66212 21115	10	   	253.58	DCR|3VULN|2DMG|3ASPD	1479LHND|29DMG|379VULN|567ASPD|79BPWR|8MBVNT|aRCR
139	21513 41323	9	   	253.49	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|278aVULN|3LEGI|4DUR|5ERES|6RCR|9TLV
140	26261 31423	8	   	253.46	DCR|4VULN|2CDMG|2LIT|1ASPD	19CDMG|2ASPD|379aVULN|4LHND|5DUST|6RCR|89LIT|9BPWR
141	26143 33253	9	   	253.17	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV	17CDMG|26ASPD|3aDMG|4LHND|56VULN|6BPWR|8RCR|9TLV
142	26163 33253	9	   	253.17	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV	17CDMG|26ASPD|3aDMG|4LWND|56VULN|6BPWR|8RCR|9TLV
143	26333 45484	10	   	252.84	DCR|3VULN|2DUR|3CDMG|1ASPD	179CDMG|2ASPD|37DUR|4MBVNT|567VULN|7BPWR|8RPLT|aRCR
144	26333 21223	7	   	252.84	DCR|3VULN|2DUR|3CDMG|1ASPD	18aCDMG|2ASPD|3aDUR|4MBVNT|57aVULN|6RCR|9RPLT|aBPWR
145	66123 36213	9	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|26DMG|3CDMG|4MLV|56aVULN|6BPWR|7DUR|8BEXP|9RCR
146	66123 31313	9	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|26DMG|3CDMG|4MLV|56aVULN|6BPWR|7DUST|8DUR|9RCR
147	23611 43126	10	   	252.37	DCR|3VULN|2DMG|2CDMG|1AART	1aCDMG|2LWND|3RCVC|4AART|5aDMG|6RCR|7BELT|89aVULN|aBPWR
148	26221 26522	9	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|34aVULN|4BPWR|5RMIN|6TLV|7MLV|8DUR|9RCR
149	26222 14123	10	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|347VULN|4BPWR|5TLV|6BEXP|8LWND|9RCR|aDUR
150	26222 36523	9	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|34aVULN|4BPWR|5TLV|6CGEN|7MLV|8DUR|9RCR
151	26222 42423	10	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346VULN|4BPWR|5TLV|7LHND|8BEXP|9RCR|aDUR
152	26222 42521	9	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346VULN|4BPWR|5TLV|7LHND|8DUR|9RCR|aFEWX
153	26222 42523	10	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346VULN|4BPWR|5TLV|7LHND|8DUR|9RCR|aRCVC
154	26222 44123	10	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346VULN|4BPWR|5TLV|7FEWX|8LWND|9RCR|aDUR
155	66137 21144	8	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|28DMG|3CDMG|4MBVNT|5DUR|6RCR|79aVULN
156	66143 31313	9	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|26DMG|3CDMG|4ERES|56aVULN|6BPWR|7DUST|8DUR|9RCR
157	21152 33143	2	   	252.30	DCR|4VULN|1DUR|2LIT|1CDMG	1CDMG|247aVULN|34LIT|4BPWR|5BELT|6DUR|8BBNT|9RCR
158	21152 33143	1	   	252.30	DCR|4VULN|1DUR|2LIT|1CDMG	1CDMG|247aVULN|34LIT|4BPWR|5BELT|6DUR|8BBNT|9RCR
