0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12415 15133	4	 * 	266.26	DCR|4VULN|3DMG|1AART	1DUST|257DMG|358aVULN|4AART|5BPWR|6ASPD|9RCR
16	24522 32234	6	 * 	251.79	DCR|2VULN|1TLV|3LIT|1DMG|2CDMG|1DUR	157LIT|2LHND|37CDMG|47VULN|6RCR|7BPWR|8DMG|9DUR|aTLV
17	21335 11526	1	 * 	251.71	DCR|3VULN|2DMG|3LIT|2CDMG	16aLIT|2aCDMG|349VULN|56FEWX|6aBPWR|7aDMG|8RCR
18	21334 31526	1	   	251.61	DCR|3VULN|2DMG|3LIT|2CDMG	15aLIT|2aCDMG|349VULN|6FEWX|7aDMG|8RCR|aBPWR
19	61336 23631	10	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ZMB|2CDMG|3TLV|4aVULN|5DUR|67DMG|8RCR|9LIT
20	41511 54123	10	 * 	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1RMIN|29DMG|39TLV|4MBVNT|5CDMG|6RCR|7CGEN|89VULN|9BPWR|aDUR
21	41511 28442	5	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1RMIN|28DMG|38TLV|4MBVNT|5CDMG|6DUR|78VULN|8BPWR|9RCR|aFEWX
22	41511 28443	5	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1RMIN|28DMG|38TLV|4MBVNT|5CDMG|6DUR|78VULN|8BPWR|9RCR|aLHND
23	41511 28444	5	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1RMIN|28DMG|38TLV|4MBVNT|5CDMG|6DUR|78VULN|8BPWR|9RCR|aZMB
24	51516 13211	1	 * 	251.14	DCR|3VULN|2DUR|1TLV|1DMG	159BEXP|2BBNT|3TBNT|459VULN|59BPWR|6TLV|7DMG|89DUR|aRCR
25	41332 61336	9	 * 	251.12	DCR|3VULN|3DMG|3ASPD	1RMIN|289DMG|389ASPD|4DUST|5FEWX|689VULN|7BELT|89BPWR|aRCR
26	31325 43623	3	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|46DMG|58VULN|7DUR|aRCR
27	41511 82123	10	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1RMIN|29DMG|39TLV|4MBVNT|5CDMG|6ERES|7RCR|89VULN|9BPWR|aDUR
28	31322 55613	3	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1CGEN|2CDMG|36TLV|45DMG|78VULN|9DUR|aRCR
29	31336 23623	7	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|48VULN|5DUR|67DMG|aRCR
30	41511 28441	5	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1RMIN|28DMG|38TLV|4MBVNT|5CDMG|6DUR|78VULN|8BPWR|9RCR|aERES
31	41172 42524	6	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1RMIN|2DMG|3MBVNT|49DUR|56aVULN|7TLV|8RCR
32	11516 13211	1	   	250.84	DCR|3VULN|2DUR|1TLV|1DMG	159DUST|2BBNT|3TBNT|459VULN|59BPWR|6TLV|7DMG|89DUR|aRCR
33	41134 14172	9	 * 	250.73	DCR|3VULN|2DMG|2DUR	1RMIN|29DMG|3MBVNT|4ASPD|5DLOT|689VULN|79DUR|9BPWR|aRCR
34	41314 14172	9	   	250.73	DCR|3VULN|2DMG|2DUR	1RMIN|29DMG|3ASPD|4MBVNT|5DLOT|689VULN|79DUR|9BPWR|aRCR
35	31336 22651	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CGEN|2CDMG|3TLV|478VULN|5DUR|6DMG|9RCR|aFEWX
36	31336 56233	9	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	19CGEN|2CDMG|3TLV|467VULN|5DUR|8DMG|aRCR
37	31336 22652	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1NUKE	1CGEN|2CDMG|3TLV|478VULN|5DUR|6DMG|9RCR|aNUKE
38	21561 32161	5	 * 	249.72	ACR|3VULN|3DMG|1TLV|3LIT	189LIT|2ASPD|3BELT|4RCR|5DMSP|689VULN|789DMG|89BPWR|aTLV
39	61361 12315	5	 * 	249.48	DCR|2VULN|2TLV|2DUR|2CDMG|2LIT	1aZMB|26CDMG|3aTLV|48DUR|56LIT|6aBPWR|7RCR|9aVULN
40	31336 23254	8	 * 	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1CGEN|28CDMG|3TLV|4aVULN|5DUR|67DMG|9RCR
41	16543 22323	7	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	19DUST|2AART|39TLV|47aVULN|5CGEN|69DUR|8RCR|9BPWR
42	55243 21331	4	   	248.69	DCR|4VULN|3DMG	138BEXP|235LWND|38aBPWR|48aDMG|6RCR|789aVULN
43	36411 31623	7	 * 	248.07	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1CGEN|24DUR|38VULN|5CDMG|6DMG|79TLV|aRCR
44	41136 42123	3	   	248.05	DCR|4VULN|3DMG|1SELL	1RMIN|268DMG|3MBVNT|468aVULN|5SELL|68BPWR|7TBNT|9RCR
45	41136 42154	3	   	248.05	DCR|4VULN|3DMG|1SELL	1RMIN|268DMG|3MBVNT|4689VULN|5SELL|68BPWR|7TBNT|aRCR
46	21314 31311	3	   	247.80	DCR|3VULN|2DMG|3LIT|2ASPD	178LIT|23ASPD|457VULN|67DMG|7BPWR|9RCR|aMLV
47	21314 31314	3	   	247.80	DCR|3VULN|2DMG|3LIT|2ASPD	178LIT|23ASPD|457VULN|67DMG|7BPWR|9RCR|aBEXP
48	21314 31316	3	   	247.80	DCR|3VULN|2DMG|3LIT|2ASPD	178LIT|23ASPD|457VULN|67DMG|7BPWR|9RCR|aCGEN
49	21314 31532	3	   	247.80	DCR|3VULN|2DMG|3LIT|2ASPD	179LIT|23ASPD|457VULN|67DMG|7BPWR|8RPLT|aRCR
50	31336 51513	10	   	247.78	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	1CGEN|2CDMG|37TLV|46aVULN|5DUR|8AART|9RCR
51	21314 31312	3	   	247.70	DCR|3VULN|2DMG|3LIT|2ASPD	178LIT|23ASPD|457VULN|67DMG|7BPWR|9RCR|aLEGI
52	21314 31324	3	   	247.70	DCR|3VULN|2DMG|3LIT|2ASPD	178LIT|23ASPD|457VULN|67DMG|7BPWR|9BBNT|aRCR
53	52432 63221	6	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	1BEXP|29DMG|356VULN|4ZMB|7RCR|8AART|aTLV
54	21463 11613	1	   	247.30	DCR|2VULN|3DMG|1DUR|2LIT|1CDMG|1NUKE	16LIT|2CDMG|3NUKE|48VULN|567DMG|6BPWR|9RCR|aDUR
55	41158 42123	4	 * 	247.20	DCR|3VULN|3DMG|2CDMG	1RMIN|248DMG|3MBVNT|58CDMG|68aVULN|7TBNT|8BPWR|9RCR
56	21335 33551	1	   	246.65	DCR|3VULN|1TLV|1DUR|1CDMG	1LIT|2CDMG|349VULN|5FEWX|6TLV|7DUR|8RCR|aASPD
57	31334 23623	4	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|458VULN|6ASPD|7DUR|aRCR
58	26223 43226	1	 * 	246.01	DCR|3VULN|1TLV|3LIT|2ASPD|1AART	189LIT|2AART|3TLV|4RPLT|58aVULN|6RCR|78ASPD|8BPWR
59	26223 45213	1	   	245.89	DCR|2VULN|2DMG|2TLV|2LIT|1AART	18LIT|2AART|3aTLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|9BEXP
60	12415 15131	4	   	245.21	DCR|3VULN|3DMG|1AART	1DUST|257DMG|358VULN|4AART|5BPWR|6ASPD|9RCR|aRPLT
61	12415 15132	4	   	245.21	DCR|3VULN|3DMG|1AART	1DUST|257DMG|358VULN|4AART|5BPWR|6ASPD|9RCR|aCGEN
62	21354 31311	1	   	245.06	DCR|3VULN|2DMG|3LIT|1CDMG|1SELL	178LIT|2CDMG|357VULN|4SELL|67DMG|7BPWR|9RCR|aMLV
63	21354 31314	1	   	245.06	DCR|3VULN|2DMG|3LIT|1CDMG|1SELL	178LIT|2CDMG|357VULN|4SELL|67DMG|7BPWR|9RCR|aBEXP
64	21354 31316	1	   	245.06	DCR|3VULN|2DMG|3LIT|1CDMG|1SELL	178LIT|2CDMG|357VULN|4SELL|67DMG|7BPWR|9RCR|aCGEN
65	21354 31312	1	   	244.96	DCR|3VULN|2DMG|3LIT|1CDMG|1SELL	178LIT|2CDMG|357VULN|4SELL|67DMG|7BPWR|9RCR|aLEGI
66	21354 31324	1	   	244.96	DCR|3VULN|2DMG|3LIT|1CDMG|1SELL	178LIT|2CDMG|357VULN|4SELL|67DMG|7BPWR|9BBNT|aRCR
67	12525 42333	8	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|2DMG|3CDMG|4BEXP|567aVULN|8RCR|9DUR
68	41532 25331	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	14RMIN|2DMG|3TLV|579VULN|6LIT|8DUR|aRCR
69	31333 23654	4	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1CGEN|25CDMG|3TLV|48aVULN|6ASPD|7DUR|9RCR
70	12444 12112	9	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2DMG|359VULN|4LHND|6RCR|7LIT|8TLV|aDUR
71	31336 56313	9	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	1CGEN|2CDMG|3TLV|467VULN|58DUR|9ERES|aRCR
72	31366 62213	10	   	244.18	DCR|2VULN|2TLV|2DUR|2CDMG|1AART	17CGEN|26CDMG|37TLV|47DUR|5AART|7BPWR|8aVULN|9RCR
73	41174 28431	8	 * 	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1RMIN|28DMG|3MBVNT|48DUR|5MLV|6DUST|78VULN|8BPWR|9TLV|aRCR
74	36132 52422	1	   	243.49	DCR|3VULN|3DMG|1DUR	1CGEN|26aDMG|3BELT|479VULN|5DUR|8RCR
75	12545 22322	8	   	243.41	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DUST|2DMG|3CDMG|457VULN|6LWND|8RCR|9AART|aTLV
76	41136 42121	3	   	243.25	DCR|3VULN|3DMG|1DUR|1SELL	1RMIN|268DMG|3MBVNT|468VULN|5SELL|68BPWR|7TBNT|9RCR|aDUR
77	41114 56131	10	 * 	243.14	DCR|2VULN|3DMG|2DUR|1AART	1RMIN|27aDMG|3MBVNT|4AART|5RPLT|6aDUR|8RCR|9aVULN|aBPWR
78	61334 32135	10	 * 	243.05	DCR|4VULN|1TLV|1CDMG|1NUKE	1ZMB|2CDMG|3TLV|489aVULN|5ASPD|6NUKE|7RCR
79	31336 23651	7	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CGEN|2CDMG|3TLV|48VULN|5DUR|67DMG|9RCR|aFEWX
80	41173 18222	7	 * 	242.96	DCR|3DMG|3DUR|1VULN|1TLV	1RMIN|256DMG|3MBVNT|46aDUR|6BPWR|7RCR|8VULN|9TLV
81	31336 23652	7	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1NUKE	1CGEN|2CDMG|3TLV|48VULN|5DUR|67DMG|9RCR|aNUKE
82	41432 25221	7	   	242.89	DCR|3VULN|2DMG|1DUR|2LIT	14RMIN|28DMG|3CGEN|578VULN|68LIT|8BPWR|9DUR|aRCR
83	26223 45221	1	   	242.82	DCR|2VULN|2DMG|1TLV|3LIT|1AART	189LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|aLWND
84	26223 45223	1	   	242.82	DCR|2VULN|2DMG|1TLV|3LIT|1AART	189LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|aBEXP
85	41632 25221	7	   	242.79	DCR|3VULN|2DMG|1DUR|2LIT	14RMIN|28DMG|3ERES|578VULN|68LIT|8BPWR|9DUR|aRCR
86	21314 31643	3	   	242.69	DCR|3VULN|2DMG|2ASPD|2LIT	17LIT|23ASPD|457VULN|67DMG|7BPWR|8DUST|9RCR|aLWND
87	21314 31642	3	   	242.59	DCR|3VULN|2DMG|2ASPD|2LIT	17LIT|23ASPD|457VULN|67DMG|7BPWR|8DUST|9RCR|aLEGI
88	61334 43132	9	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1ZMB|2CDMG|3TLV|489VULN|5ASPD|6RCR|7DMG|aRPLT
89	61334 43133	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1ZMB|2CDMG|3TLV|489VULN|5ASPD|6RCR|7DMG|aBEXP
90	61334 32136	10	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG|1NUKE	1ZMB|2CDMG|3TLV|489VULN|5ASPD|6NUKE|7RCR|aDMG
91	61334 43132	10	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1ZMB|2CDMG|3TLV|489VULN|5ASPD|6RCR|7DMG|aDLOT
92	61334 43133	9	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1ZMB|2CDMG|3TLV|489VULN|5ASPD|6RCR|7DMG|aBBNT
93	31336 21551	7	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1CGEN|2CDMG|3TLV|49VULN|5DUR|6DMG|7LIT|8RCR|aASPD
94	61336 22631	9	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ZMB|2CDMG|3TLV|47VULN|5DUR|6DMG|8RCR|9LIT|aASPD
95	31245 22623	7	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	1CGEN|2CDMG|3FEWX|478VULN|59TLV|6DMG|aRCR
96	61332 31635	10	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	1ZMB|2CDMG|37TLV|49aVULN|5RMIN|6DMG|8RCR
97	61334 43131	9	   	241.91	DCR|3VULN|1TLV|1DMG|1CDMG|1SELL	1ZMB|2CDMG|3TLV|489VULN|5ASPD|6RCR|7DMG|aSELL
98	36132 52433	1	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1CGEN|26DMG|3BELT|47aVULN|5DUR|8RCR|9CDMG
99	26212 65233	8	   	241.40	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	18LIT|2LWND|38DUR|4TLV|5DMG|6RPLT|78VULN|8BPWR|9BELT|aRCR
100	26212 65233	9	   	241.40	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	18LIT|2LWND|38DUR|4TLV|5DMG|6RPLT|78VULN|8BPWR|9BELT|aRCR
101	12525 43333	8	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|27DMG|3CDMG|4BEXP|56aVULN|8RCR|9DUR
102	12525 62333	8	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|26DMG|3CDMG|4BEXP|57aVULN|8RCR|9DUR
103	26223 43222	1	   	241.38	DCR|2VULN|1TLV|3LIT|1DMG|2ASPD|1AART	189LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78ASPD|8BPWR|aDMG
104	41512 46342	10	 * 	241.15	DCR|4VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|4MBVNT|5FEWX|689aVULN|7RCR
105	41136 42128	3	   	240.65	DCR|3VULN|3DMG|1CDMG|1SELL	1RMIN|268DMG|3MBVNT|468VULN|5SELL|68BPWR|7TBNT|9RCR|aCDMG
106	16543 22333	7	   	240.53	DCR|3VULN|2DUR|1TLV|1AART	1DUST|2AART|3TLV|47aVULN|5CGEN|69DUR|8RCR
107	24522 31233	10	 * 	240.17	DCR|3VULN|1TLV|3LIT|2CDMG	158LIT|2LHND|38CDMG|48aVULN|6RCR|7RCVC|8BPWR|9TLV
108	31333 36254	8	   	240.17	DCR|3VULN|1TLV|1DMG|2CDMG	1CGEN|26CDMG|3TLV|47aVULN|5LHND|8DMG|9RCR
109	21244 31315	3	   	240.13	DCR|2VULN|1TLV|1DMG|2CDMG|2ASPD	1LIT|2aASPD|39ZMB|4DMG|5aVULN|6TLV|7RCR|8aCDMG|aBPWR
110	12535 36443	3	   	240.07	DCR|3VULN|1TLV|1DMG|2CDMG	18DUST|2DMG|38CDMG|4TLV|5CGEN|68aVULN|7MBVNT|8BPWR|9RCR
111	61336 22621	10	   	240.03	DCR|2VULN|1TLV|2CDMG|1DMG|1DUR	1ZMB|29CDMG|3TLV|47VULN|5DUR|6DMG|8RCR|aLIT
112	61336 22622	10	   	240.03	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	1ZMB|29CDMG|3TLV|47VULN|5DUR|6DMG|8RCR|aASPD
113	61336 22631	8	   	239.99	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1ZMB|2CDMG|3TLV|47VULN|59DUR|6DMG|8RCR|aFEWX
114	41331 31115	2	   	239.96	DCR|3VULN|2DMG|2CDMG	1RMIN|28DMG|3LHND|4TBNT|578VULN|68CDMG|8BPWR|9LIT|aRCR
115	41331 31115	1	   	239.96	DCR|3VULN|2DMG|2CDMG	1RMIN|28DMG|3LHND|4TBNT|578VULN|68CDMG|8BPWR|9LIT|aRCR
116	41341 31115	1	   	239.96	DCR|3VULN|2DMG|2CDMG	1RMIN|28DMG|3LHND|4BBNT|578VULN|68CDMG|8BPWR|9LIT|aRCR
117	41341 31115	2	   	239.96	DCR|3VULN|2DMG|2CDMG	1RMIN|28DMG|3LHND|4BBNT|578VULN|68CDMG|8BPWR|9LIT|aRCR
118	31336 52235	5	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CGEN|2CDMG|3TLV|4aVULN|59DUR|6RCR|7DMG|8ERES
119	31336 52235	4	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CGEN|2CDMG|3TLV|4aVULN|59DUR|6RCR|7DMG|8ERES
120	61336 22632	8	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1NUKE	1ZMB|2CDMG|3TLV|47VULN|59DUR|6DMG|8RCR|aNUKE
121	31336 22223	8	 * 	239.80	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR	1CGEN|28CDMG|39TLV|47VULN|5DUR|6DMG|aRCR
122	31336 53513	10	   	239.70	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	17CGEN|2CDMG|3TLV|46aVULN|5DUR|8AART|9RCR
123	42652 32123	5	 * 	239.57	DCR|2VULN|3DUR|1TLV|1DMG|1NUKE	1RMIN|2LWND|3NUKE|469DUR|56VULN|6BPWR|7TLV|8RCR|aDMG
124	43162 32126	5	   	239.57	DCR|2VULN|3DUR|1TLV|1DMG	1RMIN|2MLV|3MBVNT|469DUR|56VULN|6BPWR|7TLV|8RCR|aDMG
125	52432 22124	5	   	239.57	DCR|2VULN|3DUR|1TLV|1DMG	1BEXP|2DMG|35VULN|4ZMB|69aDUR|7TLV|8RCR
126	52432 22124	3	   	239.57	DCR|2VULN|3DUR|1TLV|1DMG	1BEXP|2DMG|34VULN|5MLV|69aDUR|7TLV|8RCR
127	12432 22124	3	   	239.47	DCR|2VULN|3DUR|1TLV|1DMG	1DUST|2DMG|34VULN|5MLV|69aDUR|7TLV|8RCR
128	21313 31315	5	   	239.36	DCR|2VULN|2DMG|3LIT|2ASPD|1DUR	178LIT|23ASPD|4RCVC|57VULN|67DMG|7BPWR|9RCR|aDUR
129	23526 22113	1	   	239.30	DCR|2VULN|2DUR|1TLV|2LIT|1AART	18LIT|2BELT|3AART|48VULN|5CGEN|6ASPD|78DUR|8BPWR|9RCR|aTLV
130	32414 12214	10	   	239.28	DCR|3VULN|2DUR|1TLV	1CGEN|2BEXP|359VULN|4aDUR|6RCR|7LIT|8TLV
131	41434 33121	2	 * 	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	1RMIN|28DMG|3TBNT|48VULN|5RCVC|68aCDMG|7RCR|8BPWR|9TLV
132	41434 33121	1	   	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	1RMIN|28DMG|3TBNT|48VULN|5RCVC|68aCDMG|7RCR|8BPWR|9TLV
133	41436 33121	2	   	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	15RMIN|28DMG|3TBNT|48VULN|68aCDMG|7RCR|8BPWR|9TLV
134	41436 33121	1	   	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	15RMIN|28DMG|3TBNT|48VULN|68aCDMG|7RCR|8BPWR|9TLV
135	41634 33121	2	   	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	1RMIN|28DMG|3BBNT|48VULN|5RCVC|68aCDMG|7RCR|8BPWR|9TLV
136	41634 33121	1	   	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	1RMIN|28DMG|3BBNT|48VULN|5RCVC|68aCDMG|7RCR|8BPWR|9TLV
137	41636 33121	2	   	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	15RMIN|28DMG|3BBNT|48VULN|68aCDMG|7RCR|8BPWR|9TLV
138	41636 33121	1	   	239.20	DCR|2VULN|2DMG|1TLV|3CDMG	15RMIN|28DMG|3BBNT|48VULN|68aCDMG|7RCR|8BPWR|9TLV
139	52352 32122	5	   	239.11	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1BEXP|26DMG|3MLV|4LHND|56VULN|6BPWR|7TLV|8RCR|9DUR|aAART
140	52356 32122	4	   	239.11	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1BEXP|26DMG|3MLV|4LHND|56VULN|6BPWR|7TLV|8RCR|9DUR|aAART
141	25263 16221	2	   	239.08	DCR|2VULN|2TLV|2DUR|2LIT|1AART	17LIT|2FEWX|3RCVC|47VULN|57DUR|6AART|7BPWR|8aTLV|9RCR
142	41112 34712	4	   	239.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1RMIN|26DMG|3MBVNT|4AART|56VULN|6BPWR|7DUR|8TLV|9LWND|aRCR
143	41112 34722	4	   	239.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1RMIN|26DMG|3MBVNT|4AART|56VULN|6BPWR|7DUR|8TLV|9BEXP|aRCR
144	41112 34782	4	   	239.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1RMIN|26DMG|3MBVNT|4AART|56VULN|6BPWR|7DUR|8TLV|9LHND|aRCR
145	12352 32122	5	   	239.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|26DMG|3MLV|4LHND|56VULN|6BPWR|7TLV|8RCR|9DUR|aAART
146	12356 32122	4	   	239.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|26DMG|3MLV|4LHND|56VULN|6BPWR|7TLV|8RCR|9DUR|aAART
147	41158 42121	4	   	238.76	DCR|2VULN|3DMG|2CDMG|1DUR	1RMIN|248DMG|3MBVNT|58CDMG|68VULN|7TBNT|8BPWR|9RCR|aDUR
148	23525 22633	1	   	238.68	DCR|3VULN|2CDMG|1DMG|2LIT|1AART	18LIT|27BELT|3AART|489VULN|58CDMG|6RCR|8BPWR|aDMG
149	21335 33552	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1LIT|2CDMG|349VULN|5FEWX|6TLV|7DUR|8RCR|aRCVC
150	21335 33553	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1LIT|2CDMG|349VULN|5FEWX|6TLV|7DUR|8RCR|aBEXP
151	31331 23654	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2CDMG|3TLV|48aVULN|5ASPD|6RCVC|7DUR|9RCR
152	31334 23651	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2CDMG|3TLV|458VULN|6ASPD|7DUR|9RCR|aFEWX
153	32414 12215	9	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2BEXP|359VULN|4DUR|6RCR|7LIT|8TLV|aCDMG
154	21331 45513	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1LIT|2CDMG|346VULN|5RMIN|7DMSP|8RCR|9TLV|aDUR
155	31334 26613	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	17CGEN|2CDMG|3TLV|458VULN|6ASPD|9DUR|aRCR
156	31334 23652	4	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG|1NUKE	1CGEN|2CDMG|3TLV|458VULN|6ASPD|7DUR|9RCR|aNUKE
157	31334 13623	4	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|458VULN|6MLV|7DUR|aRCR
158	61332 52623	7	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	1ZMB|2CDMG|39TLV|478VULN|5RMIN|6DUR|aRCR
159	61334 13623	4	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	1ZMB|2CDMG|39TLV|458VULN|6MLV|7DUR|aRCR
160	31336 52623	7	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|468VULN|5DUR|7ZMB|aRCR
