0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12416 21413	4	 * 	276.50	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|24BEXP|3489VULN|48BPWR|5TBNT|68DMG|7RCR|aDUR
43	32621 11116	10	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	13DUR|2AART|3BPWR|47aVULN|5LWND|6CDMG|8DMG|9RCR
44	32622 11116	10	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	13DUR|2AART|3BPWR|47aVULN|5BEXP|6CDMG|8DMG|9RCR
45	15325 62323	7	   	259.01	DCR|3VULN|2DUR|3LIT|1CDMG|1AART	127LIT|27BPWR|3LEGI|467VULN|57DUR|8RCR|9CDMG|aAART
46	32111 11112	10	   	259.01	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1aDUR|2AART|3DUST|457VULN|6CDMG|8DMG|9RCR
47	36412 11241	6	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	1DUR|24LIT|3478VULN|4BPWR|5CGEN|6DUST|9DMG|aRCR
48	32625 12214	10	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	135DUR|2AART|3BPWR|478VULN|6RPLT|9RCR|aDMG
49	36413 21241	6	   	258.61	DCR|4VULN|1DMG|1DUR|2LIT	1DUR|24LIT|3478VULN|4BPWR|5DUST|6ERES|9DMG|aRCR
50	32624 11313	10	 * 	258.58	DCR|3VULN|3DUR|2CDMG|1AART	138DUR|2AART|3aBPWR|47aVULN|5MBVNT|6aCDMG|9RCR
51	32624 18213	10	   	258.58	DCR|3VULN|3DUR|2CDMG|1AART	137DUR|2AART|3aBPWR|48aVULN|5MBVNT|6aCDMG|9RCR
52	36433 31413	3	 * 	258.58	DCR|3VULN|3DUR|2ASPD	18aDUR|2LIT|389VULN|48ASPD|5BBNT|6RCVC|7RCR|8BPWR
53	35523 32253	6	 * 	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2RCVC|3LWND|4LHND|5689VULN|6BPWR|7RCR|aDMG
54	35523 35233	10	   	258.54	DCR|4VULN|2DUR|1DMG	16DUR|2RCVC|3LWND|4LHND|567aVULN|6BPWR|8RCR|9DMG
55	36412 52231	4	   	257.94	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	16DUR|24LIT|348VULN|4BPWR|5LWND|7ASPD|9TLV|aRCR
56	15325 52231	6	   	257.84	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	12LIT|26BPWR|3LEGI|468VULN|56DUR|7ASPD|9TLV|aRCR
57	11325 52212	7	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8CGEN|9RCR|aCDMG
58	11325 52412	7	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8MLV|9RCR|aCDMG
59	31312 41254	5	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	13DUR|23ERES|3BPWR|4LIT|578VULN|6RCR|9CDMG|aDMG
60	12413 52523	7	 * 	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	19LIT|24BEXP|349VULN|49BPWR|5DUST|6aCDMG|79DMG|8RCR
61	36411 22321	4	   	257.50	DCR|4VULN|3LIT|1DUR|1CDMG	1DUR|245LIT|345aVULN|45BPWR|6BEXP|7RCVC|8RCR|9CDMG
62	26131 37463	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1RPLT|2DUR|3567VULN|4MBVNT|8DMG|9RCR|aCDMG
63	15331 52312	2	 * 	257.23	DCR|4VULN|3LIT|1DMG|1AART	126LIT|26BPWR|3BELT|4AART|569aVULN|7DMG|8RCR
64	32211 42144	7	 * 	257.22	ACR|4VULN|2DUR|2ASPD|1DMG|1AART	18DUR|2AART|3RCR|458aVULN|6RMIN|78ASPD|8BPWR|9DMG
65	32211 22316	8	   	257.22	ACR|4VULN|2DUR|2ASPD|1DMG|1AART	1aDUR|2AART|3RCR|456aVULN|7CGEN|8DMG|9aASPD|aBPWR
66	32211 22346	9	   	257.22	ACR|4VULN|2DUR|2ASPD|1DMG|1AART	1aDUR|2AART|3RCR|456aVULN|7CGEN|8DMG|9aASPD|aBPWR
67	32211 22516	6	   	257.22	ACR|4VULN|2DUR|2ASPD|1DMG|1AART	1aDUR|2AART|3RCR|456aVULN|7DMG|8CGEN|9aASPD|aBPWR
68	32211 52516	5	   	257.22	ACR|4VULN|2DUR|2ASPD|1DMG|1AART	1aDUR|2AART|3RCR|456aVULN|7DMG|8CGEN|9aASPD|aBPWR
69	32532 32226	8	 * 	257.08	DCR|3VULN|3DUR|2TLV|1AART|1SELL	189DUR|2AART|3LIT|48TLV|5SELL|678VULN|8BPWR|aRCR
70	33532 32223	8	 * 	257.08	DCR|3VULN|3DUR|2TLV|1SELL	189DUR|2DLOT|3LIT|48TLV|5SELL|678VULN|8BPWR|aRCR
71	36132 32226	8	 * 	257.08	DCR|3VULN|3DUR|2TLV|1AART|1SELL	189DUR|2LIT|3AART|48TLV|5SELL|678VULN|8BPWR|aRCR
72	36411 26211	8	 * 	256.89	DCR|3VULN|2DUR|3CDMG|2LIT	17DUR|24LIT|347VULN|47BPWR|5RCVC|679CDMG|8FEWX|aRCR
73	36411 26311	7	   	256.89	DCR|3VULN|2DUR|3CDMG|2LIT	17DUR|24LIT|347VULN|47BPWR|5RCVC|679CDMG|8BEXP|aRCR
74	13413 61241	4	   	256.67	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LIT|2ERES|3ASPD|4DUR|5TLV|678VULN|9DMG|aRCR
75	26154 21221	10	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|27DUR|37VULN|4ERES|5TLV|67DMG|7BPWR|8BEXP|9RCR|aCDMG
76	26154 21321	10	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|27DUR|37VULN|4ERES|5TLV|67DMG|7BPWR|8DUST|9RCR|aCDMG
77	33115 66331	7	   	256.36	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	17DUR|2DLOT|37DUST|467VULN|5AART|7BPWR|8DMG|9ASPD|aRCR
78	26154 21223	9	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1RPLT|27aDUR|37VULN|4ERES|5TLV|67DMG|7BPWR|8BEXP|9RCR
79	26154 21323	9	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	1RPLT|27aDUR|37VULN|4ERES|5TLV|67DMG|7BPWR|8DUST|9RCR
80	32111 21151	6	   	255.91	DCR|4VULN|2DUR|2AART	18DUR|29AART|3DUST|4568VULN|78FEWX|8BPWR|aRCR
81	32111 23151	7	   	255.91	DCR|4VULN|2DUR|2AART	18DUR|29AART|3DUST|4568VULN|78BEXP|8BPWR|aRCR
82	32111 26151	7	   	255.91	DCR|4VULN|2DUR|2AART	18DUR|29AART|3DUST|4568VULN|78FEWX|8BPWR|aRCR
83	32111 51151	5	   	255.91	DCR|4VULN|2DUR|2AART	18DUR|29AART|3DUST|4568VULN|78FEWX|8BPWR|aRCR
84	36411 22362	4	 * 	255.86	DCR|3VULN|2DUR|3LIT|1DMG	1aDUR|245LIT|345VULN|45BPWR|6BEXP|7RCVC|8RCR|9DMG
85	26131 22518	9	 * 	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1RPLT|29DUR|359VULN|4MBVNT|6DMG|7LWND|89CDMG|9BPWR|aRCR
86	32211 21144	6	 * 	255.54	ACR|5VULN|2DUR|1DMG|1AART	18DUR|2AART|3RCR|4568aVULN|78FEWX|8BPWR|9DMG
87	32211 23144	7	   	255.54	ACR|5VULN|2DUR|1DMG|1AART	18DUR|2AART|3RCR|4568aVULN|78BEXP|8BPWR|9DMG
88	32211 23144	6	   	255.54	ACR|5VULN|2DUR|1DMG|1AART	18DUR|2AART|3RCR|4568aVULN|78LWND|8BPWR|9DMG
89	32211 26144	7	   	255.54	ACR|5VULN|2DUR|1DMG|1AART	18DUR|2AART|3RCR|4568aVULN|78FEWX|8BPWR|9DMG
90	32211 51144	5	   	255.54	ACR|5VULN|2DUR|1DMG|1AART	18DUR|2AART|3RCR|4568aVULN|78FEWX|8BPWR|9DMG
91	32211 53144	5	   	255.54	ACR|5VULN|2DUR|1DMG|1AART	18DUR|2AART|3RCR|4568aVULN|78LWND|8BPWR|9DMG
92	42126 11325	8	   	255.49	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	19MLV|2AART|3TLV|479VULN|5FEWX|6CDMG|89DUR|9BPWR|aRCR
93	32211 22333	6	   	255.34	ACR|5VULN|2DUR|1DMG|1AART	1aDUR|2AART|3RCR|45689VULN|7DMG
94	32211 52333	5	   	255.34	ACR|5VULN|2DUR|1DMG|1AART	1aDUR|2AART|3RCR|45689VULN|7DMG
95	36415 23313	6	   	255.34	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD	15DUR|24LIT|349VULN|4BPWR|6CDMG|7ASPD|8BELT|aRCR
96	11325 52241	6	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1LIT|2DMSP|3LEGI|468VULN|56DUR|6BPWR|7ASPD|9DMG|aRCR
97	32211 22363	6	 * 	255.06	ACR|4VULN|2DMG|1TLV|1DUR|1AART	1DUR|2AART|3RCR|4568VULN|79DMG|aTLV
98	32211 52363	5	   	255.06	ACR|4VULN|2DMG|1TLV|1DUR|1AART	1DUR|2AART|3RCR|4568VULN|79DMG|aTLV
99	43434 14412	10	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1MLV|2MBVNT|367VULN|46DMG|5BELT|6BPWR|8TLV|9RCR|aDUR
100	21624 21221	9	   	255.04	DCR|3VULN|2DMG|2AART|2LIT	1RPLT|28LIT|34AART|568VULN|78DMG|8BPWR|9BEXP|aRCR
101	21624 21231	9	   	255.04	DCR|3VULN|2DMG|2AART|2LIT	1RPLT|28LIT|34AART|568VULN|78DMG|8BPWR|9FEWX|aRCR
102	21624 21241	8	   	255.04	DCR|3VULN|2DMG|2AART|2LIT	1RPLT|28LIT|34AART|568VULN|78DMG|8BPWR|9LWND|aRCR
103	11325 52213	7	   	255.02	DCR|3VULN|3DUR|2LIT|1ASPD	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8CGEN|9RCR|aASPD
104	11325 52413	7	   	255.02	DCR|3VULN|3DUR|2LIT|1ASPD	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8MLV|9RCR|aASPD
105	43436 64433	10	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1MLV|2MBVNT|39aVULN|45DMG|6RCR|7TLV|8DUR
106	36411 22361	4	   	254.92	DCR|3VULN|3LIT|1DMG|1DUR|1CDMG	1DUR|245LIT|345VULN|45BPWR|6BEXP|7RCVC|8RCR|9DMG|aCDMG
107	32242 56322	4	 * 	254.87	ACR|3VULN|2DMG|2DUR|2AART|1TLV	19DUR|2aAART|3RCR|4TLV|59DMG|679VULN|8TBNT|9BPWR
108	32244 24322	7	   	254.87	ACR|3VULN|2DMG|2DUR|2AART|1TLV	19DUR|2aAART|3RCR|4TLV|59DMG|679VULN|8TBNT|9BPWR
109	32244 26322	6	   	254.87	ACR|3VULN|2DMG|2DUR|2AART|1TLV	19DUR|2aAART|3RCR|4TLV|59DMG|679VULN|8TBNT|9BPWR
110	32625 12212	10	   	254.87	DCR|3VULN|3DUR|1TLV|1AART	135DUR|2AART|3BPWR|478VULN|6RPLT|9RCR|aTLV
111	32625 16212	10	   	254.87	DCR|3VULN|3DUR|1TLV|1AART	135DUR|2AART|37BPWR|478VULN|6RPLT|9RCR|aTLV
112	21611 52231	8	   	254.85	DCR|3VULN|2ASPD|2AART|1DUR|2LIT	1RPLT|28LIT|36AART|48ASPD|578VULN|8BPWR|9DUR|aRCR
113	21624 52231	8	   	254.85	DCR|3VULN|2ASPD|2AART|1DUR|2LIT	1RPLT|28LIT|34AART|578VULN|68ASPD|8BPWR|9DUR|aRCR
114	26131 37463	9	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1RPLT|2DUR|3567VULN|4MBVNT|8DMG|9RCR|aASPD
115	26131 37474	10	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1RPLT|2DUR|3567VULN|4MBVNT|8DMG|9ASPD|aRCR
116	26314 33432	10	 * 	254.68	ACR|3VULN|3DUR|2DMG|2TLV	1RPLT|28aDUR|3aCGEN|4RCR|58TLV|678VULN|8aBPWR|9aDMG
117	33111 22332	6	   	254.66	DCR|4VULN|1DMG|1DUR|1ASPD	1DUR|2DLOT|3DUST|4568VULN|7DMG|9ASPD|aRCR
118	33111 52332	5	   	254.66	DCR|4VULN|1DMG|1DUR|1ASPD	1DUR|2DLOT|3DUST|4568VULN|7DMG|9ASPD|aRCR
119	43432 67433	7	   	254.55	DCR|3VULN|3DMG|1DUR	17MLV|2MBVNT|379VULN|47aDMG|5RCVC|6RCR|7BPWR|8DUR
120	32211 11254	8	   	254.41	ACR|5VULN|1DMG|1DUR|1CDMG|1AART	1DUR|2AART|3RCR|4578aVULN|6CDMG|9DMG
121	43436 64433	6	   	254.35	DCR|3VULN|3DMG|1DUR	1MLV|2MBVNT|379VULN|45aDMG|6RCR|8DUR
122	36413 63122	6	   	253.90	DCR|3VULN|2DUR|2LIT|1CDMG|1AART	1aDUR|24LIT|346VULN|4BPWR|5DUST|7AART|8CDMG|9RCR
123	11526 21413	4	   	253.75	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|2DMSP|3LHND|489VULN|5TBNT|68DMG|7RCR|8BPWR|aDUR
124	12416 21413	3	   	253.75	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|24BEXP|389VULN|5TBNT|68DMG|7RCR|8BPWR|aDUR
125	21453 31152	5	   	253.67	DCR|3VULN|2ASPD|1TLV|1DUR|2LIT	13RPLT|28LIT|4TLV|58aVULN|6RCR|78ASPD|8BPWR|9DUR
126	11326 21413	4	   	253.65	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|2DMSP|3LEGI|489VULN|5TBNT|68DMG|7RCR|8BPWR|aDUR
127	15224 31413	1	   	253.65	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|28DMG|3BBNT|4DMSP|589VULN|6LEGI|7RCR|8BPWR|aDUR
128	36414 33122	8	   	253.53	DCR|4VULN|2DUR|2LIT	18DUR|24LIT|348aVULN|48BPWR|5RPLT|68LWND|7RCR|9RCVC
129	32211 63225	8	 * 	253.49	ACR|4VULN|2DMG|2DUR|1AART	19DUR|2AART|3RCR|459aVULN|6ERES|7FEWX|89DMG|9BPWR
130	32222 51324	3	   	253.49	ACR|4VULN|2DMG|2DUR|1AART	19DUR|2AART|3RCR|4CGEN|59DMG|679aVULN|8TBNT|9BPWR
131	32222 51526	3	   	253.49	ACR|4VULN|2DMG|2DUR|1AART	19DUR|2AART|3RCR|4CGEN|59DMG|679aVULN|8MBVNT|9BPWR
132	11525 62313	9	   	253.43	DCR|4VULN|2DUR|2LIT	17LIT|2DMSP|3LHND|467aVULN|57DUR|7BPWR|8ZMB|9RCR
133	32111 22415	9	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1DUR|2AART|3DUST|456aVULN|7CGEN|8RCR|9DMG
134	32111 22465	8	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1DUR|2AART|3DUST|456aVULN|7CGEN|8RCR|9DMG
135	32252 51324	4	   	253.39	ACR|4VULN|2DMG|2DUR|1AART	19DUR|2AART|3RCR|4ERES|59DMG|679aVULN|8TBNT|9BPWR
136	32254 21324	6	   	253.39	ACR|4VULN|2DMG|2DUR|1AART	19DUR|2AART|3RCR|4ERES|59DMG|679aVULN|8TBNT|9BPWR
137	35137 11354	1	   	253.38	DCR|3VULN|2DMG|2DUR	19DUR|2RMIN|3DUST|4MBVNT|579VULN|6RCR|89DMG|9BPWR|aLWND
138	43434 14187	10	   	253.38	DCR|3VULN|2DMG|2DUR	1MLV|2MBVNT|367VULN|46DMG|5BELT|6BPWR|8aDUR|9RCR
139	11325 62313	9	   	253.33	DCR|4VULN|2DUR|2LIT	17LIT|2DMSP|3LEGI|467aVULN|57DUR|7BPWR|8ZMB|9RCR
140	11325 62413	9	   	253.33	DCR|4VULN|2DUR|2LIT	17LIT|2DMSP|3LEGI|467aVULN|57DUR|7BPWR|8CGEN|9RCR
141	36415 32113	9	   	253.33	DCR|4VULN|2DUR|2LIT	15DUR|24LIT|347aVULN|4BPWR|6CGEN|8LWND|9RCR
142	36415 32313	9	   	253.33	DCR|4VULN|2DUR|2LIT	15DUR|24LIT|347aVULN|4BPWR|6CGEN|8FEWX|9RCR
143	33111 22362	8	   	253.28	DCR|3VULN|2DMG|2DUR	19DUR|2DLOT|39DUST|456VULN|7CGEN|89DMG|9BPWR|aRCR
144	35137 11351	1	   	253.28	DCR|3VULN|2DMG|2DUR	19DUR|2RMIN|3DUST|4MBVNT|579VULN|6RCR|89DMG|9BPWR|aBBNT
145	35137 11352	1	   	253.28	DCR|3VULN|2DMG|2DUR	19DUR|2RMIN|3DUST|4MBVNT|579VULN|6RCR|89DMG|9BPWR|aTBNT
146	35137 11353	1	   	253.28	DCR|3VULN|2DMG|2DUR|1NUKE	19DUR|2RMIN|3DUST|4MBVNT|579VULN|6RCR|89DMG|9BPWR|aNUKE
147	36413 61313	9	   	253.23	DCR|4VULN|2DUR|2LIT	17DUR|24LIT|346aVULN|4BPWR|5DUST|8ZMB|9RCR
148	31431 33753	2	   	253.18	DCR|3VULN|2DMG|2DUR	1aDUR|23ERES|4aDMG|5BBNT|6RCR|7MBVNT|89aVULN|aBPWR
149	32622 12621	10	 * 	253.09	DCR|2VULN|3DUR|2ASPD|2CDMG|1AART	139DUR|2AART|3aBPWR|4aVULN|5BEXP|6aCDMG|7aASPD|8RCR
150	53215 14122	7	   	252.70	ACR|5VULN|3DUR|1CDMG	18LHND|2DLOT|3RCR|4678aVULN|568DUR|68BPWR|9CDMG
151	53215 16122	6	   	252.70	ACR|5VULN|3DUR|1CDMG	18LHND|2DLOT|3RCR|4678aVULN|568DUR|68BPWR|9CDMG
152	53231 14122	7	   	252.70	ACR|5VULN|3DUR|1CDMG	18LHND|2DLOT|3RCR|468DUR|5678aVULN|68BPWR|9CDMG
153	53231 16122	6	   	252.70	ACR|5VULN|3DUR|1CDMG	18LHND|2DLOT|3RCR|468DUR|5678aVULN|68BPWR|9CDMG
154	43432 67431	7	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	17MLV|2MBVNT|379VULN|47DMG|5RCVC|6RCR|7BPWR|8DUR|aCDMG
155	33115 66131	7	   	252.55	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	17DUR|2DLOT|37DUST|467VULN|5AART|7BPWR|8TLV|9ASPD|aRCR
156	32211 11124	9	   	252.46	ACR|4VULN|2DMG|1DUR|1CDMG|1AART	1DUR|2AART|3RCR|457aVULN|6CDMG|89DMG
157	43434 14181	9	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1MLV|2MBVNT|367VULN|46DMG|5BELT|6BPWR|8DUR|9RCR|aCDMG
158	36413 63331	4	   	252.42	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1DUR|24LIT|346VULN|4BPWR|5TLV|7CGEN|8DMG|9MLV|aRCR
159	21411 15221	1	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1RPLT|2BBNT|346VULN|5aDMG|7DUR|8RCR|9CDMG
160	43436 64431	6	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1MLV|2MBVNT|379VULN|45DMG|6RCR|8DUR|aCDMG
161	36411 13241	7	   	252.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1DUR|24LIT|348VULN|4BPWR|5RCVC|6DUST|7TLV|9DMG|aRCR
162	36413 62231	4	   	252.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1DUR|24LIT|346VULN|4BPWR|5TLV|7DMG|8ERES|9MLV|aRCR
163	36413 33241	5	   	252.22	DCR|3VULN|1DMG|1DUR|1TLV|2LIT	1DUR|24LIT|348VULN|4BPWR|57DUST|6TLV|9DMG|aRCR
164	32111 11111	9	   	252.19	DCR|3VULN|1DMG|2AART|1DUR|1CDMG	1DUR|2aAART|3DUST|457VULN|6CDMG|8DMG|9RCR
165	32111 11114	10	   	252.19	DCR|3VULN|1DMG|2AART|1DUR|1CDMG	1DUR|2aAART|3DUST|457VULN|6CDMG|8DMG|9RCR
166	32624 11312	9	   	252.17	DCR|3VULN|3DUR|1CDMG|1AART	138DUR|2AART|3BPWR|47aVULN|5MBVNT|6CDMG|9RCR
