0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61233 21453	3	 * 	288.39	DCR|4VULN|3DUR|2TLV|2LIT	157DUR|28LIT|37TLV|457aVULN|57BPWR|6BBNT|9RCR
54	66252 21132	8	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	158DUR|2CDMG|378VULN|48TLV|6LEGI|8BPWR|9RCR|aCGEN
55	65124 31131	8	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	138DUR|28TLV|4LHND|5CDMG|678VULN|8BPWR|9RCR|aBBNT
56	65124 31133	8	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	138DUR|28TLV|4LHND|5CDMG|678VULN|8BPWR|9RCR|aERES
57	65151 31131	8	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	138DUR|28TLV|4CDMG|5LWND|678VULN|8BPWR|9RCR|aBBNT
58	65151 31133	8	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	138DUR|28TLV|4CDMG|5LWND|678VULN|8BPWR|9RCR|aERES
59	51411 25233	4	 * 	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18VULN|2LIT|38DUR|4FEWX|5CDMG|6TBNT|78DMG|8BPWR|9TLV|aRCR
60	51411 35233	4	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18VULN|2LIT|38DUR|4FEWX|5CDMG|6BBNT|78DMG|8BPWR|9TLV|aRCR
61	61111 25233	4	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DUR|2LIT|38VULN|4FEWX|5CDMG|6TBNT|78DMG|8BPWR|9TLV|aRCR
62	61111 35233	4	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DUR|2LIT|38VULN|4FEWX|5CDMG|6BBNT|78DMG|8BPWR|9TLV|aRCR
63	66252 21131	8	   	265.93	DCR|3VULN|3DUR|2TLV|1CDMG	158DUR|2CDMG|378VULN|48TLV|6LEGI|8BPWR|9RCR|aBBNT
64	66252 21133	8	   	265.93	DCR|3VULN|3DUR|2TLV|1CDMG	158DUR|2CDMG|378VULN|48TLV|6LEGI|8BPWR|9RCR|aERES
65	61151 25233	4	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DUR|2LIT|38VULN|4DUST|5CDMG|6TBNT|78DMG|8BPWR|9TLV|aRCR
66	61151 35233	4	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DUR|2LIT|38VULN|4DUST|5CDMG|6BBNT|78DMG|8BPWR|9TLV|aRCR
67	66231 25233	3	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DUR|2CDMG|38VULN|4DUST|5LIT|6TBNT|78DMG|8BPWR|9TLV|aRCR
68	66231 35233	3	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DUR|2CDMG|38VULN|4DUST|5LIT|6BBNT|78DMG|8BPWR|9TLV|aRCR
69	55322 21427	3	 * 	265.83	DCR|3VULN|2DMG|3TLV|3LIT	17aVULN|247TLV|37aLIT|5TBNT|6MBVNT|7aBPWR|8aDMG|9RCR
70	55163 31231	4	   	265.79	DCR|3VULN|3DUR|3TLV|1CDMG|1SELL	168VULN|245TLV|345DUR|45BPWR|7CDMG|9RCR|aSELL
71	65133 51231	2	   	265.79	DCR|3VULN|3DUR|3TLV|1CDMG|1SELL	136DUR|235TLV|35BPWR|458VULN|7CDMG|9RCR|aSELL
72	65233 51231	3	   	265.79	DCR|3VULN|3DUR|3TLV|1CDMG|1SELL	136DUR|235TLV|35BPWR|458VULN|7CDMG|9RCR|aSELL
73	31632 22432	2	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1DUST|2LIT|3DMG|489aVULN|5DUR|6RCR|7TLV
74	36213 61353	5	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	19DUST|2CDMG|3459VULN|6BELT|7RCR|89DUR|9BPWR|aTLV
75	56234 13133	9	   	265.65	DCR|3VULN|3DMG|1DUR|1CDMG	138VULN|2CDMG|48CGEN|5DUR|6ASPD|789DMG|8BPWR|aRCR
76	56112 32483	7	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	149aVULN|2CDMG|3MBVNT|58DUR|6RCR|7TLV
77	56172 32343	7	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	148VULN|24CDMG|3MBVNT|4BPWR|5DUR|6RCR|7TLV|9LIT|aDMG
78	56173 43323	7	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	145VULN|24CDMG|3MBVNT|4BPWR|6DUR|7LIT|8TLV|9RCR|aDMG
79	56223 22113	7	   	264.56	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1356VULN|2CDMG|4AART|7RCR|8TLV|9LHND|aDMG
80	56223 22153	7	   	264.56	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1356VULN|2CDMG|4AART|7RCR|8TLV|9BEXP|aDMG
81	51135 11113	3	   	264.50	DCR|5VULN|1DMG|1DUR|2LIT	13456VULN|26LIT|6BPWR|7RCR|8BBNT|9DUR|aDMG
82	56223 22123	7	   	264.46	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1356VULN|2CDMG|4AART|7RCR|8TLV|9DUST|aDMG
83	56223 22143	7	   	264.46	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1356VULN|2CDMG|4AART|7RCR|8TLV|9LEGI|aDMG
84	13336 34412	2	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ZMB|257DUR|389VULN|4TLV|6DMG|aRCR
85	11236 34412	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ZMB|289VULN|357DUR|4TLV|6DMG|aRCR
86	56112 34426	8	 * 	264.23	DCR|5VULN|2DUR|2CDMG	1489aVULN|2aCDMG|3MBVNT|5aDUR|6RCR|7RCVC|aBPWR
87	66261 32231	9	   	264.23	DCR|5VULN|2DUR|2CDMG	17DUR|24CDMG|3468aVULN|4BPWR|5CGEN|9RCR
88	55122 21431	3	   	264.16	DCR|3VULN|3DUR|1TLV|3LIT	179VULN|2TLV|357DUR|478LIT|6BBNT|7BPWR|aRCR
89	55312 21431	4	   	264.16	DCR|3VULN|3DUR|1TLV|3LIT	179VULN|2TLV|378LIT|457DUR|6BBNT|7BPWR|aRCR
90	65322 21431	2	   	264.16	DCR|3VULN|3DUR|1TLV|3LIT	157DUR|2TLV|379VULN|478LIT|6BBNT|7BPWR|aRCR
91	51135 11411	3	   	264.15	DCR|5VULN|1TLV|2LIT|1AART	13456VULN|26LIT|6BPWR|7RCR|8TLV|9BEXP|aAART
92	51135 11421	3	   	264.15	DCR|5VULN|1TLV|2LIT|1AART	13456VULN|26LIT|6BPWR|7RCR|8TLV|9LWND|aAART
93	51135 11431	3	   	264.15	DCR|5VULN|1TLV|2LIT|1AART	13456VULN|26LIT|6BPWR|7RCR|8TLV|9AART|aLWND
94	51135 11232	3	   	264.15	DCR|5VULN|1TLV|2LIT|1AART	13456VULN|26LIT|6BPWR|7RCR|8CGEN|9AART|aTLV
95	51135 11433	3	   	264.05	DCR|5VULN|1TLV|2LIT|1AART	13456VULN|26LIT|6BPWR|7RCR|8TLV|9AART|aERES
96	51135 11332	3	   	264.05	DCR|5VULN|1TLV|2LIT|1AART	13456VULN|26LIT|6BPWR|7RCR|8ERES|9AART|aTLV
97	56223 22315	7	 * 	263.02	DCR|5VULN|1DMG|2CDMG|1AART	13568VULN|29CDMG|4AART|7RCR|aDMG
98	56223 22161	7	   	262.84	DCR|5VULN|1TLV|1CDMG|1AART	13569VULN|2CDMG|4AART|7RCR|8TLV|aCGEN
99	56223 22162	7	   	262.84	DCR|5VULN|1TLV|1CDMG|1AART	13569VULN|2CDMG|4AART|7RCR|8TLV|aRPLT
100	56223 22224	9	   	262.84	DCR|5VULN|1TLV|1CDMG|1AART	13569VULN|2CDMG|4AART|7RCR|8RMIN|aTLV
101	56223 22334	7	   	262.74	DCR|5VULN|1TLV|1CDMG|1AART	13568VULN|2CDMG|4AART|7RCR|9ERES|aTLV
102	23326 61511	1	   	262.46	DCR|4VULN|3DUR|1CDMG|1AART	1DMSP|256aVULN|3AART|456DUR|56BPWR|7TBNT|8CDMG|9RCR
103	56223 22316	9	   	262.38	DCR|4VULN|1DMG|2AART|1DUR|1CDMG	1356VULN|2CDMG|48AART|7RCR|9DUR|aDMG
104	53625 12233	2	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	14aVULN|246DUST|3AART|4aBPWR|5CDMG|7aTLV|8RCR|9aDUR
105	31632 22462	2	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2LIT|39DMG|48aVULN|5DUR|6RCR|7TLV
106	23326 65212	1	   	261.73	DCR|3VULN|3DUR|1TLV|2AART	1DMSP|256VULN|39AART|456DUR|56BPWR|7TLV|8TBNT|aRCR
107	23326 63315	1	   	261.57	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	1DMSP|256VULN|3AART|456DUR|56BPWR|7BELT|8CDMG|9DMG|aRCR
108	56223 22126	8	   	261.20	DCR|5VULN|1DUR|1CDMG|1AART	13569VULN|2CDMG|4AART|7RCR|8DUR|aLIT
109	56223 22141	8	   	261.20	DCR|5VULN|1DUR|1CDMG|1AART	1356aVULN|2CDMG|4AART|7RCR|8DUR|9LIT
110	62253 31513	1	 * 	260.78	DCR|2VULN|3DUR|2DMG|2CDMG|1AART	16aDUR|2BELT|37CDMG|4aDMG|5AART|8aVULN|9RCR|aBPWR
111	56223 22112	10	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1356VULN|2CDMG|4AART|7RCR|8DUR|9RMIN|aTLV
112	56223 22132	10	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1356VULN|2CDMG|4AART|7RCR|8DUR|9MLV|aTLV
113	56223 22242	10	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1356VULN|2CDMG|4AART|7RCR|8RMIN|9DUR|aTLV
114	61234 21152	3	   	260.69	DCR|3VULN|3DUR|2TLV	178DUR|2LIT|37TLV|457VULN|6BBNT|7BPWR|9RCR|aRCVC
115	56223 22312	9	   	260.66	DCR|5VULN|2AART|1DUR|1CDMG	1356aVULN|2CDMG|48AART|7RCR|9DUR
116	56223 22321	10	   	260.58	DCR|4VULN|1TLV|2AART|1CDMG	1356VULN|2CDMG|48AART|7RCR|9LIT|aTLV
117	51133 62216	3	   	260.47	DCR|4VULN|2TLV|1DUR|2LIT	1347VULN|27LIT|57TLV|6BBNT|7BPWR|8LHND|9DUR|aRCR
118	51114 15121	8	   	260.47	DCR|4VULN|2TLV|1DUR|2LIT	1359VULN|29LIT|4ERES|6LWND|7RCR|89TLV|9BPWR|aDUR
119	51114 15221	7	   	260.47	DCR|4VULN|2TLV|1DUR|2LIT	1359VULN|29LIT|4ERES|6LWND|7RCR|89TLV|9BPWR|aDUR
120	51114 25121	8	   	260.47	DCR|4VULN|2TLV|1DUR|2LIT	1359VULN|29LIT|4ERES|6FEWX|7RCR|89TLV|9BPWR|aDUR
121	61234 21151	3	   	260.44	DCR|3VULN|3DUR|2TLV|1SELL	178DUR|2LIT|37TLV|457VULN|6BBNT|7BPWR|9RCR|aSELL
122	42221 35623	7	 * 	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1CGEN|269DMG|3ERES|4LHND|59DUR|7TLV|89VULN|9BPWR|aRCR
123	42351 35223	7	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1CGEN|269DMG|3LWND|4ERES|59DUR|7TLV|89VULN|9BPWR|aRCR
124	56113 13223	9	 * 	259.60	DCR|5VULN|1TLV|2CDMG	14578VULN|27CDMG|3MBVNT|67CGEN|7BPWR|9RCR|aTLV
125	56111 33223	9	   	259.60	DCR|5VULN|1TLV|2CDMG	14678VULN|27CDMG|3MBVNT|57CGEN|7BPWR|9RCR|aTLV
126	56115 33223	9	   	259.60	DCR|5VULN|1TLV|2CDMG	14678VULN|27CDMG|3MBVNT|57MLV|7BPWR|9RCR|aTLV
127	56115 33223	10	   	259.60	DCR|5VULN|1TLV|2CDMG	14678VULN|27CDMG|3MBVNT|57MLV|7BPWR|9RCR|aTLV
128	56233 33223	9	   	259.60	DCR|5VULN|1TLV|2CDMG	13678VULN|27CDMG|47CGEN|5MBVNT|7BPWR|9RCR|aTLV
129	66111 16321	4	   	259.58	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	17DUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR|aRPLT
130	66114 16321	5	   	259.58	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	17DUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR|aRPLT
131	51246 22113	10	   	259.44	DCR|3VULN|2DUR|1TLV|2CDMG	159VULN|2LIT|39CDMG|48LHND|6TLV|79DUR|9BPWR|aRCR
132	53123 36613	10	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	159VULN|2DUST|39CDMG|4DMSP|6LIT|7TLV|89DUR|9BPWR|aRCR
133	55123 21241	3	   	259.34	DCR|3VULN|2DUR|1TLV|3LIT	157VULN|2TLV|37DUR|457LIT|57BPWR|6BBNT|8FEWX|9ASPD|aRCR
134	51252 36321	6	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aRPLT
135	51252 46321	4	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aRPLT
136	51252 46321	5	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aRPLT
137	66111 16322	4	   	259.33	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG|1SELL	17DUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR|aSELL
138	66114 16322	5	   	259.33	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG|1SELL	17DUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR|aSELL
139	51135 33253	3	 * 	259.29	DCR|5VULN|2DMG	13458VULN|2LIT|6aDMG|7BEXP|9RCR
140	31632 22132	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1DUST|2LIT|3DMG|49aVULN|58DUR|6RCR|7TLV
141	31632 22412	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1DUST|2LIT|3DMG|48aVULN|59DUR|6RCR|7TLV
142	56172 32344	7	   	259.24	DCR|3VULN|2DUR|1TLV|2CDMG	148VULN|24CDMG|3MBVNT|4BPWR|5aDUR|6RCR|7TLV|9LIT
143	56173 43324	7	   	259.24	DCR|3VULN|2DUR|1TLV|2CDMG	145VULN|24CDMG|3MBVNT|4BPWR|6aDUR|7LIT|8TLV|9RCR
144	56223 22412	9	   	259.20	DCR|5VULN|2CDMG|1DUR|1AART	1356aVULN|28CDMG|4AART|7RCR|9DUR
145	51135 31253	3	   	259.19	DCR|5VULN|2DMG	13458VULN|2LIT|6aDMG|7DUST|9RCR
146	56223 22421	10	   	259.12	DCR|4VULN|1TLV|2CDMG|1AART	1356VULN|28CDMG|4AART|7RCR|9LIT|aTLV
147	65133 16231	2	 * 	259.12	DCR|3VULN|3TLV|2DUR|1DMG	13DUR|235TLV|35BPWR|458VULN|6DUST|7RCR|9ZMB|aDMG
148	65233 16231	3	   	259.12	DCR|3VULN|3TLV|2DUR|1DMG	13DUR|235TLV|35BPWR|458VULN|6DUST|7RCR|9ZMB|aDMG
149	52313 21431	4	   	259.11	DCR|4VULN|3DUR|3LIT	1579VULN|2MLV|378LIT|457DUR|57BPWR|6BBNT|aRCR
150	62323 21631	2	   	259.11	DCR|4VULN|3DUR|3LIT	157DUR|2MLV|3789VULN|457LIT|57BPWR|6BBNT|aRCR
151	51252 36322	6	   	259.10	DCR|3VULN|2DUR|1TLV|2CDMG|1SELL	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aSELL
152	51252 46322	4	   	259.10	DCR|3VULN|2DUR|1TLV|2CDMG|1SELL	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aSELL
153	51252 46322	5	   	259.10	DCR|3VULN|2DUR|1TLV|2CDMG|1SELL	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aSELL
154	56112 32373	7	   	259.07	DCR|4VULN|2TLV|1DUR|1CDMG	148aVULN|2CDMG|3MBVNT|5DUR|6RCR|79TLV
155	61233 33453	3	   	259.06	DCR|3VULN|3DUR|1TLV|2LIT	156DUR|28LIT|3TLV|45aVULN|5BPWR|7TBNT|9RCR
156	51135 11114	3	   	259.02	DCR|5VULN|2DUR|2LIT	13456VULN|26LIT|6BPWR|7RCR|8BBNT|9aDUR
