0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43322 17814	1	 * 	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1BELT|27DMG|3DUR|47LIT|579aVULN|6MBVNT|7BPWR|8RCR
15	31382 37421	10	   	261.46	DCR|4VULN|3DUR|1AART	18aBEXP|248DUR|3MBVNT|5AART|689aVULN|7RCR|8aBPWR
16	21352 43233	7	   	261.40	DCR|4VULN|2DMG|1TLV|1SELL	1aLHND|2RCVC|3TLV|479aVULN|5SELL|6RCR|8aDMG|aBPWR
17	22352 43233	7	   	261.40	DCR|4VULN|2DMG|1TLV|1SELL	12aLHND|3TLV|479aVULN|5SELL|6RCR|8aDMG|aBPWR
18	23382 37424	10	   	261.36	DCR|4VULN|3DUR|1AART	18LHND|248DUR|3MBVNT|5AART|689aVULN|7RCR|8BPWR
19	23364 51223	9	   	260.55	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCDMG
20	23364 51228	10	   	260.55	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCDMG
21	31364 51223	9	   	260.55	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCDMG
22	31364 51228	10	   	260.55	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCDMG
23	53363 51223	9	   	260.55	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	19LWND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCDMG
24	31372 37451	8	 * 	260.13	DCR|3VULN|3DUR|2ASPD|1AART	148BEXP|248DUR|3MBVNT|48aBPWR|5AART|68aVULN|7RCR|9aASPD
25	23364 51225	9	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	19LHND|29aDUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR
26	31364 51225	9	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	19BEXP|29aDUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR
27	31372 37413	9	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	148BEXP|248DUR|3MBVNT|48BPWR|5AART|689VULN|7RCR|aDMG
28	31372 37431	8	 * 	258.88	DCR|3VULN|3DUR|2TLV|1AART	148BEXP|248DUR|3MBVNT|48aBPWR|5AART|68aVULN|7RCR|9aTLV
29	31112 45132	9	 * 	258.39	DCR|4VULN|2DUR|3TLV|1SELL	139BEXP|2aDUR|49aTLV|5SELL|6RCR|789aVULN|9aBPWR
30	11212 45142	9	 * 	258.09	DCR|4VULN|2DUR|3TLV|1SELL	139DUST|2aDUR|49aTLV|5SELL|6RCR|789aVULN|9aBPWR
31	42111 32221	8	   	256.97	DCR|3VULN|2DMG|1TLV|1AART	1BELT|28CGEN|3LIT|48DMG|578VULN|6AART|8BPWR|9RCR|aTLV
32	42111 32222	8	   	256.97	DCR|3VULN|2DMG|1DUR|1AART	1BELT|28CGEN|3LIT|48DMG|578VULN|6AART|8BPWR|9RCR|aDUR
33	23364 51222	10	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aAART
34	33344 11531	8	   	256.18	DCR|4VULN|2AART|1DUR|2LIT	1BEXP|28AART|35LIT|459aVULN|5BPWR|6DUR|7RCR
35	33614 33215	10	   	256.01	DCR|4VULN|2DUR|2AART	1aBEXP|28AART|3LHND|456aVULN|7aDUR|9RCR|aBPWR
36	31153 53113	9	 * 	255.55	DCR|2VULN|3DMG|3DUR	134BEXP|29aDUR|5aVULN|68aDMG|7RCR|aBPWR
37	31364 51224	10	   	255.20	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aLIT
38	23372 37433	9	   	255.07	DCR|3VULN|3DUR|1TLV|1AART	148LHND|248DUR|3MBVNT|48BPWR|5AART|68aVULN|7RCR|9TLV
39	23382 37433	9	   	254.97	DCR|3VULN|3DUR|1TLV|1AART	18LHND|248DUR|3MBVNT|5AART|68aVULN|7RCR|8BPWR|9TLV
40	31382 37434	9	   	254.97	DCR|3VULN|3DUR|1TLV|1AART	18BEXP|248DUR|3MBVNT|5AART|68aVULN|7RCR|8BPWR|9TLV
41	13512 35213	10	   	254.79	DCR|3VULN|1DMG|2AART|1TLV|1DUR	1DUST|28AART|34aVULN|5DUR|6TLV|7DMG|9RCR
42	31346 76214	3	 * 	254.76	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1BEXP|2aDUR|3MBVNT|4LIT|5DMG|6aASPD|7TLV|8RCR|9aVULN|aBPWR
43	31382 76214	3	   	254.76	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1BEXP|2aDUR|3MBVNT|4DMG|5LIT|6aASPD|7TLV|8RCR|9aVULN|aBPWR
44	44131 33183	3	   	254.75	DCR|3VULN|3DMG|1TLV	1BELT|29aVULN|39aMLV|4BEXP|5TLV|6RCR|79aDMG|8MBVNT|9aBPWR
45	53443 22333	1	 * 	254.48	DCR|4VULN|3ASPD|1TLV|1SELL	1aLWND|2SELL|3TLV|48aASPD|579aVULN|6RCR|aBPWR
46	42111 32224	8	   	254.37	DCR|3VULN|2DMG|1CDMG|1AART	1BELT|28CGEN|3LIT|48DMG|578VULN|6AART|8BPWR|9RCR|aCDMG
47	33512 22235	5	   	253.78	DCR|3VULN|3DUR|2LIT|1AART	18BEXP|2AART|346VULN|568DUR|68BPWR|78LIT|9CGEN|aRCR
48	43322 17813	1	   	253.75	DCR|3VULN|2DMG|1DUR|2LIT	1BELT|27DMG|3DUR|47LIT|579VULN|6MBVNT|7BPWR|8RCR|aCGEN
49	43322 17811	1	   	253.65	DCR|3VULN|2DMG|1DUR|2LIT	1BELT|27DMG|3DUR|47LIT|579VULN|6MBVNT|7BPWR|8RCR|aLEGI
50	13214 35613	10	   	253.41	DCR|4VULN|1DMG|1TLV|1AART	1DUST|2AART|3BEXP|458aVULN|6TLV|7DMG|9RCR
51	21252 66231	4	   	252.45	DCR|3VULN|2DMG|1TLV|1CDMG	1LHND|2RCVC|35DMG|49aVULN|6RCR|7TLV|8CDMG
52	22252 66231	4	   	252.45	DCR|3VULN|2DMG|1TLV|1CDMG	12LHND|35DMG|49aVULN|6RCR|7TLV|8CDMG
53	31382 37427	8	   	252.37	DCR|3VULN|3DUR|1CDMG|1AART	18BEXP|248DUR|3MBVNT|5AART|68aVULN|7RCR|8BPWR|9CDMG
54	44325 33213	5	   	252.25	DCR|3VULN|2DUR|1DMG|1TLV	1BELT|25aVULN|3BEXP|4aDUR|6RCR|7DMG|8TLV|9aCGEN|aBPWR
55	11126 42114	8	   	251.46	DCR|4VULN|3DUR|1SELL	189DUST|289DUR|3BEXP|4LHND|5SELL|689aVULN|7RCR|89BPWR
56	31364 73214	7	   	251.10	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1ASPD	1BEXP|2aDUR|3MBVNT|4ASPD|5DMG|6aLIT|7TLV|8RCR|9aVULN|aBPWR
57	31364 73614	8	   	251.10	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1ASPD	1BEXP|2aDUR|3MBVNT|4ASPD|5DMG|6aLIT|7TLV|8RCR|9aVULN|aBPWR
58	31364 76214	6	   	251.10	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1ASPD	1BEXP|2aDUR|3MBVNT|4ASPD|5DMG|6aLIT|7TLV|8RCR|9aVULN|aBPWR
59	31364 86214	5	   	251.10	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1ASPD	1BEXP|2aDUR|3MBVNT|4ASPD|5DMG|6aLIT|7TLV|8RCR|9aVULN|aBPWR
60	33224 62432	2	   	251.01	DCR|4VULN|1DMG|1CDMG|1AART	14BEXP|2AART|347aVULN|4BPWR|5CDMG|6RCR|8DMG|9MLV
61	13224 62432	2	   	250.81	DCR|4VULN|1DMG|1CDMG|1AART	14DUST|2AART|347aVULN|4BPWR|5CDMG|6RCR|8DMG|9MLV
62	23372 37463	8	   	249.82	DCR|3VULN|3DUR|1ASPD|1AART	148LHND|248DUR|3MBVNT|48BPWR|5AART|68aVULN|7RCR|9ASPD
63	23382 37463	8	   	249.72	DCR|3VULN|3DUR|1ASPD|1AART	18LHND|248DUR|3MBVNT|5AART|68aVULN|7RCR|8BPWR|9ASPD
64	31382 37464	8	   	249.72	DCR|3VULN|3DUR|1ASPD|1AART	18BEXP|248DUR|3MBVNT|5AART|68aVULN|7RCR|8BPWR|9ASPD
65	33513 11531	8	   	249.53	DCR|4VULN|2AART|1DUR	1BEXP|28AART|349aVULN|5LIT|6DUR|7RCR
66	33513 11541	9	   	249.53	DCR|4VULN|2AART|1DUR	1BEXP|28AART|349aVULN|5LIT|6DUR|7RCR
67	23151 11436	4	   	249.48	DCR|4VULN|2DUR|1ASPD	18LHND|28DUR|3BEXP|4ASPD|5689VULN|7LEGI|8BPWR|aRCR
68	23152 11436	6	   	249.48	DCR|4VULN|2DUR|1ASPD	18LHND|28DUR|3BEXP|4ASPD|5689VULN|7LEGI|8BPWR|aRCR
69	23152 11436	5	   	249.48	DCR|4VULN|2DUR|1ASPD	18LHND|28DUR|3BEXP|4ASPD|5689VULN|7LEGI|8BPWR|aRCR
70	13513 11541	9	   	249.43	DCR|4VULN|2AART|1DUR	1DUST|28AART|349aVULN|5LIT|6DUR|7RCR
71	43335 41222	9	   	249.41	DCR|3VULN|3DMG|1ASPD	1BELT|2RCVC|358VULN|48BEXP|678DMG|8BPWR|9RCR|aASPD
72	23152 66133	10	   	249.33	DCR|4VULN|2DUR|1ASPD|1SELL	17LHND|27DUR|3BEXP|4ASPD|578aVULN|6SELL|7BPWR|9RCR
73	23136 42116	8	   	249.18	DCR|3VULN|3DUR|1DMG|1SELL	189LHND|289DUR|3BEXP|4SELL|5LWND|689VULN|7RCR|89BPWR|aDMG
74	23216 42116	8	   	249.08	DCR|3VULN|3DUR|1DMG|1SELL	189LHND|289DUR|3DUST|4BEXP|5SELL|689VULN|7RCR|89BPWR|aDMG
75	33344 15231	8	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1BEXP|2AART|35LIT|459aVULN|5BPWR|6DUR|7DMSP|8RCR
76	13512 35412	9	   	248.35	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1DUST|2AART|34VULN|58DUR|6TLV|7DMG|9RCR|aCDMG
77	33513 11131	8	   	248.31	DCR|4VULN|1DUR|2LIT|1AART	1BEXP|2AART|349aVULN|58LIT|6DUR|7RCR
78	33513 11141	9	   	248.31	DCR|4VULN|1DUR|2LIT|1AART	1BEXP|2AART|349aVULN|58LIT|6DUR|7RCR
79	31346 44214	3	 * 	248.26	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	1BEXP|2aDUR|3MBVNT|4LIT|5DMG|6aTLV|7ASPD|8RCR|9aVULN|aBPWR
80	31382 44214	3	   	248.26	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	1BEXP|2aDUR|3MBVNT|4DMG|5LIT|6aTLV|7ASPD|8RCR|9aVULN|aBPWR
81	33614 33315	10	   	248.23	DCR|4VULN|2DUR|1AART	1aBEXP|2AART|3LHND|456aVULN|7aDUR|8RCVC|9RCR|aBPWR
82	13513 11141	9	   	248.21	DCR|4VULN|1DUR|2LIT|1AART	1DUST|2AART|349aVULN|58LIT|6DUR|7RCR
83	31312 37424	10	   	248.13	DCR|4VULN|2DUR|1AART	148BEXP|28DUR|3MBVNT|5AART|689aVULN|7RCR|8BPWR
84	13216 55311	8	   	247.76	DCR|3VULN|3DMG|1AART	1DUST|2AART|3BEXP|48aVULN|567DMG|9RCR
85	13312 55311	8	   	247.76	DCR|3VULN|3DMG|1AART	1DUST|2AART|3LHND|48aVULN|567DMG|9RCR
86	21252 66233	4	 * 	247.71	DCR|2VULN|3DMG|2CDMG|1TLV	1aLHND|2RCVC|35aDMG|49VULN|6RCR|7TLV|8aCDMG|aBPWR
87	22252 66233	4	   	247.71	DCR|2VULN|3DMG|2CDMG|1TLV	12aLHND|35aDMG|49VULN|6RCR|7TLV|8aCDMG|aBPWR
88	21252 61231	4	   	247.20	DCR|3VULN|2DMG|1CDMG|1ASPD	1LHND|2RCVC|35DMG|49aVULN|6RCR|7ASPD|8CDMG
89	22252 61231	4	   	247.20	DCR|3VULN|2DMG|1CDMG|1ASPD	12LHND|35DMG|49aVULN|6RCR|7ASPD|8CDMG
90	33344 11533	8	   	247.19	DCR|3VULN|2AART|1DUR|2LIT|1CDMG	1BEXP|28AART|35LIT|459VULN|5BPWR|6DUR|7RCR|aCDMG
91	23372 37421	9	   	247.13	DCR|3VULN|3DUR|1AART	148LHND|248DUR|3MBVNT|48BPWR|5AART|689VULN|7RCR|aLIT
92	23372 37428	10	   	247.13	DCR|3VULN|3DUR|1AART	148LHND|248DUR|3MBVNT|48BPWR|5AART|689VULN|7RCR|aLIT
93	31372 37414	9	   	247.13	DCR|3VULN|3DUR|1AART	148BEXP|248DUR|3MBVNT|48BPWR|5AART|689VULN|7RCR|aLIT
94	31372 37417	10	   	247.13	DCR|3VULN|3DUR|1AART	148BEXP|248DUR|3MBVNT|48BPWR|5AART|689VULN|7RCR|aLIT
95	46221 32221	8	   	247.08	DCR|3VULN|2ASPD|1TLV|2LIT|1AART	1BELT|28ASPD|3CGEN|48LIT|578VULN|6AART|8BPWR|9RCR|aTLV
96	46221 32222	8	   	247.08	DCR|3VULN|2ASPD|1DUR|2LIT|1AART	1BELT|28ASPD|3CGEN|48LIT|578VULN|6AART|8BPWR|9RCR|aDUR
97	23382 37421	9	   	247.03	DCR|3VULN|3DUR|1AART	18LHND|248DUR|3MBVNT|5AART|689VULN|7RCR|8BPWR|aLIT
98	23382 37428	10	   	247.03	DCR|3VULN|3DUR|1AART	18LHND|248DUR|3MBVNT|5AART|689VULN|7RCR|8BPWR|aLIT
99	31382 37421	9	   	247.03	DCR|3VULN|3DUR|1AART	18BEXP|248DUR|3MBVNT|5AART|689VULN|7RCR|8BPWR|aLIT
100	13512 35313	10	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1DUST|2AART|34aVULN|5DUR|6TLV|7DMG|8RCVC|9RCR
101	13214 35612	10	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1DUST|2AART|3BEXP|458VULN|6TLV|7DMG|9RCR|aDUR
102	13314 35612	10	   	247.02	DCR|3VULN|1DMG|1DUR|1TLV|1AART	1DUST|2AART|3LHND|458VULN|6TLV|7DMG|9RCR|aDUR
103	33513 11542	10	   	246.95	DCR|3VULN|1DMG|2AART|1DUR	1BEXP|28AART|349VULN|5LIT|6DUR|7RCR|aDMG
104	23364 51221	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19aLHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR
105	23364 51221	9	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aMLV
106	23364 51223	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aBEXP
107	23364 51224	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCGEN
108	23364 51224	9	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCGEN
109	23364 51226	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aMLV
110	23364 51227	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aFEWX
111	31364 51221	9	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aMLV
112	31364 51221	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aLHND
113	31364 51222	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aLWND
114	31364 51223	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aFEWX
115	31364 51224	9	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCGEN
116	31364 51226	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aMLV
117	53363 51221	9	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LWND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aMLV
118	53363 51221	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LWND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aLHND
119	53363 51222	10	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19aLWND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR
120	53363 51224	9	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	19LWND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aCGEN
121	13513 11542	10	   	246.85	DCR|3VULN|1DMG|2AART|1DUR	1DUST|28AART|349VULN|5LIT|6DUR|7RCR|aDMG
122	31372 37114	9	   	246.81	DCR|3VULN|2DUR|2ASPD|1AART	149BEXP|24DUR|3MBVNT|49BPWR|5AART|69aVULN|7RCR|89ASPD
123	23364 51226	9	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aERES
124	31364 51226	9	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aERES
125	23364 51235	8	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1LHND|2aDUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR
126	31364 51225	8	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1BEXP|2aDUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR
127	23372 37481	10	   	246.69	DCR|3VULN|3DUR|2AART	148aLHND|248DUR|3MBVNT|48aBPWR|59AART|68aVULN|7RCR
128	23372 37484	10	   	246.59	DCR|3VULN|3DUR|2AART	148LHND|248DUR|3MBVNT|48BPWR|59AART|68aVULN|7RCR
129	23382 37481	10	   	246.59	DCR|3VULN|3DUR|2AART	18aLHND|248DUR|3MBVNT|59AART|68aVULN|7RCR|8aBPWR
130	23382 37484	10	   	246.49	DCR|3VULN|3DUR|2AART	18LHND|248DUR|3MBVNT|59AART|68aVULN|7RCR|8BPWR
131	23364 54225	10	   	246.45	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	19LHND|29DUR|3MBVNT|47ASPD|5DMG|69VULN|8RCR|9BPWR|aTLV
132	31364 54225	10	   	246.45	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	19BEXP|29DUR|3MBVNT|47ASPD|5DMG|69VULN|8RCR|9BPWR|aTLV
133	53363 54223	10	   	246.45	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	19LWND|29DUR|3MBVNT|47ASPD|5DMG|69VULN|8RCR|9BPWR|aTLV
134	43322 17364	1	 * 	246.44	DCR|2VULN|2DMG|2DUR|3LIT	1BELT|27DMG|39DUR|478LIT|57VULN|6MBVNT|7BPWR|aRCR
