0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36263 22323	10	 * 	277.45	DCR|4VULN|2DMG|1TLV|1DUR|1SELL	1SELL|2367VULN|4TLV|59DMG|8DUR|aRCR
41	32335 11451	9	 * 	256.08	DCR|3VULN|3ASPD|2DUR|1AART|1SELL	1SELL|2AART|3RCVC|469ASPD|589VULN|79DUR|9BPWR|aRCR
42	32332 16451	9	 * 	256.08	DCR|3VULN|3ASPD|2DUR|1AART|1SELL	1SELL|2AART|3RCVC|469ASPD|59DUR|789VULN|9BPWR|aRCR
43	13536 33113	7	   	255.94	DCR|3VULN|3DMG|2AART	178CGEN|2ERES|378VULN|46AART|578DMG|78BPWR|9RCR|aFEWX
44	13536 33115	7	   	255.94	DCR|3VULN|3DMG|2AART	178CGEN|2ERES|378VULN|46AART|578DMG|78BPWR|9RCR|aBEXP
45	13536 33116	7	   	255.94	DCR|3VULN|3DMG|2AART	178CGEN|2ERES|378VULN|46AART|578DMG|78BPWR|9RCR|aLHND
46	13536 33111	7	   	255.84	DCR|3VULN|3DMG|2AART	178CGEN|2ERES|378VULN|46AART|578DMG|78BPWR|9RCR|aLEGI
47	13536 33112	7	   	255.84	DCR|3VULN|3DMG|2AART	178CGEN|2ERES|378VULN|46AART|578DMG|78BPWR|9RCR|aDUST
48	13536 33114	7	   	255.84	DCR|3VULN|3DMG|2AART|1NUKE	178CGEN|2ERES|378VULN|46AART|578DMG|78BPWR|9RCR|aNUKE
49	33214 52314	9	 * 	255.71	DCR|3VULN|2DUR|3TLV|1DMG|1SELL	1SELL|268TLV|3MLV|48DUR|568VULN|68BPWR|7RPLT|9RCR|aDMG
50	33335 22323	10	   	254.80	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|2TLV|39DMG|4RCVC|567VULN|8DUR|aRCR
51	34163 22323	10	   	254.80	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|2RCVC|367VULN|4TLV|59DMG|8DUR|aRCR
52	36263 32323	10	   	254.80	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|237VULN|4TLV|59DMG|6RCVC|8DUR|aRCR
53	33125 22426	8	   	254.71	DCR|4VULN|1DMG|1TLV|1ASPD|1SELL	1SELL|2TLV|35CGEN|4567VULN|5BPWR|8ASPD|9DMG|aRCR
54	33124 22426	8	   	254.61	DCR|4VULN|1DMG|1TLV|1ASPD|1SELL	1SELL|2TLV|3CGEN|4567VULN|8ASPD|9DMG|aRCR
55	36263 23532	6	   	254.21	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|236VULN|4TLV|58aDMG|7BELT|9RCR
56	36233 26315	6	   	253.51	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	1SELL|23aVULN|4ERES|5aDMG|6FEWX|7RCR|8DUR|9aLIT|aBPWR
57	36233 36315	5	   	253.41	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	1SELL|23aVULN|4ERES|5aDMG|6DUST|7RCR|8DUR|9aLIT|aBPWR
58	52532 33532	10	 * 	253.36	DCR|3VULN|2TLV|1DMG|2AART|1ASPD	17ERES|2ASPD|379VULN|46AART|57TLV|7BPWR|8DMG|aRCR
59	33332 62264	3	   	253.27	DCR|4VULN|1DMG|1TLV|1AART|1SELL	1SELL|2TLV|3DMG|4MLV|5689VULN|7AART|aRCR
60	36223 12235	10	   	253.27	DCR|4VULN|1DMG|1TLV|1AART|1SELL	1SELL|2347VULN|5LWND|6TLV|8AART|9DMG|aRCR
61	36224 12235	10	   	253.27	DCR|4VULN|1DMG|1TLV|1AART|1SELL	1SELL|2347VULN|5LHND|6TLV|8AART|9DMG|aRCR
62	36233 12264	6	   	253.17	DCR|4VULN|1DMG|1TLV|1AART|1SELL	1SELL|2389VULN|4ERES|5DMG|6TLV|7AART|aRCR
63	14322 32126	8	   	252.45	DCR|3VULN|2DMG|1TLV|1CDMG	12CGEN|3TLV|457VULN|6CDMG|89DMG|aRCR
64	14321 44111	4	   	252.28	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	12CGEN|35TLV|458VULN|5BPWR|6ASPD|7RCR|9DMG|aDUR
65	53322 32126	8	   	252.25	DCR|3VULN|2DMG|1TLV|1CDMG	12ERES|3TLV|457VULN|6CDMG|89DMG|aRCR
66	53321 44111	4	   	252.08	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	12ERES|35TLV|458VULN|5BPWR|6ASPD|7RCR|9DMG|aDUR
67	35235 43326	10	 * 	251.88	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|27FEWX|378aVULN|47DUR|5MBVNT|6RCR|7BPWR|9CDMG
68	33322 62234	4	 * 	251.84	DCR|3VULN|2ASPD|1DMG|1TLV|1AART|1SELL	1SELL|2TLV|3DMG|49ASPD|568VULN|7AART|aRCR
69	22131 36122	2	 * 	251.80	DCR|4VULN|3DUR	178LWND|267DUR|3478VULN|5DMSP|78BPWR|9DUST|aRCR
70	22131 36122	1	   	251.80	DCR|4VULN|3DUR	178LWND|267DUR|3478VULN|5DMSP|78BPWR|9DUST|aRCR
71	22531 36122	3	   	251.80	DCR|4VULN|3DUR	178LWND|267DUR|3478VULN|5DMSP|78BPWR|9DUST|aRCR
72	36212 32516	9	   	251.56	DCR|4VULN|3DUR|1SELL	1SELL|2389VULN|468DUR|58FEWX|7RPLT|8BPWR|aRCR
73	36213 32516	9	   	251.56	DCR|4VULN|3DUR|1SELL	1SELL|2389VULN|468DUR|58LWND|7RPLT|8BPWR|aRCR
74	36346 43341	10	   	251.46	DCR|4VULN|3DUR|1SELL	1SELL|278aVULN|379DUR|47LWND|5MBVNT|6RCR|7BPWR
75	35235 43341	10	   	251.46	DCR|4VULN|3DUR|1SELL	1SELL|27FEWX|378aVULN|479DUR|5MBVNT|6RCR|7BPWR
76	36331 32213	8	   	251.46	DCR|4VULN|3DUR|1SELL	1SELL|289aVULN|346DUR|59ZMB|7RCR|9BPWR
77	33524 22612	9	 * 	251.29	DCR|5VULN|1TLV|1SELL	1SELL|2TLV|3ERES|4567aVULN|8LIT|9RCR
78	33525 22612	9	 * 	251.29	DCR|5VULN|1TLV|1SELL	1SELL|2TLV|35ERES|4567aVULN|5BPWR|8LIT|9RCR
79	36435 43341	10	   	251.26	DCR|4VULN|3DUR|1SELL	1SELL|278aVULN|37DUST|479DUR|5MBVNT|6RCR|7BPWR
80	21322 25513	8	   	251.12	DCR|3VULN|3DUR|1CDMG	18LWND|2LIT|368DUR|4CDMG|5FEWX|78aVULN|8BPWR|9RCR
81	21322 25523	10	   	251.12	DCR|3VULN|3DUR|1CDMG	18LWND|2LIT|368DUR|4CDMG|5FEWX|789VULN|8BPWR|aRCR
82	33125 22411	6	   	250.97	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|35CGEN|456VULN|5BPWR|7CDMG|8RCR|9DMG|aDUR
83	33125 25411	7	   	250.97	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|35CGEN|456VULN|5BPWR|7CDMG|8RCR|9DMG|aDUR
84	33225 22411	6	   	250.97	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|35MLV|456VULN|5BPWR|7CDMG|8RCR|9DMG|aDUR
85	33225 25411	7	   	250.97	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|35MLV|456VULN|5BPWR|7CDMG|8RCR|9DMG|aDUR
86	33124 22411	6	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|3CGEN|456VULN|7CDMG|8RCR|9DMG|aDUR
87	33124 25411	7	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|3CGEN|456VULN|7CDMG|8RCR|9DMG|aDUR
88	33224 22411	6	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|3MLV|456VULN|7CDMG|8RCR|9DMG|aDUR
89	33224 25411	7	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|3MLV|456VULN|7CDMG|8RCR|9DMG|aDUR
90	36225 32411	5	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|234VULN|5TLV|6RMIN|7CDMG|8RCR|9DMG|aDUR
91	36262 32411	4	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|235VULN|4TLV|6RMIN|7CDMG|8RCR|9DMG|aDUR
92	33524 22411	6	   	250.77	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1SELL	1SELL|2TLV|3ERES|456VULN|7CDMG|8RCR|9DMG|aDUR
93	33525 22411	6	   	250.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2TLV|35ERES|456VULN|5BPWR|7CDMG|8RCR|9DMG|aDUR
94	36225 22411	5	   	250.77	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1SELL	1SELL|234VULN|5TLV|6ERES|7CDMG|8RCR|9DMG|aDUR
95	36262 22411	4	   	250.77	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1SELL	1SELL|235VULN|4TLV|6ERES|7CDMG|8RCR|9DMG|aDUR
96	36212 11553	9	 * 	250.61	DCR|3VULN|2DUR|1DMG|2LIT|1SELL	1SELL|238VULN|48DUR|5FEWX|6LHND|78LIT|8BPWR|9RCR|aDMG
97	36213 11553	9	 * 	250.61	DCR|3VULN|2DUR|1DMG|2LIT|1SELL	1SELL|238VULN|48DUR|5LWND|6LHND|78LIT|8BPWR|9RCR|aDMG
98	36214 11235	10	   	250.59	DCR|3VULN|2TLV|1DMG|1DUR|1AART|1SELL	1SELL|235VULN|4DUR|67TLV|8AART|9DMG|aRCR
99	36225 21235	10	   	250.59	DCR|3VULN|2TLV|1DMG|1DUR|1AART|1SELL	1SELL|234VULN|57TLV|6DUR|8AART|9DMG|aRCR
100	32125 43336	2	 * 	250.49	DCR|2VULN|2DMG|2ASPD|2AART|1DUR|1SELL	1SELL|26AART|39DMG|4BELT|5DUR|79VULN|89ASPD|9BPWR|aRCR
101	36143 22163	9	 * 	250.49	DCR|3VULN|2ASPD|1DMG|1TLV|1SELL	1SELL|267VULN|35ASPD|4TLV|8DMG|9LIT|aRCR
102	33111 33213	1	 * 	250.03	DCR|3VULN|3DUR|2ASPD|1SELL	1SELL|234DUR|59aVULN|6RCVC|7RCR|89ASPD|9BPWR
103	33211 33213	1	 * 	250.03	DCR|3VULN|3DUR|2ASPD|1SELL	1SELL|234DUR|39BPWR|59aVULN|6RCVC|7RCR|89ASPD
104	33335 22166	8	   	249.56	DCR|3VULN|2DMG|1TLV|1ASPD|1SELL	1SELL|2TLV|38DMG|4RCVC|567VULN|9ASPD|aRCR
105	33335 22426	8	   	249.56	DCR|3VULN|2DMG|1TLV|1ASPD|1SELL	1SELL|2TLV|39DMG|4RCVC|567VULN|8ASPD|aRCR
106	36163 12326	8	   	249.56	DCR|3VULN|2DMG|1TLV|1ASPD|1SELL	1SELL|278VULN|3ASPD|4RCVC|59DMG|6TLV|aRCR
107	52532 33143	7	 * 	249.55	DCR|3VULN|3TLV|2AART|1DUR|1ASPD	178ERES|2ASPD|378VULN|46AART|578TLV|78BPWR|9DUR|aRCR
108	36346 43123	8	 * 	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|27aVULN|37DUR|47LWND|5MBVNT|6RCR|7BPWR|8CDMG|9DMG
109	36346 43143	10	 * 	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|279VULN|37DUR|47LWND|5MBVNT|6RCR|7BPWR|8CDMG|aDMG
110	36346 43323	10	 * 	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|278VULN|37DUR|47LWND|5MBVNT|6RCR|7BPWR|9CDMG|aDMG
111	31356 21411	9	 * 	249.30	DCR|3VULN|2DUR|2TLV|1CDMG|1SELL	1SELL|2BELT|3RCVC|4aDUR|5CDMG|69aVULN|7RCR|8aTLV|aBPWR
112	35235 43123	8	 * 	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|27FEWX|37aVULN|47DUR|5MBVNT|6RCR|7BPWR|8CDMG|9DMG
113	35235 43153	9	 * 	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|27FEWX|37aVULN|47DUR|5MBVNT|6RCR|7BPWR|8CDMG|9DMG
114	35235 43323	10	 * 	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|27FEWX|378VULN|47DUR|5MBVNT|6RCR|7BPWR|9CDMG|aDMG
115	53322 33366	10	 * 	249.25	DCR|3VULN|2DUR|2TLV|1CDMG	128ERES|38TLV|459VULN|6CDMG|78DUR|8BPWR|aRCR
116	36211 16422	10	 * 	249.20	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|23aVULN|47DUR|5ZMB|6DMG|8RCR|9CDMG
117	21333 53335	3	 * 	249.12	DCR|3VULN|3DUR|3LIT	19LWND|259LIT|345DUR|59BPWR|6RCR|7RCVC|89aVULN
118	22433 53335	2	   	249.12	DCR|3VULN|3DUR|3LIT	19LWND|245DUR|359LIT|59BPWR|6RCR|7RCVC|89aVULN
119	22433 53335	1	   	249.12	DCR|3VULN|3DUR|3LIT	19LWND|245DUR|359LIT|59BPWR|6RCR|7RCVC|89aVULN
120	41333 53335	3	   	249.12	DCR|3VULN|3DUR|3LIT	19LHND|259LIT|345DUR|59BPWR|6RCR|7RCVC|89aVULN
121	36435 43123	8	 * 	249.10	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|27aVULN|37DUST|47DUR|5MBVNT|6RCR|7BPWR|8CDMG|9DMG
122	36435 43323	10	 * 	249.10	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|278VULN|37DUST|47DUR|5MBVNT|6RCR|7BPWR|9CDMG|aDMG
123	33214 32316	9	 * 	248.88	DCR|3VULN|3DUR|2TLV|1SELL	1SELL|28TLV|3MLV|468DUR|589VULN|7RPLT|8BPWR|aRCR
124	33215 22316	9	 * 	248.88	DCR|3VULN|3DUR|2TLV|1SELL	1SELL|28TLV|3MLV|458DUR|689VULN|7RPLT|8BPWR|aRCR
125	36232 53326	4	 * 	248.67	DCR|4VULN|2ASPD|1DMG|1SELL	1SELL|2358VULN|4ERES|68CGEN|78ASPD|8BPWR|9DMG|aRCR
126	14322 44111	5	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	12CGEN|3TLV|458VULN|6ASPD|7RCR|9DMG|aDUR
127	14322 64111	6	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	12CGEN|3TLV|458VULN|6ASPD|7RCR|9DMG|aDUR
128	53322 44111	5	   	248.26	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	12ERES|3TLV|458VULN|6ASPD|7RCR|9DMG|aDUR
129	53322 64111	6	   	248.26	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	12ERES|3TLV|458VULN|6ASPD|7RCR|9DMG|aDUR
130	32321 63264	3	   	248.22	DCR|3VULN|2DMG|1DUR|1AART|1SELL	1SELL|2AART|3RCVC|47DMG|589VULN|6DUR|aRCR
131	52532 63113	7	 * 	248.17	DCR|4VULN|3TLV|1ASPD|1AART	178ERES|2ASPD|3678VULN|4AART|578TLV|78BPWR|9LHND|aRCR
132	52532 63133	7	   	248.17	DCR|4VULN|3TLV|1ASPD|1AART	178ERES|2ASPD|3678VULN|4AART|578TLV|78BPWR|9FEWX|aRCR
133	52532 63332	10	   	248.07	DCR|4VULN|2TLV|1NUKE|1ASPD|1AART	17ERES|2ASPD|3679VULN|4AART|57TLV|7BPWR|8NUKE|aRCR
134	32542 25111	4	   	248.02	DCR|4VULN|3TLV|1ASPD|1AART|1SELL	1SELL|2AART|3RPLT|468TLV|5689VULN|689BPWR|7RCR|aASPD
135	22334 56132	2	 * 	247.84	DCR|2VULN|3DUR|3ASPD|2LIT	1LWND|245DUR|345ASPD|45BPWR|6RCR|7aLIT|89VULN
136	22334 56132	1	   	247.84	DCR|2VULN|3DUR|3ASPD|2LIT	1LWND|245DUR|345ASPD|45BPWR|6RCR|7aLIT|89VULN
137	12252 41153	8	 * 	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	1CGEN|28ASPD|3LHND|49VULN|58DMG|6ERES|78DUR|8BPWR|aRCR
138	14322 43431	7	 * 	247.57	DCR|4VULN|2TLV|1DMG	12CGEN|36TLV|459aVULN|7DMG|8RCR
139	31125 43336	2	   	247.49	DCR|2VULN|2DUR|2ASPD|1DMG|2AART|1SELL	1SELL|2BELT|39DUR|46AART|5DMG|79VULN|89ASPD|9BPWR|aRCR
