0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31333 62521	7	 * 	314.77	DCR|4VULN|3DMG|3DUR	1489VULN|245DUR|3AART|48BPWR|68aDMG|7RCR
21	31333 62526	7	   	299.11	DCR|4VULN|3DUR|2DMG	1489VULN|245DUR|3AART|48BPWR|68DMG|7RCR|aCGEN
22	31333 62621	8	   	299.01	DCR|4VULN|3DUR|2DMG	1489VULN|245DUR|3AART|4BPWR|6aDMG|7RCR
23	31333 62225	10	   	299.01	DCR|4VULN|3DUR|2DMG	149aVULN|245DUR|3AART|49BPWR|69DMG|7RCR|89DUST
24	31321 35462	10	   	298.92	DCR|4VULN|3DUR|2ASPD|1TLV	1578VULN|267DUR|3AART|47ASPD|7BPWR|9RCR|aTLV
25	31331 55211	8	   	297.67	DCR|4VULN|3DUR|1DMG|1TLV	1467VULN|247DUR|3AART|47BPWR|57ERES|8DMG|9RCR|aTLV
26	32321 38544	8	   	296.79	DCR|4VULN|2DMG|2DUR|1ASPD	1579VULN|2MBVNT|3AART|4ASPD|69DUR|89DMG|9BPWR|aRCR
27	32321 61344	8	   	296.79	DCR|4VULN|2DMG|2DUR|1ASPD	1579VULN|2MBVNT|3AART|4ASPD|69DMG|89DUR|9BPWR|aRCR
28	32321 64144	7	   	296.79	DCR|4VULN|2DMG|2DUR|1ASPD	1589VULN|2MBVNT|3AART|4ASPD|69DMG|79DUR|9BPWR|aRCR
29	31321 35211	9	   	296.35	DCR|3VULN|3DUR|2ASPD|1DMG|1TLV	157VULN|267DUR|3AART|47ASPD|7BPWR|8DMG|9RCR|aTLV
30	31321 35211	8	   	296.35	DCR|3VULN|3DUR|2ASPD|1DMG|1TLV	157VULN|267DUR|3AART|47ASPD|7BPWR|8DMG|9RCR|aTLV
31	31156 12613	10	   	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	19aVULN|268DUR|3CDMG|49DUST|569DMG|69BPWR|7RCR
32	34125 41132	2	 * 	295.66	DCR|5VULN|2DMG|2DUR	1278aVULN|27BPWR|3FEWX|47DUR|5DLOT|67DMG|9RCR
33	31321 55153	8	   	294.00	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9TLV|aLIT
34	31333 62324	9	   	292.82	DCR|3VULN|3DUR|2DMG|1TLV	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LHND|aTLV
35	31333 62424	9	   	292.82	DCR|3VULN|3DUR|2DMG|1TLV	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LWND|aTLV
36	31333 62511	7	   	292.72	DCR|3VULN|3DUR|2DMG|1TLV	148VULN|245DUR|3AART|48BPWR|68DMG|7RCR|9CGEN|aTLV
37	31333 62534	7	   	292.72	DCR|3VULN|3DUR|2DMG|1TLV	148VULN|245DUR|3AART|48BPWR|68DMG|7RCR|9LWND|aTLV
38	31333 62561	7	   	292.72	DCR|3VULN|3DUR|2DMG|1TLV	148VULN|245DUR|3AART|48BPWR|68DMG|7RCR|9MLV|aTLV
39	31333 62641	10	   	292.62	DCR|3VULN|3DUR|2DMG|1TLV	148VULN|245DUR|3AART|4BPWR|6aDMG|7RCR|9TLV
40	31333 62224	9	   	292.62	DCR|3VULN|3DUR|2DMG|1TLV	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89DUST|aTLV
41	31333 62622	8	   	292.43	DCR|4VULN|3DUR|1DMG|1ASPD	1489VULN|245DUR|3AART|4BPWR|6DMG|7RCR|aASPD
42	31332 41543	5	   	292.22	DCR|3VULN|3DMG|3DUR	147VULN|248DUR|3AART|47BPWR|57LWND|679DMG|aRCR
43	31332 51543	7	   	292.22	DCR|3VULN|3DMG|3DUR	148VULN|246DUR|3AART|48BPWR|58LWND|789DMG|aRCR
44	31333 31543	7	   	292.22	DCR|3VULN|3DMG|3DUR	148VULN|245DUR|3AART|48BPWR|68BEXP|789DMG|aRCR
45	31333 41543	4	   	292.22	DCR|3VULN|3DMG|3DUR	147VULN|248DUR|3AART|47BPWR|57LWND|679DMG|aRCR
46	31333 61543	6	   	292.22	DCR|3VULN|3DMG|3DUR	148VULN|245DUR|3AART|48BPWR|689DMG|78FEWX|aRCR
47	31333 63543	7	   	292.22	DCR|3VULN|3DMG|3DUR	148VULN|245DUR|3AART|48BPWR|689DMG|78LHND|aRCR
48	31321 35461	10	 * 	292.19	DCR|4VULN|3DUR|3ASPD	1578VULN|267DUR|3AART|47aASPD|7BPWR|9RCR
49	31333 62543	7	   	292.12	DCR|3VULN|3DMG|3DUR	148VULN|245DUR|3AART|48BPWR|689DMG|7RCR|aRMIN
50	31333 62641	8	   	292.02	DCR|3VULN|3DMG|3DUR	148VULN|245DUR|3AART|4BPWR|69aDMG|7RCR
51	31333 11543	7	   	292.02	DCR|3VULN|3DMG|3DUR	148VULN|245DUR|3AART|48BPWR|68DUST|789DMG|aRCR
52	31333 62542	7	   	292.02	DCR|3VULN|3DMG|3DUR	148VULN|245DUR|3AART|48BPWR|689DMG|7RCR|aERES
53	32333 54544	5	   	291.16	DCR|4VULN|2DMG|2TLV|1DUR	1479VULN|2MBVNT|3AART|49BPWR|5DUR|69DMG|89TLV|aRCR
54	32345 54544	3	   	291.16	DCR|4VULN|2DMG|2TLV|1DUR	1579VULN|2MBVNT|3AART|4DUR|69DMG|89TLV|9BPWR|aRCR
55	11134 41132	2	   	290.84	DCR|5VULN|2DMG|1DUR	17FEWX|2AART|3DUR|4578aVULN|67DMG|7BPWR|9RCR
56	31362 41132	5	   	290.84	DCR|5VULN|2DMG|1DUR	1578aVULN|2DUR|3AART|47FEWX|67DMG|7BPWR|9RCR
57	31364 41132	4	   	290.84	DCR|5VULN|2DMG|1DUR	1578aVULN|2DUR|3AART|47FEWX|67DMG|7BPWR|9RCR
58	33626 43311	6	   	289.67	DCR|4VULN|2DMG|3ASPD|1CDMG	1679VULN|27DMG|3CDMG|4ERES|578ASPD|7BPWR|aRCR
59	31321 55111	10	   	289.51	DCR|4VULN|2DUR|2ASPD|1DMG	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9RPLT|aDMG
60	32321 31184	6	   	289.41	DCR|4VULN|2DUR|2ASPD|1DMG	1578VULN|2MBVNT|3AART|47ASPD|67DUR|7BPWR|9DMG|aRCR
61	32321 37184	7	   	289.41	DCR|4VULN|2DUR|2ASPD|1DMG	1578VULN|2MBVNT|3AART|47ASPD|67DUR|7BPWR|9DMG|aRCR
62	46121 61322	10	   	289.41	DCR|4VULN|2DUR|2ASPD|3LIT	134LIT|2379VULN|39BPWR|5AART|69ASPD|89DUR|aRCR
63	31333 62624	8	   	289.20	DCR|4VULN|3DUR|1DMG|2AART	1489VULN|245DUR|3aAART|4BPWR|6DMG|7RCR
64	31321 55112	8	 * 	288.99	DCR|5VULN|2DUR|2ASPD	1567aVULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9FEWX
65	31321 55114	10	   	288.99	DCR|5VULN|2DUR|2ASPD	1567aVULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9RPLT
66	31321 55122	9	   	288.99	DCR|5VULN|2DUR|2ASPD	1567aVULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9FEWX
67	31321 55121	8	   	288.89	DCR|5VULN|2DUR|2ASPD	1567aVULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9BBNT
68	31333 62341	7	   	288.68	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	14aVULN|245DUR|3AART|4BPWR|6DMG|7RCR|8TLV|9CDMG
69	32335 23544	4	   	288.16	DCR|4VULN|2DUR|2TLV|1DMG	1459VULN|2MBVNT|3AART|49BPWR|6DMG|79DUR|89TLV|aRCR
70	32335 23544	3	   	288.16	DCR|4VULN|2DUR|2TLV|1DMG	1459VULN|2MBVNT|3AART|6DMG|79DUR|89TLV|9BPWR|aRCR
71	32338 23544	3	   	288.16	DCR|4VULN|2DUR|2TLV|1DMG	1459VULN|2MBVNT|3AART|59BPWR|6DMG|79DUR|89TLV|aRCR
72	31321 35361	9	   	287.87	DCR|3VULN|3DUR|2ASPD|1DMG|2AART	157VULN|267DUR|38AART|47ASPD|7BPWR|9RCR|aDMG
73	31333 62326	10	   	287.57	DCR|3VULN|3DUR|2DMG|1ASPD	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LHND|aASPD
74	31333 62426	10	   	287.57	DCR|3VULN|3DUR|2DMG|1ASPD	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LWND|aASPD
75	31333 62642	8	   	287.37	DCR|3VULN|3DUR|2DMG|1ASPD	148VULN|245DUR|3AART|4BPWR|69DMG|7RCR|aASPD
76	31333 62226	10	   	287.37	DCR|3VULN|3DUR|2DMG|1ASPD	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89DUST|aASPD
77	31333 62642	10	   	286.04	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	148VULN|245DUR|3AART|4BPWR|6DMG|7RCR|9TLV|aASPD
78	36333 41114	5	   	285.99	DCR|4VULN|2DMG|2DUR	1478VULN|24BEXP|3AART|47BPWR|57DUR|67DMG|9FEWX|aRCR
79	31332 41114	5	   	285.99	DCR|4VULN|2DMG|2DUR	1478VULN|24DUR|3AART|47BPWR|57LWND|67DMG|9FEWX|aRCR
80	31332 41354	5	   	285.99	DCR|4VULN|2DMG|2DUR	1479VULN|24DUR|3AART|47BPWR|57LWND|67DMG|8BEXP|aRCR
81	31333 41114	4	   	285.99	DCR|4VULN|2DMG|2DUR	1478VULN|24DUR|3AART|47BPWR|57LWND|67DMG|9FEWX|aRCR
82	31333 41354	4	   	285.99	DCR|4VULN|2DMG|2DUR	1479VULN|24DUR|3AART|47BPWR|57LWND|67DMG|8BEXP|aRCR
83	31335 41114	4	   	285.99	DCR|4VULN|2DMG|2DUR	1478VULN|24DUR|3AART|47BPWR|57LHND|67DMG|9FEWX|aRCR
84	31336 41114	5	   	285.99	DCR|4VULN|2DMG|2DUR	1478VULN|24DUR|3AART|47BPWR|57LHND|67DMG|9FEWX|aRCR
85	11133 41132	2	   	285.89	DCR|4VULN|2DMG|2DUR	17FEWX|2AART|35DUR|478aVULN|67DMG|7BPWR|9RCR
86	11134 41532	2	   	285.89	DCR|4VULN|2DMG|2DUR	17FEWX|2AART|38DUR|457aVULN|67DMG|7BPWR|9RCR
87	31332 41254	5	   	285.89	DCR|4VULN|2DMG|2DUR	1479VULN|24DUR|3AART|47BPWR|57LWND|67DMG|8DUST|aRCR
88	31333 41254	4	   	285.89	DCR|4VULN|2DMG|2DUR	1479VULN|24DUR|3AART|47BPWR|57LWND|67DMG|8DUST|aRCR
89	31362 41532	5	   	285.89	DCR|4VULN|2DMG|2DUR	157aVULN|28DUR|3AART|47FEWX|67DMG|7BPWR|9RCR
90	31363 41132	4	   	285.89	DCR|4VULN|2DMG|2DUR	178aVULN|25DUR|3AART|47FEWX|67DMG|7BPWR|9RCR
91	32343 66144	6	   	285.79	DCR|4VULN|2DMG|2DUR	1789VULN|2MBVNT|3AART|4MLV|59DMG|69DUR|9BPWR|aRCR
92	32343 68144	7	   	285.79	DCR|4VULN|2DMG|2DUR	1789VULN|2MBVNT|3AART|4MLV|59DMG|69DUR|9BPWR|aRCR
93	32363 46144	6	   	285.79	DCR|4VULN|2DMG|2DUR	1789VULN|2MBVNT|3AART|4CGEN|59DMG|69DUR|9BPWR|aRCR
94	32361 38144	7	   	285.79	DCR|4VULN|2DMG|2DUR	1589VULN|2MBVNT|3AART|4CGEN|69DUR|79DMG|9BPWR|aRCR
95	32646 38144	7	   	285.79	DCR|4VULN|2DMG|2DUR	1489VULN|2MBVNT|3CGEN|5AART|69DUR|79DMG|9BPWR|aRCR
96	31335 41114	5	   	285.79	DCR|4VULN|2DMG|2DUR	1478VULN|24DUR|3AART|47BPWR|57DUST|67DMG|9FEWX|aRCR
97	32311 61344	8	   	285.79	DCR|4VULN|2DMG|2DUR	1579VULN|2MBVNT|3AART|4ZMB|69DMG|89DUR|9BPWR|aRCR
98	32311 64144	7	   	285.79	DCR|4VULN|2DMG|2DUR	1589VULN|2MBVNT|3AART|4ZMB|69DMG|79DUR|9BPWR|aRCR
99	32341 65144	7	   	285.79	DCR|4VULN|2DMG|2DUR	1589VULN|2MBVNT|3AART|4MLV|69DMG|79DUR|9BPWR|aRCR
100	32361 65144	7	   	285.79	DCR|4VULN|2DMG|2DUR	1589VULN|2MBVNT|3AART|4CGEN|69DMG|79DUR|9BPWR|aRCR
101	31321 55113	10	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9RPLT|aTLV
102	31321 55122	10	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9FEWX|aTLV
103	31321 55132	10	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9CGEN|aTLV
104	31321 55151	8	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9TLV|aLWND
105	31321 55152	8	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9TLV|aRPLT
106	31321 55142	10	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9MBVNT|aTLV
107	31321 55152	10	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	1567VULN|27DUR|3AART|47ASPD|7BPWR|8RCR|9DUST|aTLV
108	32321 31164	6	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	1578VULN|2MBVNT|3AART|47ASPD|67DUR|7BPWR|9TLV|aRCR
109	32321 37164	7	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	1578VULN|2MBVNT|3AART|47ASPD|67DUR|7BPWR|9TLV|aRCR
110	31333 62322	9	   	284.88	DCR|3VULN|3DUR|2DMG	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LHND|aLIT
111	31333 62422	9	   	284.88	DCR|3VULN|3DUR|2DMG	149VULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LWND|aLIT
112	31333 62532	7	   	284.78	DCR|3VULN|3DUR|2DMG	148VULN|245DUR|3AART|48BPWR|68DMG|7RCR|9LWND|aLIT
113	31333 62553	7	   	284.78	DCR|3VULN|3DUR|2DMG	148VULN|245DUR|3AART|48BPWR|68DMG|7RCR|9RPLT|aLIT
