0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26348 34431	9	 * 	277.19	DCR|4VULN|3DMG|1DUR	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aDUR
36	26348 34351	9	   	254.55	DCR|3VULN|3DMG|1DUR	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CGEN|9RCR|aDUR
37	26348 34831	9	   	254.55	DCR|3VULN|3DMG|1DUR	1DMSP|28RCVC|3MBVNT|467DMG|567VULN|67BPWR|9RCR|aDUR
38	26348 34534	10	   	254.45	DCR|3VULN|3DMG|1TLV	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8DUST|9RCR|aTLV
39	26348 38131	9	   	254.45	DCR|3VULN|3DMG|1DUR	1DMSP|2RCVC|3MBVNT|468DMG|567VULN|6BPWR|9RCR|aDUR
40	53241 22343	9	 * 	253.93	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1BEXP|2RPLT|3aDMG|4ASPD|5CGEN|6RCR|7aDUR|8TLV|9aVULN|aBPWR
41	53242 21353	7	   	253.83	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1BEXP|2RPLT|3aDMG|4ASPD|5TLV|6RCR|7aVULN|8ERES|9aDUR|aBPWR
42	36221 16243	10	 * 	253.51	DCR|3VULN|3DUR|1TLV	17ERES|2LIT|367DUR|47aVULN|5BELT|7BPWR|8RCR|9TLV
43	23242 45112	10	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1DMSP|2BEXP|3456VULN|7TLV|8DMG|9AART|aRCR
44	13242 45112	10	   	253.41	DCR|4VULN|1DMG|1TLV|1AART	1ZMB|2ERES|3456VULN|7TLV|8DMG|9AART|aRCR
45	14226 22321	2	 * 	253.40	DCR|2VULN|3DUR|1DMG|2AART|1CDMG	17ZMB|2CDMG|347DUR|58AART|67VULN|7BPWR|9RCR|aDMG
46	12264 31226	9	 * 	253.31	DCR|4VULN|2ASPD|1TLV|1NUKE	1ZMB|2NUKE|3569VULN|46ASPD|6BPWR|7TLV|8LIT|aRCR
47	36222 16411	9	 * 	252.16	DCR|2VULN|2DUR|2ASPD|1DMG|1CDMG	1ERES|2LIT|3aDUR|4aVULN|5BEXP|6aASPD|7DMG|8CDMG|9RCR|aBPWR
48	36223 16411	9	   	252.16	DCR|2VULN|2DUR|2ASPD|1DMG|1CDMG	1ERES|2LIT|3aDUR|4aVULN|5FEWX|6aASPD|7DMG|8CDMG|9RCR|aBPWR
49	46533 11123	5	 * 	252.08	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1LEGI|249VULN|3DUR|58TLV|6DMG|7ASPD|aRCR
50	26524 21122	5	   	252.05	DCR|3VULN|3DMG|1CDMG	1DMSP|2RCVC|347DMG|47BPWR|57ZMB|678VULN|9RCR|aCDMG
51	16321 46132	1	 * 	252.05	DCR|3VULN|2DUR|1DMG|1TLV	17ZMB|2BBNT|3DMG|47DUR|5TBNT|679VULN|7BPWR|8TLV|aRCR
52	14353 23153	2	 * 	252.02	DCR|4VULN|2DUR|1CDMG	1ZMB|2CDMG|3689VULN|4RPLT|57DUR|aRCR
53	26348 34134	8	   	251.95	DCR|3VULN|3DMG|1CDMG	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CDMG|9BEXP|aRCR
54	26348 34144	9	   	251.95	DCR|3VULN|3DMG|1CDMG	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CDMG|9BEXP|aRCR
55	26348 34154	9	   	251.95	DCR|3VULN|3DMG|1CDMG	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CDMG|9FEWX|aRCR
56	46533 13123	5	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1LEGI|248VULN|37DUR|5TLV|6DMG|9ZMB|aRCR
57	26348 34114	9	   	251.85	DCR|3VULN|3DMG|1CDMG	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CDMG|9DUST|aRCR
58	42622 24323	9	   	251.75	DCR|3VULN|3DMG|1CDMG	1LEGI|2aERES|36aVULN|4CGEN|5CDMG|79aDMG|8RCR|aBPWR
59	46322 24323	9	   	251.75	DCR|3VULN|3DMG|1CDMG	1LEGI|26aVULN|3aERES|4CGEN|5CDMG|79aDMG|8RCR|aBPWR
60	41532 13131	5	 * 	251.60	DCR|4VULN|3DUR	1LEGI|27DUST|367DUR|467aVULN|5BELT|67BPWR|8FEWX|9RCR
61	41532 13431	5	   	251.60	DCR|4VULN|3DUR	1LEGI|27DUST|367DUR|467aVULN|5BELT|67BPWR|8LWND|9RCR
62	41532 13531	5	   	251.60	DCR|4VULN|3DUR	1LEGI|27DUST|367DUR|467aVULN|5BELT|67BPWR|8LHND|9RCR
63	41535 13131	4	   	251.60	DCR|4VULN|3DUR	1LEGI|27DUST|367DUR|467aVULN|5BELT|67BPWR|8FEWX|9RCR
64	22323 15312	5	   	251.32	DCR|3VULN|3DUR|1CDMG	1DMSP|278CGEN|378DUR|4CDMG|5LIT|678VULN|78BPWR|9RCVC|aRCR
65	11353 24631	1	   	251.29	DCR|3VULN|2DUR|1TLV|1ASPD	1ZMB|237VULN|4LIT|5ASPD|6aDUR|8TLV|9RCR
66	41333 16532	1	   	251.08	DCR|3VULN|2DMG|2AART|1ASPD	1LEGI|29DMG|369VULN|49FEWX|57AART|8RCR|9BPWR|aASPD
67	12264 31612	9	 * 	250.73	DCR|3VULN|2ASPD|1DMG|1TLV|1NUKE	1ZMB|2NUKE|356VULN|46ASPD|6BPWR|7TLV|8DMG|9RCR|aLIT
68	11353 24632	1	   	250.36	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD	1ZMB|237VULN|4LIT|5ASPD|6DUR|8TLV|9RCR|aCDMG
69	11315 31642	1	   	249.80	DCR|3VULN|2DMG|1DUR|1ASPD	1ZMB|235VULN|4BELT|68DMG|7ASPD|9DUR|aRCR
70	26348 31416	10	   	249.80	DCR|3VULN|2DMG|1TLV|1ASPD	1DMSP|2RCVC|3MBVNT|46DMG|56aVULN|6BPWR|7TLV|8ASPD|9RCR
71	46611 21121	3	   	249.72	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG	1LEGI|24aVULN|3CDMG|5aLIT|6DUR|7LHND|8RCR|9aTLV|aBPWR
72	46611 21121	4	   	249.72	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG	1LEGI|24aVULN|3CDMG|5aLIT|6DUR|7LHND|8RCR|9aTLV|aBPWR
73	31315 31642	1	   	249.70	DCR|3VULN|2DMG|1DUR|1ASPD	1ERES|235VULN|4BELT|68DMG|7ASPD|9DUR|aRCR
74	46611 22121	3	   	249.62	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG	1LEGI|24aVULN|3CDMG|5aLIT|6DUR|7DUST|8RCR|9aTLV|aBPWR
75	46611 22121	4	   	249.62	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG	1LEGI|24aVULN|3CDMG|5aLIT|6DUR|7DUST|8RCR|9aTLV|aBPWR
76	21133 15346	5	 * 	249.00	DCR|4VULN|3CDMG|2LIT	1DMSP|278CDMG|378aLHND|4CGEN|5aLIT|678aVULN|78aBPWR|9RCR
77	53242 21161	9	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1BEXP|2RPLT|3DMG|4ASPD|5TLV|6RCR|78aVULN|9DUR
78	32242 26336	5	   	248.15	DCR|4VULN|1TLV|1DUR|1NUKE	1ERES|2NUKE|3457VULN|6DUR|8LIT|9RCR|aTLV
79	26348 34353	10	   	247.96	DCR|3VULN|3DMG|1AART	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CGEN|9RCR|aAART
80	26223 12626	8	 * 	247.57	DCR|4VULN|2TLV|1DMG	1DMSP|2RCVC|34TLV|4BPWR|5679VULN|8RCR|aDMG
81	46153 33322	9	 * 	247.47	DCR|4VULN|3LIT|2TLV	1LEGI|267aVULN|3RPLT|478LIT|57TLV|7BPWR|9RCR
82	62513 12314	8	 * 	247.39	DCR|2VULN|2DUR|2ASPD|2CDMG|2AART|1SELL	1SELL|23AART|48DUR|58ASPD|6RCR|78CDMG|8BPWR|9aVULN
83	23242 41311	6	   	247.24	DCR|5VULN|1DMG	1DMSP|27BEXP|34567VULN|7BPWR|8LHND|9DMG|aRCR
84	52242 41311	6	   	247.24	DCR|5VULN|1DMG	17BEXP|2RCVC|34567VULN|7BPWR|8LHND|9DMG|aRCR
85	11233 34632	1	   	247.21	DCR|3VULN|2DMG|1TLV	1ZMB|267VULN|3BEXP|4LIT|56DMG|6BPWR|8TLV|9RCR|aLWND
86	11233 34634	1	   	247.21	DCR|3VULN|2DMG|1TLV	1ZMB|267VULN|3BEXP|4LIT|56DMG|6BPWR|8TLV|9RCR|aCGEN
87	11233 34635	1	   	247.21	DCR|3VULN|2DMG|1TLV	1ZMB|267VULN|3BEXP|4LIT|56DMG|6BPWR|8TLV|9RCR|aRCVC
88	11233 34636	1	   	247.21	DCR|3VULN|2DMG|1TLV	1ZMB|267VULN|3BEXP|4LIT|56DMG|6BPWR|8TLV|9RCR|aFEWX
89	11533 34632	1	   	247.21	DCR|3VULN|2DMG|1TLV	1ZMB|267VULN|3FEWX|4LIT|56DMG|6BPWR|8TLV|9RCR|aLWND
90	53233 34632	1	   	247.21	DCR|3VULN|2DMG|1TLV	1BEXP|267VULN|3ZMB|4LIT|56DMG|6BPWR|8TLV|9RCR|aLWND
