0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56124 33333	8	 * 	281.32	DCR|4VULN|3DUR|1DMG|1AART	16aDUR|2357VULN|4AART|8DMG|9RCR
56	53146 21426	8	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	167DUR|2MBVNT|358VULN|4CDMG|9DMG|aRCR
57	53146 24426	6	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	168DUR|2MBVNT|357VULN|4CDMG|9DMG|aRCR
58	56122 12316	6	   	262.11	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1DUR|238VULN|4AART|59DMG|6RCVC|7CDMG|aRCR
59	53142 27722	6	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUR|2MBVNT|389VULN|4CDMG|5TLV|6RCR|7DMG|aASPD
60	56141 31113	3	   	261.92	DCR|3VULN|3DUR|1CDMG|1ASPD	16aDUR|237VULN|4CDMG|5LIT|8RCR|9ASPD
61	53142 24616	6	 * 	261.80	DCR|3VULN|2DUR|3CDMG|2TLV	17DUR|2MBVNT|39aVULN|478CDMG|57TLV|6RCR|7BPWR
62	56124 33133	7	   	261.26	DCR|4VULN|3DUR|1AART	16aDUR|2357VULN|4AART|8ZMB|9RCR
63	56124 33213	7	   	261.26	DCR|4VULN|3DUR|1AART	16aDUR|2357VULN|4AART|8RCR|9ZMB
64	53112 41475	7	   	261.16	DCR|4VULN|3DUR|1AART	145DUR|2MBVNT|3689VULN|7AART|aRCR
65	53112 41475	8	   	261.16	DCR|4VULN|3DUR|1AART	145DUR|2MBVNT|3689VULN|7AART|aRCR
66	53112 64443	9	 * 	260.91	DCR|2VULN|3DUR|2DMG|2ASPD	145DUR|2MBVNT|3aVULN|6RCR|7ERES|8aASPD|9aDMG|aBPWR
67	53831 35124	10	   	260.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1aDUR|2MBVNT|3TLV|4aVULN|5MLV|6AART|7RCR|8LIT|9aDMG|aBPWR
68	56123 11622	9	   	260.78	DCR|3VULN|3DUR|1CDMG|1AART	189DUR|239VULN|4AART|5LIT|6CDMG|79LHND|9BPWR|aRCR
69	56123 12622	9	   	260.78	DCR|3VULN|3DUR|1CDMG|1AART	189DUR|239VULN|4AART|5LIT|6CDMG|79BEXP|9BPWR|aRCR
70	56141 21112	3	   	260.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1ASPD	1DUR|237VULN|4CDMG|56LIT|8RCR|9ASPD|aDMG
71	53832 63431	7	   	260.67	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1DUR|2MBVNT|3TLV|478VULN|5AART|6RCR|9CDMG|aDMG
72	53832 63431	6	   	260.67	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1DUR|2MBVNT|3TLV|478VULN|5AART|6RCR|9CDMG|aDMG
73	53141 48342	9	   	260.49	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19DUR|2MBVNT|369VULN|4CDMG|5DUST|7RCR|89LIT|9BPWR|aTLV
74	56123 13153	6	   	260.31	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	19DUR|238VULN|4AART|59LIT|69CDMG|7TBNT|9BPWR|aRCR
75	56123 23153	5	   	260.31	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	19DUR|238VULN|4AART|59LIT|69CDMG|7TBNT|9BPWR|aRCR
76	51111 36152	4	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	147DUR|2LWND|367VULN|57LIT|7BPWR|8RPLT|9RCR|aTLV
77	51131 36152	4	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	157DUR|2LWND|367VULN|47LIT|7BPWR|8RPLT|9RCR|aTLV
78	53134 27147	4	   	260.25	DCR|3VULN|2DUR|2CDMG|1TLV	18DUR|2MBVNT|389VULN|4LIT|5DLOT|6TLV|78CDMG|8BPWR|aRCR
79	56163 11321	9	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	15aDUR|23aVULN|4TLV|6ERES|7BELT|8aLIT|9RCR|aBPWR
80	56333 36321	9	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	15aDUR|24aVULN|3ERES|6BELT|7TLV|8aLIT|9RCR|aBPWR
81	56333 41321	9	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	15aDUR|24aVULN|3ERES|6TLV|7BELT|8aLIT|9RCR|aBPWR
82	53142 23653	5	   	260.06	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|2LIT	19DUR|2MBVNT|39VULN|48CDMG|5TLV|69LIT|7RCR|9BPWR|aDMG
83	53121 82428	9	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	19aDUR|2MBVNT|36aVULN|4LHND|5ASPD|7RCR|8aTLV|aBPWR
84	53311 31468	3	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3LWND|478VULN|57TLV|7BPWR|9ASPD|aRCR
85	53311 31468	2	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3LHND|478VULN|57TLV|7BPWR|9ASPD|aRCR
86	53411 31468	3	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3FEWX|478VULN|57TLV|7BPWR|9ASPD|aRCR
87	53411 31468	2	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3FEWX|478VULN|57TLV|7BPWR|9ASPD|aRCR
88	53411 31848	3	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3FEWX|479VULN|57TLV|7BPWR|8ASPD|aRCR
89	53411 31848	2	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3FEWX|479VULN|57TLV|7BPWR|8ASPD|aRCR
90	53211 31468	2	   	259.93	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3DUST|478VULN|57TLV|7BPWR|9ASPD|aRCR
91	53211 31848	2	   	259.93	DCR|3VULN|3DUR|2TLV|1ASPD	167DUR|2MBVNT|3DUST|479VULN|57TLV|7BPWR|8ASPD|aRCR
92	55331 31243	6	   	259.86	DCR|2VULN|3DUR|2DMG|2TLV	168DUR|2aDMG|3LWND|4aVULN|5aTLV|7RMIN|9RCR|aBPWR
93	22432 35432	9	   	259.83	ACR|3VULN|3DMG|3DUR|1AART	1LEGI|27aDMG|3RCR|47aVULN|567DUR|7aBPWR|8RCVC|9AART
94	53146 11246	9	 * 	259.76	DCR|2VULN|3DUR|2DMG|2CDMG	179DUR|2MBVNT|35VULN|49CDMG|6DMSP|89DMG|9BPWR|aRCR
95	56331 23131	4	 * 	259.59	DCR|4VULN|2DUR|2ASPD	19DUR|2458VULN|39ERES|6RCVC|79ASPD|9BPWR|aRCR
96	56132 11131	6	   	259.59	DCR|4VULN|2DUR|2ASPD	19DUR|2378VULN|4RCVC|59ASPD|69ERES|9BPWR|aRCR
97	56132 35131	5	   	259.59	DCR|4VULN|2DUR|2ASPD	19DUR|2368VULN|4RCVC|59ASPD|79ERES|9BPWR|aRCR
98	56132 51131	5	   	259.59	DCR|4VULN|2DUR|2ASPD	19DUR|2378VULN|4RCVC|59ASPD|69ERES|9BPWR|aRCR
99	56331 11131	3	   	259.59	DCR|4VULN|2DUR|2ASPD	19DUR|2578VULN|39ERES|4RCVC|69ASPD|9BPWR|aRCR
100	22334 24224	10	   	258.97	DCR|3VULN|3DMG|1ASPD|1AART	1LEGI|278DMG|38LWND|458VULN|6AART|8BPWR|9RCR|aASPD
101	53142 23178	8	   	258.91	DCR|3VULN|3DUR|1TLV|1CDMG|1SELL	18aDUR|2MBVNT|38aVULN|4CDMG|5TLV|6RCR|78aLHND|8aBPWR|9SELL
102	53142 21347	8	   	258.76	DCR|3VULN|3DUR|1TLV|1CDMG	178DUR|2MBVNT|39aVULN|4CDMG|5TLV|6RCR
103	53142 21547	7	   	258.76	DCR|3VULN|3DUR|1TLV|1CDMG	178DUR|2MBVNT|39aVULN|4CDMG|5TLV|6RCR
104	51112 34131	10	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	145DUR|2LWND|37aVULN|6DMG|8RCR|9AART
105	51112 34135	9	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	145DUR|2LWND|37aVULN|6DMG|8RCR|9AART
106	56136 23333	8	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	15aDUR|237VULN|4RCVC|6AART|8DMG|9RCR
107	56224 33333	8	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	16aDUR|257VULN|3RCVC|4AART|8DMG|9RCR
108	32131 33331	7	 * 	258.37	DCR|3VULN|3DMG|2TLV	12aCGEN|35TLV|45aVULN|5aBPWR|68aDMG|7DLOT|9RCR
109	53218 41133	2	 * 	258.34	DCR|4VULN|2DUR|2TLV	17DUR|2MBVNT|35DUST|457aVULN|57BPWR|67TLV|8CGEN|9RCR
110	56334 31333	4	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|247aVULN|3ERES|5LWND|67DUST|7BPWR|8DMG|9RCR
111	56512 32333	6	   	258.28	DCR|2VULN|3DUR|2ASPD|1DMG|2LIT	145DUR|2aVULN|3LEGI|6DMG|7aASPD|8aLIT|9RCR|aBPWR
112	56113 41131	3	   	258.09	DCR|4VULN|2DUR|2CDMG|1SELL	19DUR|2378VULN|4SELL|59ERES|69CDMG|9BPWR|aRCR
113	51111 36316	4	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	147DUR|2LWND|367VULN|57LIT|7BPWR|8BEXP|9RCR|aCDMG
114	51131 36316	4	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	157DUR|2LWND|367VULN|47LIT|7BPWR|8BEXP|9RCR|aCDMG
115	53146 84332	6	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	17DUR|2MBVNT|35aVULN|4CDMG|6DMG|8RCR|9LIT
116	53111 37337	4	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	147DUR|2MBVNT|367VULN|57LIT|7BPWR|8BEXP|9RCR|aCDMG
117	53131 37337	3	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	147DUR|2MBVNT|367VULN|57LIT|7BPWR|8BEXP|9RCR|aCDMG
118	53131 37337	4	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	157DUR|2MBVNT|367VULN|47LIT|7BPWR|8BEXP|9RCR|aCDMG
119	56241 21123	2	   	257.46	DCR|3VULN|3DUR|2LIT|1CDMG	139DUR|27aVULN|4CDMG|56LIT|8RCR
120	56111 31153	3	   	257.44	DCR|4VULN|2DUR|1ASPD|1SELL	16DUR|2379VULN|4SELL|5LIT|8RCR|aASPD
121	43336 36444	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|3CDMG|4589VULN|6DMG|7DUR|aRCR
122	53146 84444	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2MBVNT|3589VULN|4CDMG|6DMG|7BEXP|aRCR
123	53834 64224	4	   	257.33	DCR|3VULN|3DUR|2TLV	167DUR|2MBVNT|37TLV|47aVULN|5RPLT|7BPWR|8LIT|9RCR
124	53141 44244	10	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2MBVNT|3679VULN|4CDMG|5DUST|8DMG|aRCR
125	56141 31122	3	   	257.23	DCR|3VULN|3DUR|2CDMG	169DUR|237VULN|4aCDMG|5LIT|8RCR
126	53112 35633	6	   	257.03	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	145DUR|2MBVNT|3aVULN|6DMG|7aLIT|8aTLV|9RCR|aBPWR
127	22131 42433	7	   	256.67	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LEGI|2DMG|3TLV|4LIT|5DUR|6RCR|7ASPD|89aVULN
128	22131 42633	8	   	256.67	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LEGI|2DMG|3TLV|4LIT|5DUR|6RCR|7ASPD|89aVULN
129	55334 22121	6	   	256.66	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	17DUR|2DMG|37LWND|457VULN|6AART|7BPWR|8LHND|9ASPD|aRCR
130	51153 25323	7	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|27LWND|39VULN|4CDMG|57DMG|6RCR|7BPWR|8TLV|aLHND
131	51153 25321	7	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|27LWND|39VULN|4CDMG|57DMG|6RCR|7BPWR|8TLV|aDUST
132	56124 33132	7	   	256.34	DCR|4VULN|2DUR|1AART	16DUR|2357VULN|4AART|8ZMB|9RCR|aLIT
133	56124 33212	7	   	256.34	DCR|4VULN|2DUR|1AART	16DUR|2357VULN|4AART|8RCR|9ZMB|aLIT
134	56122 11214	5	   	256.20	DCR|2VULN|2DMG|2DUR|2TLV|1AART	17DUR|23VULN|4AART|57DMG|67TLV|7BPWR|8TBNT|9FEWX|aRCR
135	56122 11224	5	   	256.20	DCR|2VULN|2DMG|2DUR|2TLV|1AART	17DUR|23VULN|4AART|57DMG|67TLV|7BPWR|8TBNT|9LWND|aRCR
136	56122 11252	5	   	256.20	DCR|2VULN|2DMG|2DUR|2TLV|1AART	17DUR|23VULN|4AART|57DMG|67TLV|7BPWR|8TBNT|9RCR|aZMB
137	56122 11234	5	   	256.10	DCR|2VULN|2DMG|2DUR|2TLV|1AART	17DUR|23VULN|4AART|57DMG|67TLV|7BPWR|8TBNT|9DUST|aRCR
138	56122 11251	5	   	256.10	DCR|2VULN|2DMG|2DUR|2TLV|1AART	17DUR|23VULN|4AART|57DMG|67TLV|7BPWR|8TBNT|9RCR|aDUST
139	22122 26563	9	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1LEGI|2aDMG|3TLV|456DUR|7aZMB|8aVULN|9RCR|aBPWR
140	53113 33183	4	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	149DUR|2MBVNT|39VULN|5CGEN|6DUST|79DMG|8RCR|9BPWR|aTLV
141	53133 33183	3	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	149DUR|2MBVNT|39VULN|5CGEN|6DUST|79DMG|8RCR|9BPWR|aTLV
142	53153 33183	4	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	169DUR|2MBVNT|39VULN|4DUST|5CGEN|79DMG|8RCR|9BPWR|aTLV
143	53833 33183	2	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	149DUR|2MBVNT|39VULN|5CGEN|6DUST|79DMG|8RCR|9BPWR|aTLV
144	51112 34126	8	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	145DUR|2LWND|37VULN|6aDMG|8RCR|9TLV
145	53112 35227	7	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV	145DUR|2MBVNT|37VULN|6aDMG|8RCR|9TLV
146	53112 38227	6	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV	145DUR|2MBVNT|37VULN|6aDMG|8RCR|9TLV
147	55331 51333	10	 * 	255.76	DCR|3VULN|2DUR|2TLV|1DMG	18DUR|2DMG|3LWND|47aVULN|56TLV|9RCR
148	53115 21321	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aLHND
149	53115 21323	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aZMB
150	53115 21324	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aRPLT
151	53115 21326	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aRMIN
152	53118 21321	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG|aLHND
153	53118 21323	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG|aZMB
154	53118 21324	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG|aRPLT
155	53118 21326	3	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG|aRMIN
156	53146 14241	9	   	255.76	DCR|3VULN|2DUR|2TLV|2CDMG	1aDUR|2MBVNT|359VULN|4aCDMG|6DMSP|7aTLV|8RCR|aBPWR
157	53446 41326	6	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|3FEWX|48CDMG|568VULN|7BBNT|8BPWR|9DMG|aRCR
158	53815 21321	2	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aLHND
159	53815 21323	2	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aZMB
160	53815 21324	2	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aRPLT
161	53818 21321	2	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG|aLHND
162	53818 21323	2	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG|aZMB
163	53818 21324	2	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG|aRPLT
164	53834 62431	7	   	255.76	DCR|3VULN|2DUR|2TLV|2CDMG	1aDUR|2MBVNT|36TLV|47aVULN|5DMSP|8RCR|9aCDMG|aBPWR
165	53115 21327	3	   	255.66	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG|aBBNT
166	53115 21381	3	   	255.66	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9BBNT|aDMG
