0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53321 51241	10	 * 	294.13	橙4易伤2等级3时间1全技能	137时间2敌人爆炸478a易伤57等级6全技能7序列升级9核
27	11542 13532	7	   	271.88	橙4易伤2伤害2时间	1额外掉落278a易伤37时间4加一57伤害6核7序列升级9雷电
28	11542 13241	7	   	271.60	橙3易伤3伤害3时间	18额外掉落279易伤379时间4加一579伤害6核79序列升级a随机矿
29	11542 13244	7	   	271.60	橙3易伤3伤害3时间	18额外掉落279易伤379时间4加一579伤害6核79序列升级a低血量敌人
30	11542 13246	7	   	271.60	橙3易伤3伤害3时间	18额外掉落279易伤379时间4加一579伤害6核79序列升级a最后敌人
31	11542 13247	7	   	271.60	橙3易伤3伤害3时间	18额外掉落279易伤379时间4加一579伤害6核79序列升级a金币生成
32	11542 13248	7	   	271.60	橙3易伤3伤害3时间	18a额外掉落279易伤379时间4加一579伤害6核79序列升级
33	11542 13441	8	   	271.60	橙3易伤3伤害3时间	1额外掉落279易伤379时间4加一579伤害6核79序列升级8立即金币a随机矿
34	11542 13444	8	   	271.60	橙3易伤3伤害3时间	1额外掉落279易伤379时间4加一579伤害6核79序列升级8立即金币a低血量敌人
35	11542 13446	8	   	271.60	橙3易伤3伤害3时间	1额外掉落279易伤379时间4加一579伤害6核79序列升级8立即金币a最后敌人
36	11542 13447	8	   	271.60	橙3易伤3伤害3时间	1额外掉落279易伤379时间4加一579伤害6核79序列升级8立即金币a金币生成
37	11542 13448	8	   	271.60	橙3易伤3伤害3时间	1a额外掉落279易伤379时间4加一579伤害6核79序列升级8立即金币
38	11542 13242	7	   	271.50	橙3易伤3伤害3时间	18额外掉落279易伤379时间4加一579伤害6核79序列升级a赏金邻近
39	11542 13442	8	   	271.50	橙3易伤3伤害3时间	1额外掉落279易伤379时间4加一579伤害6核79序列升级8立即金币a赏金邻近
40	11542 13245	7	   	271.36	橙3易伤3伤害3时间1卖塔	18额外掉落279易伤379时间4加一579伤害6核79序列升级a卖塔
41	11542 13445	8	   	271.36	橙3易伤3伤害3时间1卖塔	1额外掉落279易伤379时间4加一579伤害6核79序列升级8立即金币a卖塔
42	52343 21312	2	 * 	271.01	橙2易伤3时间2伤害1等级1暴击	179时间2暴击39易伤4最后敌人5基地爆炸69伤害8核9序列升级a等级
43	52363 21312	2	   	271.01	橙2易伤3时间2伤害1等级1暴击	179时间2暴击39易伤4低血量敌人5基地爆炸69伤害8核9序列升级a等级
44	53323 35312	4	   	271.01	橙2易伤3时间2伤害1等级1暴击	139时间2敌人爆炸49易伤5暴击6低血量敌人79伤害8核9序列升级a等级
45	52344 21312	2	   	270.91	橙2易伤3时间2伤害1等级1暴击	179时间2暴击39易伤4最后敌人5挖尘69伤害8核9序列升级a等级
46	52364 21312	2	   	270.91	橙2易伤3时间2伤害1等级1暴击	179时间2暴击39易伤4低血量敌人5挖尘69伤害8核9序列升级a等级
47	11254 51233	2	 * 	270.47	橙5易伤2时间1等级	1额外掉落23469易伤56时间6序列升级7金币生成8等级a核
48	11542 13143	7	   	269.40	橙3易伤3时间2伤害1暴击	1额外掉落279易伤378时间4加一57伤害6核7序列升级a暴击
49	11542 13324	7	 * 	268.72	橙3易伤2伤害2时间1等级	1额外掉落27a易伤37时间4加一57伤害6核7序列升级8金币生成9等级
50	11542 13412	10	   	268.72	橙3易伤2伤害2时间1等级	1额外掉落279易伤37时间4加一57伤害6核7序列升级8立即金币a等级
51	11542 13416	9	   	268.72	橙3易伤2伤害2时间1等级	1额外掉落279易伤37时间4加一57伤害6核7序列升级8立即金币a等级
52	11251 26315	2	   	268.51	橙5易伤2伤害2全技能	1额外掉落2348a易伤58伤害6核79全技能8序列升级
53	53321 51411	7	 * 	268.45	橙2易伤2等级3时间1伤害1全技能	137时间2敌人爆炸47易伤57等级6全技能7序列升级8伤害9核a立即金币
54	53321 51412	7	   	268.45	橙2易伤2等级3时间1伤害1全技能	137时间2敌人爆炸47易伤57等级6全技能7序列升级8伤害9核a最后敌人
55	53321 51413	7	   	268.45	橙2易伤2等级3时间1伤害1全技能	137时间2敌人爆炸47易伤57等级6全技能7序列升级8伤害9核a随机矿
56	11241 24342	2	   	267.33	橙5易伤2伤害1时间	1额外掉落23789易伤4立即金币59伤害6核9序列升级a时间
57	11251 34342	2	   	267.33	橙5易伤2伤害1时间	1额外掉落23489易伤59伤害6立即金币7核9序列升级a时间
58	11311 24342	4	   	267.33	橙5易伤2伤害1时间	1额外掉落24789易伤3立即金币59伤害6核9序列升级a时间
59	11313 44342	4	   	267.33	橙5易伤2伤害1时间	1额外掉落24589易伤3立即金币59序列升级69伤害7核a时间
60	11351 24342	3	   	267.33	橙5易伤2伤害1时间	1额外掉落24789易伤3立即金币59伤害6核9序列升级a时间
61	11351 24342	4	   	267.33	橙5易伤2伤害1时间	1额外掉落24789易伤3立即金币49序列升级59伤害6核a时间
62	11251 24322	2	   	267.23	橙5易伤2伤害1时间	1额外掉落23478易伤59伤害6核9序列升级a时间
63	11251 24352	2	   	267.23	橙5易伤2伤害1时间	1额外掉落23478易伤5a伤害6核9时间
64	11253 44322	2	   	267.23	橙5易伤2伤害1时间	1额外掉落23458易伤59序列升级69伤害7核a时间
65	16251 24322	1	   	267.23	橙5易伤2伤害1时间	1额外掉落23478易伤59伤害6核9序列升级a时间
66	11251 26353	2	   	266.95	橙4易伤2伤害1时间1全技能	1额外掉落2348易伤58伤害6核7全技能8序列升级9时间a攻速
67	11251 26335	2	   	266.36	橙4易伤3伤害1全技能	1额外掉落2348易伤589伤害6核7全技能8序列升级a雷电
68	26423 51221	10	 * 	266.11	橙4易伤3等级1时间1全技能	1低血量敌人245等级359a易伤5序列升级6时间7核8全技能
69	11241 26314	2	   	265.92	橙4易伤3伤害2全技能	1额外掉落238a易伤4立即金币58a伤害6核79全技能8a序列升级
70	11311 26314	4	   	265.92	橙4易伤3伤害2全技能	1额外掉落248a易伤3立即金币58a伤害6核79全技能8a序列升级
71	11351 26314	4	   	265.92	橙4易伤3伤害2全技能	1额外掉落248a易伤3立即金币48a序列升级58a伤害6核79全技能
72	11351 26314	3	   	265.92	橙4易伤3伤害2全技能	1额外掉落248a易伤3立即金币58a伤害6核79全技能8a序列升级
73	11254 23243	2	   	265.25	橙4易伤3时间1等级	1额外掉落2347易伤579时间67掉矿7序列升级8等级a核
74	11232 53461	7	   	264.94	橙4易伤3伤害1时间	1额外掉落2789易伤379伤害4敌人爆炸5时间679基地爆炸79序列升级a核
75	11232 53561	8	   	264.94	橙4易伤3伤害1时间	1额外掉落2789易伤379伤害4敌人爆炸5时间679基地爆炸79序列升级a核
76	12232 63461	7	   	264.94	橙4易伤3伤害1时间	1额外掉落279最后敌人379伤害4敌人爆炸5时间6789易伤79序列升级a核
77	11542 13352	8	   	264.48	橙3易伤2伤害2时间1暴击	1额外掉落27a易伤37时间4加一57伤害6核7序列升级8雷电9暴击
