0	Index      	Bounty	 *	Score 	Summary	Detail	
1	38771 43332	10	 * 	310.73	橙3易伤2等级3时间2伤害	1加一29伤害358时间459易伤59序列升级69等级7全技能a核
31	38421 83332	10	   	285.93	橙2易伤2等级3时间2伤害	1加一29伤害39等级49易伤568时间7全技能9序列升级a核
32	38771 33412	10	   	285.41	橙4易伤3时间1等级1伤害	1加一2伤害356时间4568易伤56序列升级7金币生成9等级a核
33	38321 76233	6	   	285.00	橙2易伤2等级2伤害2时间1暴击	1加一29伤害3攻速49易伤5a时间6暴击79等级8核9序列升级
34	38321 86233	5	   	285.00	橙2易伤2等级2伤害2时间1暴击	1加一29伤害3攻速49易伤5a时间6暴击79等级8核9序列升级
35	38421 77232	4	   	285.00	橙2易伤2等级2伤害2时间1暴击	1加一29伤害3a等级49易伤5攻速6暴击79时间8核9序列升级
36	38422 77232	5	   	285.00	橙2易伤2等级2伤害2时间1暴击	1加一29伤害3a等级49易伤5攻速6暴击79时间8核9序列升级
37	38441 77232	3	   	285.00	橙2易伤2等级2伤害2时间1暴击	1加一29伤害3a等级49易伤5攻速6暴击79时间8核9序列升级
38	36824 64231	8	 * 	284.46	橙4易伤3等级3时间	1加一2平台379等级479时间5789易伤6核79序列升级a金币生成
39	36824 64232	8	   	284.46	橙4易伤3等级3时间	1加一2平台379等级479时间5789易伤6核79序列升级a最后敌人
40	36824 64234	8	   	284.46	橙4易伤3等级3时间	1加一2平台379等级479时间5789易伤6核79序列升级a基地爆炸
41	36824 64421	7	   	284.46	橙4易伤3等级3时间	1加一2平台378等级478时间5789易伤6核78序列升级a金币生成
42	36824 64422	7	   	284.46	橙4易伤3等级3时间	1加一2平台378等级478时间5789易伤6核78序列升级a最后敌人
43	36824 64424	7	   	284.46	橙4易伤3等级3时间	1加一2平台378等级478时间5789易伤6核78序列升级a基地爆炸
44	11461 32431	8	 * 	284.38	橙3易伤3伤害2时间1等级	1基地爆炸256伤害3挖青456易伤56序列升级78时间9等级a核
45	36824 64223	9	   	284.36	橙4易伤2等级3时间	1加一2平台37等级47a时间5789易伤6核7序列升级
46	36824 64244	7	   	284.36	橙4易伤3等级3时间	1加一2平台37a等级47a时间579a易伤6核7a序列升级8赏金邻近
47	36824 64244	8	   	284.36	橙4易伤3等级3时间	1加一2平台37a等级47a时间578a易伤6核7a序列升级9赏金邻近
48	32318 84252	8	   	283.38	橙3易伤3等级3时间1伤害	1加一278易伤3基地爆炸478时间578等级6挖青78序列升级9核a伤害
49	11553 32234	10	   	282.90	橙4易伤3伤害1等级	1基地爆炸247伤害346a易伤4序列升级5等级8核9攻速
50	38426 23164	10	   	282.72	橙3易伤3等级2伤害1时间	1加一27伤害378等级457易伤6全技能7序列升级9核a时间
51	38664 23123	7	   	282.32	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8金币生成9矿等a核
52	38664 23123	8	   	282.32	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8基地爆炸9立即金币a核
53	38664 23243	9	   	282.32	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8低血量敌人9立即金币a核
54	38664 23343	9	   	282.32	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8最后敌人9立即金币a核
55	38426 23263	7	   	282.22	橙3易伤3伤害2等级	1加一279伤害37等级457易伤6全技能7序列升级8低血量敌人a核
56	38426 23323	7	   	282.22	橙3易伤3伤害2等级	1加一278伤害37等级457易伤6全技能7序列升级9最后敌人a核
57	38426 23323	9	   	282.22	橙3易伤3伤害2等级	1加一279伤害37等级457易伤6全技能7序列升级8最后敌人a核
58	38426 23343	7	   	282.22	橙3易伤3伤害2等级	1加一278伤害37等级457易伤6全技能7序列升级9低血量敌人a核
59	38426 23363	8	   	282.22	橙3易伤3伤害2等级	1加一279伤害37等级457易伤6全技能7序列升级8最后敌人a核
60	38426 23723	9	   	282.22	橙3易伤3伤害2等级	1加一279伤害37等级457易伤6全技能7序列升级8低血量敌人a核
61	38664 23223	7	   	282.22	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8挖尘9立即金币a核
62	38664 23323	7	   	282.22	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8掉矿9矿等a核
63	38664 24423	6	   	282.22	橙3易伤3伤害2等级	1加一247伤害348易伤48序列升级58等级6全技能9最后敌人a核
64	38664 24443	6	   	282.22	橙3易伤3伤害2等级	1加一247伤害348易伤48序列升级58等级6全技能9低血量敌人a核
65	38426 23336	7	   	282.12	橙3易伤3伤害2等级	1加一278伤害37等级457易伤6全技能7序列升级9赏金塔a核
66	38771 31221	10	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a敌人爆炸
67	38771 31222	10	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a矿等
68	38771 31222	9	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a敌人爆炸
69	38771 31223	9	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a金币生成
70	38771 31224	10	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a平台
71	38771 31221	9	   	281.85	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a掉矿
72	38771 31224	9	   	281.85	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a挖尘
73	38424 77431	7	   	280.96	橙3易伤3伤害3等级	1加一289伤害389等级489易伤5平台6随机矿7核89序列升级a攻速
74	11553 32235	9	   	280.86	橙3易伤3伤害2等级	1基地爆炸247伤害346易伤4序列升级5a等级8核9攻速
