0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66213 34311	5	 * 	298.86	橙3易伤3伤害2时间2等级	1全技能2a时间34等级58a易伤67a伤害9核a序列升级
34	22463 23162	1	 * 	276.22	橙4易伤2伤害2时间	179a易伤25时间37矿等47伤害6随机矿7序列升级8核
35	21134 64212	3	   	275.47	橙4易伤1伤害1时间1暴击	1346易伤2暴击5伤害7雷电8核9时间a全技能
36	22134 41153	1	   	275.36	橙3易伤2时间1伤害1等级1暴击	138易伤2a时间4暴击5等级6全技能7核9伤害
37	21134 11663	3	   	274.99	橙4易伤2伤害1时间1暴击	1349易伤2暴击56伤害7挖尘8核a时间
38	21162 63622	5	 * 	274.90	橙4易伤2攻速1等级1时间1暴击	1357易伤2暴击4时间6a攻速8核9等级
39	21162 63622	6	   	274.90	橙4易伤2攻速1等级1时间1暴击	1357易伤2暴击4时间6a攻速8核9等级
40	26333 16212	5	   	274.59	橙4易伤2时间3雷电1等级	1459易伤2掉矿389雷电69时间7核9序列升级a等级
41	26333 44212	7	   	274.59	橙4易伤2时间3雷电1等级	1459易伤2掉矿389雷电69时间7核9序列升级a等级
42	26333 46212	6	   	274.59	橙4易伤2时间3雷电1等级	1459易伤2掉矿389雷电69时间7核9序列升级a等级
43	21551 53312	3	   	274.25	橙4易伤3伤害1暴击1卖塔	178a易伤2暴击3加一4卖塔578掉矿678伤害78序列升级9核
44	21322 42663	7	   	273.75	橙4易伤1伤害1等级1时间1暴击	1569易伤2暴击3随机矿4等级7伤害8核a时间
45	21162 41411	9	   	273.56	橙4易伤3时间1暴击	1356易伤2暴击47a时间8核9雷电
46	23221 26782	10	   	273.49	橙4易伤2时间2等级2雷电	1679易伤29敌人爆炸37雷电4加一57等级79序列升级89时间a核
47	21162 13662	6	   	273.23	橙5易伤1等级1时间1暴击	13579易伤2暴击4时间6策反8核a等级
48	21136 24234	2	   	273.22	橙3易伤3伤害2暴击2雷电	14a易伤25暴击3双倍矿69a伤害7a雷电8核a序列升级
49	22111 43524	1	 * 	273.01	橙4易伤3时间2攻速	138a易伤289时间4最后敌人5基地爆炸68攻速7核8序列升级
50	22112 43524	1	   	273.01	橙4易伤3时间2攻速	138a易伤289时间4最后敌人5低血量敌人68攻速7核8序列升级
51	21162 42411	8	   	272.95	橙5易伤2暴击1时间	13569易伤27暴击4时间8核a全技能
52	21162 42611	7	   	272.95	橙5易伤2暴击1时间	13569易伤27暴击4时间8核a全技能
53	22163 26363	1	   	272.87	橙5易伤2时间2雷电	1367a易伤27时间47雷电5赏金邻近7序列升级8敌人爆炸9核
54	24213 26363	3	   	272.87	橙5易伤2时间2雷电	1467a易伤27时间37雷电5赏金邻近7序列升级8敌人爆炸9核
55	22164 23153	2	   	272.29	橙4易伤2时间2等级1暴击	1347易伤24低血量敌人47序列升级57等级67时间8核9策反a暴击
56	23164 23153	1	   	272.29	橙4易伤2时间2等级1暴击	1347易伤24低血量敌人47序列升级57等级67时间8核9策反a暴击
57	21322 41265	10	   	272.09	橙4易伤2时间3等级1暴击	156a易伤2暴击3随机矿48a等级7a时间9核a序列升级
58	22164 23151	2	   	271.86	橙4易伤3时间2等级	1347易伤24低血量敌人47序列升级57等级67a时间8核9策反
59	23164 23151	1	   	271.86	橙4易伤3时间2等级	1347易伤24低血量敌人47序列升级57等级67a时间8核9策反
60	21164 41111	4	   	271.84	橙4易伤2时间2等级1暴击1卖塔	138a易伤2暴击4a时间5a等级6全技能7核9卖塔a序列升级
61	24232 22315	5	 * 	271.78	紫5易伤2伤害2时间	1689a易伤2a时间3雷电4金币生成5核7a伤害a序列升级
62	22154 23342	1	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a基地爆炸
63	22154 23343	1	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a矿等
64	22154 23344	1	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a策反
65	22154 23346	1	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a立即金币
66	22154 23348	1	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a最后敌人
67	24154 23342	2	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a基地爆炸
68	24154 23343	2	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a矿等
69	24154 23344	2	   	271.76	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a策反
70	26331 16313	5	   	271.66	橙4易伤3时间3雷电	149a易伤2a掉矿359雷电69a时间7核8立即金币9a序列升级
71	26331 44313	7	   	271.66	橙4易伤3时间3雷电	149a易伤2a掉矿359雷电69a时间7核8立即金币9a序列升级
72	26331 44313	8	   	271.66	橙4易伤3时间3雷电	149a易伤2a掉矿359雷电69a时间7核8双倍矿9a序列升级
73	26331 46313	6	   	271.66	橙4易伤3时间3雷电	149a易伤2a掉矿359雷电69a时间7核8立即金币9a序列升级
74	22154 23347	1	   	271.66	橙4易伤3时间3等级	1378易伤278时间4双倍矿578等级6加一78序列升级9核a赏金邻近
75	26332 16213	4	   	271.66	橙4易伤3时间3雷电	149a易伤2a掉矿389雷电5立即金币69a时间7核9a序列升级
76	26352 16213	3	   	271.66	橙4易伤3时间3雷电	149a易伤2a掉矿389雷电5立即金币69a时间7核9a序列升级
77	21122 41442	9	   	271.56	橙5易伤2时间1暴击	13568易伤2暴击4基地爆炸7a时间9核
78	21122 41442	8	   	271.56	橙5易伤2时间1暴击	13568易伤2暴击4基地爆炸7a时间9核
79	21122 41443	10	   	271.56	橙5易伤2时间1暴击	13568易伤2暴击4基地爆炸7a时间9核
80	21162 41433	10	   	271.56	橙5易伤2时间1暴击	1356a易伤2暴击47时间8核9随机矿
81	21162 45131	10	   	271.56	橙5易伤2时间1暴击	13568易伤2暴击49时间7平台a核
82	26323 16213	5	   	271.56	橙4易伤3时间3雷电	159a易伤24a掉矿389雷电69a时间7核9a序列升级
83	26323 44213	7	   	271.56	橙4易伤3时间3雷电	159a易伤24a掉矿389雷电69a时间7核9a序列升级
84	26323 46213	6	   	271.56	橙4易伤3时间3雷电	159a易伤24a掉矿389雷电69a时间7核9a序列升级
85	26333 16214	5	   	271.56	橙4易伤3时间3雷电	1459易伤2掉矿389雷电69a时间7核9序列升级
86	26335 16213	4	   	271.56	橙4易伤3时间3雷电	149a易伤25a掉矿389雷电69a时间7核9a序列升级
87	21162 41412	8	   	271.32	橙5易伤2时间1暴击1卖塔	13569易伤2暴击47时间8核a卖塔
88	21162 41612	7	   	271.32	橙5易伤2时间1暴击1卖塔	13569易伤2暴击47时间8核a卖塔
89	22161 23164	2	   	271.24	橙5易伤3时间	13479易伤24低血量敌人47序列升级57掉矿67a时间8核
90	23161 23164	1	   	271.24	橙5易伤3时间	13479易伤24低血量敌人47序列升级57掉矿67a时间8核
91	21162 63623	5	   	271.01	橙4易伤2暴击1等级1时间1攻速	1357易伤2a暴击4时间6攻速8核9等级
92	21162 63623	6	   	271.01	橙4易伤2暴击1等级1时间1攻速	1357易伤2a暴击4时间6攻速8核9等级
93	25116 23362	9	   	270.81	橙4易伤3伤害	1789易伤2随机矿3掉矿4全技能578伤害678最后敌人78序列升级a核
94	21134 14212	3	   	270.42	橙3易伤2伤害1时间1暴击	134易伤2暴击56伤害7雷电8核9时间a全技能
95	21164 41312	4	   	270.35	橙3易伤2时间1等级2雷电1暴击	13a易伤2暴击4a时间5等级6全技能7核8矿等9a雷电a序列升级
96	21163 16333	8	   	269.97	橙3易伤2伤害2暴击1时间1攻速	138易伤28暴击4时间5低血量敌人68伤害7额外掉落8序列升级9攻速a核
97	22164 23112	2	   	269.64	橙4易伤2时间2等级1攻速	1347易伤24低血量敌人47序列升级57等级67时间8核9平台a攻速
98	23164 23112	1	   	269.64	橙4易伤2时间2等级1攻速	1347易伤24低血量敌人47序列升级57等级67时间8核9平台a攻速
99	21162 42433	8	   	269.34	橙4易伤2时间2暴击1攻速	1356易伤27暴击4a时间8核9攻速
100	21162 42633	7	   	269.34	橙4易伤2时间2暴击1攻速	1356易伤27暴击4a时间8核9攻速
101	21162 42413	8	 * 	269.33	橙5易伤3暴击1时间	13569易伤27a暴击4时间8核
102	21162 42613	7	   	269.33	橙5易伤3暴击1时间	13569易伤27a暴击4时间8核
103	21642 15132	10	   	269.10	橙5易伤1伤害1暴击	14578易伤2暴击3雷电6基地爆炸9伤害a核
104	22161 23166	2	   	269.02	橙5易伤2时间1攻速	13479易伤24低血量敌人47序列升级57掉矿67时间8核a攻速
105	23161 23166	1	   	269.02	橙5易伤2时间1攻速	13479易伤24低血量敌人47序列升级57掉矿67时间8核a攻速
