0	Index      	 *	Score 	Summary	Detail	
1	26633 33214	 * 	407.75	橙3易伤1双倍秒伤2时间1伤害	19时间29金币生成3伤害458易伤6核79基地爆炸9序列升级a双倍秒伤
20	62231 63511	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a低血量敌人
21	62231 63512	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a技能点
22	62231 63513	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a基地爆炸
23	62232 63533	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9敌人爆炸a双倍秒伤
24	12232 63511	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a低血量敌人
25	12232 63512	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a技能点
26	12232 63513	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a基地爆炸
27	12232 63514	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a火球减费
28	12232 63515	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a喷火对黄
29	12232 63516	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能1卖塔	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a卖塔
30	62232 63511	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a低血量敌人
31	62232 63512	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a技能点
32	62232 63513	   	382.34	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9双倍秒伤a基地爆炸
33	12321 36523	 * 	378.51	橙2易伤1双倍秒伤1暴击1伤害1时间	1多重对愈2伤害3暴击4赏金塔59易伤6核7时间8基地爆炸a双倍秒伤
34	62321 36523	   	378.51	橙2易伤1双倍秒伤1暴击1伤害1时间	1加农对壮2伤害3暴击4赏金塔59易伤6核7时间8基地爆炸a双倍秒伤
35	12321 36423	   	378.41	橙2易伤1双倍秒伤1暴击1伤害1时间	1多重对愈2伤害3暴击4赏金塔59易伤6核7时间8挖尘a双倍秒伤
36	62321 36423	   	378.41	橙2易伤1双倍秒伤1暴击1伤害1时间	1加农对壮2伤害3暴击4赏金塔59易伤6核7时间8挖尘a双倍秒伤
