0	Index      	 *	Score 	Summary	Detail	
1	55231 62121	 * 	276.04	DCR|4VULN|2TLV|2MLV|2DUR	137aVULN|2RPLT|48DUR|5aMLV|6RCR|9aTLV|aBPWR
43	42232 33524	   	250.20	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1AART|2RAT|3LWND|4CDMG|5FEWX|6aRCR|7VULN|8DMG|9TBNT
44	53142 21421	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1VULN|2DMG|3FEWX|4LWND|5LIT|68RCR|7DUST|9DUR|aAART
45	55211 62221	   	249.93	DCR|4VULN|2TLV|2MLV	137aVULN|2RPLT|4LWND|5aMLV|6RCR|8DMSP|9aTLV|aBPWR
46	55211 62321	   	249.93	DCR|4VULN|2TLV|2MLV	137aVULN|2RPLT|4LWND|5aMLV|6RCR|8RCVC|9aTLV|aBPWR
47	32131 14442	   	249.73	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5BEXP|6LWND|78RCR|9ZMB
48	32131 24432	   	249.73	DCR|DCR|2VULN|1DUR|1AAC	1LIT|2DUR|3aVULN|4ASPD|5BEXP|6FEWX|78RCR|9AAC
49	32131 24442	   	249.73	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5BEXP|6FEWX|78RCR|9ZMB
50	32411 24432	   	249.73	DCR|DCR|2VULN|1DUR|1AAC	1LIT|2DUR|3ASPD|4aVULN|5BEXP|6FEWX|78RCR|9AAC
51	32131 14412	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5BEXP|6LWND|78RCR|9ERES
52	32131 14431	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5BEXP|6LWND|78RCR|9BBNT
53	32131 24412	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5BEXP|6FEWX|78RCR|9ERES
54	32133 21442	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5LWND|68RCR|7DUST|9ZMB
55	32411 14412	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3ASPD|4aVULN|5BEXP|6LWND|78RCR|9ERES
56	32411 14431	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3ASPD|4aVULN|5BEXP|6LWND|78RCR|9BBNT
57	32411 24412	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3ASPD|4aVULN|5BEXP|6FEWX|78RCR|9ERES
58	32413 21442	   	249.63	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3ASPD|4aVULN|5LWND|68RCR|7DUST|9ZMB
59	32131 14414	   	249.63	DCR|DCR|1VULN|1FLTARM|1DUR	1LIT|2DUR|3VULN|4ASPD|5BEXP|6LWND|78RCR|9ERES|aFLTARM
60	32131 24414	   	249.63	DCR|DCR|1VULN|1FLTARM|1DUR	1LIT|2DUR|3VULN|4ASPD|5BEXP|6FEWX|78RCR|9ERES|aFLTARM
61	32131 24435	 * 	249.63	DCR|DCR|1VULN|2AAC|1DUR	1LIT|2DUR|3VULN|4ASPD|5BEXP|6FEWX|78RCR|9aAAC
62	32133 21412	   	249.53	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5LWND|68RCR|7DUST|9ERES
63	32133 21431	   	249.53	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3aVULN|4ASPD|5LWND|68RCR|7DUST|9BBNT
64	32413 21412	   	249.53	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3ASPD|4aVULN|5LWND|68RCR|7DUST|9ERES
65	32413 21431	   	249.53	DCR|DCR|2VULN|1DUR	1LIT|2DUR|3ASPD|4aVULN|5LWND|68RCR|7DUST|9BBNT
66	52433 21431	   	249.53	DCR|DCR|2VULN|1DUR	1aVULN|2DUR|3BOSS|4ASPD|5LWND|68RCR|7DUST|9BBNT
67	32133 21414	   	249.53	DCR|DCR|1VULN|1FLTARM|1DUR	1LIT|2DUR|3VULN|4ASPD|5LWND|68RCR|7DUST|9ERES|aFLTARM
68	32413 21414	   	249.53	DCR|DCR|1VULN|1FLTARM|1DUR	1LIT|2DUR|3ASPD|4VULN|5LWND|68RCR|7DUST|9ERES|aFLTARM
69	53626 22321	   	249.46	DCR|2VULN|2DMG|2DUR|1TLV|1MLV	13VULN|23DMG|3BPWR|4TLV|5AEFBLL|6ERES|7RCR|8MLV|9aDUR
70	13132 14442	   	249.20	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3FEWX|4aVULN|5LIT|6LWND|78RCR|9ZMB
71	13132 24442	   	249.20	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3FEWX|4aVULN|5LIT|6BEXP|78RCR|9ZMB
72	13132 14412	   	249.10	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3FEWX|4aVULN|5LIT|6LWND|78RCR|9ERES
73	13132 24412	   	249.10	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3FEWX|4aVULN|5LIT|6BEXP|78RCR|9ERES
74	13232 21442	   	249.10	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3LWND|4aVULN|5LIT|68RCR|7DUST|9ZMB
75	13232 21465	   	249.10	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3LWND|4aVULN|5LIT|68RCR|7DUST|9RPLT
76	13132 14414	   	249.10	DCR|DCR|1VULN|1FLTARM|1DMG	1LHND|2DMG|3FEWX|4VULN|5LIT|6LWND|78RCR|9ERES|aFLTARM
77	13132 14421	 * 	249.10	DCR|DCR|1VULN|2DUR|1DMG	1LHND|2DMG|3FEWX|4VULN|5LIT|6LWND|78RCR|9aDUR
78	13132 24414	   	249.10	DCR|DCR|1VULN|1FLTARM|1DMG	1LHND|2DMG|3FEWX|4VULN|5LIT|6BEXP|78RCR|9ERES|aFLTARM
79	13232 21412	   	249.00	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3LWND|4aVULN|5LIT|68RCR|7DUST|9ERES
80	53142 21412	   	249.00	DCR|DCR|2VULN|1DMG	1aVULN|2DMG|3FEWX|4LWND|5LIT|68RCR|7DUST|9ERES
81	53242 21412	   	249.00	DCR|DCR|2VULN|1DMG	1aVULN|2DMG|3LHND|4LWND|5LIT|68RCR|7DUST|9ERES
82	13632 64321	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1LHND|2DMG|3LSRREG|4TLV|5MDPS|6AAC|79RCR|8VULN|aLIT
83	13632 64322	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1aLHND|2DMG|3LSRREG|4TLV|5MDPS|6AAC|79RCR|8VULN
84	13632 64323	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1LHND|2DMG|3LSRREG|4TLV|5MDPS|6AAC|79RCR|8VULN|aBOSS
85	13232 21414	   	249.00	DCR|DCR|1VULN|1FLTARM|1DMG	1LHND|2DMG|3LWND|4VULN|5LIT|68RCR|7DUST|9ERES|aFLTARM
86	13232 21421	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1LHND|2DMG|3LWND|4VULN|5LIT|68RCR|7DUST|9aDUR
87	53242 21421	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1VULN|2DMG|3LHND|4LWND|5LIT|68RCR|7DUST|9aDUR
88	33613 51611	 * 	248.90	DCR|DCR|2VULN|2CDMG	1LIT|25CDMG|3TBNT|45VULN|5BPWR|6RCVC|7MDPS|8aRCR|9AETHUN
89	33145 34231	   	248.35	DCR|DCR|2DMG|1TLV|1CDMG	1LIT|2CDMG|39DMG|4TLV|58RMIN|6aRCR|7DMSP
90	33145 32231	   	248.25	DCR|DCR|2DMG|1TLV|1CDMG	1LIT|2CDMG|39DMG|4TLV|58RMIN|6aRCR|7AEBURN
91	33144 32431	   	248.05	DCR|DCR|2DMG|1TLV|1CDMG	1LIT|2CDMG|39DMG|4TLV|58ERES|6aRCR|7AEBURN
92	55231 62123	   	247.70	DCR|3VULN|2DUR|1TLV|1MLV|1AAC	137VULN|2RPLT|48DUR|5MLV|6RCR|9TLV|aAAC
93	32131 14422	 * 	247.43	DCR|DCR|3DUR|1VULN	1LIT|29aDUR|3VULN|4ASPD|5BEXP|6LWND|78RCR
94	32411 14422	   	247.43	DCR|DCR|3DUR|1VULN	1LIT|29aDUR|3ASPD|4VULN|5BEXP|6LWND|78RCR
95	32133 21422	   	247.33	DCR|DCR|3DUR|1VULN	1LIT|29aDUR|3VULN|4ASPD|5LWND|68RCR|7DUST
96	32413 21422	   	247.33	DCR|DCR|3DUR|1VULN	1LIT|29aDUR|3ASPD|4VULN|5LWND|68RCR|7DUST
97	52433 21422	   	247.33	DCR|DCR|3DUR|1VULN	1VULN|29aDUR|3BOSS|4ASPD|5LWND|68RCR|7DUST
98	52223 14622	   	246.91	DCR|2VULN|3TLV|2DUR|1DMG|1CDMG	17VULN|27DUR|3RMIN|4CDMG|5DMG|679TLV|7BPWR|8RCR|aSNIFST
99	52223 14623	   	246.91	DCR|2VULN|3TLV|2DUR|1DMG|1CDMG	17VULN|27DUR|3RMIN|4CDMG|5DMG|679TLV|7BPWR|8RCR|aDUST
100	55231 61211	 * 	246.44	DCR|3VULN|2MLV|2DUR|2AART	138VULN|2RPLT|48DUR|58MLV|6RCR|79AART|8BPWR|aZMB
101	55231 61212	   	246.44	DCR|3VULN|2MLV|2DUR|2AART	138VULN|2RPLT|48DUR|58MLV|6RCR|79AART|8BPWR|aRCVC
102	55231 61213	   	246.44	DCR|3VULN|2MLV|2DUR|2AART	138VULN|2RPLT|48DUR|58MLV|6RCR|79AART|8BPWR|aCGEN
