0	Index      	 *	Score 	Summary	Detail	
1	53422 53121	 * 	288.86	DCR|DCR|2VULN|2DUR|1DMG|1CDMG	1TBNT|27VULN|34DUR|5DMG|6aRCR|8FEWX|9CDMG
25	33513 24847	   	269.17	DCR|DCR|2TLV|1VULN|1MSLTOX|1CDMG	1MBVNT|2VULN|35TLV|4RAT|6TBNT|7aRCR|8MSLTOX|9CDMG
26	33222 74154	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|24VULN|3LHND|5BELT|6aRCR|7CDMG|8FRZARM|9TLV
27	53521 53121	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG|1AAC	1TBNT|27VULN|3CGEN|4AAC|5TLV|6aRCR|8FEWX|9CDMG
28	31316 74417	 * 	268.79	DCR|DCR|2VULN|1FLTARM|1CDMG	1MBVNT|2RMIN|36VULN|4RAT|5BBNT|7aRCR|8CDMG|9FLTARM
29	33532 36181	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|25VULN|3TLV|4DUR|6CGEN|7TBNT|89RCR|aLHND
30	33532 36182	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|25VULN|3TLV|4DUR|6aCGEN|7TBNT|89RCR
31	33532 36184	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|25VULN|3TLV|4DUR|6CGEN|7TBNT|89RCR|aBEXP
32	37116 22474	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2CDMG|35LHND|4TBNT|69VULN|7aRCR|8TLV
33	33532 36183	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|25VULN|3TLV|4DUR|6CGEN|7TBNT|89RCR|aCANTOX
34	35611 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2LHND|3CDMG|4TBNT|5AEFBLL|69VULN|7aRCR|8TLV
35	35612 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2LHND|3CDMG|4TBNT|5AEBURN|69VULN|7aRCR|8TLV
36	37111 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2CDMG|3LHND|4TBNT|5AEFBLL|69VULN|7aRCR|8TLV
37	37112 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2CDMG|3LHND|4TBNT|5AEBURN|69VULN|7aRCR|8TLV
38	37161 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2CDMG|3LHND|4BBNT|5AEFBLL|69VULN|7aRCR|8TLV
39	37162 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2CDMG|3LHND|4BBNT|5AEBURN|69VULN|7aRCR|8TLV
40	37334 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2CDMG|3TBNT|4RMIN|5AME|69VULN|7aRCR|8TLV
41	37434 22474	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2CDMG|3BBNT|4RMIN|5AME|69VULN|7aRCR|8TLV
42	13253 42613	   	268.69	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1BELT|2ERES|3TLV|4CDMG|56DUR|7AETHUN|8aRCR|9VULN
43	22321 53421	   	268.63	DCR|DCR|2TLV|1VULN|1MLV|1CDMG|1AAC	1MLV|2BEXP|3TBNT|4AAC|58TLV|6aRCR|7VULN|9CDMG
44	24321 53421	   	268.63	DCR|DCR|2TLV|1VULN|1MLV|1CDMG|1AAC	1MLV|2LWND|3TBNT|4AAC|58TLV|6aRCR|7VULN|9CDMG
45	25321 53421	   	268.63	DCR|DCR|2TLV|1VULN|1MLV|1CDMG|1AAC	1MLV|2LHND|3TBNT|4AAC|58TLV|6aRCR|7VULN|9CDMG
46	36633 12734	 * 	267.20	DCR|DCR|2TLV|2DUR|2CDMG|1AART	1MBVNT|28DUR|38CDMG|48TLV|56DMSP|7AART|8BPWR|9aRCR
47	36637 22334	   	267.00	DCR|DCR|2TLV|2DUR|2CDMG|1AART	1MBVNT|26DUR|38CDMG|45TLV|7AART|9aRCR
48	33151 31412	 * 	266.79	DCR|DCR|2VULN|2DMG	1MBVNT|2aVULN|3aDMG|4AEFRZ|5BOSS|68RCR|7LHND|9aBEXP|aBPWR
49	33226 45453	   	266.78	DCR|DCR|3VULN|1MLV	1MBVNT|246VULN|3LHND|5DMSP|7MLV|8FEWX|9aRCR
50	33212 36182	 * 	266.69	DCR|DCR|2VULN|3DUR	1MBVNT|2aVULN|3aLHND|45aDUR|6RCVC|7TBNT|89RCR|aBPWR
51	33212 46182	   	266.69	DCR|DCR|2VULN|3DUR	1MBVNT|2aVULN|36aLHND|45aDUR|7TBNT|89RCR|aBPWR
52	53313 53182	   	266.69	DCR|DCR|2VULN|3DUR	1TBNT|2aVULN|34aLHND|57aDUR|6MBVNT|89RCR|aBPWR
53	37133 12134	   	266.67	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2CDMG|36LHND|46TLV|5AART|6BPWR|7VULN|8DUST|9aRCR
54	33151 31427	   	266.59	DCR|DCR|2VULN|2DMG	1MBVNT|2aVULN|3aDMG|4AEFRZ|5BOSS|68RCR|7LHND|9aAEPOI|aBPWR
55	33151 31472	   	266.59	DCR|DCR|2VULN|2DMG	1MBVNT|2aVULN|3aDMG|4AEFRZ|5BOSS|68RCR|7LHND|9aDUST|aBPWR
56	13243 62613	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1BELT|24ERES|34TLV|4BPWR|5DUR|6CDMG|7AETHUN|8aRCR|9VULN
57	33613 45734	   	266.57	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2VULN|3CDMG|48TLV|5AART|6DUST|7LHND|9aRCR
58	35633 72134	   	266.57	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2LHND|3CDMG|46TLV|5AART|7VULN|8DUST|9aRCR
59	35637 12134	   	266.57	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2LHND|3CDMG|45TLV|6AART|7VULN|8DUST|9aRCR
60	35637 22134	   	266.57	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2LHND|3CDMG|45TLV|6VULN|7AART|8DUST|9aRCR
61	37133 72134	   	266.57	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2CDMG|3LHND|46TLV|5AART|7VULN|8DUST|9aRCR
62	37137 12134	   	266.57	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2CDMG|3LHND|45TLV|6AART|7VULN|8DUST|9aRCR
63	37137 22134	   	266.57	DCR|DCR|2TLV|1VULN|1AART|1CDMG	1MBVNT|2CDMG|3LHND|45TLV|6VULN|7AART|8DUST|9aRCR
64	53323 53182	   	266.49	DCR|DCR|2VULN|3DUR	1TBNT|2aVULN|3LHND|4aAEFRZ|57aDUR|6MBVNT|89RCR|aBPWR
65	36611 22434	   	266.47	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1MBVNT|2DUR|3CDMG|4TBNT|5AEFBLL|6VULN|7aRCR|89TLV
66	36612 22434	   	266.47	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1MBVNT|2DUR|3CDMG|4TBNT|5AEBURN|6VULN|7aRCR|89TLV
67	36617 22434	   	266.47	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1MBVNT|2DUR|3CDMG|4TBNT|5AEFRZ|6VULN|7aRCR|89TLV
68	36661 22434	   	266.47	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1MBVNT|2DUR|3CDMG|4BBNT|5AEFBLL|6VULN|7aRCR|89TLV
69	36662 22434	   	266.47	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1MBVNT|2DUR|3CDMG|4BBNT|5AEBURN|6VULN|7aRCR|89TLV
70	36135 12217	   	265.81	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AART	1MBVNT|2DUR|3DMG|4AART|5CGEN|6LWND|7aRCR|8VULN|9MLV
71	36131 12217	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AART	1MBVNT|2DUR|3DMG|4AART|5ERES|6LWND|7aRCR|8VULN|9MLV
72	36131 12487	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AART	1MBVNT|2DUR|3DMG|4AART|5ERES|6LWND|7aRCR|8MLV|9VULN
73	22311 52263	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2BEXP|3TBNT|4ASPD|5TLV|6aRCR|7CDMG|8LWND|9VULN
74	22311 53121	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2BEXP|3TBNT|4ASPD|5TLV|6aRCR|7VULN|8DMSP|9CDMG
75	22311 53521	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2BEXP|3TBNT|4ASPD|5TLV|6aRCR|7VULN|8RCVC|9CDMG
76	22311 53621	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|28BEXP|3TBNT|4ASPD|5TLV|6aRCR|7VULN|9CDMG
77	24311 52363	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2LWND|3TBNT|4ASPD|5TLV|6aRCR|7CDMG|8FEWX|9VULN
78	24311 53521	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2LWND|3TBNT|4ASPD|5TLV|6aRCR|7VULN|8RCVC|9CDMG
79	25311 52263	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2LHND|3TBNT|4ASPD|5TLV|6aRCR|7CDMG|8LWND|9VULN
80	25311 53521	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2LHND|3TBNT|4ASPD|5TLV|6aRCR|7VULN|8RCVC|9CDMG
81	53234 53121	   	264.83	DCR|DCR|3VULN|1CDMG	1TBNT|257VULN|3ZMB|4LHND|6aRCR|8FEWX|9CDMG
82	51121 53121	   	263.28	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TBNT|2ASPD|3DUR|4CGEN|5TLV|6aRCR|7VULN|8DMSP|9CDMG
83	51121 53521	   	263.28	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TBNT|2ASPD|3DUR|4CGEN|5TLV|6aRCR|7VULN|8RCVC|9CDMG
84	51131 52233	   	263.18	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TBNT|2ASPD|3DUR|4ERES|5TLV|6aRCR|7CDMG|8LWND|9VULN
85	51131 53121	   	263.18	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TBNT|2ASPD|3DUR|4ERES|5TLV|6aRCR|7VULN|8DMSP|9CDMG
86	51131 53521	   	263.18	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TBNT|2ASPD|3DUR|4ERES|5TLV|6aRCR|7VULN|8RCVC|9CDMG
87	53312 52261	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|29VULN|34LHND|5DMG|6aRCR|7CDMG|8LWND
88	53312 53121	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|27VULN|34LHND|5DMG|6aRCR|8FEWX|9CDMG
89	53311 52321	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1TBNT|2VULN|34LHND|5TLV|6aRCR|7CDMG|8DMG|9CGEN
90	53311 52351	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1TBNT|2VULN|34LHND|5TLV|6aRCR|7CDMG|8DMG|9RMIN
91	33646 15344	 * 	262.65	DCR|DCR|2VULN|2CDMG|1DUR	1MBVNT|24VULN|34CDMG|4BPWR|5DUR|6FEWX|7aRCR|8LHND|9TBNT
92	53322 52261	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|29VULN|3LHND|4AEFRZ|5DMG|6aRCR|7CDMG|8LWND
93	53322 53121	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|27VULN|3LHND|4AEFRZ|5DMG|6aRCR|8FEWX|9CDMG
94	53612 53121	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|27VULN|3AEFRZ|4BEXP|5DMG|6aRCR|8FEWX|9CDMG
95	53321 52321	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1TBNT|2VULN|3LHND|4AEFRZ|5TLV|6aRCR|7CDMG|8DMG|9CGEN
96	53321 52351	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1TBNT|2VULN|3LHND|4AEFRZ|5TLV|6aRCR|7CDMG|8DMG|9RMIN
97	53611 52321	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1TBNT|2VULN|3AEFRZ|4BEXP|5TLV|6aRCR|7CDMG|8DMG|9CGEN
98	32141 12887	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1AART	1MBVNT|2BEXP|3DMG|4AART|5ERES|6LWND|7aRCR|8TLV|9VULN
99	53622 53121	   	262.55	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|27VULN|34AEFRZ|5DMG|6aRCR|8FEWX|9CDMG
100	13252 32613	   	262.55	DCR|DCR|1VULN|1TLV|2CDMG|1DUR	1BELT|2ERES|3TLV|45CDMG|6DUR|7AETHUN|8aRCR|9VULN
101	33612 52134	   	262.55	DCR|DCR|1VULN|1TLV|2CDMG|1AART	1MBVNT|2VULN|35CDMG|4TLV|6LHND|7AART|8DUST|9aRCR
102	35632 12134	   	262.55	DCR|DCR|1VULN|1TLV|2CDMG|1AART	1MBVNT|2LHND|35CDMG|4TLV|6AART|7VULN|8DUST|9aRCR
103	35632 22134	   	262.55	DCR|DCR|1VULN|1TLV|2CDMG|1AART	1MBVNT|2LHND|35CDMG|4TLV|6VULN|7AART|8DUST|9aRCR
104	37132 12134	   	262.55	DCR|DCR|1VULN|1TLV|2CDMG|1AART	1MBVNT|25CDMG|3LHND|4TLV|6AART|7VULN|8DUST|9aRCR
105	37132 22134	   	262.55	DCR|DCR|1VULN|1TLV|2CDMG|1AART	1MBVNT|25CDMG|3LHND|4TLV|6VULN|7AART|8DUST|9aRCR
106	53621 52321	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1TBNT|2VULN|34AEFRZ|5TLV|6aRCR|7CDMG|8DMG|9CGEN
107	35544 23182	 * 	262.49	DCR|DCR|3DUR|2MLV|1TLV	1MBVNT|2aLHND|3TLV|4TBNT|57aDUR|6aMLV|89RCR|aBPWR
108	33821 27184	   	262.45	DCR|DCR|2VULN|1DMG|1DUR	1MBVNT|27VULN|3TBNT|4DUR|5DUST|6AEFRZ|89RCR|aDMG
109	33547 11184	   	262.45	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3TLV|4TBNT|5AME|69RCR|7AEWIND|8DUR|aDMG
110	33547 31184	   	262.45	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3TLV|4TBNT|5AME|6AEPOI|7DUR|89RCR|aDMG
111	36637 22134	   	260.59	DCR|DCR|2TLV|2DUR|1AART|1CDMG	1MBVNT|26DUR|3CDMG|45TLV|7AART|8AEPOI|9aRCR
112	51211 53421	   	259.96	DCR|DCR|2TLV|1VULN|1CDMG	1TBNT|2ASPD|3CGEN|4BEXP|58TLV|6aRCR|7VULN|9CDMG
113	51321 53421	   	259.96	DCR|DCR|2TLV|1VULN|1CDMG	1TBNT|2ASPD|3BEXP|4CGEN|58TLV|6aRCR|7VULN|9CDMG
114	51331 53421	   	259.86	DCR|DCR|2TLV|1VULN|1CDMG	1TBNT|2ASPD|3BEXP|4ERES|58TLV|6aRCR|7VULN|9CDMG
115	36164 33822	 * 	259.72	ACR|DCR|3DUR|2DMG|1VULN|1MLV	1MBVNT|258DUR|35DMG|49RCR|5BPWR|6TBNT|7VULN|aMLV
116	37344 22434	   	259.24	DCR|DCR|2TLV|1VULN|2CDMG	1MBVNT|24CDMG|3TBNT|4BPWR|5BEXP|6VULN|7aRCR|89TLV
117	37444 22434	   	259.24	DCR|DCR|2TLV|1VULN|2CDMG	1MBVNT|24CDMG|3BBNT|4BPWR|5BEXP|6VULN|7aRCR|89TLV
118	33144 72623	 * 	259.14	DCR|2VULN|2FLTARM|2DMG|1MLV|1CDMG	1MBVNT|2aVULN|3aDMG|4TBNT|5CDMG|6MLV|7RCR|8aFLTARM|9MDPS|aBPWR
119	33844 72623	   	259.14	DCR|2VULN|2FLTARM|2DMG|1MLV|1CDMG	1MBVNT|2aVULN|3TBNT|4aDMG|5CDMG|6MLV|7RCR|8aFLTARM|9MDPS|aBPWR
120	37342 22434	   	259.14	DCR|DCR|2TLV|1VULN|2CDMG	1MBVNT|24CDMG|3TBNT|4BPWR|5DUST|6VULN|7aRCR|89TLV
121	37442 22434	   	259.14	DCR|DCR|2TLV|1VULN|2CDMG	1MBVNT|24CDMG|3BBNT|4BPWR|5DUST|6VULN|7aRCR|89TLV
