0	Index      	 *	Score 	Summary	Detail	
1	16524 13111	 * 	271.93	DCR|DCR|2DMG|2TLV|2CDMG	1aTLV|2DMSP|3ASPD|4aDMG|5ERES|6AEWIND|7aCDMG|89RCR|aBPWR
31	15161 31621	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RAT|3RPLT|4LHND|5DMG|6AME|7VULN|8aRCR|9BEXP
32	16426 13111	   	247.31	DCR|DCR|2TLV|1DMG|2CDMG|1AAC	1aTLV|2DMSP|3aERES|4DMG|5AAC|6AEWIND|7aCDMG|89RCR|aBPWR
33	16426 13112	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1CDMG|1AAC	1TLV|2DMSP|3ERES|4DMG|5AAC|6AEWIND|7CDMG|89RCR|aMLV
34	12111 36161	 * 	245.74	DCR|4VULN|1TLV|1DUR|1AART	1TLV|2ZMB|3AART|479aVULN|5DUR|6ASPD|8RCR
35	41262 33326	 * 	245.60	DCR|3VULN|3DMG|3CDMG|1SELL	19aCDMG|23RMIN|49aVULN|5RPLT|6RCR|79aDMG|8SELL|9aBPWR
36	11323 42142	   	245.13	DCR|DCR|2DMG|2TLV	18TLV|2LHND|38ZMB|45DMG|6SPLJET|78RAT|8BPWR|9aRCR
37	12223 42142	   	245.13	DCR|DCR|2DMG|2TLV	18TLV|2ZMB|38BEXP|45DMG|6SPLJET|78RAT|8BPWR|9aRCR
38	11323 42542	   	244.93	DCR|DCR|2DMG|2TLV	18TLV|2LHND|3ZMB|45DMG|6SPLJET|7RAT|9aRCR
39	12223 42542	   	244.93	DCR|DCR|2DMG|2TLV	18TLV|2ZMB|3BEXP|45DMG|6SPLJET|7RAT|9aRCR
40	36243 41151	   	244.28	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8BEXP|aLHND
41	36243 41154	   	244.28	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8BEXP|aRPLT
42	36243 41251	   	244.28	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8FEWX|aLHND
43	36243 41254	   	244.28	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8FEWX|aRPLT
44	36243 41453	   	244.28	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8LHND|aRMIN
45	23231 12655	   	244.28	DCR|DCR|1VULN|2MLV|1CDMG	1TBNT|2CDMG|3LIT|4AEPOI|5VULN|6RPLT|78RCR|9aMLV
46	36243 41152	   	244.18	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8BEXP|aBBNT
47	36243 41153	   	244.18	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8BEXP|aAME
48	36243 41252	   	244.18	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8FEWX|aBBNT
49	36243 41253	   	244.18	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8FEWX|aAME
50	36243 41451	   	244.18	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8LHND|aLEGI
51	36243 41454	   	244.18	DCR|DCR|1VULN|2MLV|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8LHND|aBBNT
52	43212 51422	   	243.79	DCR|DCR|1VULN|1AART|1DUR|1AAC|1CDMG	1CDMG|2BEXP|3TSLARM|4AAC|5DUR|6RAT|7AART|8aRCR|9VULN
53	43212 62422	   	243.79	DCR|DCR|1VULN|1AART|1DUR|1AAC|1CDMG	1CDMG|2BEXP|3TSLARM|4AAC|5DUR|6AART|7RAT|8aRCR|9VULN
54	43312 51422	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG|1AAC	1CDMG|2BEXP|3SNITOX|4AAC|5DUR|6RAT|7AART|8aRCR|9VULN
55	43312 62422	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG|1AAC	1CDMG|2BEXP|3SNITOX|4AAC|5DUR|6AART|7RAT|8aRCR|9VULN
56	12111 36141	 * 	243.72	DCR|3VULN|2TLV|1DUR|2ASPD|1AART	19TLV|29ZMB|3AART|47aVULN|5DUR|69ASPD|8RCR|9BPWR
57	15511 31331	 * 	243.01	DCR|DCR|2DUR|1TLV|1DMG	1TLV|2RAT|3AME|4DMG|5RPLT|6MDPS|7aRCR|89DUR
58	31341 41362	   	242.39	DCR|DCR|1VULN|1TLV|1CDMG	1MDPS|2AEFBLL|3TLV|4VULN|5CDMG|6aRCR|7DUST|8CGEN|9VENFST
