0	Index      	 *	Score 	Summary	Detail	
1	33211 32163	 * 	250.98	DCR|DCR|3VULN	1CANARM|2MDPS|3RAT|46aVULN|5BEXP|7BBNT|89RCR
66	11362 23245	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2RCVC|39aVULN|4DUR|5DMG|6RCR|7LIT|8TLV
67	46234 13221	 * 	225.63	DCR|3DUR|2DMG|2TLV|2MLV	179DUR|29DMG|37MLV|47BEXP|5MDPS|6RCR|79BPWR|89TLV|aRCVC
68	46234 13223	   	225.63	DCR|3DUR|2DMG|2TLV|2MLV	179DUR|29DMG|37MLV|47BEXP|5MDPS|6RCR|79BPWR|89TLV|aDMSP
69	46234 13222	   	225.53	DCR|3DUR|2DMG|2TLV|2MLV	179DUR|29DMG|37MLV|47BEXP|5MDPS|6RCR|79BPWR|89TLV|aTBNT
70	16264 13221	   	225.33	DCR|3DUR|2DMG|2TLV|2MLV	179DUST|29DMG|37MLV|47aDUR|5MDPS|6RCR|79BPWR|89TLV
71	41161 23233	 * 	224.75	ACR|3VULN|2DUR|1TLV|1DMG|2CDMG	18DUR|2RCVC|3RCR|4TLV|58CDMG|678VULN|8BPWR|9LWND|aDMG
72	41161 23263	   	224.65	ACR|3VULN|2DUR|1TLV|1DMG|2CDMG	18DUR|2RCVC|3RCR|4TLV|58CDMG|678VULN|8BPWR|9DUST|aDMG
73	44126 21322	 * 	224.60	DCR|3DMG|1VULN|1TLV|1DUR|1AART	1DUR|2AART|3FEWX|467DMG|5FRZICY|8RCR|9VULN|aTLV
74	44124 21322	   	224.50	DCR|3DMG|1VULN|1TLV|1DUR|1AART	1DUR|2AART|3FEWX|467DMG|5TSLFST|8RCR|9VULN|aTLV
75	33133 54423	   	224.15	DCR|DCR|1TLV|1DUR|1AART	1CANARM|2MDPS|3TLV|4LWND|5BELT|6AART|7DUR|8aRCR|9BEXP
76	41641 12222	   	224.15	DCR|DCR|1TLV|1DUR|1AART	1DUR|2RCVC|3TLV|4TBNT|59CGEN|6aRCR|7AART|8BBNT
77	41641 12232	   	224.15	DCR|DCR|1TLV|1DUR|1AART	1DUR|2RCVC|3TLV|4TBNT|5CGEN|6aRCR|7AART|8BBNT|9DMSP
78	41161 23212	 * 	223.85	ACR|4VULN|2DUR|1TLV|2CDMG|1AAC	18DUR|2RCVC|3RCR|4TLV|58CDMG|678aVULN|8BPWR|9AAC
79	41161 23252	   	223.75	ACR|4VULN|2DUR|1TLV|2CDMG	18DUR|2RCVC|3RCR|4TLV|58CDMG|678aVULN|8BPWR|9AME
80	42312 13122	   	223.60	DCR|2VULN|3DMG|2DUR	19DUR|2LHND|39VULN|47BEXP|5FEWX|6RCR|89aDMG|9BPWR
81	43312 13122	   	223.60	DCR|2VULN|3DMG|2DUR	19DUR|2LWND|39VULN|47BEXP|5FEWX|6RCR|89aDMG|9BPWR
82	41334 11122	   	223.50	DCR|2VULN|3DMG|2DUR	19DUR|2RCVC|37VULN|49BEXP|5MDPS|6RCR|89aDMG|9BPWR
83	51364 11122	   	223.50	DCR|2VULN|3DMG|2DUR	19LHND|2RCVC|37VULN|49DUR|5MDPS|6RCR|89aDMG|9BPWR
84	52364 11122	   	223.50	DCR|2VULN|3DMG|2DUR	129LHND|37VULN|49DUR|5MDPS|6RCR|89aDMG|9BPWR
85	62326 32612	   	223.44	DCR|2VULN|2TLV|1MLV|1DUR|1CDMG	1AEFBLL|2DUST|3aVULN|4aVENTOX|5MLV|6RCR|7aTLV|8DUR|9CDMG|aBPWR
86	42344 11122	   	223.40	DCR|2VULN|3DMG|2DUR	19DUR|29LHND|37VULN|4AEFRZ|5MDPS|6RCR|89aDMG|9BPWR
87	43344 11122	   	223.40	DCR|2VULN|3DMG|2DUR	19DUR|29LWND|37VULN|4AEFRZ|5MDPS|6RCR|89aDMG|9BPWR
88	11611 22612	   	223.36	DCR|2VULN|2DMG|1TLV|1MLV	18DUST|2RCVC|3TLV|48DMG|5CANARM|6MLV|78VULN|8BPWR|9BEXP|aRCR
89	61221 43631	   	223.33	DCR|DCR|1VULN|1DUR|1AAC	1AEFBLL|2AME|3RAT|4AAC|5LHND|69RCR|7VULN|8DUR|aASPD
90	61222 43231	   	223.33	DCR|DCR|1VULN|1DUR|1AAC	1AEFBLL|2AME|3RAT|4AAC|5LWND|69RCR|7VULN|8DUR|aASPD
91	66222 43231	   	223.33	DCR|DCR|1VULN|1DUR|1AAC	1AEFBLL|2ERES|3RAT|4AAC|5LWND|69RCR|7VULN|8DUR|aASPD
92	11364 11122	   	223.30	DCR|2VULN|3DMG|2DUR	19DUST|2RCVC|37VULN|49DUR|5MDPS|6RCR|89aDMG|9BPWR
93	12362 32361	   	223.23	DCR|DCR|1VULN|1AART	1DUST|2LHND|3RAT|4AART|5CANTOX|69RCR|7BBNT|8ASPD|aVULN
94	14332 32361	   	223.23	DCR|DCR|1VULN|1AART	1DUST|2AART|3LHND|4RAT|5CANTOX|69RCR|7BBNT|8ASPD|aVULN
95	16432 22123	 * 	223.19	DCR|2VULN|2DMG|2MLV|1AART	1DUST|2aDMG|3ZMB|4FEWX|5aMLV|6RCR|7AME|8aVULN|9AART|aBPWR
96	16432 25123	   	223.19	DCR|2VULN|2DMG|2MLV|1AART	1DUST|2aDMG|3ZMB|4FEWX|5aMLV|6RCR|7ERES|8aVULN|9AART|aBPWR
97	13331 23266	   	223.18	DCR|DCR|1VULN|1CDMG|1SELL	1DUST|2LWND|3RAT|4CDMG|5RPLT|6ASPD|7aRCR|8VULN|9SELL
98	33236 32361	   	223.13	DCR|DCR|1VULN|1AART	1CANARM|2MDPS|3RAT|4AEPOI|5AART|69RCR|7BBNT|8ASPD|aVULN
99	11332 26368	   	222.80	DCR|DCR|1VULN|1DMG	1DUST|2RCVC|3VULN|4FEWX|5DMG|6aRCR|7LHND|8MBVNT|9RMIN
100	11332 26418	   	222.80	DCR|DCR|1VULN|1DMG	1DUST|2RCVC|3VULN|4FEWX|5DMG|6aRCR|7LHND|8BEXP|9MBVNT
101	34534 34363	   	222.60	DCR|DCR|1VULN|1DMG|1AAC	1CANARM|2VULN|3MBVNT|4AEFBLL|5AAC|6MDPS|79RCR|8DMG|aLHND
102	34534 34364	   	222.60	DCR|DCR|1VULN|1DMG|1AAC	1CANARM|2VULN|3MBVNT|4AEFBLL|5AAC|6MDPS|79RCR|8DMG|aDMSP
103	41163 23633	   	222.52	ACR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2RCVC|38RCR|4TLV|5LWND|6BELT|7BOSS|9VULN|aAAC
104	34534 34361	   	222.50	DCR|DCR|1VULN|1DMG|1AAC	1CANARM|2VULN|3MBVNT|4AEFBLL|5AAC|6MDPS|79RCR|8DMG|aVENICY
105	34534 34362	   	222.50	DCR|DCR|1VULN|1DMG|1AAC	1CANARM|2VULN|3MBVNT|4AEFBLL|5AAC|6MDPS|79RCR|8DMG|aERES
106	11121 32634	   	222.42	ACR|DCR|2VULN|1AART|1CDMG	1DUST|2RCVC|3aRCR|4CGEN|5CDMG|6AART|79VULN|8LIT
107	11161 32614	   	222.42	ACR|DCR|1VULN|1TLV|1AART|1CDMG	1DUST|2RCVC|3aRCR|4TLV|5CDMG|6AART|7VULN|8LIT|9DMSP
108	11121 26642	   	222.42	ACR|DCR|1VULN|1TLV|1AART|1CDMG	1DUST|2RCVC|38RCR|4CGEN|5CDMG|6VULN|7FEWX|9AART|aTLV
109	11161 22621	   	222.42	ACR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUST|2RCVC|39RCR|4TLV|5CDMG|6VULN|7MGNSTR|8LIT|aDUR
110	62121 32634	   	222.32	ACR|DCR|2VULN|1AART|1CDMG	1AEFBLL|2DUST|3aRCR|4CGEN|5CDMG|6AART|79VULN|8LIT
111	11161 26621	   	222.32	ACR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUST|2RCVC|39RCR|4TLV|5CDMG|6VULN|7BASHEA|8LIT|aDUR
112	62161 22621	   	222.32	ACR|DCR|1VULN|1TLV|1DUR|1CDMG	1AEFBLL|2DUST|39RCR|4TLV|5CDMG|6VULN|7MGNSTR|8LIT|aDUR
113	41136 33242	 * 	222.17	ACR|3VULN|3DUR|3CDMG|1TLV	148DUR|2RCVC|3RCR|5TLV|689VULN|78aCDMG|8BPWR
114	41332 23225	   	221.50	DCR|2VULN|2DMG|1TLV|1DUR	1DUR|2RCVC|3aVULN|4BEXP|59DMG|6RCR|7LIT|8TLV
115	46111 23225	   	221.50	DCR|2VULN|2DMG|1TLV|1DUR	1DUR|29DMG|35LHND|4aVULN|6RCR|7LIT|8TLV
116	51362 23225	   	221.50	DCR|2VULN|2DMG|1TLV|1DUR	1LHND|2RCVC|3aVULN|4DUR|59DMG|6RCR|7LIT|8TLV
117	52362 23225	   	221.50	DCR|2VULN|2DMG|1TLV|1DUR	12LHND|3aVULN|4DUR|59DMG|6RCR|7LIT|8TLV
118	11362 23225	   	221.40	DCR|2VULN|2DMG|1TLV|1DUR	1DUST|2RCVC|3aVULN|4DUR|59DMG|6RCR|7LIT|8TLV
119	42342 23225	   	221.40	DCR|2VULN|2DMG|1TLV|1DUR	1DUR|2LHND|3aVULN|4AEFRZ|59DMG|6RCR|7LIT|8TLV
120	62362 23225	   	221.30	DCR|2VULN|2DMG|1TLV|1DUR	1AEFBLL|2DUST|3aVULN|4DUR|59DMG|6RCR|7LIT|8TLV
