0	Index      	 *	Score 	Summary	Detail	
1	25155 23131	 * 	268.69	DCR|DCR|2VULN|1TLV|1DUR	1RAT|2BASHEA|3DUR|4BBNT|5TLV|69VULN|7aRCR|8TSLFST
13	25161 11132	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|89RCR|aAEBURN
14	25161 11135	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1SELL	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|89RCR|aSELL
15	25161 11136	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|89RCR|aBBNT
16	22453 13131	 * 	254.94	DCR|DCR|2VULN|1FLTARM	1RAT|29VULN|3TBNT|4ERES|5AETHUN|6SNIFST|7aRCR|8FLTARM
17	22653 13131	   	254.94	DCR|DCR|2VULN|1FLTARM	1RAT|29VULN|3BBNT|4ERES|5AETHUN|6SNIFST|7aRCR|8FLTARM
18	24653 13131	   	254.94	DCR|DCR|2VULN|1FLTARM	1RAT|2BBNT|39VULN|4ERES|5AETHUN|6SNIFST|7aRCR|8FLTARM
19	25255 23131	   	254.94	DCR|DCR|2VULN|1TLV	1RAT|2BASHEA|3DUST|4BBNT|5TLV|69VULN|7aRCR|8TSLFST
20	43653 13131	   	254.94	DCR|DCR|2VULN|1FLTARM	1TBNT|2RAT|39VULN|4ERES|5AETHUN|6SNIFST|7aRCR|8FLTARM
21	41524 32221	 * 	253.49	DCR|5VULN|2DMG|1AART	1TBNT|24567VULN|35DMG|5BPWR|8RPLT|9AART|aRCR
22	23115 44222	   	251.34	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1RAT|2RMIN|3TLV|4MLV|5SELL|6aRCR|7ASPD|8VULN|9CANSTR
23	12222 31341	 * 	250.25	DCR|DCR|2DUR|1TLV|1AART|1CDMG	14DUR|2LHND|3TBNT|5AART|6TLV|7CDMG|8aRCR|9BASICY
24	54222 31341	   	250.25	DCR|DCR|2DUR|1TLV|1AART|1CDMG	1LHND|24DUR|3TBNT|5AART|6TLV|7CDMG|8aRCR|9BASICY
25	41424 21313	 * 	245.58	DCR|3VULN|2TLV|1MLV|1DUR|1CDMG	1TBNT|245VULN|35TLV|5BPWR|6DUR|7CGEN|8RCR|9MLV|aCDMG
26	23115 45322	   	244.50	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1SELL	1RAT|2RMIN|3TLV|4MLV|5SELL|6aRCR|7VULN|8MGNSTR|9AAC
27	31124 51512	 * 	242.86	ACR|DCR|2DMG|1VULN|1MLV|1DUR	1ASPD|2LIT|3MLV|4aRCR|5RAT|68DMG|7DUR|9VULN
28	13531 31341	 * 	242.85	DCR|2VULN|2TLV|2DUR|1DMG|1MSLTOX	12DUR|3MSLTOX|47TLV|5MBVNT|6aVULN|8DMG|9RCR
29	25261 11131	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BASHEA|3DUST|45VULN|6LIT|7CDMG|89RCR|aFEWX
30	25261 11133	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BASHEA|3DUST|45VULN|6LIT|7CDMG|89RCR|aBEXP
31	25261 11134	   	242.59	DCR|DCR|2VULN|1CDMG	1RAT|2BASHEA|3DUST|45VULN|6LIT|7CDMG|89RCR|aRMIN
32	15223 11131	 * 	242.59	DCR|DCR|1VULN|2DUR|1CDMG	14DUR|2AIRBOS|3RAT|5VULN|6LIT|7CDMG|89RCR|aFEWX
33	15223 11133	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	14DUR|2AIRBOS|3RAT|5VULN|6LIT|7CDMG|89RCR|aBEXP
34	15223 11134	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	14DUR|2AIRBOS|3RAT|5VULN|6LIT|7CDMG|89RCR|aRMIN
35	25123 11131	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1RAT|2BASHEA|34DUR|5VULN|6LIT|7CDMG|89RCR|aFEWX
36	25123 11133	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1RAT|2BASHEA|34DUR|5VULN|6LIT|7CDMG|89RCR|aBEXP
37	25123 11134	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1RAT|2BASHEA|34DUR|5VULN|6LIT|7CDMG|89RCR|aRMIN
38	15253 23131	   	242.49	DCR|DCR|2VULN|1DUR	1DUR|2AIRBOS|3RAT|4BBNT|5RMIN|69VULN|7aRCR|8MGNBOS
39	25153 23131	   	242.49	DCR|DCR|2VULN|1DUR	1RAT|2BASHEA|3DUR|4BBNT|5RMIN|69VULN|7aRCR|8MGNBOS
40	25261 11132	   	242.49	DCR|DCR|2VULN|1CDMG	1RAT|2BASHEA|3DUST|45VULN|6LIT|7CDMG|89RCR|aAEBURN
41	25261 11135	   	242.49	DCR|DCR|2VULN|1CDMG|1SELL	1RAT|2BASHEA|3DUST|45VULN|6LIT|7CDMG|89RCR|aSELL
42	25261 11136	   	242.49	DCR|DCR|2VULN|1CDMG	1RAT|2BASHEA|3DUST|45VULN|6LIT|7CDMG|89RCR|aBBNT
43	15223 11132	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	14DUR|2AIRBOS|3RAT|5VULN|6LIT|7CDMG|89RCR|aAEBURN
44	15223 11135	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG|1SELL	14DUR|2AIRBOS|3RAT|5VULN|6LIT|7CDMG|89RCR|aSELL
45	15223 11136	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	14DUR|2AIRBOS|3RAT|5VULN|6LIT|7CDMG|89RCR|aBBNT
46	25123 11132	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1RAT|2BASHEA|34DUR|5VULN|6LIT|7CDMG|89RCR|aAEBURN
47	25123 11135	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG|1SELL	1RAT|2BASHEA|34DUR|5VULN|6LIT|7CDMG|89RCR|aSELL
48	25123 11136	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1RAT|2BASHEA|34DUR|5VULN|6LIT|7CDMG|89RCR|aBBNT
49	41316 11631	   	242.39	DCR|DCR|2VULN|1AART	1TBNT|24VULN|3BBNT|5AART|6aRCR|7BOSS|8ERES|9MBVNT
50	33313 64351	 * 	242.27	ACR|3VULN|3DMG|3TLV|2ASPD	1aASPD|2BBNT|3RCR|468VULN|56aDMG|6aBPWR|79aTLV
51	41116 25221	   	242.25	DCR|DCR|2VULN|1AART|1SELL	1TBNT|23VULN|3BPWR|4SELL|5CGEN|6aRCR|7CANTOX|8AART|9DUST
52	41524 32113	   	239.64	DCR|5VULN|2DMG	1TBNT|24567VULN|35DMG|5BPWR|8BBNT|9AIRHEA|aRCR
53	13521 32553	   	239.20	DCR|DCR|2DUR|1TLV|1MSLTOX	12DUR|3MSLTOX|4AEBURN|5RPLT|69RCR|7BBNT|8LIT|aTLV
