0	Index      	 *	Score 	Summary	Detail	
1	31261 52612	 * 	262.95	DCR|2VULN|3DMG|2TLV|1MLV|1AART|1SELL	1SELL|27VULN|3MLV|47aDMG|5BBNT|67TLV|7BPWR|8AART|9RCR
12	31335 16621	 * 	242.48	DCR|2VULN|2FLTARM|2TLV|1CDMG|1SELL	1SELL|28VULN|3CDMG|48TLV|56RCVC|78FLTARM|8BPWR|9FEWX|aRCR
13	31344 13135	   	242.45	DCR|DCR|2VULN|1CDMG|1SELL	1SELL|24VULN|3CDMG|5RPLT|6CGEN|7ZMB|8aRCR|9DUST
14	52163 22612	 * 	241.49	ACR|DCR|2VULN|2DUR|1DMG	1BEXP|26VULN|3aRCR|4RPLT|56DUR|6BPWR|7BOSS|8DMG|9ZMB
15	31651 31325	   	239.56	ACR|DCR|3VULN|1MLV|1SELL	1SELL|267VULN|3FEWX|48RCR|5ASPD|9AIRARM|aMLV
16	31151 61325	   	239.46	ACR|DCR|3VULN|1MLV|1SELL	1SELL|267VULN|3DUST|48RCR|5ASPD|9AIRARM|aMLV
17	61651 31312	   	237.95	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9LWND|aBEXP
18	61651 31313	   	237.95	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9LWND|aLIT
19	61151 61312	   	237.85	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3DUST|48RCR|5ASPD|9LWND|aBEXP
20	61151 61313	   	237.85	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3DUST|48RCR|5ASPD|9LWND|aLIT
21	61651 31311	   	237.85	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9LWND|aBBNT
22	61651 31323	   	237.85	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9AIRARM|aCGEN
23	61651 31331	   	237.85	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9TBNT|aZMB
24	61151 61311	   	237.75	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3DUST|48RCR|5ASPD|9LWND|aBBNT
25	61151 61322	   	237.75	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3DUST|48RCR|5ASPD|9AIRARM|aLIT
26	61151 61323	   	237.75	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3DUST|48RCR|5ASPD|9AIRARM|aBEXP
27	61151 61331	   	237.75	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3DUST|48RCR|5ASPD|9TBNT|aZMB
28	61651 31321	   	237.75	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9AIRARM|aDUST
29	61651 31322	   	237.75	ACR|DCR|3VULN|1CDMG|1MSE	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9AIRARM|aMSE
30	61651 31333	   	237.75	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9TBNT|aAME
31	31651 31363	   	237.70	ACR|DCR|3VULN|1DUR|1SELL	1SELL|267VULN|3FEWX|48RCR|5ASPD|9CGEN|aDUR
32	61151 61321	   	237.65	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3aDUST|48RCR|5ASPD|9AIRARM
33	61151 61333	   	237.65	ACR|DCR|3VULN|1CDMG	1CDMG|267VULN|3DUST|48RCR|5ASPD|9TBNT|aAME
34	31151 61363	   	237.60	ACR|DCR|3VULN|1DUR|1SELL	1SELL|267VULN|3DUST|48RCR|5ASPD|9CGEN|aDUR
35	31651 31332	   	237.60	ACR|DCR|3VULN|1AAC|1SELL	1SELL|267VULN|3FEWX|48RCR|5ASPD|9TBNT|aAAC
36	31651 31353	   	237.60	ACR|DCR|3VULN|1DUR|1SELL	1SELL|267VULN|3FEWX|48RCR|5ASPD|9ERES|aDUR
37	31151 61332	   	237.50	ACR|DCR|3VULN|1AAC|1SELL	1SELL|267VULN|3DUST|48RCR|5ASPD|9TBNT|aAAC
38	31151 61353	   	237.50	ACR|DCR|3VULN|1DUR|1SELL	1SELL|267VULN|3DUST|48RCR|5ASPD|9ERES|aDUR
39	34251 61332	   	237.50	ACR|DCR|3VULN|1AAC|1SELL	1SELL|2DUST|367VULN|48RCR|5ASPD|9TBNT|aAAC
40	22246 32721	 * 	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2BOSS|3DMG|4MBVNT|5FEWX|69RCR|7BBNT|8VULN|aCDMG
41	22246 32724	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1LIT|2BOSS|3DMG|4MBVNT|5FEWX|69RCR|7BBNT|8VULN|aAART
42	34151 34312	   	236.21	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1SELL|23DUST|4CGEN|5BEXP|68RCR|7CDMG|9VULN|aDMG
43	52333 12355	   	235.88	DCR|DCR|2VULN	1BEXP|29VULN|3LWND|4ZMB|5DLOT|6MULARM|7ASPD|8aRCR
44	31333 35111	 * 	235.49	DCR|2VULN|2TLV|2MLV|1DUR|1CDMG|1SELL	1SELL|27VULN|3CDMG|47TLV|5BBNT|67MLV|7BPWR|8DUR|9TBNT|aRCR
45	41133 33154	 * 	235.15	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2aVULN|3CDMG|4TLV|5LHND|68DMG|7RCR|9DUR
46	41132 33154	   	235.05	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1RPLT|2aVULN|3CDMG|4TLV|5AETHUN|68DMG|7RCR|9DUR
47	32152 14314	 * 	234.63	ACR|DCR|1VULN|2DUR|1TLV|1CDMG|1SELL	1SELL|2aDUR|3DUST|48RCR|5TLV|6RCVC|7CDMG|9VULN
48	22241 36112	   	233.71	DCR|DCR|1DMG|1MLV|1AAC|1DUR|1CDMG	1LIT|2BOSS|3DMG|4MBVNT|5DUR|68RCR|7AAC|9CDMG|aMLV
49	31261 52134	 * 	233.64	DCR|2VULN|2DMG|2TLV|1MLV|1SELL	1SELL|27VULN|3MLV|47DMG|5BBNT|67TLV|7BPWR|8RMIN|9CGEN|aRCR
50	31261 52334	 * 	233.54	DCR|2VULN|2DMG|2TLV|1MLV|1SELL	1SELL|27VULN|3MLV|47DMG|5BBNT|67TLV|7BPWR|8LHND|9AEPOI|aRCR
