0	Index      	 *	Score 	Summary	Detail	
1	32524 33621	 * 	218.28	ACR|3VULN|3DMG|3ZMB|2ASPD	1RCR|236ZMB|45aDMG|7aASPD|89aVULN|aBPWR
23	32631 56113	   	200.84	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78LHND|8BPWR|aCDMG
24	32633 13462	   	200.58	ACR|2VULN|2DMG|3ZMB|1AART|1SELL	1RCR|25aZMB|3AART|49DMG|6aVULN|7aLHND|8SELL|aBPWR
25	33654 37213	   	199.84	ACR|3VULN|3DMG|1AART	1RCR|2TLV|3MBVNT|46aDMG|567VULN|6BPWR|8BELT|9AART
26	35243 12312	   	199.59	ACR|4VULN|2DMG|1AART	1RCR|2aLHND|3ERES|4aDMG|569aVULN|7AART|8LEGI|aBPWR
27	32632 53112	   	199.52	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|69VULN|78DUR|8BPWR|aLSRICY
28	32632 53114	   	199.52	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|69VULN|78DUR|8BPWR|aMLV
29	32632 53115	   	199.52	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|69VULN|78DUR|8BPWR|aCGEN
30	32631 53112	   	199.42	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78DUR|8BPWR|aLSRICY
31	32631 53114	   	199.42	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78DUR|8BPWR|aMLV
32	32631 53115	   	199.42	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78DUR|8BPWR|aCGEN
33	32632 53111	   	199.42	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|69VULN|78DUR|8BPWR|aTLV
34	32631 53111	   	199.32	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78DUR|8BPWR|aTLV
35	32633 12652	   	198.64	ACR|3VULN|3ZMB|1AART|1DMG|1SELL	1RCR|258ZMB|3AART|4DMG|68aVULN|78CGEN|8BPWR|9SELL
36	32633 16331	   	198.54	ACR|2AART|2VULN|2DMG|2ZMB	1RCR|25ZMB|37AART|4aDMG|68VULN|9BEXP
37	33654 33327	   	198.52	ACR|2VULN|2DMG|2AART|1ZMB	1RCR|2TLV|3MBVNT|46DMG|56VULN|6BPWR|7ASPD|8aAART|9ZMB
38	32633 16215	   	198.44	ACR|2AART|2VULN|2DMG|2ZMB	1RCR|25ZMB|37AART|4aDMG|69VULN|8BASHEA
39	32633 16236	   	198.44	ACR|2AART|2VULN|2DMG|2ZMB	1RCR|25ZMB|37AART|49DMG|6aVULN|8BASHEA
40	32633 16311	   	198.44	ACR|2AART|2VULN|2DMG|2ZMB	1RCR|25ZMB|37AART|4aDMG|68VULN|9DUST
41	32633 16351	   	198.44	ACR|2AART|2VULN|2DMG|2ZMB	1RCR|25ZMB|37AART|4aDMG|68VULN|9LEGI
42	32523 34531	 * 	198.39	ACR|3DMG|3ZMB|1VULN|2CDMG	1RCR|23aZMB|49aDMG|5RPLT|6VULN|7DUR|8aCDMG|aBPWR
43	32436 11112	   	197.36	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aERES|4DUR|5BEXP|689aVULN|7AART|8aBPWR
44	32635 16322	   	196.80	ACR|3VULN|2AART|1DMG|2ZMB	1RCR|2aZMB|37AART|4DMG|5RCVC|68aVULN|9aCGEN|aBPWR
45	32633 53263	   	196.78	ACR|2DMG|3ZMB|1AART|1VULN|2ASPD	1RCR|259ZMB|3AART|49DMG|6CGEN|7BEXP|89ASPD|9BPWR|aVULN
46	33533 32365	 * 	196.76	ACR|4VULN|1AART|1DMG|2ZMB	1RCR|2TLV|36ZMB|4589VULN|7AART|aDMG
47	32633 33263	   	196.68	ACR|2DMG|3ZMB|1AART|1VULN|2ASPD	1RCR|259ZMB|3AART|49DMG|6ERES|7BEXP|89ASPD|9BPWR|aVULN
48	32246 11113	   	196.60	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|28ZMB|38LHND|4DMG|5FEWX|689VULN|7AART|8BPWR|aCDMG
49	32633 16325	   	196.60	ACR|3VULN|2AART|1DMG|2ZMB	1RCR|25ZMB|37AART|4DMG|68aVULN|9CGEN
50	32633 22352	   	196.58	ACR|2VULN|3ZMB|1AART|1DMG|2ASPD	1RCR|25aZMB|3AART|4DMG|6aASPD|7ERES|8DUST|9aVULN|aBPWR
51	32633 13424	   	196.54	ACR|2DMG|3ZMB|1AART|1VULN|2ASPD|1SELL	1RCR|25aZMB|3AART|4aDMG|6VULN|7LHND|8SELL|9aASPD|aBPWR
52	32633 16216	   	196.50	ACR|3VULN|2AART|1DMG|2ZMB	1RCR|25ZMB|37AART|4DMG|69aVULN|8BASHEA
53	32633 16235	 * 	196.50	ACR|3DMG|2AART|1VULN|2ZMB	1RCR|25ZMB|37AART|49aDMG|6VULN|8BASHEA
54	32333 32165	   	196.26	ACR|4VULN|1AART|1DMG|2ZMB	1RCR|26ZMB|3MLV|4579VULN|8AART|aDMG
55	32524 53121	   	196.01	ACR|3DMG|2VULN|3ZMB	1RCR|23aZMB|45aDMG|6DUR|7RMIN|8LHND|9aVULN|aBPWR
56	32524 33622	   	195.81	ACR|3VULN|2DMG|3ZMB	1RCR|236ZMB|45DMG|7ASPD|89aVULN
57	32653 53113	   	195.58	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1RCR|28ZMB|3AART|48LHND|5DMG|69VULN|78DUR|8BPWR|aCDMG
58	32625 11422	   	195.44	ACR|4VULN|1AART|3DUR|2ZMB	1RCR|28ZMB|3AART|4FEWX|578aVULN|689DUR|8BPWR
59	32643 53113	   	195.38	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1RCR|28ZMB|3AART|48DUST|5DMG|69VULN|78DUR|8BPWR|aCDMG
60	32625 53133	   	194.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2ZMB|3AART|4FEWX|57aVULN|6CDMG|8RCVC|9DMG
61	14543 12312	   	194.69	ACR|4VULN|2DMG|1AART	1aERES|2LHND|3RCR|4aDMG|569aVULN|7AART|8LEGI|aBPWR
62	32635 16331	   	194.68	ACR|2AART|2VULN|2DMG|1ZMB	1RCR|2ZMB|37AART|4aDMG|5RCVC|68VULN|9BEXP
63	22535 12214	   	194.64	ACR|4VULN|2DMG|1CDMG|1ZMB	148aVULN|2RCVC|3RCR|5aLIT|6CDMG|7ZMB|9aDMG|aBPWR
64	32524 31523	 * 	194.59	ACR|3DMG|3ZMB|1AART|1VULN	1RCR|236ZMB|458DMG|78LHND|8BPWR|9VULN|aAART
65	32635 16311	   	194.58	ACR|2AART|2VULN|2DMG|1ZMB	1RCR|2ZMB|37AART|4aDMG|5RCVC|68VULN|9DUST
66	32524 31323	   	194.49	ACR|3DMG|3ZMB|1AART|1VULN	1RCR|236ZMB|458DMG|7LHND|9VULN|aAART
67	32633 16342	   	194.48	ACR|2AART|2VULN|3ZMB|1DMG	1RCR|259ZMB|37AART|4DMG|68VULN|aLSRICY
68	32246 11116	   	194.40	ACR|3VULN|2AART|1DMG|2ZMB	1RCR|28ZMB|38LHND|4DMG|5FEWX|689VULN|7aAART|8BPWR
69	32241 53113	   	194.38	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1RCR|28ZMB|38LHND|4DMG|5AART|69VULN|78DUR|8BPWR|aCDMG
70	32633 16341	   	194.38	ACR|2AART|2VULN|3ZMB|1DMG	1RCR|259ZMB|37AART|4DMG|68VULN|aTLV
71	33654 33722	 * 	194.25	ACR|5VULN|2DMG	1RCR|2TLV|3MBVNT|46DMG|5689aVULN|6BPWR|7ASPD
72	32631 51422	   	194.24	ACR|2AART|2VULN|3ZMB|1DMG|1SELL	1RCR|27aZMB|39AART|4DMG|5aDUST|6aVULN|8SELL|aBPWR
73	32635 12621	   	194.23	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|28ZMB|3AART|4aDMG|5RCVC|68VULN|78CGEN|8BPWR|9ASPD
74	32633 12521	   	194.03	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|25ZMB|3AART|4aDMG|68VULN|7CGEN|9ASPD
75	32524 12235	   	193.81	ACR|2VULN|2DMG|3ZMB|1CDMG	1RCR|23aZMB|45DMG|67VULN|8DUR|9CDMG
76	31624 84112	   	193.20	ACR|4VULN|3DMG|1AART|1MSE	1RCR|28aCGEN|3MBVNT|4MSE|5AART|68aDMG|789aVULN|8aBPWR
77	32523 51243	   	193.08	ACR|2DMG|3ZMB|1AART|1VULN|1CDMG	1RCR|236ZMB|46DMG|5RPLT|6BPWR|7CDMG|8ERES|9AART|aVULN
78	33533 22331	   	192.90	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4568VULN|7AART|9BEXP|aDMG
79	33533 22346	   	192.90	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4568VULN|7AART|9RPLT|aDMG
80	33533 22355	   	192.90	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4568VULN|7AART|9RMIN|aDMG
81	33533 22215	   	192.80	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4569VULN|7AART|8CANHEL|aDMG
82	33533 22311	   	192.80	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4568VULN|7AART|9DUST|aDMG
83	32553 23112	 * 	192.42	ACR|4VULN|3ZMB|2CDMG	1RCR|23aZMB|458aVULN|6LIT|7DUR|9aCDMG|aBPWR
84	31533 22125	   	192.40	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|29CGEN|3ZMB|4567VULN|8AART|aDMG
85	31533 22146	   	192.40	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3ZMB|4567VULN|8AART|9RPLT|aDMG
86	31533 22155	   	192.40	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3ZMB|4567VULN|8AART|9RMIN|aDMG
87	32333 22131	   	192.40	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2ZMB|3MLV|4567VULN|8AART|9BEXP|aDMG
88	32333 22146	   	192.40	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2ZMB|3MLV|4567VULN|8AART|9RPLT|aDMG
89	32333 22155	   	192.40	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2ZMB|3MLV|4567VULN|8AART|9RMIN|aDMG
90	32333 24165	   	192.40	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2ZMB|37MLV|4569VULN|8AART|aDMG
91	31533 22111	   	192.30	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3ZMB|4567VULN|8AART|9DUST|aDMG
92	32333 22111	   	192.30	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2ZMB|3MLV|4567VULN|8AART|9DUST|aDMG
93	33533 21165	   	192.20	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|27TLV|3ZMB|4569VULN|8AART|aDMG
94	32241 53116	   	192.18	ACR|2AART|2VULN|1DMG|2ZMB|2DUR	1RCR|28ZMB|38LHND|4DMG|5aAART|69VULN|78DUR|8BPWR
95	31623 51112	   	192.00	ACR|4VULN|3DMG|1AART|1MSE	1RCR|28aCGEN|3MBVNT|4MSE|589aVULN|68aDMG|7AART|8aBPWR
96	32211 56112	   	191.83	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|3LHND|48aMLV|5AART|689aVULN|7LEGI|8aBPWR
97	33654 33312	   	191.73	ACR|3VULN|2DMG|1AART	1RCR|2TLV|3MBVNT|46DMG|56aVULN|6BPWR|7ASPD|8AART|9RPLT
98	33654 36334	   	191.73	ACR|3VULN|2DMG|1AART	1RCR|2TLV|3MBVNT|46DMG|56aVULN|6BPWR|7MLV|8AART|9DUR
99	32331 56331	   	191.55	ACR|3VULN|2AART|1DMG|1ZMB	1RCR|2ZMB|3MLV|468VULN|57AART|9BEXP|aDMG
100	32625 11414	   	191.53	ACR|4VULN|1AART|2ZMB|2DUR	1RCR|28ZMB|3AART|4FEWX|578aVULN|68DUR|8BPWR|9MBVNT
101	32331 56215	   	191.45	ACR|3VULN|2AART|1DMG|1ZMB	1RCR|2ZMB|3MLV|469VULN|57AART|8CANHEL|aDMG
102	32331 56311	   	191.45	ACR|3VULN|2AART|1DMG|1ZMB	1RCR|2ZMB|3MLV|468VULN|57AART|9DUST|aDMG
103	33531 56331	   	191.45	ACR|3VULN|2AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|468VULN|57AART|9BEXP|aDMG
104	32523 31531	   	191.45	ACR|3DMG|3ZMB|1VULN|2CDMG	1RCR|23aZMB|49aDMG|5RPLT|6VULN|7LHND|8aCDMG|aBPWR
105	33531 56311	   	191.35	ACR|3VULN|2AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|468VULN|57AART|9DUST|aDMG
106	31654 13322	   	191.13	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|2aCGEN|3MBVNT|4aDMG|56VULN|7ASPD|8AART|9aZMB|aBPWR
107	32625 15113	   	191.07	ACR|3VULN|1AART|2ZMB|1CDMG|2DUR	1RCR|28ZMB|3AART|4FEWX|589VULN|68DUR|7NUKE|8BPWR|aCDMG
108	32631 34431	   	190.96	ACR|3DMG|3ZMB|1AART|2DUR	1RCR|27aZMB|3AART|47aDMG|579DUST|6RPLT|7aBPWR|8aDUR
109	34615 33133	   	190.89	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2RMIN|3AART|4DUR|57aVULN|6CDMG|8RCVC|9DMG
110	31556 11112	   	190.73	ACR|4VULN|3ZMB|1AART	1RCR|28aCGEN|38aZMB|4FEWX|5BEXP|689aVULN|7AART|8aBPWR
111	31566 11112	   	190.73	ACR|4VULN|3ZMB|1AART	1RCR|28aCGEN|38aZMB|4LWND|5BEXP|689aVULN|7AART|8aBPWR
112	32216 11112	   	190.73	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aLHND|4MLV|5BEXP|689aVULN|7AART|8aBPWR
113	32356 11112	   	190.73	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aMLV|4FEWX|5BEXP|689aVULN|7AART|8aBPWR
114	32366 11112	   	190.73	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aMLV|4LWND|5BEXP|689aVULN|7AART|8aBPWR
115	31562 11112	   	190.63	ACR|4VULN|3ZMB|1AART	1RCR|28aCGEN|38aZMB|4LWND|5DUST|689aVULN|7AART|8aBPWR
116	32212 11112	   	190.63	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aLHND|4MLV|5DUST|689aVULN|7AART|8aBPWR
117	32354 51112	   	190.63	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|3MLV|48aFEWX|589aVULN|6MBVNT|7AART|8aBPWR
118	32362 11112	   	190.63	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aMLV|4LWND|5DUST|689aVULN|7AART|8aBPWR
119	32335 51112	   	190.63	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|3MLV|489aVULN|58aBEXP|6MBVNT|7AART|8aBPWR
120	33654 32343	   	190.43	ACR|3DMG|2VULN|1AART	1RCR|2TLV|3MBVNT|468DMG|56VULN|6BPWR|7DUST|9DUR|aAART
121	32456 11112	   	190.43	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aERES|4FEWX|5BEXP|689aVULN|7AART|8aBPWR
122	32466 11112	   	190.43	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aERES|4LWND|5BEXP|689aVULN|7AART|8aBPWR
123	33533 32364	   	190.34	ACR|4VULN|1AART|2ZMB|1CDMG	1RCR|2TLV|36ZMB|4589VULN|7AART|aCDMG
124	32332 51112	   	190.33	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|3MLV|489aVULN|58aDUST|6MBVNT|7AART|8aBPWR
125	32462 11112	   	190.33	ACR|4VULN|3ZMB|1AART	1RCR|28aZMB|38aERES|4LWND|5DUST|689aVULN|7AART|8aBPWR
126	33533 32352	   	190.33	ACR|4VULN|3ZMB|1AART	1RCR|2aTLV|36aZMB|458aVULN|7AART|9RMIN|aBPWR
127	32635 12632	   	190.29	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|28ZMB|3AART|4DMG|5RCVC|68VULN|78CGEN|8BPWR|9CDMG|aDUR
128	32635 12521	   	190.17	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2ZMB|3AART|4aDMG|5RCVC|68VULN|7CGEN|9ASPD
129	32633 12612	   	190.17	ACR|2VULN|3ZMB|1AART|1DMG	1RCR|258ZMB|3AART|4DMG|68VULN|789CGEN|8BPWR|aDUR
130	32633 11234	   	190.09	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1RCR|25ZMB|3AART|4aDMG|6VULN|7BELT|8ASPD|9CDMG
131	32633 12532	   	190.09	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|25ZMB|3AART|4DMG|68VULN|7CGEN|9CDMG|aDUR
132	32633 11255	   	189.97	ACR|2VULN|3ZMB|1AART|1DMG	1RCR|25aZMB|3AART|4DMG|69VULN|7BELT|8ASPD
133	31533 32152	   	189.93	ACR|4VULN|3ZMB|1AART	1RCR|2aCGEN|36aZMB|457aVULN|8AART|9RMIN|aBPWR
134	32333 32152	   	189.93	ACR|4VULN|3ZMB|1AART	1RCR|26aZMB|3aMLV|457aVULN|8AART|9RMIN|aBPWR
135	22535 11222	 * 	189.85	ACR|4VULN|2DMG|2CDMG	148aVULN|2RCVC|3RCR|5LIT|6aCDMG|7aDMG|9LEGI|aBPWR
136	32333 32164	   	189.84	ACR|4VULN|1AART|2ZMB|1CDMG	1RCR|26ZMB|3MLV|4579VULN|8AART|aCDMG
137	33654 36324	   	189.72	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2TLV|3MBVNT|46DMG|56VULN|6BPWR|7MLV|8AART|9CDMG|aASPD
138	33654 38324	   	189.72	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2TLV|3MBVNT|46DMG|56VULN|6BPWR|7RMIN|8AART|9CDMG|aASPD
139	32331 56352	 * 	189.64	ACR|4VULN|2AART|2ZMB	1RCR|2aZMB|3aMLV|468aVULN|57AART|9RMIN|aBPWR
140	33533 22352	 * 	189.62	ACR|5VULN|1AART|2ZMB	1RCR|2aTLV|3aZMB|4568aVULN|7AART|9RMIN|aBPWR
141	32243 12783	 * 	189.54	ACR|4VULN|2DMG|2ZMB	1RCR|2aZMB|3LHND|4aDMG|569aVULN|7MBVNT|8RPLT|aBPWR
142	31533 22152	   	189.22	ACR|5VULN|1AART|2ZMB	1RCR|2aCGEN|3aZMB|4567aVULN|8AART|9RMIN|aBPWR
143	32333 22152	   	189.22	ACR|5VULN|1AART|2ZMB	1RCR|2aZMB|3aMLV|4567aVULN|8AART|9RMIN|aBPWR
144	31654 43322	   	189.19	ACR|3DMG|1AART|1VULN|2ZMB	1RCR|2aCGEN|3MBVNT|46aDMG|5VULN|7ASPD|8AART|9aZMB|aBPWR
145	31656 23322	   	189.19	ACR|3DMG|1AART|1VULN|2ZMB	1RCR|2aCGEN|3MBVNT|45aDMG|6VULN|7ASPD|8AART|9aZMB|aBPWR
146	31142 32634	   	189.12	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2CGEN|3DUST|47DMG|5CDMG|68VULN|9AART|aASPD
147	32523 32243	   	189.07	ACR|3DMG|2VULN|3ZMB	1RCR|239ZMB|47aDMG|5RPLT|6aVULN|8aLWND|aBPWR
148	32523 35243	   	189.07	ACR|3VULN|2DMG|3ZMB	1RCR|239ZMB|4aDMG|5RPLT|67aVULN|8aLWND|aBPWR
149	32524 63121	   	189.07	ACR|3DMG|2VULN|3ZMB	1RCR|23aZMB|45aDMG|6FEWX|7RMIN|8LHND|9aVULN|aBPWR
150	33142 32633	   	189.02	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2TLV|3DUST|47DMG|5CDMG|68VULN|9AART|aDUR
151	33142 32634	   	189.02	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2TLV|3DUST|47DMG|5CDMG|68VULN|9AART|aASPD
152	32524 14332	   	188.99	ACR|3VULN|2DMG|2ZMB|1CDMG	1RCR|23ZMB|45DMG|69aVULN|7MLV|8CDMG
153	32625 11431	   	188.97	ACR|3VULN|2AART|2ZMB|2DUR	1RCR|28ZMB|39AART|4FEWX|578VULN|68DUR|8BPWR|aCGEN
154	32625 11433	   	188.97	ACR|3VULN|2AART|2ZMB|2DUR	1RCR|28ZMB|39AART|4FEWX|578VULN|68DUR|8BPWR|aRCVC
155	32521 43631	   	188.97	ACR|3DMG|2VULN|3ZMB	1RCR|23aZMB|49aDMG|5BEXP|6DUST|7RMIN|8aVULN|aBPWR
156	32522 43631	   	188.97	ACR|3DMG|2VULN|3ZMB	1RCR|23aZMB|49aDMG|5FEWX|6DUST|7RMIN|8aVULN|aBPWR
157	32524 11335	   	188.89	ACR|3VULN|2DMG|2ZMB|1CDMG	1RCR|23ZMB|45DMG|69aVULN|7TLV|8CDMG
158	32632 53133	   	188.87	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|6VULN|78DUR|8BPWR|9RMIN|aASPD
159	32632 53153	   	188.87	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|6VULN|78DUR|8BPWR|9CGEN|aASPD
160	32632 53123	   	188.77	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|6VULN|78DUR|8BPWR|9TLV|aASPD
161	31142 32635	   	188.50	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2CGEN|3DUST|47DMG|5aCDMG|68VULN|9AART
162	32625 53323	   	188.44	ACR|3VULN|1AART|2ASPD|1CDMG|1ZMB	1RCR|2ZMB|3AART|4FEWX|57aVULN|6CDMG|89ASPD
163	33142 32635	   	188.40	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2TLV|3DUST|47DMG|5aCDMG|68VULN|9AART
