0	Index      	 *	Score 	Summary	Detail	
1	51332 32226	 * 	230.90	DCR|5VULN|3DMG|2AART	1RPLT|24679VULN|347DMG|47BPWR|5aAART|8RCR
35	51332 32246	   	206.52	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9LHND|aNUKE
36	51332 32252	   	206.52	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9CGEN|aDUST
37	51332 52242	   	206.47	DCR|3VULN|3DMG|2AART	1RPLT|247VULN|347DMG|47BPWR|5aAART|6RCVC|8RCR|9LHND
38	51332 32215	   	206.42	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9DUST|aERES
39	51332 52212	   	206.37	DCR|3VULN|3DMG|2AART	1RPLT|247VULN|347DMG|47BPWR|5aAART|6RCVC|8RCR|9DUST
40	51332 52234	   	206.03	DCR|3VULN|3DMG|1AART|1ZMB	1RPLT|247VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|9LIT|aZMB
41	51332 52253	   	206.03	DCR|3VULN|3DMG|1AART|1ZMB	1RPLT|247VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|9CGEN|aZMB
42	51332 52216	   	205.93	DCR|3VULN|3DMG|1AART|1ZMB	1RPLT|247VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|9DUST|aZMB
43	15323 12223	   	205.24	DCR|5VULN|3DMG|2DUR|1SELL	1479aVULN|2SELL|347DMG|47BPWR|57DUR|6DLOT|8RCR
44	42212 12624	   	204.97	DCR|3VULN|2DMG|1AART|2CDMG	1DMSP|27DMG|3AART|4LWND|57CDMG|679VULN|7BPWR|8RCR|aDUR
45	42222 12624	   	204.97	DCR|3VULN|2DMG|1AART|2CDMG	1DMSP|27DMG|3AART|4FEWX|57CDMG|679VULN|7BPWR|8RCR|aDUR
46	42222 12616	 * 	204.97	DCR|3DMG|2VULN|1AART|2CDMG	1DMSP|27aDMG|3AART|4FEWX|57CDMG|67VULN|7BPWR|8RCR|9ASPD
47	15321 12225	   	203.38	DCR|4VULN|3DMG|1AART|1SELL	1479VULN|2SELL|347DMG|47BPWR|57LWND|6DLOT|8RCR|aAART
48	15321 12265	   	202.93	DCR|3VULN|3DMG|1AART|1CDMG|1SELL	147VULN|2SELL|347DMG|47BPWR|57LWND|6DLOT|8RCR|9CDMG|aAART
49	51332 52236	   	201.96	DCR|3VULN|3DMG|1AART	1RPLT|247VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|9LIT|aDUR
50	51332 52241	   	201.96	DCR|3VULN|3DMG|1AART	1RPLT|247VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|9LHND|aASPD
51	51332 52211	   	201.86	DCR|3VULN|3DMG|1AART	1RPLT|247VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|9DUST|aASPD
52	51332 32355	   	201.82	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8BEXP|9CGEN|aRCR
53	51332 32525	   	201.82	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|89RMIN|aRCR
54	51332 32145	   	201.72	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8ERES|9DMSP|aRCR
55	51332 32155	   	201.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|89ERES|aRCR
56	15323 12242	   	201.51	DCR|3VULN|3DMG|1AART|2DUR|1SELL	147VULN|2SELL|347DMG|47BPWR|57DUR|6DLOT|8RCR|9LHND|aAART
57	15323 12212	   	201.41	DCR|3VULN|3DMG|1AART|2DUR|1SELL	147VULN|2SELL|347DMG|47BPWR|57DUR|6DLOT|8RCR|9DUST|aAART
