0	Index      	 *	Score 	Summary	Detail	
1	32166 42111	 * 	188.94	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3CGEN|469VULN|5RCR|7RPLT|8AART
63	32211 12514	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LHND|6ASPD|7ZMB|8RCR|9AART|aBELT
64	32213 12512	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LWND|6ASPD|7ZMB|8RCR|9AART|aLHND
65	32213 12514	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LWND|6ASPD|7ZMB|8RCR|9AART|aBELT
66	32231 12512	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|35VULN|4aLHND|6ASPD|7ZMB|8RCR|9AART
67	32231 12513	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|35VULN|4LHND|6ASPD|7ZMB|8RCR|9AART|aCGEN
68	32231 12514	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|35VULN|4LHND|6ASPD|7ZMB|8RCR|9AART|aBELT
69	32511 12512	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|3LWND|45VULN|6ASPD|7ZMB|8RCR|9AART|aLHND
70	32511 12514	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|3LWND|45VULN|6ASPD|7ZMB|8RCR|9AART|aBELT
71	32211 12515	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LHND|6ASPD|7ZMB|8RCR|9AART|aDUST
72	32213 12515	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LWND|6ASPD|7ZMB|8RCR|9AART|aDUST
73	32231 12515	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|35VULN|4LHND|6ASPD|7ZMB|8RCR|9AART|aDUST
74	32511 12515	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|3LWND|45VULN|6ASPD|7ZMB|8RCR|9AART|aDUST
75	51413 26312	 * 	172.40	ACR|3VULN|1AART|2CDMG|1ZMB	17LWND|2FEWX|379VULN|4RCR|57CDMG|6AART|7BPWR|8ZMB|aLIT
76	51413 26313	   	172.40	ACR|3VULN|1AART|2CDMG|1ZMB	17LWND|2FEWX|379VULN|4RCR|57CDMG|6AART|7BPWR|8ZMB|aLHND
77	32211 12511	   	172.37	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2DMG|34VULN|5LHND|6ASPD|7ZMB|8RCR|9AART|aSELL
78	32213 12511	   	172.37	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2DMG|34VULN|5LWND|6ASPD|7ZMB|8RCR|9AART|aSELL
79	32231 12511	   	172.37	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2DMG|35VULN|4LHND|6ASPD|7ZMB|8RCR|9AART|aSELL
80	32511 12511	   	172.37	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2DMG|3LWND|45VULN|6ASPD|7ZMB|8RCR|9AART|aSELL
81	51413 26311	   	172.30	ACR|3VULN|1AART|2CDMG|1ZMB	17LWND|2FEWX|379VULN|4RCR|57CDMG|6AART|7BPWR|8ZMB|aNUKE
82	25532 26211	   	172.23	ACR|2VULN|2AART|1DMG|2DUR	1DUST|29DUR|3RCR|4FEWX|58AART|6aVULN|7DMG
83	32236 51613	 * 	172.13	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|39aVULN|4LHND|5FEWX|6AART|7BEXP|8RCR
84	25312 26316	   	172.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1DUST|2aDUR|3LWND|4RCR|5AART|69VULN|7DMG|8CDMG
85	32211 12544	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LHND|6ASPD|7ZMB|8RCR|9RPLT|aAART
86	32213 12544	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LWND|6ASPD|7ZMB|8RCR|9RPLT|aAART
87	32231 12544	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|35VULN|4LHND|6ASPD|7ZMB|8RCR|9RPLT|aAART
88	32161 16333	   	171.45	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1CDMG|2aDMG|3CGEN|4VULN|5TLV|6ASPD|7RCR|8AART|9DUR
89	33221 46333	   	171.35	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2ERES|3VULN|4ASPD|5TLV|6aDMG|7RCR|8AART|9DUR
90	32166 42113	   	171.35	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3CGEN|469VULN|5RCR|7RPLT|8AART|aLIT
91	11384 51118	   	171.32	DCR|3VULN|1AART|1DMG|1ASPD	1RCVC|2ASPD|3MBVNT|4AART|5DMG|6RCR|7MLV|89aVULN
92	11384 51141	   	171.32	DCR|3DMG|1AART|1VULN|1ASPD	1RCVC|2ASPD|3MBVNT|4AART|59aDMG|6RCR|7MLV|8VULN
93	32166 42112	   	171.25	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3CGEN|469VULN|5RCR|7RPLT|8AART|aDUST
94	32166 42131	   	171.25	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3CGEN|46aVULN|5RCR|7RPLT|8AART|9DUST
95	21514 21432	 * 	171.24	ACR|3VULN|3DMG	189DUST|2FEWX|3RCR|4RMIN|59aDMG|679VULN|9BPWR
96	11384 52221	   	171.22	DCR|3DMG|1AART|1VULN|1ASPD	1RCVC|2ASPD|3MBVNT|4AART|57aDMG|6RCR|8TLV|9VULN
97	25412 32633	   	170.67	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2DUR|38VULN|4RCR|5AART|6RPLT|7RCVC|9aDMG
98	33226 42423	 * 	170.65	ACR|3VULN|1AART|2CDMG|2ASPD	1aCDMG|2ERES|36aVULN|4aASPD|5RCR|7RPLT|8BELT|9AART|aBPWR
99	32225 62531	 * 	170.46	DCR|2VULN|2DMG|2CDMG|1FLTHEA|1DUR	14CDMG|25DMG|35VULN|5BPWR|6DUR|7DUST|8ERES|9FLTHEA|aRCR
100	32225 15213	   	170.42	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	14CDMG|25DMG|35VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR|aLHND
101	32225 15215	   	170.42	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	14CDMG|25DMG|35VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR|aFEWX
102	32225 15212	   	170.32	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	14CDMG|25DMG|35VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR|aERES
103	11384 55433	 * 	169.79	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG	1RCVC|28ASPD|3MBVNT|49AART|5DMG|6RCR|7CDMG|aVULN
104	33226 32511	 * 	169.75	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CDMG|2ERES|38VULN|49ASPD|5RCR|6CGEN|7AART|aDMG
105	11384 57422	 * 	169.67	DCR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1RCVC|2ASPD|3MBVNT|4AART|5DMG|6RCR|7FLTHEA|8VULN|9DUR|aZMB
106	32214 53843	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|349VULN|5RMIN|6MBVNT|7BEXP|8RCR|aAART
107	22323 45111	   	169.46	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	12DUST|35DUR|4AART|6ZMB|7RCR|89VULN|aDMG
108	22324 65111	   	169.46	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	12DUST|36DUR|4AART|5ZMB|7RCR|89VULN|aDMG
109	25562 22313	   	169.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|3RCR|4LWND|5AART|69VULN|7NUKE|8CDMG|aDMG
110	11384 53481	   	168.87	DCR|3DMG|1AART|2ASPD|1ZMB	1RCVC|28ASPD|3MBVNT|4AART|58aDMG|6RCR|7LEGI|8BPWR|9ZMB
111	32215 31441	   	168.75	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7DUR|8LIT|9RCR|aLHND
112	32215 32442	   	168.75	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7FEWX|8LIT|9RCR|aDUR
113	32215 46231	   	168.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1CDMG|25DMG|345VULN|5BPWR|67FEWX|8RCVC|9RCR|aASPD
114	21412 35631	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1DUST|2FEWX|378VULN|4RCR|5AART|6RPLT|9DMG|aASPD
115	25412 35213	   	168.74	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|379VULN|4RCR|5AART|6RPLT|8MLV|aDMG
116	32215 35331	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7VENICY|8DUR|9RCR|aRMIN
117	32215 35334	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7VENICY|8DUR|9RCR|aDMSP
118	32215 62152	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7DUST|8FEWX|9RCR|aCGEN
119	32215 62153	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7DUST|8FEWX|9RCR|aLHND
120	32215 63152	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7LEGI|8FEWX|9RCR|aCGEN
121	32215 63153	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7LEGI|8FEWX|9RCR|aLHND
122	32215 63352	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7LEGI|8BEXP|9RCR|aCGEN
123	32215 63353	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7LEGI|8BEXP|9RCR|aLHND
124	25412 22113	   	168.64	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|369VULN|4RCR|5AART|7ERES|8RPLT|aDMG
125	34313 22736	   	168.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2FEWX|3MBVNT|4MGNSTR|58DMG|69VULN|7AART|aRCR
126	32215 13413	   	168.55	DCR|3VULN|2DMG|1CDMG|1ASPD	1CDMG|25DMG|345VULN|5BPWR|6ASPD|78ERES|9RCR|aMLV
127	32215 13415	   	168.55	DCR|3VULN|2DMG|1CDMG|1ASPD	1CDMG|25DMG|345VULN|5BPWR|6ASPD|78ERES|9RCR|aFEWX
128	32215 35335	   	168.55	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7VENICY|8DUR|9RCR|aDUST
129	32215 62151	   	168.55	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7DUST|8FEWX|9RCR|aTLV
130	32215 63151	   	168.55	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7LEGI|8FEWX|9RCR|aTLV
131	32215 63351	   	168.55	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7LEGI|8BEXP|9RCR|aTLV
132	25412 22311	   	168.54	ACR|3VULN|1AART|1DMG|1DUR	18DUST|2DUR|369VULN|4RCR|5AART|7ERES|aDMG
133	25412 22411	   	168.54	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|369VULN|4RCR|5AART|78ERES|aDMG
134	25513 34313	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|3RCR|4RMIN|5LWND|6AART|79VULN|8CDMG|aDMG
135	33216 46323	   	168.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2ERES|3VULN|4TLV|5ZMB|6aDMG|7RCR|8AART|9MGNLIT
136	33216 46331	   	168.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|39VULN|4TLV|5ZMB|6DMG|7RCR|8AART|aRCVC
137	33216 46333	   	168.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|39VULN|4TLV|5ZMB|6DMG|7RCR|8AART|aLIT
138	32215 13412	   	168.45	DCR|3VULN|2DMG|1CDMG|1ASPD	1CDMG|25DMG|345VULN|5BPWR|6ASPD|78aERES|9RCR
139	32215 35336	   	168.41	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7VENICY|8DUR|9RCR|aSELL
140	32225 21535	   	168.35	DCR|2VULN|2DMG|3CDMG|2DUR	146CDMG|25DMG|35VULN|5BPWR|7FEWX|89DUR|aRCR
141	32612 13461	   	168.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2aDMG|3RCVC|4ASPD|5AART|6VULN|7SELL|8DUR|9RCR
142	32221 12516	   	168.28	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD|1DUR	14CDMG|2DMG|3VULN|5LHND|6ASPD|7ZMB|8RCR|9AART|aDUR
143	32223 12513	   	168.28	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD|1DUR	14CDMG|2DMG|3VULN|5LWND|6ASPD|7ZMB|8RCR|9AART|aDUR
144	32612 16131	 * 	168.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CDMG|2DMG|3RCVC|47ASPD|5AART|6aVULN|8LIT|9RCR
145	32225 46233	   	168.13	DCR|3VULN|2DMG|2CDMG	14CDMG|25DMG|35aVULN|5BPWR|67FEWX|8RCVC|9RCR
146	51413 26321	   	168.10	ACR|2VULN|2AART|2CDMG|1ZMB	17LWND|2FEWX|37VULN|4RCR|57CDMG|6aAART|7BPWR|8ZMB|9ERES
147	32165 33226	 * 	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1SELL	1CDMG|2DMG|3CGEN|4aVULN|5AART|6FLTHEA|7LHND|8SELL|9RCR
148	32215 25332	   	168.03	DCR|3VULN|2DMG|2CDMG	16CDMG|25DMG|345VULN|5BPWR|7TLV|8CGEN|9RCR|aFEWX
149	32215 25335	   	168.03	DCR|3VULN|2DMG|2CDMG	16CDMG|25DMG|345VULN|5BPWR|7TLV|8CGEN|9RCR|aBELT
150	32215 25336	   	168.03	DCR|3VULN|2DMG|2CDMG	16CDMG|25DMG|345VULN|5BPWR|7TLV|8CGEN|9RCR|aBEXP
151	32215 25334	   	167.78	DCR|3VULN|2DMG|2CDMG|1SELL	16CDMG|25DMG|345VULN|5BPWR|7TLV|8CGEN|9RCR|aSELL
152	32311 24136	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3DUST|459VULN|6AART|7BEXP|8CGEN|aRCR
153	32311 24536	   	167.13	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3DUST|459VULN|6AART|7BEXP|8ERES|aRCR
154	11384 52314	 * 	167.11	DCR|2AART|2DMG|1VULN|1ASPD	1RCVC|2ASPD|3MBVNT|48AART|57DMG|6RCR|9LIT|aVULN
155	11384 52353	   	167.11	DCR|2AART|2DMG|1VULN|1ASPD	1RCVC|2ASPD|3MBVNT|48AART|57DMG|6RCR|9VULN|aLIT
156	11384 52354	   	167.11	DCR|2AART|2DMG|1VULN|1ASPD	1aRCVC|2ASPD|3MBVNT|48AART|57DMG|6RCR|9VULN
157	11384 52352	   	167.01	DCR|2AART|2DMG|1VULN|1ASPD	1RCVC|2ASPD|3MBVNT|48AART|57DMG|6RCR|9VULN|aTLV
