0	Index      	 *	Score 	Summary	Detail	
1	13348 41423	 * 	200.85	DCR|4VULN|3DMG|3DUR|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678aVULN|78BPWR|9RCR
36	13522 41241	   	184.84	ACR|4VULN|3DMG	1RCVC|27aDMG|367aVULN|47BEXP|5RCR|7aBPWR|8MLV|9aDUST
37	13532 41361	   	184.84	ACR|4VULN|3DMG	1RCVC|27aDMG|367aVULN|47DUST|5RCR|7aBPWR|8BEXP|9aCGEN
38	13532 41331	   	184.64	ACR|4VULN|3DMG	1RCVC|27aDMG|367aVULN|47DUST|5RCR|7aBPWR|8BEXP|9aERES
39	64431 23231	   	184.64	ACR|3VULN|3DMG|1ZMB	1CANHEL|2RCR|38aDMG|459VULN|6ZMB|7LWND
40	13522 61211	   	183.17	ACR|3VULN|3DMG|2DUR	1RCVC|27aDMG|37aVULN|47BEXP|5RCR|6DMSP|7aBPWR|8MLV|9aDUR
41	13522 61611	   	183.07	ACR|3VULN|3DMG|2DUR	1RCVC|27aDMG|37aVULN|47BEXP|5RCR|6DMSP|7aBPWR|8TLV|9aDUR
42	13532 61211	   	182.97	ACR|3VULN|3DMG|2DUR	1RCVC|27aDMG|37aVULN|47DUST|5RCR|6DMSP|7aBPWR|8MLV|9aDUR
43	13532 61611	   	182.87	ACR|3VULN|3DMG|2DUR	1RCVC|27aDMG|37aVULN|47DUST|5RCR|6DMSP|7aBPWR|8TLV|9aDUR
44	13412 63413	 * 	182.42	DCR|4VULN|2DMG|1CDMG	1RCVC|27DMG|3RMIN|457aVULN|67CGEN|7BPWR|8RCR|9CDMG
45	13541 11413	   	182.22	DCR|4VULN|3DMG	1RCVC|278DMG|378aVULN|4MBVNT|5678aLHND|78aBPWR|9RCR
46	13541 71413	   	182.22	DCR|4VULN|3DMG	1RCVC|278DMG|378aVULN|4MBVNT|578aLHND|6DMSP|78aBPWR|9RCR
47	13541 31412	   	182.12	DCR|4VULN|3DMG	1RCVC|278DMG|3678VULN|4MBVNT|578aLHND|78BPWR|9RCR
48	13541 31417	   	182.12	DCR|4VULN|3DMG	1RCVC|278DMG|3678VULN|4MBVNT|578LHND|78BPWR|9RCR|aBEXP
49	13541 31418	   	182.12	DCR|4VULN|3DMG	1RCVC|278DMG|3678VULN|4MBVNT|578LHND|78BPWR|9RCR|aMGNLIT
50	13541 31415	   	182.02	DCR|4VULN|3DMG	1RCVC|278DMG|3678VULN|4MBVNT|578LHND|78BPWR|9RCR|aTLV
51	64115 22311	   	181.97	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	19CANHEL|2RCR|3CDMG|49DUR|5ERES|6ASPD|79DMG|8AART|9BPWR|aVULN
52	13544 51412	   	181.82	DCR|4VULN|3DMG	1RCVC|278DMG|3678VULN|4MBVNT|5LEGI|78BPWR|9RCR|aLHND
53	13544 51413	   	181.72	DCR|4VULN|3DMG	1RCVC|278DMG|3678VULN|4MBVNT|5LEGI|78BPWR|9RCR|aDUST
54	13544 51414	   	181.72	DCR|4VULN|3DMG	1RCVC|278DMG|3678VULN|4MBVNT|5LEGI|78BPWR|9RCR|aBASHEA
55	13548 31414	   	181.70	DCR|3VULN|3DMG|1ZMB|2RCVC	15RCVC|278DMG|378VULN|4MBVNT|678LHND|78BPWR|9RCR|aZMB
56	62142 51323	   	181.05	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1CANHEL|2CDMG|37AART|4LHND|5RCR|68DMG|9VULN|aZMB
57	62132 51323	   	180.95	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1CANHEL|2CDMG|37AART|4LEGI|5RCR|68DMG|9VULN|aZMB
58	13522 41326	   	179.76	ACR|3VULN|2DMG|1AART	19RCVC|27DMG|367VULN|478BEXP|5RCR|7BPWR|aAART
59	62112 24341	 * 	179.68	DCR|2VULN|2DMG|1AART|2CDMG	1CANHEL|24CDMG|3AART|5FEWX|6aVULN|78DMG|9RCR
60	64114 12332	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CANHEL|2RCR|3CDMG|4DUR|57DMG|6ZMB|8LHND|9VULN|aAART
61	13541 11414	   	179.03	DCR|3VULN|3DMG|1ZMB	1RCVC|278DMG|378VULN|4MBVNT|5678LHND|78BPWR|9RCR|aZMB
62	13541 71414	   	179.03	DCR|3VULN|3DMG|1ZMB	1RCVC|278DMG|378VULN|4MBVNT|578LHND|6DMSP|78BPWR|9RCR|aZMB
63	13522 41145	   	178.79	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47aBEXP|5RCR|7BPWR|8MBVNT|9AART
64	13522 41147	   	178.79	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MBVNT|9AART|aLHND
65	13522 61146	   	178.79	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|37aVULN|47BEXP|5RCR|6DMSP|7BPWR|8MBVNT|9AART
66	13522 41143	   	178.69	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MBVNT|9AART|aERES
67	62142 34321	   	178.69	ACR|2VULN|2DMG|1AART|1CDMG	1CANHEL|2CDMG|3AART|4LHND|5RCR|6RCVC|78DMG|9aVULN
68	13532 41145	   	178.59	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aBEXP
69	13532 41146	   	178.59	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aCGEN
70	13532 41147	   	178.59	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aLWND
71	13532 41148	   	178.59	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aLHND
72	62132 34321	   	178.59	ACR|2VULN|2DMG|1AART|1CDMG	1CANHEL|2CDMG|3AART|4LEGI|5RCR|6RCVC|78DMG|9aVULN
73	13532 41143	   	178.49	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aERES
74	33453 43313	 * 	178.36	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1MLV|26DMG|3CDMG|49AART|5DUR|7RCR|8ERES|aVULN
75	13522 41231	   	178.29	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MLV|9RMIN|aAART
76	13522 41163	   	178.19	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MBVNT|9LWND|aAART
77	13522 41631	   	178.19	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8TLV|9RMIN|aAART
78	13522 41136	   	178.09	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MBVNT|9ERES|aAART
79	13532 41231	   	178.09	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MLV|9RMIN|aAART
80	13532 41353	   	178.09	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8BEXP|9LWND|aAART
81	13532 41163	   	177.99	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9LWND|aAART
82	13532 41335	   	177.99	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8BEXP|9ERES|aAART
83	13532 41631	   	177.99	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8TLV|9RMIN|aAART
84	11252 45112	   	177.97	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|2AART|34VULN|5CDMG|67DMG|8DLOT|9RCR|aLIT
85	11252 45113	   	177.97	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|2AART|34VULN|5CDMG|67DMG|8DLOT|9RCR|aBEXP
86	13532 41136	   	177.89	ACR|3VULN|2DMG|1AART	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9ERES|aAART
87	13548 31411	   	177.64	DCR|3VULN|3DMG|1DUR|2RCVC	15RCVC|278DMG|378VULN|4MBVNT|678LHND|78BPWR|9RCR|aDUR
88	32434 11163	 * 	176.66	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1MLV|2RPLT|35DUR|45VULN|5BPWR|6CDMG|7DMG|8aAART|9RCR
89	62132 51326	 * 	176.26	ACR|2AART|2DMG|1VULN|2CDMG	1CANHEL|2aCDMG|37AART|4LEGI|5RCR|68DMG|9VULN
90	62132 51621	 * 	176.26	ACR|2AART|2VULN|1DMG|2CDMG	1CANHEL|28CDMG|37AART|4LEGI|5RCR|6DMG|9aVULN
91	62132 56321	   	176.08	ACR|2VULN|2DMG|1AART|1CDMG	1CANHEL|2CDMG|3AART|4LEGI|5RCR|68DMG|7DMSP|9aVULN
92	64632 32311	   	176.05	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	19CANHEL|2RCR|3ASPD|49CDMG|5ERES|6FEWX|79DMG|8AART|9BPWR|aVULN
93	13522 41114	   	176.03	ACR|4VULN|2DMG|1ASPD	1RCVC|27DMG|367aVULN|47BEXP|5RCR|7BPWR|8MBVNT|9ASPD
94	13522 41126	   	176.03	ACR|4VULN|2DMG|1DUR	1RCVC|27DMG|367aVULN|47BEXP|5RCR|7BPWR|8MBVNT|9DUR
95	13532 41325	   	175.93	ACR|4VULN|2DMG|1DUR	1RCVC|27DMG|367aVULN|47DUST|5RCR|7BPWR|8BEXP|9DUR
96	64431 23233	   	175.93	ACR|3VULN|2DMG|1ZMB|1DUR	1CANHEL|2RCR|38DMG|459VULN|6ZMB|7LWND|aDUR
97	36322 33641	   	175.88	ACR|2VULN|2DMG|1AART|1CDMG	1aMLV|2RMIN|3DMSP|4RCR|5aVULN|6CDMG|7CGEN|8AART|9aDMG|aBPWR
98	13532 41126	   	175.83	ACR|4VULN|2DMG|1DUR	1RCVC|27DMG|367aVULN|47DUST|5RCR|7BPWR|8MBVNT|9DUR
99	64114 22332	   	175.47	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CANHEL|2RCR|3CDMG|4DUR|57DMG|6ASPD|8LHND|9VULN|aAART
100	14441 31421	   	175.44	ACR|3VULN|3DMG	1RCVC|2aMLV|3RCR|4MBVNT|5LHND|69aVULN|78aDMG|aBPWR
101	13322 41432	   	175.27	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|27DMG|3aDUR|4BEXP|5RCR|68VULN|9AART
102	13412 63412	   	175.26	DCR|3VULN|2DMG|1CDMG|1ASPD	1RCVC|27DMG|3RMIN|457VULN|67CGEN|7BPWR|8RCR|9CDMG|aASPD
103	16441 31421	   	175.24	ACR|3VULN|3DMG	1RCVC|2aERES|3RCR|4MBVNT|5LHND|69aVULN|78aDMG|aBPWR
104	13332 41432	   	175.17	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|27DMG|3aDUR|4DUST|5RCR|68VULN|9AART
105	64431 23131	   	175.10	ACR|3VULN|1AART|1DMG|1ZMB	1CANHEL|2RCR|3DMG|45aVULN|6ZMB|7LWND|8LEGI|9AART
106	13541 11411	   	174.96	DCR|3VULN|3DMG|1DUR	1RCVC|278DMG|378VULN|4MBVNT|5678LHND|78BPWR|9RCR|aDUR
107	13541 71411	   	174.96	DCR|3VULN|3DMG|1DUR	1RCVC|278DMG|378VULN|4MBVNT|578LHND|6DMSP|78BPWR|9RCR|aDUR
108	13544 71411	   	174.66	DCR|3VULN|3DMG|1DUR	1RCVC|278DMG|378VULN|4MBVNT|5LEGI|6DMSP|78BPWR|9RCR|aDUR
109	53453 13222	 * 	174.57	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	178ERES|28DMG|3CDMG|4AART|5DUR|68ZMB|8BPWR|9VULN|aRCR
110	64432 23211	 * 	174.50	ACR|3DMG|1AART|1VULN|1ZMB	1CANHEL|2RCR|368DMG|4VULN|5ERES|7LWND|9ZMB|aAART
111	13522 61141	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|27DMG|37VULN|47BEXP|5RCR|6DMSP|7BPWR|8MBVNT|9AART|aZMB
112	13532 61141	   	173.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|27DMG|37VULN|47DUST|5RCR|6DMSP|7BPWR|8MBVNT|9AART|aZMB
113	33522 43523	   	173.88	ACR|2VULN|2DMG|1AART|1CDMG	1MLV|2aDMG|3LWND|4RMIN|5RCR|69VULN|7AART|8CDMG
114	53522 43223	   	173.78	ACR|2VULN|2DMG|1AART|1CDMG	1ERES|2aDMG|3LWND|4RMIN|5RCR|69VULN|7AART|8CDMG
115	63433 14112	   	173.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2DUR|3DMG|4aVULN|5CDMG|6ZMB|7AART|8RCR|9FEWX
116	63433 14132	   	173.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2DUR|3DMG|4aVULN|5CDMG|6ZMB|7AART|8RCR|9LHND
117	64431 13231	   	173.64	ACR|3VULN|3DMG	1CANHEL|2RCR|38aDMG|459VULN|6CGEN|7LWND
118	13512 41211	   	173.63	ACR|4VULN|3DMG|2DUR|2MSE	1RCVC|27aDMG|367aVULN|47MSE|5RCR|7aBPWR|8MLV|9aDUR
119	64135 12311	   	173.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	19CANHEL|2RCR|3CDMG|49DUST|5ERES|6ZMB|79DMG|8AART|9BPWR|aVULN
120	13512 41611	   	173.53	ACR|4VULN|3DMG|2DUR|2MSE	1RCVC|27aDMG|367aVULN|47MSE|5RCR|7aBPWR|8TLV|9aDUR
121	33132 61663	 * 	173.36	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1MLV|2DMG|3DUST|4AART|5DUR|6CDMG|7FLTHEA|89VULN|aRCR
122	62122 24341	   	173.36	DCR|2VULN|2DMG|1AART|1CDMG	1CANHEL|2CDMG|3AART|4DMSP|5FEWX|6aVULN|78DMG|9RCR
123	13324 35431	   	173.25	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3aDUR|4BEXP|5BELT|6LHND|7aVULN|8AART|9RCR|aBPWR
124	13524 32431	   	173.25	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3aVULN|4BEXP|5BELT|6LHND|7aDUR|8AART|9RCR|aBPWR
125	64433 12222	 * 	173.20	ACR|2VULN|2DMG|2CDMG|1ZMB	1CANHEL|2RCR|37DMG|4aVULN|58CDMG|6ZMB|9ERES
126	13324 25431	   	173.15	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3aDUR|4BEXP|5BELT|6DUST|7aVULN|8AART|9RCR|aBPWR
127	13334 35431	   	173.15	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3aDUR|4DUST|5BELT|6LHND|7aVULN|8AART|9RCR|aBPWR
128	13524 22431	   	173.15	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3aVULN|4BEXP|5BELT|6DUST|7aDUR|8AART|9RCR|aBPWR
129	13534 32431	   	173.15	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3aVULN|4DUST|5BELT|6LHND|7aDUR|8AART|9RCR|aBPWR
130	62112 24343	   	173.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1CANHEL|24CDMG|3AART|5FEWX|6VULN|78DMG|9RCR|aZMB
131	13522 41343	   	173.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1RCVC|27DMG|367VULN|478BEXP|5RCR|7BPWR|9ASPD|aZMB
132	13322 53425	   	173.03	ACR|3VULN|2DMG|1ZMB|1DUR	1RCVC|29DMG|3DUR|49BEXP|5RCR|6ZMB|7MLV|89aVULN|9BPWR
133	64422 23131	   	172.97	ACR|2VULN|2DMG|1AART|1ASPD	1CANHEL|2RCR|36DMG|4ASPD|5aVULN|7LWND|8LEGI|9AART
134	64124 12331	   	172.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|2RCR|3CDMG|4LWND|57DMG|6ZMB|8LHND|9VULN|aAART
135	64433 12312	   	172.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|2RCR|37DMG|4VULN|5CDMG|6ZMB|8LHND|9FEWX|aAART
136	64433 13312	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANHEL|2RCR|3DMG|47VULN|5CDMG|6ZMB|8LHND|9FEWX|aAART
137	13553 13363	   	172.28	DCR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2aDMG|3aVULN|4LHND|5ZMB|6RPLT|7RCR|8aCDMG|9LEGI|aBPWR
138	62142 34323	   	172.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|2CDMG|3AART|4LHND|5RCR|6RCVC|78DMG|9VULN|aZMB
139	62132 34323	   	172.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|2CDMG|3AART|4LEGI|5RCR|6RCVC|78DMG|9VULN|aZMB
140	11251 41361	 * 	171.82	DCR|3VULN|1AART|1DMG|1ASPD	1RCVC|2AART|34aVULN|5RPLT|6DMG|7ASPD|8RCR|9LIT
141	21441 51421	   	171.44	ACR|3VULN|3DMG	12aCGEN|3RCR|4MBVNT|5LHND|69aVULN|78aDMG|aBPWR
142	21444 51421	   	171.44	ACR|3VULN|3DMG	12aCGEN|3RCR|4MBVNT|5BEXP|69aVULN|78aDMG|aBPWR
143	33452 43313	   	171.42	DCR|2AART|2DMG|1VULN|1CDMG	1MLV|26DMG|3CDMG|49AART|5BEXP|7RCR|8ERES|aVULN
144	62166 12313	   	171.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2CDMG|3AART|4ZMB|56VULN|7DUR|8DMG|9FEWX|aRCR
145	62166 12323	   	171.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2CDMG|3AART|4ZMB|56VULN|7DUR|8DMG|9LHND|aRCR
146	64433 13222	 * 	171.26	ACR|3VULN|1DMG|2CDMG|1ZMB	1CANHEL|2RCR|3DMG|47aVULN|58CDMG|6ZMB|9ERES
147	62131 44323	   	171.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CANHEL|2CDMG|3AART|4LEGI|5ZMB|6ASPD|78DMG|9VULN|aRCR
148	64431 33131	   	171.04	ACR|3VULN|1AART|1DMG|1ASPD	1CANHEL|2RCR|3DMG|45aVULN|6ASPD|7LWND|8LEGI|9AART
149	13543 37433	 * 	170.99	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1RCVC|2DMG|379VULN|4MBVNT|5SELL|6AART|8CDMG|aRCR
150	13322 41421	   	170.85	ACR|2VULN|2DMG|1AART|1DUR	19RCVC|27DMG|3DUR|4BEXP|5RCR|68VULN|aAART
