0	Index      	 *	Score 	Summary	Detail	
1	44221 24313	 * 	183.87	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|2LEGI|3AART|456DMG|7BPWR|8DUST|9ZMB|aRCR
42	43221 32532	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CGEN|3AART|4aBEXP|58DMG|6CDMG|7RCR|9ZMB
43	43221 32533	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9ZMB|aMLV
44	43231 32144	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CGEN|3AART|4FEWX|59DMG|6CDMG|7RCR|8BELT|aZMB
45	43231 32154	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	19VULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8BELT|aZMB
46	43221 32531	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9ZMB|aDLOT
47	43221 32534	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9ZMB|aDUST
48	43241 32532	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CGEN|3AART|4DUST|58DMG|6CDMG|7RCR|9ZMB|aBEXP
49	43241 32533	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2aCGEN|3AART|4DUST|58DMG|6CDMG|7RCR|9ZMB
50	44223 32532	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|48DMG|5CGEN|6CDMG|7RCR|9ZMB|aBEXP
51	44223 32533	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|48DMG|5aCGEN|6CDMG|7RCR|9ZMB
52	46231 32532	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2ERES|3AART|4aBEXP|58DMG|6CDMG|7RCR|9ZMB
53	46231 32533	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2ERES|3AART|4BEXP|58DMG|6CDMG|7RCR|9ZMB|aMLV
54	43241 32531	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CGEN|3AART|4DUST|58DMG|6CDMG|7RCR|9ZMB|aDLOT
55	44223 32531	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|48DMG|5CGEN|6CDMG|7RCR|9ZMB|aDLOT
56	46231 32531	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2ERES|3AART|4BEXP|58DMG|6CDMG|7RCR|9ZMB|aDLOT
57	44222 26132	   	170.72	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2LEGI|3AART|46DMG|5ZMB|7LHND|8LIT|9RCR
58	43221 32254	   	169.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|aDUR
59	43231 32254	   	169.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8RCVC|aDUR
60	24222 11132	   	168.78	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|2LEGI|3AART|4DMG|5ZMB|68aVULN|7LIT|9RCR
61	44222 16132	   	168.78	DCR|3VULN|1AART|1DMG|1ZMB	16aVULN|2LEGI|3AART|4DMG|5ZMB|7LHND|8LIT|9RCR
62	64123 16332	   	168.68	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1ASPD|2MGNLIT|3CDMG|4VULN|5AART|6ZMB|7BELT|8DMG|9RCR|aFLTHEA
63	66123 16332	   	168.68	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1ASPD|2LSRICY|3CDMG|4VULN|5AART|6ZMB|7BELT|8DMG|9RCR|aFLTHEA
64	51243 12222	   	167.72	DCR|3VULN|2DMG|2ZMB	19ZMB|2TLV|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aLWND
65	51243 12226	   	167.72	DCR|3VULN|2DMG|2ZMB	19ZMB|2TLV|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aRPLT
66	51243 12228	   	167.72	DCR|3VULN|2DMG|2ZMB	19ZMB|2TLV|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aBEXP
67	53243 22222	   	167.72	DCR|3VULN|2DMG|2ZMB	19ZMB|2ERES|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aLWND
68	53243 22226	   	167.72	DCR|3VULN|2DMG|2ZMB	19ZMB|2ERES|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aRPLT
69	53243 22228	   	167.72	DCR|3VULN|2DMG|2ZMB	19ZMB|2ERES|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aBEXP
70	42354 12231	 * 	167.66	DCR|4VULN|1DMG|1ZMB	148aVULN|2BEXP|3ZMB|57RCVC|6RCR|9DMG
71	51243 12221	   	167.62	DCR|3VULN|2DMG|2ZMB	19ZMB|2TLV|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aDUST
72	53243 22221	   	167.62	DCR|3VULN|2DMG|2ZMB	19ZMB|2ERES|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aDUST
73	43221 32352	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8FEWX|aDUR
74	43221 32512	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9LWND|aDUR
75	43221 32522	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9FEWX|aDUR
76	43221 32542	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9LHND|aDUR
77	43221 32562	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9RPLT|aDUR
78	43231 32354	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2CGEN|3AART|48FEWX|5DMG|6CDMG|7RCR|aDUR
79	43231 32512	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4FEWX|58DMG|6CDMG|7RCR|9LWND|aDUR
80	43231 32524	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|49FEWX|58DMG|6CDMG|7RCR|aDUR
81	43231 32535	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4FEWX|58DMG|6CDMG|7RCR|9MLV|aDUR
82	43231 32542	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4FEWX|58DMG|6CDMG|7RCR|9LHND|aDUR
83	43231 32562	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4FEWX|58DMG|6CDMG|7RCR|9RPLT|aDUR
84	43221 32636	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1VULN|2CGEN|3AART|4BEXP|5aDMG|6CDMG|7RCR|8ASPD|9RPLT
85	43241 32512	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4DUST|58DMG|6CDMG|7RCR|9LWND|aDUR
86	43241 32522	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|4DUST|58DMG|6CDMG|7RCR|9FEWX|aDUR
87	44223 32522	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2LEGI|3AART|48DMG|5CGEN|6CDMG|7RCR|9FEWX|aDUR
88	46231 32352	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2ERES|3AART|4BEXP|5DMG|6CDMG|7RCR|8FEWX|aDUR
89	46231 32512	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2ERES|3AART|4BEXP|58DMG|6CDMG|7RCR|9LWND|aDUR
90	46231 32522	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2ERES|3AART|4BEXP|58DMG|6CDMG|7RCR|9FEWX|aDUR
91	43221 32622	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8ASPD|9MBVNT
92	43231 32622	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8ASPD|9MBVNT
93	43241 32622	   	167.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2CGEN|3AART|4DUST|5DMG|6CDMG|7RCR|8ASPD|9MBVNT
94	46231 32622	   	167.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2ERES|3AART|4BEXP|5DMG|6CDMG|7RCR|8ASPD|9MBVNT
95	43221 32165	 * 	166.99	DCR|2VULN|1AART|1DMG|2CDMG	1aVULN|2CGEN|3AART|4BEXP|5DMG|69CDMG|7RCR|8BELT
96	43221 32355	   	166.99	DCR|2VULN|1AART|1DMG|2CDMG	19VULN|2CGEN|3AART|4BEXP|5DMG|6aCDMG|7RCR|8FEWX
97	43221 32515	 * 	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2CGEN|3AART|4BEXP|58DMG|6aCDMG|7RCR|9LWND
98	43221 32525	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2CGEN|3AART|4BEXP|58DMG|6aCDMG|7RCR|9FEWX
99	43221 32561	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2CGEN|3AART|4BEXP|58DMG|6aCDMG|7RCR|9RPLT
100	43231 32165	   	166.99	DCR|2VULN|1AART|1DMG|2CDMG	1aVULN|2CGEN|3AART|4FEWX|5DMG|69CDMG|7RCR|8BELT
101	43231 32515	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2CGEN|3AART|4FEWX|58DMG|6aCDMG|7RCR|9LWND
102	43231 32561	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1VULN|2CGEN|3AART|4FEWX|58DMG|6aCDMG|7RCR|9RPLT
103	44231 36131	   	166.75	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|2LEGI|3AART|4ASPD|5aDMG|6CGEN|7ERES|8aLIT|9RCR|aBPWR
104	44314 11113	   	166.15	DCR|2VULN|1AART|1DMG|2ASPD|2RCVC	1aVULN|2LEGI|35RCVC|4DMG|6RCR|7aLWND|8AART|9aASPD|aBPWR
105	44222 33363	   	165.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|48DMG|5ZMB|6CDMG|7DMSP|9RCVC|aRCR
106	23314 15122	   	165.08	DCR|3VULN|1AART|1DMG	19LHND|29CGEN|3MLV|4DMG|5RCVC|6RCR|79aVULN|8AART|9BPWR
107	26314 15122	   	164.88	DCR|3VULN|1AART|1DMG	19LHND|29ERES|3MLV|4DMG|5RCVC|6RCR|79aVULN|8AART|9BPWR
108	43262 23235	   	164.72	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3AART|47DMG|5RPLT|6DUR|8RCVC|9RCR|aCDMG
109	24231 11132	   	164.72	DCR|3VULN|1AART|1DMG|1ASPD	1LHND|2LEGI|3AART|4ASPD|5DMG|68aVULN|7LIT|9RCR
110	44231 16132	   	164.72	DCR|3VULN|1AART|1DMG|1ASPD	16aVULN|2LEGI|3AART|4ASPD|5DMG|7LHND|8LIT|9RCR
111	24222 11232	   	164.58	DCR|2AART|2VULN|1DMG|1ZMB	1LHND|2LEGI|38AART|4DMG|5ZMB|6aVULN|7LIT|9RCR
112	44222 33343	   	164.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|48DMG|5ZMB|6CDMG|79DMSP|aRCR
113	43314 41313	   	164.21	3VULN|3DMG|3ZMB|1AART	18aVULN|2CGEN|38aZMB|48aDMG|5RCVC|69RPLT|7AART|8aBPWR
114	43315 21313	   	163.91	3VULN|3DMG|3ZMB|1AART	18aVULN|2CGEN|38aZMB|48aDMG|59RPLT|6RCVC|7AART|8aBPWR
115	25525 11113	 * 	163.88	DCR|2DMG|1AART|1VULN|2ASPD	13aLHND|2RCVC|4aDMG|5VULN|6RCR|7LWND|8AART|9aASPD|aBPWR
116	46315 21313	   	163.81	3VULN|3DMG|3ZMB|1AART	18aVULN|2ERES|38aZMB|48aDMG|59RPLT|6RCVC|7AART|8aBPWR
117	46315 21333	   	163.71	3VULN|3DMG|3ZMB|1AART	18aVULN|29ERES|38aZMB|48aDMG|5RPLT|6RCVC|7AART|8aBPWR
118	43231 32653	   	163.58	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1VULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8aASPD|9DUR
119	43241 32361	   	163.58	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ASPD	1VULN|2CGEN|3AART|4DUST|5DMG|6CDMG|7RCR|8FEWX|9FLTHEA|aASPD
120	43241 32362	   	163.58	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1VULN|2CGEN|3AART|4DUST|5DMG|6CDMG|7RCR|8FEWX|9FLTHEA|aDUR
121	44223 32361	   	163.58	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ASPD	1VULN|2LEGI|3AART|4DMG|5CGEN|6CDMG|7RCR|8FEWX|9FLTHEA|aASPD
122	44223 32362	   	163.58	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1VULN|2LEGI|3AART|4DMG|5CGEN|6CDMG|7RCR|8FEWX|9FLTHEA|aDUR
123	53544 48432	   	163.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1ZMB|24ERES|3MBVNT|5DUR|6RCR|7aDMG|8VULN|9AART
124	43221 32235	   	162.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|9ZMB|aDUR
125	44231 32235	   	162.91	DCR|2AART|2VULN|1DMG|1ASPD	1aVULN|2LEGI|39AART|4ASPD|5DMG|6CGEN|7RPLT|8RCR
126	43241 32235	   	162.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2CGEN|3AART|4DUST|5DMG|6CDMG|7RCR|8RCVC|9ZMB|aDUR
127	44223 32235	   	162.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2LEGI|3AART|4DMG|5CGEN|6CDMG|7RCR|8RCVC|9ZMB|aDUR
128	46231 32235	   	162.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ERES|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|9ZMB|aDUR
129	44232 22235	   	162.81	DCR|2AART|2VULN|1DMG|1ASPD	1aVULN|2LEGI|39AART|4ASPD|5ERES|6DMG|7RPLT|8RCR
130	43321 15531	   	162.78	DCR|4VULN|1DMG|1ZMB	178aVULN|24CGEN|3ZMB|5RMIN|6RCR|9DMG
131	43221 32251	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2aCGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC
132	43221 32252	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|aRMIN
133	43221 32253	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|aLWND
134	43221 32255	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|aFEWX
135	43221 32265	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	1aVULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|9RPLT
136	43231 32251	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2aCGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8RCVC
137	43231 32252	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8RCVC|aRMIN
138	43231 32253	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8RCVC|aLWND
139	43231 32255	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4aFEWX|5DMG|6CDMG|7RCR|8RCVC
140	43231 32265	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG	1aVULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8RCVC|9RPLT
141	43241 32251	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2aCGEN|3AART|4DUST|5DMG|6CDMG|7RCR|8RCVC
142	43241 32252	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4DUST|5DMG|6CDMG|7RCR|8RCVC|aRMIN
143	43241 32253	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4DUST|5DMG|6CDMG|7RCR|8RCVC|aLWND
144	44223 32251	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2LEGI|3AART|4DMG|5aCGEN|6CDMG|7RCR|8RCVC
145	44223 32252	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2LEGI|3AART|4DMG|5CGEN|6CDMG|7RCR|8RCVC|aRMIN
146	44223 32253	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2LEGI|3AART|4DMG|5CGEN|6CDMG|7RCR|8RCVC|aLWND
147	46231 32251	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2ERES|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|aCGEN
148	46231 32252	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2ERES|3AART|4aBEXP|5DMG|6CDMG|7RCR|8RCVC
149	42214 11216	 * 	162.48	DCR|2VULN|2DMG|2CDMG	1aVULN|2BEXP|3DMSP|4aDMG|5RCVC|6RCR|7LWND|8DUST|9aCDMG|aBPWR
150	51514 41633	 * 	162.38	DCR|2DMG|3ZMB|1VULN|2DUR|1ASPD	18aZMB|2TLV|3MBVNT|48DMG|5VULN|6ASPD|78DUR|8BPWR|9RCR
151	46231 32253	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2ERES|3AART|4BEXP|5DMG|6CDMG|7RCR|8RCVC|aTLV
152	43231 23443	   	162.32	DCR|3DMG|1AART|1VULN|1ASPD	1VULN|2CGEN|3AART|4FEWX|568DMG|7ASPD|9ERES|aRCR
153	44221 23163	   	162.32	DCR|3DMG|1AART|1VULN|1ASPD	1VULN|2LEGI|3AART|456DMG|7ASPD|89FEWX|aRCR
154	43221 32351	   	161.98	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8FEWX|aRCVC
155	43221 32511	   	161.98	DCR|2DMG|1AART|1VULN|1CDMG	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9LWND|aRCVC
156	43221 32521	   	161.98	DCR|2DMG|1AART|1VULN|1CDMG	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9FEWX|aRCVC
157	43221 32541	   	161.98	DCR|2DMG|1AART|1VULN|1CDMG	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9LHND|aRCVC
158	43231 32511	   	161.98	DCR|2DMG|1AART|1VULN|1CDMG	1VULN|2CGEN|3AART|4FEWX|58DMG|6CDMG|7RCR|9LWND|aRCVC
