0	Index      	 *	Score 	Summary	Detail	
1	21425 33363	 * 	189.02	DCR|3VULN|2DMG|1AART|1CDMG	129ERES|3RMIN|459VULN|69DMG|7AART|8RCR|9BPWR|aCDMG
18	12232 11526	 * 	176.84	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2DUR|3VULN|4RCR|5ZMB|679DMG|8RPLT|aAART
19	61132 43335	   	175.64	DCR|3VULN|1AART|1DMG|2ZMB	19ZMB|29ERES|3DUST|4DMG|5DMSP|6AART|7RCR|89aVULN|9BPWR
20	61131 43335	   	175.54	DCR|3VULN|1AART|1DMG|2ZMB	19ZMB|29ERES|35DUST|4DMG|6AART|7RCR|89aVULN|9BPWR
21	61133 43336	   	175.54	DCR|3VULN|1AART|1DMG|2ZMB	19ZMB|259ERES|3DUST|4DMG|6AART|7RCR|89aVULN|9BPWR
22	23421 16332	 * 	175.52	DCR|2VULN|3ZMB|1AART|1DMG	17ERES|2RCVC|3RMIN|47VULN|5AART|67aZMB|7BPWR|8RCR|9DMG
23	21425 33362	   	175.27	DCR|3VULN|2DMG|1AART	129ERES|3RMIN|459VULN|69DMG|7AART|8RCR|9BPWR|aBASICY
24	12231 31525	 * 	174.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUR|38VULN|4RCR|5CGEN|6CDMG|7ZMB|9DMG|aAART
25	12232 11445	 * 	174.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LIT|2DUR|3VULN|4RCR|5ZMB|67DMG|8RMIN|9CDMG|aAART
26	21221 13664	   	174.64	DCR|2VULN|3ZMB|1AART|1CDMG|1ASPD	129ERES|3ASPD|49VULN|5AART|689ZMB|7RCR|9BPWR|aCDMG
27	16152 36121	 * 	173.72	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB	13LIT|23ASPD|3BPWR|4CDMG|5ZMB|68aVULN|7AART|9RCR
28	61132 43334	   	173.51	DCR|2VULN|3ZMB|1AART|1DMG	19aZMB|29ERES|3DUST|4DMG|5DMSP|6AART|7RCR|89VULN|9BPWR
29	61131 43334	   	173.41	DCR|2VULN|3ZMB|1AART|1DMG	19aZMB|29ERES|35DUST|4DMG|6AART|7RCR|89VULN|9BPWR
30	16116 33533	 * 	173.30	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6AART|7ZMB|8DUR|9DMG|aVULN
31	11146 53321	 * 	173.25	ACR|3VULN|1AART|1DMG|1CDMG	13LIT|23CGEN|3BPWR|4RCR|5CDMG|68aVULN|7DMG|9AART
32	12232 46136	 * 	172.93	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1aLIT|2aDUR|3VULN|4RCR|59ZMB|6AART|7RPLT|8aDMG|aBPWR
33	23423 53335	   	172.49	DCR|3VULN|1AART|1DMG|1ZMB	1ERES|2RCVC|3RMIN|46aVULN|5ZMB|7AART|8RCR|9DMG
34	62122 26632	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|25DUST|3RPLT|45VULN|5BPWR|6CDMG|7DMG|8RCR|9DUR|aAART
35	23221 13665	   	171.73	DCR|2VULN|3ZMB|1AART|1ASPD|1DUR	19ERES|2RCVC|3ASPD|49VULN|5AART|689ZMB|7RCR|9BPWR|aDUR
36	31553 52333	   	171.40	ACR|5VULN|1AART|1DUR	1RMIN|23467VULN|3BPWR|5RCR|8AART|9ERES|aDUR
37	23421 16361	   	171.21	DCR|3VULN|3ZMB|1AART	179ERES|2RCVC|3RMIN|479VULN|5AART|679ZMB|79BPWR|8RCR|aRPLT
38	23421 16363	   	171.21	DCR|3VULN|3ZMB|1AART	179ERES|2RCVC|3RMIN|479VULN|5AART|679ZMB|79BPWR|8RCR|aLWND
39	66221 23325	   	170.47	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|2RCVC|3ASPD|4VULN|5AART|6MLV|7RCR|8DUR|9CDMG|aDMG
40	23221 13325	   	170.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2RCVC|3ASPD|4VULN|5AART|6ZMB|7RCR|8DUR|9CDMG|aDMG
41	56221 13325	   	170.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1TLV|2RCVC|3ASPD|4VULN|5AART|6ZMB|7RCR|8DUR|9CDMG|aDMG
42	16116 33131	 * 	170.21	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6AART|7aZMB|8VULN|9DMG
43	23532 36221	 * 	170.09	DCR|3VULN|1AART|2CDMG|1ZMB	18ERES|2RCVC|38CDMG|4LIT|5ZMB|68aVULN|7AART|8BPWR|9RCR
44	16612 13633	 * 	170.08	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2ASPD|36AART|4LWND|5CDMG|7ZMB|8RCR|9DMG|aVULN
45	31552 33263	   	169.81	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RMIN|234VULN|3BPWR|5CDMG|6AART|7RCVC|8ASPD|9RCR|aZMB
46	66221 13313	 * 	169.79	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	18ZMB|2RCVC|3ASPD|4VULN|5AART|6RCR|7FEWX|9CDMG|aDMG
47	31522 32521	   	169.73	DCR|3VULN|1AART|1DMG|1CDMG	1RMIN|23aVULN|3BPWR|4DMSP|5CDMG|6AART|7DMG|8LIT|9RCR
48	31552 32523	   	169.73	DCR|3VULN|1AART|1DMG|1CDMG	1RMIN|234VULN|3BPWR|5CDMG|6AART|7DMG|8LIT|9RCR|aBEXP
49	66221 14313	   	169.69	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	18ZMB|2RCVC|3ASPD|4VULN|5AART|6RCR|7DUST|9CDMG|aDMG
50	61132 43325	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2ERES|3DUST|4aDMG|5DMSP|6AART|7RCR|8VULN|9CDMG
51	61131 43325	   	169.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2ERES|35DUST|4aDMG|6AART|7RCR|8VULN|9CDMG
52	61133 43325	   	169.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|25ERES|3DUST|4aDMG|6AART|7RCR|8VULN|9CDMG
53	31341 13335	   	169.10	DCR|3VULN|1AART|2ZMB|2DUR	1RMIN|29aVULN|35ERES|4AART|69ZMB|7RCR|89DUR|9BPWR
54	12232 46116	   	169.08	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1aLIT|2aDUR|3VULN|4RCR|5ZMB|6AART|79RPLT|8aDMG|aBPWR
55	23421 16336	   	168.92	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	17ERES|2RCVC|3RMIN|47VULN|5AART|67ZMB|7BPWR|8RCR|9DMG|aDUR
56	21423 53335	   	168.68	DCR|3VULN|1AART|1DMG|1ZMB	12ERES|3RMIN|46aVULN|5ZMB|7AART|8RCR|9DMG
57	42153 16241	 * 	168.55	DCR|3DMG|2VULN|1CDMG|1DUR	1aBASICY|28aDMG|3DUR|4CDMG|5MBVNT|6aVULN|7RPLT|9RCR|aBPWR
58	31531 34252	   	168.45	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|23VULN|3BPWR|4LIT|5AART|67DUR|89DMG|aRCR
59	31341 13662	   	168.30	DCR|2VULN|3ZMB|1AART|1CDMG	1RMIN|29VULN|359ERES|4AART|689ZMB|7RCR|9BPWR|aCDMG
60	66221 23326	   	168.00	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|2RCVC|3ASPD|4aVULN|5AART|6MLV|7RCR|8DUR|9CDMG
61	21221 13665	   	167.93	DCR|2VULN|3ZMB|1AART|1ASPD|1DUR	129ERES|3ASPD|49VULN|5AART|689ZMB|7RCR|9BPWR|aDUR
62	42145 33321	   	167.91	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	17BASICY|29DMG|37DUR|47VULN|5RCR|6RCVC|7BPWR|8ZMB|aASPD
63	23221 13326	   	167.90	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2RCVC|3ASPD|4aVULN|5AART|6ZMB|7RCR|8DUR|9CDMG
64	56221 13326	   	167.90	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1TLV|2RCVC|3ASPD|4aVULN|5AART|6ZMB|7RCR|8DUR|9CDMG
65	21421 13662	   	167.70	DCR|2VULN|3ZMB|1AART|1CDMG	129ERES|3RMIN|49VULN|5AART|689ZMB|7RCR|9BPWR|aCDMG
66	31551 32125	   	167.47	DCR|4VULN|1DMG|1CDMG|1ASPD	1RMIN|2347VULN|3BPWR|5TLV|6DMG|8RCR|9ASPD|aCDMG
67	16111 32251	 * 	167.41	ACR|2AART|1DMG|1VULN|2ASPD|1CDMG	13LIT|23ASPD|3BPWR|4RCR|56AART|7LWND|8DMG|9CDMG|aVULN
68	23221 33645	   	167.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2RCVC|3ASPD|4aVULN|5AART|6CGEN|7RCR|8ZMB|9DMG
69	16111 31221	   	167.31	ACR|2AART|1VULN|1DMG|2ASPD|1CDMG	13LIT|23ASPD|3BPWR|4RCR|56AART|7DUST|8DMG|9CDMG|aVULN
70	31552 11314	   	167.27	DCR|4VULN|1AART|1CDMG	19RMIN|234aVULN|3BPWR|5CDMG|6AIRHEL|7RCR|8AART
71	31522 32463	   	166.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|23VULN|3BPWR|4DMSP|5CDMG|6AART|7DMG|8RCVC|9RCR|aZMB
72	31341 13334	   	166.98	DCR|2VULN|3ZMB|1AART|2DUR	1RMIN|29VULN|35ERES|4AART|69aZMB|7RCR|89DUR|9BPWR
73	61132 43336	   	166.92	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	19ZMB|29ERES|3DUST|4DMG|5DMSP|6AART|7RCR|89VULN|9BPWR|aDUR
74	61131 43336	   	166.82	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	19ZMB|29ERES|35DUST|4DMG|6AART|7RCR|89VULN|9BPWR|aDUR
75	16116 42321	 * 	166.74	ACR|3VULN|1AART|2ASPD|1CDMG	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6CGEN|78aVULN|9AART
76	12232 26162	 * 	166.72	ACR|3VULN|1AART|2ZMB|2DUR	1aLIT|27DUR|38aVULN|4RCR|5aZMB|6BELT|9AART|aBPWR
77	21221 13325	   	166.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	12ERES|3ASPD|4VULN|5AART|6ZMB|7RCR|8DUR|9CDMG|aDMG
78	16111 24631	   	166.49	ACR|3VULN|1AART|2ASPD|1ZMB	13LIT|23ASPD|3BPWR|4RCR|5AART|6RPLT|789VULN|aZMB
79	12232 11626	   	166.38	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1LIT|28DUR|3VULN|4RCR|5ZMB|67DMG|9ERES|aAART
80	12233 11636	   	166.38	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1LIT|28DUR|3VULN|4RCR|5ERES|67DMG|9ZMB|aAART
81	16116 33134	   	166.36	ACR|1AART|1DMG|1VULN|2ASPD|1CDMG|1ZMB	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6AART|7ZMB|8VULN|9DMG|aLHND
82	16116 33136	   	166.36	ACR|1AART|1DMG|1VULN|2ASPD|1CDMG|1ZMB	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6AART|7ZMB|8VULN|9DMG|aLWND
83	16116 33433	   	166.36	ACR|1AART|1DMG|1VULN|2ASPD|1CDMG|1ZMB	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6AART|7ZMB|8LWND|9DMG|aVULN
84	16111 15136	 * 	166.31	ACR|2VULN|1AART|3ASPD|1DMG	13aLIT|23aASPD|3aBPWR|4RCR|5AART|6DUST|7DMG|8aVULN|9RPLT
85	16116 33132	   	166.26	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6AART|7ZMB|8VULN|9DMG|aERES
86	16116 33133	   	166.26	ACR|1AART|1VULN|1DMG|1CDMG|2ASPD|1ZMB	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6AART|7ZMB|8VULN|9DMG|aTLV
87	23221 13335	   	166.25	DCR|2VULN|1AART|2ASPD|2DUR|1ZMB	19ERES|2RCVC|39ASPD|4aVULN|5AART|6ZMB|7RCR|89DUR|9BPWR
88	66221 23334	 * 	166.25	DCR|3ZMB|1AART|1VULN|2ASPD|2DUR	19aZMB|2RCVC|39ASPD|4VULN|5AART|6MLV|7RCR|89DUR|9BPWR
89	21423 53363	   	166.22	DCR|3VULN|1AART|2ZMB|1CDMG	129ERES|3RMIN|469VULN|59ZMB|7AART|8RCR|9BPWR|aCDMG
90	31343 84242	   	166.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|28VULN|3ERES|4AART|5MBVNT|6CDMG|7ZMB|9RCR|aDMG
91	66221 13225	   	165.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|4VULN|5AART|6RCR|7FEWX|8TLV|9CDMG|aDMG
92	12233 11526	   	165.74	ACR|3DMG|1AART|1VULN|1DUR	1LIT|2DUR|3VULN|4RCR|5ERES|679DMG|8RPLT|aAART
93	35353 33134	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUST|3CDMG|4BEXP|59VULN|6RCR|7DMG|8DUR|aAART
94	52353 33134	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2DUST|3CDMG|4BEXP|59VULN|6RCR|7DMG|8DUR|aAART
95	66221 13126	   	165.46	DCR|3VULN|1AART|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|49aVULN|5AART|6RCR|7FEWX|8RPLT
96	66221 15131	   	165.36	DCR|3VULN|1AART|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|48aVULN|5AART|6RCR|7LIT|9TLV
97	21221 13333	 * 	164.92	DCR|1AART|1VULN|1DMG|2ASPD|2DUR|1ZMB	129ERES|39ASPD|4VULN|5AART|6ZMB|7RCR|89DUR|9BPWR|aDMG
98	12231 16265	 * 	164.82	ACR|2VULN|2DMG|2ZMB|2DUR	1LIT|29DUR|3aVULN|4RCR|5CGEN|69DMG|7ERES|89ZMB|9BPWR
99	12231 31534	 * 	164.81	ACR|3VULN|3ZMB|1CDMG|1DUR	19LIT|2DUR|389VULN|4RCR|5CGEN|6CDMG|79aZMB|9BPWR
100	12231 31634	   	164.81	ACR|3VULN|3ZMB|1CDMG|1DUR	19LIT|2DUR|39aVULN|4RCR|5CGEN|6CDMG|789ZMB|9BPWR
101	23221 13661	   	164.79	DCR|2VULN|3ZMB|1AART|1ASPD	19ERES|2RCVC|3ASPD|49VULN|5AART|689ZMB|7RCR|9BPWR|aBEXP
102	23221 13662	   	164.79	DCR|2VULN|3ZMB|1AART|1ASPD	19ERES|2RCVC|3ASPD|49VULN|5AART|689ZMB|7RCR|9BPWR|aCGEN
103	23221 13663	   	164.79	DCR|2VULN|3ZMB|1AART|1ASPD	19ERES|2RCVC|3ASPD|49VULN|5AART|689ZMB|7RCR|9BPWR|aRMIN
104	16111 31261	   	164.66	ACR|2AART|1VULN|1DMG|2ASPD|1ZMB	13LIT|23ASPD|3BPWR|4RCR|56AART|7DUST|8DMG|9ZMB|aVULN
105	66221 11512	   	164.63	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2aRCVC|3ASPD|48VULN|5AART|6RCR|7LHND|9CDMG
106	31552 11334	 * 	164.61	DCR|3VULN|2AART|1CDMG	1RMIN|234VULN|3BPWR|5CDMG|6AIRHEL|7RCR|8aAART|9MLV
107	31552 11324	   	164.51	DCR|3VULN|2AART|1CDMG	1RMIN|234VULN|3BPWR|5CDMG|6AIRHEL|7RCR|8aAART|9TLV
108	31551 32162	 * 	164.47	DCR|4VULN|2DMG	1RMIN|2347VULN|3BPWR|5TLV|6aDMG|8RCR|9DMSP
109	31553 52312	   	164.47	ACR|5VULN|1AART	1RMIN|23467VULN|3BPWR|5RCR|8AART|9LWND|aMBVNT
110	31553 52313	   	164.47	ACR|5VULN|1AART	1RMIN|23467VULN|3BPWR|5RCR|8AART|9LWND|aLEGI
111	31553 52322	   	164.47	ACR|5VULN|1AART	1RMIN|23467VULN|3BPWR|5RCR|8AART|9LHND|aMBVNT
112	31553 52323	   	164.47	ACR|5VULN|1AART	1RMIN|23467VULN|3BPWR|5RCR|8AART|9LHND|aLEGI
113	31553 52331	   	164.47	ACR|5VULN|1AART	1RMIN|23467VULN|3BPWR|5RCR|8AART|9ERES|aLWND
114	13332 11261	 * 	164.29	ACR|3VULN|2DMG|1ZMB	1LIT|2LWND|3FEWX|4RCR|5ZMB|67DMG|89aVULN
115	23421 13635	   	164.29	DCR|2VULN|1AART|1DMG|2ZMB	1ERES|2RCVC|3RMIN|4aVULN|5AART|68ZMB|7RCR|9DMG
116	61162 43331	   	164.26	DCR|2VULN|1AART|1DMG|2ZMB	19ZMB|29ERES|3DUST|4aRCVC|5DMG|6AART|7RCR|89VULN|9BPWR
117	12231 15266	 * 	164.19	ACR|1AART|1DMG|1VULN|1FLTHEA|1ZMB|1ASPD|1DUR	1LIT|2DUR|3VULN|4RCR|5CGEN|6DMG|7ASPD|8ZMB|9FLTHEA|aAART
118	21221 13326	   	164.09	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	12ERES|3ASPD|4aVULN|5AART|6ZMB|7RCR|8DUR|9CDMG
119	12233 15266	   	164.09	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1ASPD|1DUR	1LIT|2DUR|3VULN|4RCR|5ERES|6DMG|7ASPD|8ZMB|9FLTHEA|aAART
120	12256 12131	   	163.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LIT|24DUR|39VULN|5CDMG|6RCR|7AART|8CGEN|aZMB
121	12256 12531	   	163.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LIT|24DUR|39VULN|5CDMG|6RCR|7AART|8MLV|aZMB
122	12231 11445	   	163.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2DUR|3VULN|4RCR|5CGEN|67DMG|8RMIN|9CDMG|aAART
123	12232 46162	   	163.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1aLIT|2DUR|3aVULN|4RCR|5ZMB|6AART|7RPLT|8DMG|9aMLV|aBPWR
124	23423 53336	   	163.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2RCVC|3RMIN|46VULN|5ZMB|7AART|8RCR|9DMG|aDUR
125	23532 36121	   	163.67	DCR|3VULN|1AART|1CDMG|1ZMB	1ERES|2RCVC|3CDMG|4LIT|5ZMB|68aVULN|7AART|9RCR
126	31443 35323	   	163.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|2VULN|3LWND|4BASICY|5aDMG|6RCR|7ZMB|8DUR|9AART
127	12232 46152	   	163.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1aLIT|2DUR|3aVULN|4RCR|5ZMB|6AART|7RPLT|8DMG|9aERES|aBPWR
128	21221 33645	   	163.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	12ERES|3ASPD|4aVULN|5AART|6CGEN|7RCR|8ZMB|9DMG
129	66221 23225	   	163.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|4VULN|5AART|6MLV|7RCR|8BEXP|9CDMG|aDMG
130	12231 11661	 * 	163.51	ACR|2VULN|2DMG|1FLTHEA|2DUR	1LIT|28DUR|3aVULN|4RCR|5CGEN|67DMG|9FLTHEA
131	12232 45362	   	163.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2DUR|38VULN|4RCR|5ZMB|6AART|7DUST|9DMG|aRMIN
132	12232 45363	   	163.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2DUR|38VULN|4RCR|5ZMB|6AART|7DUST|9DMG|aCGEN
133	66221 11511	   	163.46	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|48VULN|5AART|6RCR|7LHND|9CDMG|aDMSP
134	66221 11513	   	163.46	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|48VULN|5AART|6RCR|7aLHND|9CDMG
135	66221 13512	   	163.46	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|48VULN|5AART|6RCR|7FEWX|9CDMG|aBELT
136	23221 13225	   	163.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2RCVC|3ASPD|4VULN|5AART|6ZMB|7RCR|8BEXP|9CDMG|aDMG
137	56221 13225	   	163.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2RCVC|3ASPD|4VULN|5AART|6ZMB|7RCR|8BEXP|9CDMG|aDMG
138	23421 13322	   	163.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2RCVC|3RMIN|4VULN|5AART|6ZMB|7RCR|8DUR|9CDMG|aDMG
139	56421 13322	   	163.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2RCVC|3RMIN|4VULN|5AART|6ZMB|7RCR|8DUR|9CDMG|aDMG
140	66221 23125	   	163.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|4VULN|5AART|6MLV|7RCR|8DUST|9CDMG|aDMG
141	12233 11661	   	163.41	ACR|2VULN|2DMG|1FLTHEA|2DUR	1LIT|28DUR|3aVULN|4RCR|5ERES|67DMG|9FLTHEA
142	12232 42462	 * 	163.38	ACR|3ZMB|1AART|1VULN|1DMG|1DUR	1LIT|2DUR|3VULN|4RCR|579ZMB|6AART|8RPLT|aDMG
143	12232 46262	   	163.38	ACR|3ZMB|1AART|1VULN|1DMG|1DUR	1LIT|2DUR|3VULN|4RCR|589ZMB|6AART|7RPLT|aDMG
144	66221 11226	   	163.36	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|4aVULN|5AART|6RCR|7LHND|8TLV|9CDMG
145	66221 13226	   	163.36	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|4aVULN|5AART|6RCR|7FEWX|8TLV|9CDMG
146	66221 13511	   	163.36	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|48VULN|5AART|6RCR|7FEWX|9CDMG|aLEGI
147	66221 15132	   	163.36	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|48VULN|5AART|6RCR|7LIT|9TLV|aCDMG
148	23221 13125	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2RCVC|3ASPD|4VULN|5AART|6ZMB|7RCR|8DUST|9CDMG|aDMG
149	56221 13125	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2RCVC|3ASPD|4VULN|5AART|6ZMB|7RCR|8DUST|9CDMG|aDMG
150	23423 53362	   	163.32	DCR|3VULN|1AART|2ZMB|1DUR	19ERES|2RCVC|3RMIN|469VULN|59ZMB|7AART|8RCR|9BPWR|aDUR
151	23421 16334	   	163.16	DCR|2VULN|1AART|1DMG|2ZMB	17ERES|2aRCVC|3RMIN|47VULN|5AART|67ZMB|7BPWR|8RCR|9DMG
152	21221 13464	   	163.11	DCR|3VULN|1AART|2ZMB|1ASPD	129ERES|3ASPD|49aVULN|5AART|69ZMB|7RCR|8DMSP|9BPWR
153	61162 43333	   	163.09	DCR|2VULN|1AART|1DMG|2ZMB	19ZMB|29ERES|3DUST|4RCVC|5DMG|6AART|7RCR|89VULN|9BPWR|aCGEN
154	12232 11326	   	162.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2DUR|3VULN|4RCR|5ZMB|67DMG|8RCVC|9ERES|aAART
155	12233 11336	   	162.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2DUR|3VULN|4RCR|5ERES|67DMG|8RCVC|9ZMB|aAART
